"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1,"1","2024-01-05T07:05:40.254301Z",1,"[{""start"":25,""end"":27,""text"":""鸡瘟"",""labels"":[""disease""]},{""start"":32,""end"":36,""text"":""亚洲鸡瘟"",""labels"":[""disease""]},{""start"":0,""end"":4,""text"":""鸡新城疫"",""labels"":[""disease""]},{""start"":13,""end"":18,""text"":""急性败血性"",""labels"":[""pathology""]}]",247.58100000000002,"鸡新城疫是由病毒引起的一种急性败血性传染病。俗称“鸡瘟”，即所谓亚洲鸡瘟。本病一年四季均可发生，尤以寒冷和气候多变季节多发。","2024-01-06T04:37:11.141528Z"
2,"1","2024-01-06T02:35:55.693330Z",2,"[{""start"":5,""end"":6,""text"":""鸡"",""labels"":[""type""]},{""start"":20,""end"":21,""text"":""鸡"",""labels"":[""type""]},{""start"":36,""end"":40,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":41,""end"":47,""text"":""神经机能紊乱"",""labels"":[""symptom""]},{""start"":48,""end"":58,""text"":""粘膜和浆膜出血和坏死"",""labels"":[""pathology""]},{""start"":56,""end"":58,""text"":""坏死"",""labels"":[""pathology""]},{""start"":53,""end"":55,""text"":""出血"",""labels"":[""pathology""]},{""start"":48,""end"":50,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":51,""end"":53,""text"":""浆膜"",""labels"":[""bodypart""]}]",711.6949999999999,"各种日龄的鸡均能感染，20日龄—60日龄鸡最易感，死亡率也高。主要特征是呼吸困难，神经机能紊乱，粘膜和浆膜出血和坏死。","2024-01-08T02:04:24.323366Z"
3,"1","2024-01-06T02:38:56.702143Z",3,"[{""start"":44,""end"":48,""text"":""亚洲鸡瘟"",""labels"":[""disease""]},{""start"":49,""end"":52,""text"":""伪鸡瘟"",""labels"":[""disease""]},{""start"":55,""end"":57,""text"":""急性"",""labels"":[""pathology""]},{""start"":57,""end"":61,""text"":""败血症状"",""labels"":[""pathology""]},{""start"":0,""end"":4,""text"":""鸡新城疫"",""labels"":[""disease""]},{""start"":26,""end"":30,""text"":""副粘病毒"",""labels"":[""disease""]},{""start"":33,""end"":41,""text"":""高度接触性传染病"",""labels"":[""disease""]}]",424.33500000000004,"鸡新城疫（New Castle disease），由副粘病毒引起的高度接触性传染病。又称亚洲鸡瘟或伪鸡瘟。常呈急性败血症状。","2024-01-06T04:57:29.829406Z"
4,"1","2024-01-06T02:44:26.757692Z",4,"[{""start"":5,""end"":9,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":13,""end"":17,""text"":""神经紊乱"",""labels"":[""symptom""]},{""start"":26,""end"":30,""text"":""死亡率高"",""labels"":[""symptom""]},{""start"":10,""end"":12,""text"":""便稀"",""labels"":[""symptom""]},{""start"":10,""end"":11,""text"":""便"",""labels"":[""bodypart""]},{""start"":18,""end"":25,""text"":""黏膜和浆膜出血"",""labels"":[""pathology""]},{""start"":23,""end"":25,""text"":""出血"",""labels"":[""pathology""]},{""start"":18,""end"":20,""text"":""黏膜"",""labels"":[""bodypart""]},{""start"":21,""end"":23,""text"":""浆膜"",""labels"":[""bodypart""]}]",125.781,"主要特征是呼吸困难、便稀、神经紊乱、黏膜和浆膜出血。死亡率高，对养鸡业危害严重。","2024-01-08T02:15:32.058209Z"
5,"1","2024-01-06T02:46:05.583678Z",5,"",110.51599999999999,"1926年首先发现于印度尼西亚，不久又在英国新城发现，世界各国均有流行记载。有强毒株和弱毒株两类。病毒分为低毒力型（即缓发型）、中等毒力型（即中发型）、强毒力型（即速发型）3型。","2024-01-07T12:06:34.943691Z"
6,"1","2024-01-06T02:46:38.756737Z",6,"[{""start"":10,""end"":19,""text"":""嗜内脏型新城疫病毒"",""labels"":[""disease""]},{""start"":20,""end"":24,""text"":""鸡科动物"",""labels"":[""type""]},{""start"":31,""end"":33,""text"":""家鸡"",""labels"":[""type""]},{""start"":37,""end"":39,""text"":""雏鸡"",""labels"":[""type""]},{""start"":40,""end"":43,""text"":""成年鸡"",""labels"":[""type""]}]",37.247,"多数高强度毒力株常属嗜内脏型新城疫病毒。鸡科动物都可患罹本病。家鸡最易感，雏鸡比成年鸡易感性更高。","2024-01-07T12:06:44.790209Z"
7,"1","2024-01-06T02:48:25.643141Z",7,"[{""start"":8,""end"":12,""text"":""精神萎顿"",""labels"":[""symptom""]},{""start"":19,""end"":22,""text"":""昏睡状"",""labels"":[""symptom""]},{""start"":47,""end"":51,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":52,""end"":59,""text"":""喉部发出咯咯声"",""labels"":[""symptom""]},{""start"":52,""end"":54,""text"":""喉部"",""labels"":[""bodypart""]},{""start"":60,""end"":64,""text"":""粪便稀薄"",""labels"":[""symptom""]},{""start"":60,""end"":62,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":65,""end"":67,""text"":""恶臭"",""labels"":[""symptom""]},{""start"":13,""end"":17,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":13,""end"":15,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":62,""end"":64,""text"":""稀薄"",""labels"":[""symptom""]},{""start"":23,""end"":34,""text"":""冠和肉髯暗红色或黑紫色"",""labels"":[""symptom""]},{""start"":27,""end"":30,""text"":""暗红色"",""labels"":[""symptom""]},{""start"":31,""end"":34,""text"":""黑紫色"",""labels"":[""symptom""]},{""start"":23,""end"":24,""text"":""冠"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""肉髯"",""labels"":[""bodypart""]},{""start"":35,""end"":46,""text"":""嗉囔内常充满液体及气体"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""嗉囔"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""松乱"",""labels"":[""symptom""]},{""start"":39,""end"":46,""text"":""充满液体及气体"",""labels"":[""symptom""]},{""start"":54,""end"":59,""text"":""发出咯咯声"",""labels"":[""symptom""]}]",397.6739999999999,"可达44摄氏度，精神萎顿，羽毛松乱，呈昏睡状。冠和肉髯暗红色或黑紫色。嗉囔内常充满液体及气体，呼吸困难，喉部发出咯咯声；粪便稀薄、恶臭，一般2～5天死亡。","2024-01-08T02:38:47.785443Z"
8,"1","2024-01-06T02:59:11.840681Z",8,"[{""start"":24,""end"":28,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":35,""end"":39,""text"":""运动失调"",""labels"":[""symptom""]},{""start"":40,""end"":50,""text"":""头向后仰或向一边弯曲"",""labels"":[""symptom""]},{""start"":40,""end"":41,""text"":""头"",""labels"":[""bodypart""]},{""start"":31,""end"":34,""text"":""翅麻痹"",""labels"":[""symptom""]},{""start"":32,""end"":34,""text"":""麻痹"",""labels"":[""symptom""]},{""start"":31,""end"":32,""text"":""翅"",""labels"":[""bodypart""]},{""start"":29,""end"":30,""text"":""腿"",""labels"":[""bodypart""]},{""start"":41,""end"":44,""text"":""向后仰"",""labels"":[""symptom""]},{""start"":45,""end"":50,""text"":""向一边弯曲"",""labels"":[""symptom""]}]",1874.137,"亚急性或慢性型症状与急性型相似，唯病情较轻，出现神经症状，腿、翅麻痹，运动失调，头向后仰或向一边弯曲等，病程可达1～2个月，多数最终死亡。","2024-01-08T02:39:06.843767Z"
9,"1","2024-01-06T03:01:15.610828Z",9,"[{""start"":0,""end"":4,""text"":""鸡新城疫"",""labels"":[""disease""]},{""start"":10,""end"":14,""text"":""亚洲鸡瘟"",""labels"":[""disease""]},{""start"":17,""end"":29,""text"":""禽副流感病毒型新城疫病毒"",""labels"":[""disease""]},{""start"":43,""end"":44,""text"":""鸡"",""labels"":[""type""]},{""start"":45,""end"":47,""text"":""火鸡"",""labels"":[""type""]},{""start"":48,""end"":50,""text"":""野禽"",""labels"":[""type""]},{""start"":56,""end"":63,""text"":""高度接触传染性"",""labels"":[""disease""]},{""start"":64,""end"":69,""text"":""致死性疾病"",""labels"":[""disease""]}]",118.018,"鸡新城疫(ND)又称亚洲鸡瘟。是由禽副流感病毒型新城疫病毒(NDV)引起的一种主要侵害鸡、火鸡、野禽及观赏鸟类的高度接触传染性、致死性疾病。","2024-01-07T12:19:04.125558Z"
10,"1","2024-01-06T03:10:22.999985Z",10,"[{""start"":0,""end"":2,""text"":""家禽"",""labels"":[""type""]},{""start"":11,""end"":15,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":16,""end"":18,""text"":""下痢"",""labels"":[""symptom""]},{""start"":21,""end"":25,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":35,""end"":42,""text"":""粘膜和浆膜出血"",""labels"":[""pathology""]},{""start"":40,""end"":42,""text"":""出血"",""labels"":[""pathology""]},{""start"":38,""end"":40,""text"":""浆膜"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""成鸡"",""labels"":[""type""]},{""start"":28,""end"":34,""text"":""严重产蛋下降"",""labels"":[""symptom""]}]",547.796,"家禽发病后的主要特征是呼吸困难，下痢，伴有神经症状，成鸡严重产蛋下降，粘膜和浆膜出血，感染率和致死率高。","2024-01-08T02:18:49.729028Z"
