"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
316,"1","2024-01-16T15:05:52.063920Z",319,"[{""start"":0,""end"":7,""text"":""产蛋下降综合症"",""labels"":[""disease""]},{""start"":9,""end"":14,""text"":""禽类腺病毒"",""labels"":[""disease""]},{""start"":28,""end"":29,""text"":""鸡"",""labels"":[""type""]},{""start"":36,""end"":41,""text"":""禽类腺病毒"",""labels"":[""disease""]},{""start"":33,""end"":34,""text"":""鸡"",""labels"":[""type""]}]",22.084,"产蛋下降综合症是由禽类腺病毒引起的一种传染病，任何年龄的鸡都易感。鸡感染禽类腺病毒后影响整个产蛋期的生产。","2024-01-16T15:05:52.063920Z"
317,"1","2024-01-16T15:06:12.677071Z",320,"[{""start"":0,""end"":7,""text"":""产蛋下降综合症"",""labels"":[""disease""]},{""start"":15,""end"":21,""text"":""病毒性传染病"",""labels"":[""disease""]},{""start"":8,""end"":12,""text"":""青年母鸡"",""labels"":[""type""]},{""start"":27,""end"":31,""text"":""产蛋鸡群"",""labels"":[""type""]},{""start"":31,""end"":41,""text"":""不能如期达到产蛋高峰"",""labels"":[""symptom""]},{""start"":43,""end"":51,""text"":""产蛋量大幅度下降"",""labels"":[""symptom""]},{""start"":53,""end"":60,""text"":""伴有蛋壳的变化"",""labels"":[""symptom""]}]",19.21,"产蛋下降综合症是青年母鸡的一种病毒性传染病，临床特征是产蛋鸡群不能如期达到产蛋高峰，或产蛋量大幅度下降，并伴有蛋壳的变化。","2024-01-16T15:06:12.677071Z"
318,"1","2024-01-16T15:06:44.719236Z",321,"[{""start"":10,""end"":15,""text"":""Ⅲ群腺病毒"",""labels"":[""disease""]},{""start"":17,""end"":24,""text"":""凝集禽类红细胞"",""labels"":[""pathology""]},{""start"":21,""end"":24,""text"":""红细胞"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""禽类"",""labels"":[""type""]},{""start"":36,""end"":41,""text"":""鸡胚肝细胞"",""labels"":[""bodypart""]}]",30.302,"病原：本病的病原属于Ⅲ群腺病毒，能凝集禽类红细胞，能在鸭源细胞、鹅细胞、鸡胚肝细胞上生长良好，经鸭胚或鹅胚尿囊腔接种可获取含量特别高的病毒。","2024-01-16T15:06:44.719236Z"
319,"1","2024-01-16T15:07:12.408511Z",322,"[{""start"":1,""end"":3,""text"":""氯仿"",""labels"":[""drug""]},{""start"":45,""end"":47,""text"":""甲醛"",""labels"":[""drug""]},{""start"":4,""end"":7,""text"":""pH3"",""labels"":[""drug""]},{""start"":52,""end"":55,""text"":""戊二醛"",""labels"":[""drug""]}]",26.116,"对氯仿和pH3～10的处理表现不乱，60℃30分钟灭活，但56℃3小时仍可存活。经0.5%甲醛或0.5%戊二醛处理可灭活病毒。","2024-01-16T15:07:12.408511Z"
320,"1","2024-01-16T15:07:21.754756Z",323,"[{""start"":20,""end"":22,""text"":""鸡群"",""labels"":[""type""]},{""start"":29,""end"":31,""text"":""火鸡"",""labels"":[""type""]},{""start"":32,""end"":35,""text"":""珍珠鸡"",""labels"":[""type""]}]",7.777,"流行病学：该病主要发生于24～36周龄的鸡群，此外鸭、鹅、火鸡、珍珠鸡等也存在该病毒抗体。","2024-01-16T15:07:21.754756Z"
321,"1","2024-01-16T15:07:41.610333Z",324,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":3,""end"":6,""text"":""带毒鸡"",""labels"":[""type""]},{""start"":23,""end"":26,""text"":""受精卵"",""labels"":[""bodypart""]},{""start"":31,""end"":35,""text"":""鸡新城疫"",""labels"":[""disease""]}]",17.993,"病鸡和带毒鸡是主要的传染来源，主要传播方式是经受精卵垂直传播，鸡新城疫免疫，也可水平传播。","2024-01-16T15:07:41.610333Z"
322,"1","2024-01-16T15:08:43.939040Z",325,"[{""start"":5,""end"":6,""text"":""鸡"",""labels"":[""type""]},{""start"":12,""end"":15,""text"":""幼龄鸡"",""labels"":[""type""]},{""start"":32,""end"":33,""text"":""鸡"",""labels"":[""type""]},{""start"":56,""end"":63,""text"":""产白壳蛋的母鸡"",""labels"":[""type""]},{""start"":45,""end"":52,""text"":""产褐壳蛋的母鸡"",""labels"":[""type""]}]",60.105,"各种春秋的鸡均可感染，但幼龄鸡不表现临床症状，产蛋率。不同品系的鸡对本病的易感性存在差别，产褐壳蛋的母鸡最易感，产白壳蛋的母鸡发病率较低。本病一年四季均可发生。","2024-01-16T15:08:43.939040Z"
323,"1","2024-01-16T15:09:03.705302Z",326,"[{""start"":5,""end"":13,""text"":""鸡产蛋下降综合症"",""labels"":[""disease""]},{""start"":18,""end"":27,""text"":""鸟腺病中的鸡腺病毒"",""labels"":[""disease""]},{""start"":69,""end"":70,""text"":""鸡"",""labels"":[""type""]},{""start"":73,""end"":75,""text"":""疫苗"",""labels"":[""drug""]}]",22.96,"传播途径：鸡产蛋下降综合症的病原是由鸟腺病中的鸡腺病毒引起的，本病的传播途径尚不十分明确，推测用于活苗是造的家鸭培养细胞混入EDS-76，鸡因接种疫苗被感染。","2024-01-17T08:58:46.129642Z"
324,"1","2024-01-16T15:09:16.015619Z",327,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":3,""end"":6,""text"":""健康鸡"",""labels"":[""type""]},{""start"":13,""end"":14,""text"":""鸡"",""labels"":[""type""]},{""start"":18,""end"":20,""text"":""鸡雏"",""labels"":[""type""]}]",9.117,"病鸡与健康鸡接触传染；感染鸡经卵传给鸡雏，但是经卵传染的病毒，为什么直到产蛋期才大群发，尚无法说明。","2024-01-16T15:09:16.015619Z"
325,"1","2024-01-16T15:09:50.812594Z",328,"[{""start"":5,""end"":9,""text"":""感染鸡群"",""labels"":[""type""]},{""start"":10,""end"":21,""text"":""突然发生群体性产蛋下降"",""labels"":[""symptom""]},{""start"":38,""end"":40,""text"":""下痢"",""labels"":[""symptom""]},{""start"":41,""end"":45,""text"":""食欲下降"",""labels"":[""symptom""]},{""start"":46,""end"":50,""text"":""萎靡不振"",""labels"":[""symptom""]},{""start"":53,""end"":57,""text"":""蛋壳褪色"",""labels"":[""symptom""]},{""start"":60,""end"":65,""text"":""泛起软壳蛋"",""labels"":[""symptom""]},{""start"":66,""end"":69,""text"":""薄壳蛋"",""labels"":[""symptom""]},{""start"":70,""end"":78,""text"":""薄壳蛋的外表粗拙"",""labels"":[""symptom""]},{""start"":79,""end"":91,""text"":""一端常呈细颗粒状如砂纸样"",""labels"":[""symptom""]}]",33.098,"临床症状：感染鸡群以突然发生群体性产蛋下降为特征。开始发病时有或没有一般性的下痢、食欲下降和萎靡不振，随后蛋壳褪色，接着泛起软壳蛋、薄壳蛋。薄壳蛋的外表粗拙，一端常呈细颗粒状如砂纸样。","2024-01-16T15:09:50.812594Z"
