"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
330,"1","2024-01-17T09:07:32.156991Z",330,"[{""start"":0,""end"":5,""text"":""安卡拉病毒"",""labels"":[""disease""]},{""start"":8,""end"":16,""text"":""心包积水—肝炎症"",""labels"":[""disease""]},{""start"":26,""end"":29,""text"":""新鸡病"",""labels"":[""disease""]},{""start"":39,""end"":41,""text"":""肉鸡"",""labels"":[""type""]},{""start"":43,""end"":47,""text"":""后备母鸡"",""labels"":[""type""]},{""start"":48,""end"":50,""text"":""蛋鸡"",""labels"":[""type""]}]",19.295,"安卡拉病毒，也叫心包积水—肝炎症，是在巴基斯坦发现的新鸡病，主要危害3～6周龄肉鸡，而后备母鸡和蛋鸡只偶尔发生。","2024-01-17T09:07:32.156991Z"
331,"1","2024-01-17T09:07:43.195728Z",331,"[{""start"":39,""end"":41,""text"":""肉鸡"",""labels"":[""type""]},{""start"":50,""end"":54,""text"":""安卡拉病"",""labels"":[""disease""]}]",9.571,"该病早在1985年就已见有散发病例，1987年3月在卡拉奇附近的安卡拉地区一个肉鸡场发生暴发性流行。安卡拉病就由此而得名。","2024-01-17T09:07:43.195728Z"
332,"1","2024-01-17T09:07:54.322531Z",332,"[{""start"":26,""end"":28,""text"":""肉鸡"",""labels"":[""type""]},{""start"":49,""end"":51,""text"":""肉鸡"",""labels"":[""type""]}]",8.906,"到1988年夏，该病已扩散到全巴基斯坦，造成了上亿只肉鸡死亡。在死亡高峰，该病猖獗到使25%以上的肉鸡生产者破产。在这次流行的头10个月中，所造成的经济损失估计已达1570万美元。","2024-01-17T09:07:54.322531Z"
333,"1","2024-01-17T09:08:07.465044Z",333,"[{""start"":14,""end"":17,""text"":""腺病毒"",""labels"":[""disease""]},{""start"":23,""end"":26,""text"":""腺病毒"",""labels"":[""disease""]},{""start"":37,""end"":42,""text"":""包涵体肝炎"",""labels"":[""disease""]},{""start"":44,""end"":49,""text"":""包涵体肝炎"",""labels"":[""disease""]}]",11.987,"病原：本病经实验室检测证实为腺病毒感染。而对于腺病毒来说，我们最熟悉的就是包涵体肝炎，而包涵体肝炎已经在我国存在了最少三十多年，其发病已被大多数兽医工作者所了解。","2024-01-17T09:08:07.465044Z"
334,"1","2024-01-17T09:08:31.992765Z",334,"[{""start"":9,""end"":14,""text"":""包涵体肝炎"",""labels"":[""disease""]},{""start"":19,""end"":22,""text"":""腺病毒"",""labels"":[""disease""]},{""start"":58,""end"":63,""text"":""包涵体肝炎"",""labels"":[""disease""]},{""start"":81,""end"":86,""text"":""包涵体肝炎"",""labels"":[""disease""]}]",23.091,"而这次发病的病毒与包涵体肝炎同源，都是腺病毒感染，只是血清型上有所变化，据有关专家透露可能是血清四型，以往我们发现的包涵体肝炎一般其它型较多。所以本次的发病也属于包涵体肝炎，只是血清型有所不同。","2024-01-17T09:08:31.992765Z"
335,"1","2024-01-17T09:08:51.722931Z",335,"[{""start"":18,""end"":20,""text"":""肉鸡"",""labels"":[""type""]},{""start"":21,""end"":24,""text"":""817"",""labels"":[""type""]},{""start"":25,""end"":27,""text"":""麻鸡"",""labels"":[""type""]},{""start"":32,""end"":35,""text"":""肉种鸡"",""labels"":[""type""]},{""start"":36,""end"":38,""text"":""蛋鸡"",""labels"":[""type""]},{""start"":48,""end"":49,""text"":""鸡"",""labels"":[""type""]},{""start"":78,""end"":82,""text"":""安卡拉病"",""labels"":[""disease""]}]",18.355,"流行病学：本病主要发生于1～3周龄的肉鸡、817、麻鸡，也可见于肉种鸡和蛋鸡，其中以5～7周龄的鸡最多发。因首次发现于巴基斯坦卡拉奇靠近安卡拉的地方，故又名安卡拉病。","2024-01-17T09:08:51.722931Z"
336,"1","2024-01-17T09:09:15.476966Z",336,"[{""start"":0,""end"":4,""text"":""发病鸡群"",""labels"":[""type""]},{""start"":5,""end"":13,""text"":""于3周龄开始死亡"",""labels"":[""symptom""]},{""start"":93,""end"":98,""text"":""终身带毒者"",""labels"":[""symptom""]},{""start"":101,""end"":106,""text"":""间歇性排毒"",""labels"":[""symptom""]},{""start"":86,""end"":87,""text"":""鸡"",""labels"":[""type""]}]",165.03699999999998,"发病鸡群多于3周龄开始死亡，4～5周龄达高峰，高峰持续期4～8天，5～6周龄死亡减少。病程8～15天，死亡率达20～80%，一般在30%左右。本病可垂直传播，也可水平传播。鸡感染后可成为终身带毒者，并可间歇性排毒。就本病症来说，现在主要集中在在山东、河南、江苏等地。","2024-01-19T15:58:21.393386Z"
337,"1","2024-01-17T09:10:21.868290Z",337,"[{""start"":11,""end"":13,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":14,""end"":16,""text"":""脾脏"",""labels"":[""bodypart""]},{""start"":17,""end"":19,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":20,""end"":24,""text"":""潜伏期短"",""labels"":[""symptom""]},{""start"":25,""end"":28,""text"":""发病快"",""labels"":[""symptom""]},{""start"":33,""end"":43,""text"":""无明显先兆而突然倒地"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""沉郁"",""labels"":[""symptom""]},{""start"":47,""end"":51,""text"":""羽毛成束"",""labels"":[""symptom""]},{""start"":47,""end"":49,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":54,""end"":59,""text"":""呼吸道症状"",""labels"":[""pathology""]},{""start"":60,""end"":62,""text"":""甩鼻"",""labels"":[""pathology""]},{""start"":63,""end"":67,""text"":""呼吸加快"",""labels"":[""pathology""]},{""start"":70,""end"":73,""text"":""有罗音"",""labels"":[""pathology""]},{""start"":74,""end"":79,""text"":""排黄色稀粪"",""labels"":[""pathology""]},{""start"":75,""end"":77,""text"":""黄色"",""labels"":[""pathology""]},{""start"":81,""end"":85,""text"":""神经症状"",""labels"":[""pathology""]},{""start"":86,""end"":90,""text"":""两腿划空"",""labels"":[""pathology""]},{""start"":91,""end"":97,""text"":""数分钟内死亡"",""labels"":[""pathology""]},{""start"":54,""end"":57,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":61,""end"":62,""text"":""鼻"",""labels"":[""bodypart""]},{""start"":78,""end"":79,""text"":""粪"",""labels"":[""bodypart""]},{""start"":86,""end"":88,""text"":""两腿"",""labels"":[""bodypart""]},{""start"":88,""end"":90,""text"":""划空"",""labels"":[""pathology""]},{""start"":49,""end"":51,""text"":""成束"",""labels"":[""symptom""]}]",103.48,"临床症状：主要侵害的是肝脏、脾脏、肾脏。潜伏期短、发病快。其特征是无明显先兆而突然倒地，沉郁，羽毛成束，出现呼吸道症状，甩鼻、呼吸加快，部分有罗音，排黄色稀粪，有神经症状，两腿划空，数分钟内死亡。","2024-01-19T15:59:03.544302Z"
338,"1","2024-01-17T10:51:43.357838Z",338,"[{""start"":5,""end"":7,""text"":""病鸡"",""labels"":[""type""]},{""start"":7,""end"":11,""text"":""心肌柔软"",""labels"":[""pathology""]},{""start"":9,""end"":11,""text"":""柔软"",""labels"":[""pathology""]},{""start"":12,""end"":25,""text"":""心包积有淡黄色透明的渗出液"",""labels"":[""pathology""]},{""start"":16,""end"":19,""text"":""淡黄色"",""labels"":[""pathology""]},{""start"":26,""end"":30,""text"":""肝脏肿胀"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""充血"",""labels"":[""pathology""]},{""start"":34,""end"":38,""text"":""边缘钝圆"",""labels"":[""pathology""]},{""start"":39,""end"":43,""text"":""质地变脆"",""labels"":[""pathology""]},{""start"":44,""end"":48,""text"":""色泽变黄"",""labels"":[""pathology""]},{""start"":52,""end"":54,""text"":""坏死"",""labels"":[""pathology""]},{""start"":55,""end"":58,""text"":""肾肿大"",""labels"":[""pathology""]},{""start"":56,""end"":58,""text"":""肿大"",""labels"":[""pathology""]},{""start"":59,""end"":61,""text"":""苍白"",""labels"":[""pathology""]},{""start"":62,""end"":65,""text"":""暗黄色"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""心肌"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""心包"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":55,""end"":56,""text"":""肾"",""labels"":[""bodypart""]}]",6079.412,"解剖病变：病鸡心肌柔软，心包积有淡黄色透明的渗出液。肝脏肿胀、充血、边缘钝圆、质地变脆，色泽变黄，并出现坏死。肾肿大、苍白或暗黄色。","2024-01-17T10:51:43.357838Z"
339,"1","2024-01-17T10:55:04.045643Z",339,"[{""start"":0,""end"":5,""text"":""肺淤血水肿"",""labels"":[""pathology""]},{""start"":6,""end"":10,""text"":""外观发黑"",""labels"":[""pathology""]},{""start"":14,""end"":17,""text"":""气囊炎"",""labels"":[""pathology""]},{""start"":26,""end"":32,""text"":""脾脏轻微肿大"",""labels"":[""pathology""]},{""start"":30,""end"":32,""text"":""肿大"",""labels"":[""pathology""]},{""start"":33,""end"":37,""text"":""肌肉淡白"",""labels"":[""pathology""]},{""start"":35,""end"":37,""text"":""淡白"",""labels"":[""pathology""]},{""start"":38,""end"":44,""text"":""可视粘膜变浅"",""labels"":[""pathology""]},{""start"":42,""end"":44,""text"":""变浅"",""labels"":[""pathology""]},{""start"":45,""end"":52,""text"":""肠道变化不明显"",""labels"":[""pathology""]},{""start"":3,""end"":5,""text"":""水肿"",""labels"":[""pathology""]},{""start"":1,""end"":3,""text"":""淤血"",""labels"":[""pathology""]},{""start"":0,""end"":1,""text"":""肺"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""脾脏"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":38,""end"":42,""text"":""可视粘膜"",""labels"":[""bodypart""]},{""start"":45,""end"":47,""text"":""肠道"",""labels"":[""bodypart""]}]",83.814,"肺淤血水肿、外观发黑，部分有气囊炎（疑有其他感染），脾脏轻微肿大，肌肉淡白，可视粘膜变浅，肠道变化不明显。","2024-01-19T15:59:53.681538Z"
