"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
422,"1","2024-01-17T14:45:05.296942Z",425,"[{""start"":0,""end"":8,""text"":""禽弯曲杆菌性肝炎"",""labels"":[""disease""]},{""start"":16,""end"":19,""text"":""弯杆菌"",""labels"":[""disease""]},{""start"":21,""end"":27,""text"":""嗜热弯曲杆菌"",""labels"":[""disease""]},{""start"":57,""end"":62,""text"":""传染性疾病"",""labels"":[""disease""]},{""start"":36,""end"":39,""text"":""肝出血"",""labels"":[""pathology""]},{""start"":37,""end"":39,""text"":""出血"",""labels"":[""pathology""]},{""start"":40,""end"":45,""text"":""坏死性肝炎"",""labels"":[""disease""]},{""start"":47,""end"":51,""text"":""脂肪浸润"",""labels"":[""pathology""]},{""start"":49,""end"":51,""text"":""浸润"",""labels"":[""pathology""]},{""start"":71,""end"":75,""text"":""死亡率低"",""labels"":[""symptom""]},{""start"":80,""end"":86,""text"":""抗生素类药物"",""labels"":[""drug""]},{""start"":11,""end"":13,""text"":""禽类"",""labels"":[""type""]},{""start"":36,""end"":37,""text"":""肝"",""labels"":[""bodypart""]},{""start"":47,""end"":49,""text"":""脂肪"",""labels"":[""bodypart""]}]",151.414,"禽弯曲杆菌性肝炎是由于禽类感染了弯杆菌属的嗜热弯曲杆菌而引起的一类主要以肝出血、坏死性肝炎伴发脂肪浸润为特征病变的传染性疾病，传播能力强，但是死亡率低，可以使用抗生素类药物进行综合性的治疗，可以有效的治疗本病。","2024-01-20T05:07:28.550441Z"
423,"1","2024-01-17T14:46:28.623582Z",426,"[{""start"":5,""end"":13,""text"":""禽弯曲杆菌性肝炎"",""labels"":[""disease""]},{""start"":15,""end"":21,""text"":""禽弧菌性肝炎"",""labels"":[""disease""]},{""start"":24,""end"":27,""text"":""弯杆菌"",""labels"":[""disease""]},{""start"":29,""end"":35,""text"":""嗜热弯曲杆菌"",""labels"":[""disease""]},{""start"":39,""end"":45,""text"":""空肠弯曲杆菌"",""labels"":[""disease""]},{""start"":48,""end"":50,""text"":""幼鸡"",""labels"":[""type""]},{""start"":51,""end"":54,""text"":""成年鸡"",""labels"":[""type""]}]",42.223,"疾病概述：禽弯曲杆菌性肝炎又称禽弧菌性肝炎，是由弯杆菌属的嗜热弯曲杆菌，主要是空肠弯曲杆菌引起的幼鸡或成年鸡的一种传染病。","2024-01-17T14:46:28.623582Z"
424,"1","2024-01-17T14:46:49.866110Z",427,"[{""start"":7,""end"":12,""text"":""坏死性肝炎"",""labels"":[""disease""]},{""start"":3,""end"":6,""text"":""肝出血"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""出血"",""labels"":[""pathology""]},{""start"":14,""end"":18,""text"":""脂肪浸润"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""浸润"",""labels"":[""pathology""]},{""start"":3,""end"":4,""text"":""肝"",""labels"":[""bodypart""]},{""start"":14,""end"":16,""text"":""脂肪"",""labels"":[""bodypart""]},{""start"":19,""end"":23,""text"":""发病率高"",""labels"":[""symptom""]},{""start"":24,""end"":28,""text"":""死亡率低"",""labels"":[""symptom""]},{""start"":29,""end"":33,""text"":""慢性经过"",""labels"":[""symptom""]}]",51.125,"本病以肝出血、坏死性肝炎伴发脂肪浸润，发病率高，死亡率低及慢性经过为特征。","2024-01-17T14:47:38.985939Z"
425,"1","2024-01-17T14:47:55.876240Z",428,"[{""start"":14,""end"":15,""text"":""鸡"",""labels"":[""type""]},{""start"":22,""end"":26,""text"":""后备鸡群"",""labels"":[""type""]},{""start"":36,""end"":38,""text"":""大鸡"",""labels"":[""type""]}]",12.785,"自然条件下，可发生于各年龄的鸡，而以产蛋群和后备鸡群较多发，实验感染时，大鸡也可发病。","2024-01-17T14:47:55.876240Z"
426,"1","2024-01-17T14:48:12.055459Z",429,"[{""start"":1,""end"":11,""text"":""腹腔内常积聚大量血水"",""labels"":[""pathology""]},{""start"":1,""end"":3,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":16,""end"":19,""text"":""出血病"",""labels"":[""disease""]}]",13.647,"因腹腔内常积聚大量血水，故又称“出血病”。","2024-01-17T14:48:12.055459Z"
427,"1","2024-01-17T14:48:33.785046Z",430,"[{""start"":3,""end"":9,""text"":""嗜热弯曲杆菌"",""labels"":[""disease""]},{""start"":14,""end"":20,""text"":""空肠弯曲杆菌"",""labels"":[""disease""]},{""start"":21,""end"":27,""text"":""结肠弯曲杆菌"",""labels"":[""disease""]},{""start"":28,""end"":33,""text"":""鸥弯曲杆菌"",""labels"":[""disease""]},{""start"":35,""end"":41,""text"":""空肠弯曲杆菌"",""labels"":[""disease""]},{""start"":42,""end"":43,""text"":""禽"",""labels"":[""type""]}]",15.604,"病原：嗜热弯曲杆菌有三种，即空肠弯曲杆菌、结肠弯曲杆菌和鸥弯曲杆菌，以空肠弯曲杆菌为禽的病原菌。","2024-01-17T14:48:33.785046Z"
428,"1","2024-01-17T14:48:50.853282Z",431,"[{""start"":40,""end"":45,""text"":""一般消毒药"",""labels"":[""drug""]}]",12.872,"该菌呈S型或海鸥翼形，革兰氏阴性，无芽胞、荚膜，有单极鞭毛，菌体纤细。对热敏感，一般消毒药可杀灭。","2024-01-17T14:48:50.853282Z"
429,"1","2024-01-17T14:48:59.858231Z",432,"[{""start"":5,""end"":6,""text"":""禽"",""labels"":[""type""]},{""start"":7,""end"":12,""text"":""嗜热弯杆菌"",""labels"":[""disease""]}]",6.032,"流行特点：禽是嗜热弯杆菌最重要的贮存宿主。","2024-01-17T14:48:59.858231Z"
430,"1","2024-01-17T14:49:13.187285Z",433,"[{""start"":8,""end"":10,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":28,""end"":31,""text"":""消化道"",""labels"":[""bodypart""]}]",10.658,"本病主要通过染菌粪便、污染的饲料、饮水等水平传播途径而经消化道感染。","2024-01-17T14:49:13.187285Z"
431,"1","2024-01-17T14:49:42.129125Z",434,"[{""start"":0,""end"":5,""text"":""空肠弯杆菌"",""labels"":[""disease""]},{""start"":6,""end"":8,""text"":""雏鸡"",""labels"":[""type""]},{""start"":30,""end"":32,""text"":""鸡群"",""labels"":[""type""]},{""start"":39,""end"":42,""text"":""小母鸡"",""labels"":[""type""]},{""start"":48,""end"":50,""text"":""母鸡"",""labels"":[""type""]},{""start"":54,""end"":56,""text"":""雏鸡"",""labels"":[""type""]},{""start"":63,""end"":66,""text"":""成年鸡"",""labels"":[""type""]}]",26.302,"空肠弯杆菌在雏鸡间有很可的横向传播能力，自然感染发病的仅见于鸡群，以将近开产的小母鸡和产蛋数月的母鸡最易感，雏鸡可感染并带菌，成年鸡也可发病。","2024-01-17T14:49:42.129125Z"
432,"1","2024-01-17T14:49:57.566822Z",435,"[{""start"":5,""end"":7,""text"":""病鸡"",""labels"":[""type""]},{""start"":25,""end"":30,""text"":""空肠弯杆菌"",""labels"":[""disease""]},{""start"":31,""end"":36,""text"":""结肠弯杆菌"",""labels"":[""disease""]}]",11.766,"临床症状：病鸡的临诊症状严重程度取决于感染的剂量、空肠弯杆菌或结肠弯杆菌的菌株、宿主的年龄、同时发生的环境、应激因素或并发的其他疾病，以及免疫情况。","2024-01-17T14:49:57.566822Z"
433,"1","2024-01-17T15:11:40.061157Z",436,"[{""start"":3,""end"":10,""text"":""免疫抑制性疾病"",""labels"":[""disease""]},{""start"":13,""end"":16,""text"":""弯杆菌"",""labels"":[""disease""]}]",1298.716,"一引起免疫抑制性疾病会增强弯杆菌的致病力。","2024-01-17T15:11:40.062156Z"
434,"1","2024-01-17T15:11:47.668170Z",437,"[{""start"":12,""end"":16,""text"":""缓慢发作"",""labels"":[""symptom""]},{""start"":17,""end"":21,""text"":""持续期长"",""labels"":[""symptom""]}]",5.438,"本病的潜伏期约为2天，以缓慢发作和持续期长为特征。","2024-01-17T15:11:47.668170Z"
435,"1","2024-01-17T15:11:55.530422Z",438,"[{""start"":2,""end"":4,""text"":""鸡群"",""labels"":[""type""]},{""start"":12,""end"":13,""text"":""鸡"",""labels"":[""type""]}]",5.933,"通常鸡群中只有一只小部分鸡在同一时间内表现症状，此病可持续数周，死亡率2%—15%。","2024-01-17T15:11:55.530422Z"
436,"1","2024-01-17T15:12:55.045124Z",439,"[{""start"":17,""end"":19,""text"":""雏鸡"",""labels"":[""type""]},{""start"":20,""end"":24,""text"":""精神倦怠"",""labels"":[""symptom""]},{""start"":25,""end"":27,""text"":""沉郁"",""labels"":[""symptom""]},{""start"":31,""end"":35,""text"":""呆立缩颈"",""labels"":[""symptom""]},{""start"":36,""end"":38,""text"":""闭眼"",""labels"":[""symptom""]},{""start"":39,""end"":49,""text"":""对周围环境敏感性降低"",""labels"":[""symptom""]},{""start"":50,""end"":56,""text"":""羽毛杂乱无光"",""labels"":[""symptom""]},{""start"":52,""end"":56,""text"":""杂乱无光"",""labels"":[""symptom""]},{""start"":57,""end"":65,""text"":""肛门周围污染粪便"",""labels"":[""symptom""]},{""start"":71,""end"":76,""text"":""黄褐色腹泻"",""labels"":[""symptom""]},{""start"":71,""end"":74,""text"":""黄褐色"",""labels"":[""symptom""]},{""start"":80,""end"":83,""text"":""浆糊性"",""labels"":[""symptom""]},{""start"":87,""end"":89,""text"":""水样"",""labels"":[""symptom""]},{""start"":96,""end"":100,""text"":""急性死亡"",""labels"":[""symptom""]},{""start"":34,""end"":35,""text"":""颈"",""labels"":[""bodypart""]},{""start"":37,""end"":38,""text"":""眼"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":57,""end"":59,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":63,""end"":65,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":74,""end"":75,""text"":""腹"",""labels"":[""bodypart""]},{""start"":92,""end"":93,""text"":""鸡"",""labels"":[""type""]},{""start"":68,""end"":69,""text"":""鸡"",""labels"":[""type""]}]",762.019,"急性型发病初期，有的不见明显症状，雏鸡群精神倦怠、沉郁，严重者呆立缩颈、闭眼，对周围环境敏感性降低；羽毛杂乱无光，肛门周围污染粪便；多数鸡先呈黄褐色腹泻，然后呈浆糊性，继而呈水样，部分鸡此时即急性死亡。","2024-01-20T08:33:17.487057Z"
437,"1","2024-01-17T15:13:23.241903Z",440,"[{""start"":6,""end"":8,""text"":""脱水"",""labels"":[""symptom""]},{""start"":9,""end"":11,""text"":""消瘦"",""labels"":[""symptom""]},{""start"":20,""end"":24,""text"":""心力衰竭"",""labels"":[""symptom""]}]",21.119,"亚急性型呈现脱水，消瘦，陷入亚病质，最后心力衰竭而死亡。","2024-01-17T15:13:47.426990Z"
438,"1","2024-01-17T15:14:10.537797Z",441,"[{""start"":3,""end"":7,""text"":""精神萎顿"",""labels"":[""symptom""]},{""start"":8,""end"":12,""text"":""鸡冠发白"",""labels"":[""symptom""]},{""start"":10,""end"":12,""text"":""发白"",""labels"":[""symptom""]},{""start"":13,""end"":15,""text"":""干燥"",""labels"":[""symptom""]},{""start"":16,""end"":18,""text"":""萎缩"",""labels"":[""symptom""]},{""start"":21,""end"":26,""text"":""鳞片状皮屑"",""labels"":[""symptom""]},{""start"":27,""end"":31,""text"":""逐渐消瘦"",""labels"":[""symptom""]},{""start"":32,""end"":38,""text"":""饲料消耗减低"",""labels"":[""symptom""]},{""start"":8,""end"":10,""text"":""鸡冠"",""labels"":[""bodypart""]}]",20.99,"慢性型精神萎顿、鸡冠发白、干燥、萎缩，可见鳞片状皮屑，逐渐消瘦，饲料消耗减低。","2024-01-17T15:14:10.537944Z"
439,"1","2024-01-17T15:14:41.753912Z",442,"[{""start"":0,""end"":2,""text"":""雏鸡"",""labels"":[""type""]},{""start"":4,""end"":8,""text"":""急性经过"",""labels"":[""pathology""]},{""start"":9,""end"":13,""text"":""青年蛋鸡"",""labels"":[""type""]},{""start"":15,""end"":18,""text"":""亚急性"",""labels"":[""pathology""]},{""start"":19,""end"":23,""text"":""慢性经过"",""labels"":[""pathology""]},{""start"":24,""end"":29,""text"":""开产期延迟"",""labels"":[""symptom""]},{""start"":34,""end"":37,""text"":""沙壳蛋"",""labels"":[""symptom""]},{""start"":38,""end"":43,""text"":""软壳蛋较多"",""labels"":[""symptom""]},{""start"":44,""end"":55,""text"":""不易达到预期的产蛋高峰"",""labels"":[""symptom""]}]",36.44,"雏鸡常呈急性经过。青年蛋鸡常呈亚急性或慢性经过，开产期延迟，产蛋初期沙壳蛋、软壳蛋较多，不易达到预期的产蛋高峰。","2024-01-17T15:14:53.693225Z"
