"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
357,"1","2024-01-17T12:29:01.072986Z",357,"[{""start"":16,""end"":18,""text"":""雏鸡"",""labels"":[""type""]},{""start"":0,""end"":5,""text"":""鸡曲霉菌病"",""labels"":[""disease""]}]",5.713,"鸡曲霉菌病多发生于1~3周龄以下雏鸡。","2024-01-17T12:29:01.072986Z"
358,"1","2024-01-17T12:30:10.950623Z",358,"[{""start"":8,""end"":15,""text"":""严重的呼吸困难"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""张口喘气"",""labels"":[""symptom""]},{""start"":21,""end"":24,""text"":""无罗音"",""labels"":[""symptom""]},{""start"":25,""end"":29,""text"":""很少采食"",""labels"":[""symptom""]},{""start"":30,""end"":42,""text"":""急性暴发时死亡率可达50"",""labels"":[""symptom""]},{""start"":52,""end"":62,""text"":""眼皮下蓄有豆渣样物质"",""labels"":[""pathology""]},{""start"":57,""end"":60,""text"":""豆渣样"",""labels"":[""pathology""]},{""start"":63,""end"":67,""text"":""眼皮鼓起"",""labels"":[""pathology""]},{""start"":65,""end"":67,""text"":""鼓起"",""labels"":[""pathology""]},{""start"":68,""end"":72,""text"":""角膜溃疡"",""labels"":[""pathology""]},{""start"":70,""end"":72,""text"":""溃疡"",""labels"":[""pathology""]},{""start"":75,""end"":78,""text"":""白眼珠"",""labels"":[""pathology""]},{""start"":17,""end"":18,""text"":""口"",""labels"":[""bodypart""]},{""start"":49,""end"":51,""text"":""眼部"",""labels"":[""bodypart""]},{""start"":52,""end"":54,""text"":""眼皮"",""labels"":[""bodypart""]},{""start"":63,""end"":65,""text"":""眼皮"",""labels"":[""bodypart""]},{""start"":68,""end"":70,""text"":""角膜"",""labels"":[""bodypart""]},{""start"":76,""end"":78,""text"":""眼珠"",""labels"":[""bodypart""]},{""start"":44,""end"":47,""text"":""曲霉菌"",""labels"":[""disease""]}]",109.346,"临床上主要表现为严重的呼吸困难，张口喘气，无罗音，很少采食，急性暴发时死亡率可达50%，曲霉菌侵入眼部时眼皮下蓄有豆渣样物质，眼皮鼓起，角膜溃疡，像“白眼珠”。","2024-01-19T16:05:51.402086Z"
359,"1","2024-01-17T12:30:35.588296Z",359,"[{""start"":12,""end"":14,""text"":""黑紫"",""labels"":[""pathology""]},{""start"":15,""end"":18,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":19,""end"":23,""text"":""质地变硬"",""labels"":[""pathology""]},{""start"":24,""end"":28,""text"":""切面坏死"",""labels"":[""pathology""]},{""start"":29,""end"":33,""text"":""气囊混浊"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""混浊"",""labels"":[""pathology""]},{""start"":34,""end"":39,""text"":""有霉菌结节"",""labels"":[""pathology""]},{""start"":5,""end"":7,""text"":""肺部"",""labels"":[""bodypart""]},{""start"":8,""end"":10,""text"":""气管"",""labels"":[""bodypart""]},{""start"":29,""end"":31,""text"":""气囊"",""labels"":[""bodypart""]}]",22.985,"剖检可见，肺部和气管变为黑紫、灰白色，质地变硬，切面坏死，气囊混浊，有霉菌结节。","2024-01-17T12:30:35.589293Z"
360,"1","2024-01-17T12:30:54.571734Z",360,"[{""start"":5,""end"":10,""text"":""鸡曲霉菌病"",""labels"":[""disease""]},{""start"":32,""end"":34,""text"":""真菌"",""labels"":[""disease""]},{""start"":36,""end"":39,""text"":""曲霉菌"",""labels"":[""disease""]},{""start"":43,""end"":45,""text"":""禽类"",""labels"":[""type""]},{""start"":53,""end"":56,""text"":""真菌病"",""labels"":[""disease""]},{""start"":61,""end"":65,""text"":""呼吸器官"",""labels"":[""bodypart""]}]",17.455,"病理介绍：鸡曲霉菌病(Avian Aspergillosis)是真菌中的曲霉菌引起多种禽类、哺乳动物和人的真菌病，主要侵害呼吸器官。","2024-01-17T12:30:54.571734Z"
361,"1","2024-01-17T12:31:09.782392Z",361,"[{""start"":15,""end"":17,""text"":""炎症"",""labels"":[""pathology""]},{""start"":20,""end"":23,""text"":""小结节"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""气囊"",""labels"":[""bodypart""]},{""start"":9,""end"":10,""text"":""肺"",""labels"":[""bodypart""]},{""start"":29,""end"":35,""text"":""曲霉菌性肺炎"",""labels"":[""disease""]}]",13.684,"该病的特征主要是以肺和气囊发生炎症，形成小结节，因此又叫“曲霉菌性肺炎”。","2024-01-17T12:31:09.782392Z"
362,"1","2024-01-17T12:31:32.216527Z",362,"[{""start"":0,""end"":2,""text"":""禽类"",""labels"":[""type""]},{""start"":7,""end"":8,""text"":""鸡"",""labels"":[""type""]},{""start"":13,""end"":15,""text"":""火鸡"",""labels"":[""type""]},{""start"":30,""end"":32,""text"":""幼禽"",""labels"":[""type""]},{""start"":37,""end"":39,""text"":""急性"",""labels"":[""pathology""]},{""start"":40,""end"":45,""text"":""群发性暴发"",""labels"":[""symptom""]},{""start"":46,""end"":55,""text"":""发病率和死亡率较高"",""labels"":[""symptom""]},{""start"":61,""end"":63,""text"":""散发"",""labels"":[""symptom""]},{""start"":56,""end"":59,""text"":""成年禽"",""labels"":[""type""]}]",28.709,"禽类中主要侵害鸡、鸭、鹅、火鸡、鹌鹑、鸽和其他多种鸟类，但以幼禽多发，常见急性、群发性暴发，发病率和死亡率较高，成年禽多为散发。","2024-01-19T16:06:45.762329Z"
363,"1","2024-01-17T12:32:34.866089Z",363,"[{""start"":7,""end"":12,""text"":""肉芽肿结节"",""labels"":[""pathology""]},{""start"":23,""end"":25,""text"":""炎症"",""labels"":[""pathology""]},{""start"":26,""end"":29,""text"":""小结节"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""禽类"",""labels"":[""type""]},{""start"":17,""end"":18,""text"":""肺"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""气囊"",""labels"":[""bodypart""]},{""start"":34,""end"":35,""text"":""眼"",""labels"":[""bodypart""]},{""start"":36,""end"":37,""text"":""肝"",""labels"":[""bodypart""]},{""start"":38,""end"":39,""text"":""脑"",""labels"":[""bodypart""]},{""start"":46,""end"":52,""text"":""曲霉菌性肺炎"",""labels"":[""disease""]}]",61.049,"病的特征是形成肉芽肿结节，在禽类以肺及气囊发生炎症和小结节为主。偶见眼、肝、脑等组织，故又称曲霉菌性肺炎。","2024-01-17T12:32:34.866089Z"
364,"1","2024-01-17T12:32:40.671180Z",364,"[{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]}]",4.122,"我国各地都有发生和报道，尤其是在南方潮湿地区常在鸡、鸭、鹅群中发生。","2024-01-17T12:32:40.671180Z"
365,"1","2024-01-17T12:32:57.742883Z",365,"[{""start"":24,""end"":28,""text"":""胚胎死亡"",""labels"":[""symptom""]},{""start"":38,""end"":41,""text"":""曲霉菌"",""labels"":[""disease""]}]",15.685,"当蛋类保存条件差的情况下，蛋壳污染严重时，能引起胚胎死亡，并能从死胚中分离到曲霉菌。","2024-01-17T12:32:57.742883Z"
366,"1","2024-01-17T12:33:02.345749Z",366,"[{""start"":5,""end"":7,""text"":""鸡群"",""labels"":[""type""]}]",3.346,"北方地区以鸡群发生较多，多因饲料和垫料发霉所致。","2024-01-17T12:33:02.345749Z"
