"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
468,"1","2024-01-18T04:24:58.291269Z",470,"[{""start"":0,""end"":4,""text"":""鸡绦虫病"",""labels"":[""disease""]},{""start"":18,""end"":20,""text"":""赖利"",""labels"":[""disease""]},{""start"":24,""end"":26,""text"":""绦虫"",""labels"":[""disease""]},{""start"":29,""end"":30,""text"":""鸡"",""labels"":[""type""]},{""start"":31,""end"":35,""text"":""十二指肠"",""labels"":[""bodypart""]},{""start"":43,""end"":47,""text"":""赖利绦虫"",""labels"":[""disease""]},{""start"":48,""end"":54,""text"":""棘沟赖利绦虫"",""labels"":[""disease""]},{""start"":55,""end"":61,""text"":""四角赖利绦虫"",""labels"":[""disease""]},{""start"":62,""end"":68,""text"":""有轮赖利绦虫"",""labels"":[""disease""]}]",390.893,"鸡绦虫病（Cestodosis）是由赖利属的多种绦虫寄生于鸡的十二指肠中引起的，常见的赖利绦虫有棘沟赖利绦虫、四角赖利绦虫和有轮赖利绦虫等三种。","2024-01-18T04:24:58.291269Z"
469,"1","2024-01-18T04:25:25.732238Z",471,"[{""start"":5,""end"":6,""text"":""鸡"",""labels"":[""type""]},{""start"":14,""end"":16,""text"":""火鸡"",""labels"":[""type""]},{""start"":17,""end"":19,""text"":""雉鸡"",""labels"":[""type""]},{""start"":20,""end"":22,""text"":""珠鸡"",""labels"":[""type""]},{""start"":39,""end"":41,""text"":""雏鸡"",""labels"":[""type""]}]",11.293,"各种年龄的鸡均能感染，其它如火鸡、雉鸡、珠鸡、孔雀等也可感染，17～40日龄的雏鸡易感性最强，死亡率也最高。","2024-01-18T04:25:25.732238Z"
470,"1","2024-01-18T04:25:37.732674Z",472,"[{""start"":3,""end"":9,""text"":""棘沟赖利绦虫"",""labels"":[""disease""]},{""start"":10,""end"":16,""text"":""四角赖利绦虫"",""labels"":[""disease""]},{""start"":17,""end"":21,""text"":""大型绦虫"",""labels"":[""disease""]},{""start"":46,""end"":52,""text"":""棘沟赖利绦虫"",""labels"":[""disease""]}]",10.9,"病原：棘沟赖利绦虫和四角赖利绦虫是大型绦虫，两者外形和大小很相似，长25厘米，宽1～4毫米。棘沟赖利绦虫头节上的吸盘呈圆形，上有8～10列小钩，顶突较大，上有钩2列，中间宿主是蚂蚁。","2024-01-18T04:25:37.732674Z"
471,"1","2024-01-18T04:25:49.054809Z",473,"[{""start"":0,""end"":6,""text"":""四角赖利绦虫"",""labels"":[""disease""]},{""start"":60,""end"":66,""text"":""有轮赖利绦虫"",""labels"":[""disease""]}]",10.0,"四角赖利绦虫，头节上的吸盘呈卵圆形，上有8～10列小钩，颈节比较细长，顶突比较小，上有1～3列钩，中间宿主是蚂蚁或家蝇。有轮赖利绦虫较短小，头节上的吸盘呈圆形，无钩，顶突宽大肥厚，形似轮状，突出子虫体前端，中间宿主是甲虫。","2024-01-18T04:25:49.054809Z"
472,"1","2024-01-18T04:26:00.372092Z",474,"[{""start"":0,""end"":6,""text"":""棘沟赖利绦虫"",""labels"":[""disease""]},{""start"":7,""end"":13,""text"":""四角赖利绦虫"",""labels"":[""disease""]},{""start"":36,""end"":42,""text"":""有轮赖利绦虫"",""labels"":[""disease""]}]",9.986,"棘沟赖利绦虫和四角赖利绦虫的虫卵包在卵囊中，每个卵囊内含6～12个虫卵。有轮赖利绦虫的虫孵也包在卵囊中，每个卵囊内含1个虫卵。","2024-01-18T04:26:00.372092Z"
473,"1","2024-01-18T04:26:51.719569Z",475,"[{""start"":7,""end"":13,""text"":""棘沟赖利绦虫"",""labels"":[""disease""]},{""start"":16,""end"":18,""text"":""绦虫"",""labels"":[""disease""]},{""start"":22,""end"":23,""text"":""鸡"",""labels"":[""type""]},{""start"":24,""end"":26,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""肠壁"",""labels"":[""bodypart""]},{""start"":30,""end"":39,""text"":""破坏了肠壁的完整性"",""labels"":[""pathology""]},{""start"":42,""end"":46,""text"":""粘膜出血"",""labels"":[""pathology""]},{""start"":44,""end"":46,""text"":""出血"",""labels"":[""pathology""]},{""start"":47,""end"":51,""text"":""肠道炎症"",""labels"":[""pathology""]},{""start"":49,""end"":51,""text"":""炎症"",""labels"":[""pathology""]},{""start"":52,""end"":60,""text"":""严重影响消化机能"",""labels"":[""pathology""]},{""start"":42,""end"":44,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":47,""end"":49,""text"":""肠道"",""labels"":[""bodypart""]}]",38.693,"临诊症状：由于棘沟赖利绦虫等各种绦虫都寄生在鸡的小肠，用头节破坏了肠壁的完整性，引起粘膜出血，肠道炎症，严重影响消化机能。","2024-01-18T04:26:51.719569Z"
474,"1","2024-01-18T08:45:25.141412Z",476,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":26,""end"":28,""text"":""雏鸡"",""labels"":[""type""]},{""start"":33,""end"":35,""text"":""成鸡"",""labels"":[""type""]},{""start"":5,""end"":7,""text"":""下痢"",""labels"":[""symptom""]},{""start"":8,""end"":19,""text"":""粪便中有时混有血样粘液"",""labels"":[""symptom""]},{""start"":26,""end"":32,""text"":""雏鸡发育受阻"",""labels"":[""symptom""]},{""start"":33,""end"":43,""text"":""成鸡产蛋量下降或停止"",""labels"":[""symptom""]},{""start"":54,""end"":58,""text"":""肠管堵塞"",""labels"":[""pathology""]},{""start"":56,""end"":58,""text"":""堵塞"",""labels"":[""pathology""]},{""start"":28,""end"":32,""text"":""发育受阻"",""labels"":[""symptom""]},{""start"":8,""end"":10,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":54,""end"":56,""text"":""肠管"",""labels"":[""bodypart""]},{""start"":70,""end"":74,""text"":""肠管破裂"",""labels"":[""pathology""]},{""start"":72,""end"":74,""text"":""破裂"",""labels"":[""pathology""]},{""start"":75,""end"":80,""text"":""引起腹膜炎"",""labels"":[""pathology""]},{""start"":59,""end"":63,""text"":""肠内容物"",""labels"":[""bodypart""]},{""start"":70,""end"":72,""text"":""肠管"",""labels"":[""bodypart""]},{""start"":35,""end"":43,""text"":""产蛋量下降或停止"",""labels"":[""symptom""]}]",15729.619999999999,"病鸡表现为下痢，粪便中有时混有血样粘液。轻度感染造成雏鸡发育受阻，成鸡产蛋量下降或停止。寄生绦虫量多时，可使肠管堵塞，肠内容物通过受阻，造成肠管破裂和引起腹膜炎。","2024-01-20T16:35:29.089134Z"
475,"1","2024-01-18T08:50:05.850337Z",477,"[{""start"":0,""end"":2,""text"":""绦虫"",""labels"":[""disease""]},{""start"":9,""end"":13,""text"":""鸡体中毒"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":23,""end"":27,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":28,""end"":32,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":33,""end"":35,""text"":""贫血"",""labels"":[""symptom""]},{""start"":36,""end"":43,""text"":""鸡冠和粘膜苍白"",""labels"":[""symptom""]},{""start"":41,""end"":43,""text"":""苍白"",""labels"":[""symptom""]},{""start"":44,""end"":48,""text"":""极度衰弱"",""labels"":[""symptom""]},{""start"":49,""end"":56,""text"":""两足常发生瘫痪"",""labels"":[""symptom""]},{""start"":57,""end"":61,""text"":""不能站立"",""labels"":[""symptom""]},{""start"":64,""end"":70,""text"":""因衰竭而死亡"",""labels"":[""symptom""]},{""start"":54,""end"":56,""text"":""瘫痪"",""labels"":[""symptom""]},{""start"":9,""end"":11,""text"":""鸡体"",""labels"":[""type""]},{""start"":21,""end"":23,""text"":""病鸡"",""labels"":[""type""]},{""start"":36,""end"":38,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":39,""end"":41,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":49,""end"":51,""text"":""两足"",""labels"":[""bodypart""]}]",78.823,"绦虫代谢产物可引起鸡体中毒，出现神经症状。病鸡食欲不振，精神沉郁，贫血，鸡冠和粘膜苍白，极度衰弱，两足常发生瘫痪，不能站立，最后因衰竭而死亡。","2024-01-18T08:50:05.850337Z"
476,"1","2024-01-18T08:51:13.696153Z",478,"[{""start"":0,""end"":2,""text"":""幼鸡"",""labels"":[""type""]},{""start"":5,""end"":7,""text"":""成鸡"",""labels"":[""type""]},{""start"":10,""end"":12,""text"":""病鸡"",""labels"":[""type""]},{""start"":12,""end"":16,""text"":""精神不振"",""labels"":[""symptom""]},{""start"":17,""end"":23,""text"":""食欲早期增加"",""labels"":[""symptom""]},{""start"":33,""end"":37,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":39,""end"":43,""text"":""饮欲增加"",""labels"":[""symptom""]},{""start"":44,""end"":48,""text"":""消瘦贫血"",""labels"":[""symptom""]},{""start"":48,""end"":52,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":50,""end"":52,""text"":""松乱"",""labels"":[""symptom""]},{""start"":53,""end"":66,""text"":""排白色带有粘液和泡沫的稀粪"",""labels"":[""symptom""]},{""start"":54,""end"":56,""text"":""白色"",""labels"":[""symptom""]},{""start"":67,""end"":75,""text"":""混有白色绦虫节片"",""labels"":[""symptom""]},{""start"":48,""end"":50,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":65,""end"":66,""text"":""粪"",""labels"":[""bodypart""]}]",53.751,"幼鸡严重，成鸡较轻。病鸡精神不振，食欲早期增加，当自体出现中毒时，食欲减退，但饮欲增加，消瘦贫血羽毛松乱，排白色带有粘液和泡沫的稀粪，混有白色绦虫节片。","2024-01-18T08:51:13.696153Z"
477,"1","2024-01-18T08:51:36.488768Z",479,"[{""start"":34,""end"":36,""text"":""瘫鸡"",""labels"":[""type""]},{""start"":12,""end"":17,""text"":""进行性麻痹"",""labels"":[""pathology""]},{""start"":65,""end"":74,""text"":""影响将来的生产性能"",""labels"":[""symptom""]},{""start"":19,""end"":21,""text"":""两脚"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""鸡体"",""labels"":[""type""]}]",44.730000000000004,"严重感染时，部分病例常有进行性麻痹，从两脚开始,逐渐波及全身，即出现瘫鸡，有时部分病例经过一段时间后鸡体中毒症状解除后不治自愈,但影响将来的生产性能。","2024-01-20T16:36:14.916000Z"
