"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
490,"1","2024-01-19T02:33:35.514309Z",492,"[{""start"":0,""end"":4,""text"":""鸡蛔虫病"",""labels"":[""disease""]},{""start"":20,""end"":23,""text"":""蛔虫病"",""labels"":[""disease""]},{""start"":14,""end"":16,""text"":""雏鸡"",""labels"":[""type""]},{""start"":24,""end"":30,""text"":""影响生长发育"",""labels"":[""symptom""]},{""start"":31,""end"":38,""text"":""严重的引起死亡"",""labels"":[""symptom""]}]",16.793,"鸡蛔虫病，在大群饲养情况下，雏鸡常由于患蛔虫病而影响生长发育，严重的引起死亡。","2024-01-19T02:33:35.514309Z"
491,"1","2024-01-19T04:20:17.645153Z",493,"[{""start"":3,""end"":5,""text"":""死鸡"",""labels"":[""type""]},{""start"":21,""end"":23,""text"":""线虫"",""labels"":[""disease""]},{""start"":7,""end"":9,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":24,""end"":28,""text"":""堵塞肠道"",""labels"":[""symptom""]}]",6400.899,"当剖解死鸡时，小肠内常发现大小如细豆芽样的线虫，堵塞肠道。虫体少则几条，多则数百条。","2024-01-19T04:20:17.645153Z"
492,"1","2024-01-19T04:20:54.400437Z",494,"[{""start"":0,""end"":5,""text"":""肠粘膜发炎"",""labels"":[""pathology""]},{""start"":3,""end"":5,""text"":""发炎"",""labels"":[""pathology""]},{""start"":6,""end"":8,""text"":""水肿"",""labels"":[""pathology""]},{""start"":9,""end"":11,""text"":""充血"",""labels"":[""pathology""]},{""start"":19,""end"":22,""text"":""黄白色"",""labels"":[""pathology""]},{""start"":0,""end"":3,""text"":""肠粘膜"",""labels"":[""bodypart""]},{""start"":52,""end"":54,""text"":""雏鸡"",""labels"":[""type""]}]",27.461,"肠粘膜发炎、水肿、充血。成年蛔虫虫体呈黄白色，雄虫长50～76毫米，雌虫长60～116毫米。3月龄以下的雏鸡最易感染。","2024-01-19T04:20:54.400437Z"
493,"1","2024-01-19T04:21:24.820444Z",495,"[{""start"":0,""end"":2,""text"":""蛔虫"",""labels"":[""disease""]},{""start"":5,""end"":6,""text"":""鸡"",""labels"":[""type""]},{""start"":19,""end"":20,""text"":""鸡"",""labels"":[""type""]},{""start"":43,""end"":44,""text"":""鸡"",""labels"":[""type""]},{""start"":53,""end"":55,""text"":""鸡群"",""labels"":[""type""]},{""start"":28,""end"":30,""text"":""粪便"",""labels"":[""bodypart""]}]",27.608,"蛔虫可以在鸡体内交配、产卵，虫卵可以在鸡体内生长也可以随粪便被排出体外，地面上的虫卵被鸡啄食后进入体内造成鸡群感染。从吞食虫卵到发育成虫，大约需要35～58天。","2024-01-19T04:21:24.820444Z"
494,"1","2024-01-19T04:22:10.006888Z",496,"[{""start"":5,""end"":7,""text"":""幼鸡"",""labels"":[""type""]},{""start"":12,""end"":16,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":17,""end"":21,""text"":""生长迟缓"",""labels"":[""symptom""]},{""start"":22,""end"":26,""text"":""呆立少动"",""labels"":[""symptom""]},{""start"":27,""end"":31,""text"":""消瘦虚弱"",""labels"":[""symptom""]},{""start"":32,""end"":36,""text"":""粘膜苍白"",""labels"":[""symptom""]},{""start"":34,""end"":36,""text"":""苍白"",""labels"":[""symptom""]},{""start"":37,""end"":41,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":39,""end"":41,""text"":""松乱"",""labels"":[""symptom""]},{""start"":42,""end"":46,""text"":""两翅下垂"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""下垂"",""labels"":[""symptom""]},{""start"":47,""end"":51,""text"":""胸骨突出"",""labels"":[""symptom""]},{""start"":49,""end"":51,""text"":""突出"",""labels"":[""symptom""]},{""start"":52,""end"":59,""text"":""下痢和便秘交替"",""labels"":[""symptom""]},{""start"":62,""end"":71,""text"":""粪便中有带血的粘液"",""labels"":[""symptom""]},{""start"":74,""end"":81,""text"":""逐渐消瘦而死亡"",""labels"":[""symptom""]},{""start"":32,""end"":34,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":42,""end"":44,""text"":""两翅"",""labels"":[""bodypart""]},{""start"":47,""end"":49,""text"":""胸骨"",""labels"":[""bodypart""]},{""start"":62,""end"":64,""text"":""粪便"",""labels"":[""bodypart""]}]",43.849,"临床症状：幼鸡患病表现为食欲减退，生长迟缓，呆立少动，消瘦虚弱，粘膜苍白、羽毛松乱，两翅下垂，胸骨突出，下痢和便秘交替，有时粪便中有带血的粘液，以后逐渐消瘦而死亡。","2024-01-19T04:22:10.006888Z"
495,"1","2024-01-19T04:22:30.604099Z",497,"[{""start"":0,""end"":3,""text"":""成年鸡"",""labels"":[""type""]},{""start"":19,""end"":21,""text"":""下痢"",""labels"":[""symptom""]},{""start"":22,""end"":26,""text"":""日渐消瘦"",""labels"":[""symptom""]},{""start"":27,""end"":31,""text"":""产蛋下降"",""labels"":[""symptom""]},{""start"":32,""end"":36,""text"":""蛋壳变薄"",""labels"":[""symptom""]}]",16.483,"成年鸡一般为轻度感染，严重感染的表现为下痢、日渐消瘦、产蛋下降、蛋壳变薄。","2024-01-19T04:22:30.604099Z"
496,"1","2024-01-19T04:37:15.432638Z",498,"[{""start"":11,""end"":14,""text"":""驱虫药"",""labels"":[""drug""]},{""start"":5,""end"":9,""text"":""驱虫诊断"",""labels"":[""control""]},{""start"":16,""end"":20,""text"":""驱虫诊断"",""labels"":[""control""]},{""start"":27,""end"":29,""text"":""蛔虫"",""labels"":[""disease""]},{""start"":34,""end"":36,""text"":""蛔虫"",""labels"":[""disease""]},{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]},{""start"":52,""end"":54,""text"":""雏鸡"",""labels"":[""type""]},{""start"":56,""end"":59,""text"":""驱蛔灵"",""labels"":[""drug""]},{""start"":60,""end"":63,""text"":""驱虫净"",""labels"":[""drug""]},{""start"":64,""end"":67,""text"":""四咪唑"",""labels"":[""drug""]},{""start"":71,""end"":74,""text"":""驱蛔灵"",""labels"":[""drug""]},{""start"":68,""end"":70,""text"":""饲服"",""labels"":[""control""]}]",882.553,"诊断方法：驱虫诊断。用驱虫药进行驱虫诊断，如发现鸡排出蛔虫即可确诊有蛔虫；方法是选取数只生长不良、消瘦的雏鸡，用驱蛔灵或驱虫净（四咪唑）饲服，驱蛔灵的用量是每公斤体重200～300毫克。","2024-01-19T04:37:15.432638Z"
497,"1","2024-01-19T04:37:35.648667Z",499,"[{""start"":0,""end"":4,""text"":""杀鸡诊断"",""labels"":[""control""]},{""start"":1,""end"":2,""text"":""鸡"",""labels"":[""type""]},{""start"":12,""end"":13,""text"":""鸡"",""labels"":[""type""]},{""start"":30,""end"":33,""text"":""蛔虫病"",""labels"":[""disease""]},{""start"":22,""end"":24,""text"":""蛔虫"",""labels"":[""disease""]},{""start"":15,""end"":17,""text"":""肠道"",""labels"":[""bodypart""]}]",16.104,"杀鸡诊断：如有必要还可杀鸡检查肠道情况，发现蛔虫即可以诊断有蛔虫病。","2024-01-19T04:37:35.648667Z"
498,"1","2024-01-19T04:38:12.010183Z",500,"[{""start"":5,""end"":18,""text"":""做好鸡舍内外的清洁卫生工作"",""labels"":[""control""]},{""start"":7,""end"":8,""text"":""鸡"",""labels"":[""type""]},{""start"":23,""end"":25,""text"":""鸡粪"",""labels"":[""bodypart""]},{""start"":44,""end"":60,""text"":""料槽等用具经常清洗并且用开水消毒"",""labels"":[""type""]},{""start"":31,""end"":43,""text"":""小面积地面可以用开水处理"",""labels"":[""type""]}]",35.053,"预防方法：做好鸡舍内外的清洁卫生工作，经常清除鸡粪及残余饲料，小面积地面可以用开水处理。料槽等用具经常清洗并且用开水消毒。","2024-01-19T04:38:12.010183Z"
518,"1","2024-01-20T16:41:19.675302Z",501,"[{""start"":0,""end"":3,""text"":""蛔虫卵"",""labels"":[""disease""]},{""start"":29,""end"":32,""text"":""蛔虫卵"",""labels"":[""disease""]},{""start"":55,""end"":59,""text"":""服药驱虫"",""labels"":[""control""]},{""start"":15,""end"":17,""text"":""粪便"",""labels"":[""bodypart""]}]",1318.8770000000002,"蛔虫卵在50°C以上很快死亡，粪便经堆沤发酵可以杀死虫卵，蛔虫卵在阴湿地方可以生存6个月。鸡群每年进行1～2次服药驱虫。","2024-01-20T16:41:27.257756Z"
