"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
502,"1","2024-01-19T05:01:05.104868Z",505,"[{""start"":3,""end"":11,""text"":""鸡磺胺类药物中毒"",""labels"":[""disease""]},{""start"":30,""end"":35,""text"":""中毒性疾病"",""labels"":[""disease""]},{""start"":15,""end"":20,""text"":""磺胺类药物"",""labels"":[""drug""]}]",24.863,"定义：鸡磺胺类药物中毒是一种由磺胺类药物使用不当或过量引起的中毒性疾病","2024-01-19T05:01:05.104868Z"
503,"1","2024-01-19T05:01:30.634658Z",506,"[{""start"":3,""end"":6,""text"":""患病鸡"",""labels"":[""type""]},{""start"":10,""end"":14,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":15,""end"":19,""text"":""体重下降"",""labels"":[""symptom""]},{""start"":20,""end"":25,""text"":""产蛋量减少"",""labels"":[""symptom""]},{""start"":26,""end"":28,""text"":""抑郁"",""labels"":[""symptom""]},{""start"":29,""end"":31,""text"":""虚弱"",""labels"":[""symptom""]},{""start"":42,""end"":44,""text"":""黄疽"",""labels"":[""pathology""]},{""start"":45,""end"":47,""text"":""出血"",""labels"":[""pathology""]},{""start"":48,""end"":52,""text"":""肾脏损害"",""labels"":[""pathology""]},{""start"":50,""end"":52,""text"":""损害"",""labels"":[""pathology""]},{""start"":48,""end"":50,""text"":""肾脏"",""labels"":[""bodypart""]}]",24.321,"症状：患病鸡只会出现食欲减退、体重下降、产蛋量减少、抑郁、虚弱等症状，有时还可能出现黄疽、出血和肾脏损害等严重症状。","2024-01-19T05:01:30.634658Z"
504,"1","2024-01-19T05:01:46.881964Z",507,"[{""start"":5,""end"":8,""text"":""中毒鸡"",""labels"":[""type""]},{""start"":11,""end"":15,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""精神姜靡"",""labels"":[""symptom""]},{""start"":21,""end"":25,""text"":""翅膀下垂"",""labels"":[""symptom""]},{""start"":23,""end"":25,""text"":""下垂"",""labels"":[""symptom""]},{""start"":26,""end"":28,""text"":""腹泻"",""labels"":[""symptom""]},{""start"":21,""end"":23,""text"":""翅膀"",""labels"":[""bodypart""]}]",14.804,"发病情况：中毒鸡只出现食欲不振、精神姜靡、翅膀下垂、腹泻等症状并伴有死亡。","2024-01-19T05:01:46.881964Z"
505,"1","2024-01-19T05:02:04.695735Z",508,"[{""start"":13,""end"":18,""text"":""磺胺类药物"",""labels"":[""drug""]},{""start"":19,""end"":20,""text"":""鸡"",""labels"":[""type""]},{""start"":45,""end"":47,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":51,""end"":53,""text"":""脾脏"",""labels"":[""bodypart""]}]",16.663,"病理生理：药物吸收和分布：磺胺类药物在鸡体内被吸收后，会分布到全身的组织和器官中，尤其是在肾脏、肝脏和脾脏等器官中含量较高。","2024-01-19T05:02:04.695735Z"
506,"1","2024-01-19T05:02:21.208100Z",509,"[{""start"":8,""end"":13,""text"":""磺胺类药物"",""labels"":[""drug""]},{""start"":14,""end"":16,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""尿液"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""胆汁"",""labels"":[""bodypart""]}]",15.147,"药物代谢和排泄：磺胺类药物在肝脏中经过代谢，大部分以原型和代谢产物的形式随尿液排出，部分药物也可通过胆汁排出。","2024-01-19T05:02:21.208100Z"
507,"1","2024-01-19T05:02:40.262718Z",510,"[{""start"":10,""end"":15,""text"":""磺胺类药物"",""labels"":[""drug""]},{""start"":16,""end"":17,""text"":""鸡"",""labels"":[""type""]},{""start"":34,""end"":36,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":40,""end"":42,""text"":""脾脏"",""labels"":[""bodypart""]},{""start"":59,""end"":61,""text"":""炎症"",""labels"":[""pathology""]},{""start"":62,""end"":64,""text"":""变性"",""labels"":[""pathology""]}]",17.958,"对器官和组织的影响：磺胺类药物对鸡的器官和组织产生毒性作用，尤其是对肾脏、肝脏和脾脏等器官的影响较大，可引起这些器官的炎症和变性。","2024-01-19T05:02:40.262718Z"
508,"1","2024-01-19T05:02:51.234574Z",511,"[{""start"":14,""end"":15,""text"":""鸡"",""labels"":[""type""]},{""start"":21,""end"":26,""text"":""鸡法氏囊病"",""labels"":[""disease""]},{""start"":26,""end"":30,""text"":""鸡球虫病"",""labels"":[""disease""]}]",9.656,"鉴别诊断：与其他疾病鉴别：与鸡的其他疾病如鸡法氏囊病鸡球虫病等鉴别，根据临床症状和实验室检测结果进行判断。","2024-01-19T05:02:51.234574Z"
509,"1","2024-01-19T05:03:01.538574Z",512,"[{""start"":3,""end"":5,""text"":""停药"",""labels"":[""control""]},{""start"":12,""end"":17,""text"":""磺胺类药物"",""labels"":[""drug""]}]",8.836,"治疗：停药，立即停止使用磺胺类药物，避免进一步中毒。","2024-01-19T05:03:01.538574Z"
510,"1","2024-01-19T05:03:11.513135Z",513,"[{""start"":5,""end"":7,""text"":""鸡群"",""labels"":[""type""]},{""start"":32,""end"":35,""text"":""拮抗剂"",""labels"":[""drug""]},{""start"":36,""end"":39,""text"":""利尿剂"",""labels"":[""drug""]}]",9.025,"解毒：根据鸡群中毒症状的严重程度，可以采取相应的解毒措施，如使用拮抗剂、利尿剂等。","2024-01-19T05:03:11.513135Z"
511,"1","2024-01-19T10:21:08.612456Z",514,"[{""start"":7,""end"":9,""text"":""鸡群"",""labels"":[""type""]},{""start"":27,""end"":38,""text"":""使用抗生素预防继发感染"",""labels"":[""control""]},{""start"":29,""end"":32,""text"":""抗生素"",""labels"":[""drug""]}]",19075.735,"对症治疗：针对鸡群出现的具体症状，采取相应的对症治疗如使用抗生素预防继发感染、补充电解质等。","2024-01-19T10:21:08.612456Z"
