"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
519,"1","2024-01-21T01:52:31.303596Z",521,"[{""start"":7,""end"":8,""text"":""鸡"",""labels"":[""type""]},{""start"":0,""end"":6,""text"":""霉菌毒素中毒"",""labels"":[""disease""]},{""start"":14,""end"":19,""text"":""中毒性疾病"",""labels"":[""disease""]},{""start"":34,""end"":40,""text"":""霉菌毒素中毒"",""labels"":[""disease""]},{""start"":73,""end"":77,""text"":""霉菌毒素"",""labels"":[""disease""]},{""start"":20,""end"":22,""text"":""肉鸡"",""labels"":[""type""]}]",17.943,"霉菌毒素中毒是鸡的一种常见的中毒性疾病，肉鸡采食发生霉变的饲料是导致霉菌毒素中毒的一个主要原因。在高温、潮湿环境下，饲料非常容易发生霉变，从而产生霉菌毒素。","2024-01-21T01:52:31.303596Z"
520,"1","2024-01-21T01:52:57.403019Z",522,"[{""start"":0,""end"":2,""text"":""肉鸡"",""labels"":[""type""]},{""start"":10,""end"":11,""text"":""鸡"",""labels"":[""type""]},{""start"":45,""end"":47,""text"":""鸡群"",""labels"":[""type""]},{""start"":2,""end"":6,""text"":""霉菌中毒"",""labels"":[""disease""]},{""start"":13,""end"":17,""text"":""霉菌毒素"",""labels"":[""disease""]},{""start"":63,""end"":67,""text"":""霉菌毒素"",""labels"":[""disease""]}]",24.837,"肉鸡霉菌中毒的危害：鸡感染霉菌毒素后会导致免疫力减弱，从而使其抵抗其他疾病的能力降低。如果鸡群只通过有效的治疗方法来预防疾病，霉菌毒素造成的以上不利影响就会产生严重的危害。","2024-01-21T01:52:57.403019Z"
521,"1","2024-01-21T01:53:42.593376Z",523,"[{""start"":0,""end"":2,""text"":""肉鸡"",""labels"":[""type""]},{""start"":9,""end"":11,""text"":""肉鸡"",""labels"":[""type""]},{""start"":63,""end"":65,""text"":""病鸡"",""labels"":[""type""]},{""start"":2,""end"":6,""text"":""霉菌中毒"",""labels"":[""disease""]},{""start"":13,""end"":19,""text"":""霉菌毒素中毒"",""labels"":[""disease""]},{""start"":25,""end"":27,""text"":""瘫痪"",""labels"":[""symptom""]},{""start"":36,""end"":40,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":41,""end"":45,""text"":""呼吸急促"",""labels"":[""symptom""]},{""start"":48,""end"":54,""text"":""张口伸脖喘气"",""labels"":[""symptom""]},{""start"":70,""end"":74,""text"":""生长缓慢"",""labels"":[""symptom""]},{""start"":75,""end"":80,""text"":""被毛无光泽"",""labels"":[""symptom""]},{""start"":81,""end"":83,""text"":""蓬乱"",""labels"":[""symptom""]},{""start"":84,""end"":88,""text"":""减少采食"",""labels"":[""symptom""]},{""start"":49,""end"":50,""text"":""口"",""labels"":[""bodypart""]},{""start"":51,""end"":52,""text"":""脖"",""labels"":[""bodypart""]},{""start"":75,""end"":77,""text"":""被毛"",""labels"":[""bodypart""]},{""start"":77,""end"":80,""text"":""无光泽"",""labels"":[""symptom""]}]",68.08,"肉鸡霉菌中毒症状：肉鸡发生霉菌毒素中毒的初期，可见瘫痪，且数量不断增加；呼吸困难，呼吸急促，往往张口伸脖喘气。发生中毒的后期，病鸡主要表现出生长缓慢，被毛无光泽，蓬乱，减少采食。","2024-01-22T03:37:00.598982Z"
522,"1","2024-01-21T01:54:01.810602Z",524,"[{""start"":7,""end"":16,""text"":""立即停止饲喂原饲料"",""labels"":[""control""]},{""start"":18,""end"":24,""text"":""更换新鲜饲料"",""labels"":[""control""]},{""start"":29,""end"":40,""text"":""适量的制霉菌素进行治疗"",""labels"":[""control""]},{""start"":5,""end"":7,""text"":""鸡群"",""labels"":[""type""]},{""start"":32,""end"":36,""text"":""制霉菌素"",""labels"":[""drug""]}]",17.897,"对症治疗：鸡群立即停止饲喂原饲料，并更换新鲜饲料，之后使用适量的制霉菌素进行治疗，通常都能够很快康复。","2024-01-21T01:54:01.810602Z"
523,"1","2024-01-21T02:17:16.478260Z",525,"[{""start"":0,""end"":6,""text"":""达龙青梅肠健"",""labels"":[""drug""]},{""start"":24,""end"":28,""text"":""霉菌毒素"",""labels"":[""disease""]},{""start"":19,""end"":21,""text"":""肠道"",""labels"":[""bodypart""]}]",1393.14,"达龙青梅肠健，解霉脱霉排霉，止泻收敛养肠道。清除霉菌毒素。","2024-01-21T02:17:16.478260Z"
524,"1","2024-01-21T02:17:33.005946Z",526,"[{""start"":0,""end"":2,""text"":""蛋鸡"",""labels"":[""type""]},{""start"":47,""end"":49,""text"":""蛋鸡"",""labels"":[""type""]},{""start"":19,""end"":23,""text"":""霉菌毒素"",""labels"":[""disease""]},{""start"":43,""end"":51,""text"":""严重危害蛋鸡生产"",""labels"":[""symptom""]}]",14.505,"蛋鸡饲料中如果含有劣质原料，往往会产生霉菌毒素，若未及时采取强化管理或者无害化处理，会严重危害蛋鸡生产，从而导致养殖效益明显降低。","2024-01-21T02:17:33.005946Z"
525,"1","2024-01-21T02:18:10.053369Z",527,"[{""start"":0,""end"":2,""text"":""蛋鸡"",""labels"":[""type""]},{""start"":4,""end"":10,""text"":""霉菌毒素中毒"",""labels"":[""disease""]},{""start"":16,""end"":21,""text"":""采食量降低"",""labels"":[""symptom""]},{""start"":29,""end"":37,""text"":""输卵管和卵巢萎缩"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""萎缩"",""labels"":[""symptom""]},{""start"":38,""end"":43,""text"":""产蛋量减少"",""labels"":[""symptom""]},{""start"":44,""end"":48,""text"":""产畸形蛋"",""labels"":[""symptom""]},{""start"":49,""end"":57,""text"":""种蛋的孵化率下降"",""labels"":[""symptom""]},{""start"":33,""end"":35,""text"":""卵巢"",""labels"":[""bodypart""]},{""start"":29,""end"":32,""text"":""输卵管"",""labels"":[""bodypart""]}]",497.36899999999997,"蛋鸡发生霉菌毒素中毒时，会表现出采食量降低，饲料报酬下降，输卵管和卵巢萎缩，产蛋量减少，产畸形蛋，种蛋的孵化率下降，生产性能降低等症状。","2024-01-22T03:45:47.550271Z"
526,"1","2024-01-21T02:18:23.529788Z",528,"[{""start"":20,""end"":24,""text"":""烟曲霉菌"",""labels"":[""disease""]},{""start"":27,""end"":30,""text"":""曲霉菌"",""labels"":[""disease""]},{""start"":42,""end"":46,""text"":""杂色曲菌"",""labels"":[""disease""]},{""start"":47,""end"":51,""text"":""黑曲霉菌"",""labels"":[""disease""]},{""start"":52,""end"":56,""text"":""黄曲霉菌"",""labels"":[""disease""]}]",12.217,"生物学特性普遍认为，引起该病的主要病原是烟曲霉菌，属于曲霉菌属，具很强的致病力，还有杂色曲菌、黑曲霉菌、黄曲霉菌等也都具有不同强度的致病性。","2024-01-21T02:18:23.529788Z"
527,"1","2024-01-21T02:18:44.484064Z",529,"[{""start"":2,""end"":7,""text"":""曲霉菌孢子"",""labels"":[""disease""]},{""start"":58,""end"":62,""text"":""化学试剂"",""labels"":[""drug""]},{""start"":72,""end"":76,""text"":""福尔马林"",""labels"":[""drug""]},{""start"":77,""end"":79,""text"":""碘酊"",""labels"":[""drug""]},{""start"":80,""end"":83,""text"":""水杨酸"",""labels"":[""drug""]}]",19.831,"其中曲霉菌孢子具有很强的抵抗外界环境的能力，120℃干热或者煮沸条件需要5min才能够使其失活，同时还具有较强的抵抗化学试剂的能力，如在2.5%福尔马林、碘酊、水杨酸等作用下需要大约1～3h才能够使其失活。","2024-01-21T02:18:44.484064Z"
528,"1","2024-01-21T02:18:53.264089Z",530,"[{""start"":7,""end"":11,""text"":""霉菌毒素"",""labels"":[""disease""]}]",5.545,"在饲料原料中，霉菌毒素广泛存在，尤其是玉米、麦麸、豆粕、花生粕。在玉米皮、穗顶部玉米以及玉米副产品中，如玉米胚芽粕、次粉、玉米蛋白粉中含有更高浓度的毒素。","2024-01-21T02:18:53.264089Z"
