"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
35,"1","2024-01-12T15:47:48.844238Z",34,"[{""start"":0,""end"":8,""text"":""鸡传染性支气管炎"",""labels"":[""disease""]},{""start"":39,""end"":49,""text"":""鸡传染性支气管炎病毒"",""labels"":[""disease""]},{""start"":91,""end"":92,""text"":""鸡"",""labels"":[""type""]}]",37.82,"鸡传染性支气管炎（Infectious bronchitis，简称：IB）是由鸡传染性支气管炎病毒（Infectious bronchitis virus，简称：IBV）引起、发生在鸡身上的一种病害。","2024-01-12T15:47:48.844238Z"
36,"1","2024-01-12T15:48:18.731634Z",35,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":2,""end"":6,""text"":""食欲降低"",""labels"":[""symptom""]},{""start"":7,""end"":11,""text"":""体温升高"",""labels"":[""symptom""]},{""start"":12,""end"":16,""text"":""张口呼吸"",""labels"":[""symptom""]},{""start"":17,""end"":19,""text"":""咳嗽"",""labels"":[""symptom""]},{""start"":20,""end"":23,""text"":""流鼻液"",""labels"":[""symptom""]},{""start"":13,""end"":14,""text"":""口"",""labels"":[""bodypart""]},{""start"":21,""end"":23,""text"":""鼻液"",""labels"":[""bodypart""]}]",26.326,"病鸡食欲降低，体温升高，张口呼吸，咳嗽、流鼻液。","2024-01-12T15:48:18.731634Z"
37,"1","2024-01-12T15:48:40.332564Z",36,"[{""start"":0,""end"":8,""text"":""鸡传染性支气管炎"",""labels"":[""disease""]},{""start"":11,""end"":13,""text"":""急性"",""labels"":[""pathology""]},{""start"":14,""end"":19,""text"":""高度传染性"",""labels"":[""pathology""]},{""start"":20,""end"":28,""text"":""病毒性呼吸道疾病"",""labels"":[""disease""]}]",18.007,"鸡传染性支气管炎是一种急性、高度传染性的病毒性呼吸道疾病。","2024-01-12T15:48:40.332564Z"
38,"1","2024-01-12T15:48:57.780096Z",37,"[{""start"":3,""end"":5,""text"":""蛋鸡"",""labels"":[""type""]},{""start"":6,""end"":8,""text"":""种鸡"",""labels"":[""type""]},{""start"":9,""end"":15,""text"":""生长性能下降"",""labels"":[""symptom""]},{""start"":16,""end"":21,""text"":""死淘率升高"",""labels"":[""symptom""]},{""start"":22,""end"":32,""text"":""产蛋量及蛋壳质量下降"",""labels"":[""symptom""]}]",15.022,"常导致蛋鸡、种鸡的生长性能下降、死淘率升高、产蛋量及蛋壳质量下降，造成严重的经济损失，是养鸡业的重要疫病之一。","2024-01-12T15:48:57.781093Z"
39,"1","2024-01-12T15:49:31.104883Z",38,"[{""start"":13,""end"":15,""text"":""隔离"",""labels"":[""control""]},{""start"":16,""end"":18,""text"":""检疫"",""labels"":[""control""]},{""start"":19,""end"":21,""text"":""消毒"",""labels"":[""control""]},{""start"":31,""end"":35,""text"":""饲养管理"",""labels"":[""control""]},{""start"":36,""end"":40,""text"":""注意通风"",""labels"":[""control""]},{""start"":41,""end"":45,""text"":""饲养密度"",""labels"":[""control""]},{""start"":46,""end"":48,""text"":""保温"",""labels"":[""control""]},{""start"":61,""end"":65,""text"":""疫苗免疫"",""labels"":[""control""]},{""start"":61,""end"":63,""text"":""疫苗"",""labels"":[""drug""]}]",111.838,"该病害以预防为主。严格执行隔离、检疫、消毒等卫生防疫措施,加强饲养管理,注意通风、饲养密度、保温等管理措施，最主要的是做好疫苗免疫工作。","2024-01-17T03:37:54.601101Z"
40,"1","2024-01-12T15:50:14.648648Z",39,"[{""start"":4,""end"":10,""text"":""病鸡气管嘤音"",""labels"":[""symptom""]},{""start"":11,""end"":13,""text"":""咳嗽"",""labels"":[""symptom""]},{""start"":14,""end"":18,""text"":""伸脖呼吸"",""labels"":[""symptom""]},{""start"":30,""end"":33,""text"":""眼湿润"",""labels"":[""symptom""]},{""start"":34,""end"":37,""text"":""流鼻液"",""labels"":[""symptom""]},{""start"":4,""end"":6,""text"":""病鸡"",""labels"":[""type""]},{""start"":28,""end"":30,""text"":""病鸡"",""labels"":[""type""]},{""start"":39,""end"":46,""text"":""大于6周龄的鸡"",""labels"":[""type""]},{""start"":6,""end"":8,""text"":""气管"",""labels"":[""bodypart""]},{""start"":15,""end"":16,""text"":""脖"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""鼻液"",""labels"":[""bodypart""]},{""start"":30,""end"":31,""text"":""眼"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""鼻液"",""labels"":[""bodypart""]},{""start"":8,""end"":10,""text"":""嘤音"",""labels"":[""symptom""]},{""start"":31,""end"":33,""text"":""湿润"",""labels"":[""symptom""]}]",72.198,"呼吸型：病鸡气管嘤音、咳嗽和伸脖呼吸，夜间寂静时较明显，病鸡眼湿润，流鼻液，但大于6周龄的鸡常无鼻液；","2024-01-12T15:51:29.319240Z"
41,"1","2024-01-12T15:51:17.591336Z",40,"[{""start"":0,""end"":9,""text"":""气管环黏膜充血潮红"",""labels"":[""pathology""]},{""start"":23,""end"":28,""text"":""脓性分泌物"",""labels"":[""pathology""]},{""start"":0,""end"":5,""text"":""气管环黏膜"",""labels"":[""bodypart""]},{""start"":5,""end"":7,""text"":""充血"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""潮红"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""气管"",""labels"":[""bodypart""]},{""start"":13,""end"":16,""text"":""支气管"",""labels"":[""bodypart""]},{""start"":17,""end"":21,""text"":""细支气管"",""labels"":[""bodypart""]}]",33.025,"气管环黏膜充血潮红，气管、支气管、细支气管都有脓性分泌物；其他脏器无明显症状。","2024-01-12T15:51:17.591336Z"
42,"1","2024-01-12T15:52:20.039493Z",41,"[{""start"":4,""end"":6,""text"":""育雏"",""labels"":[""type""]},{""start"":42,""end"":45,""text"":""健康鸡"",""labels"":[""type""]},{""start"":46,""end"":50,""text"":""鸡冠发红"",""labels"":[""pathology""]},{""start"":53,""end"":59,""text"":""腹部肿胀下垂"",""labels"":[""pathology""]},{""start"":55,""end"":59,""text"":""肿胀下垂"",""labels"":[""pathology""]},{""start"":48,""end"":50,""text"":""发红"",""labels"":[""pathology""]},{""start"":46,""end"":48,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":53,""end"":55,""text"":""腹部"",""labels"":[""bodypart""]}]",1756.721,"生殖型：育雏早期感染IBV后，临床上发病不明显，死亡率也很低。然而到成年时，外观看似健康鸡，鸡冠发红，有的腹部肿胀下垂。","2024-01-17T04:07:35.252058Z"
43,"1","2024-01-12T15:53:54.479419Z",42,"[{""start"":2,""end"":4,""text"":""卵巢"",""labels"":[""bodypart""]},{""start"":9,""end"":20,""text"":""输卵管有透明液体渗出物"",""labels"":[""symptom""]},{""start"":23,""end"":28,""text"":""输卵管堵塞"",""labels"":[""symptom""]},{""start"":30,""end"":44,""text"":""可见输卵管前端萎缩或发育不全"",""labels"":[""symptom""]},{""start"":35,""end"":39,""text"":""前端萎缩"",""labels"":[""symptom""]},{""start"":40,""end"":44,""text"":""发育不全"",""labels"":[""symptom""]},{""start"":47,""end"":67,""text"":""成熟卵泡无法进入输卵管形成蛋坠落到腹腔中"",""labels"":[""symptom""]},{""start"":70,""end"":77,""text"":""产蛋障碍综合征"",""labels"":[""disease""]},{""start"":9,""end"":12,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":23,""end"":26,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":13,""end"":20,""text"":""透明液体渗出物"",""labels"":[""symptom""]},{""start"":26,""end"":28,""text"":""堵塞"",""labels"":[""symptom""]},{""start"":32,""end"":35,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":47,""end"":51,""text"":""成熟卵泡"",""labels"":[""bodypart""]},{""start"":55,""end"":58,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":64,""end"":66,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":84,""end"":86,""text"":""母鸡"",""labels"":[""type""]}]",111.833,"剖检卵巢发育正常，输卵管有透明液体渗出物，导致输卵管堵塞，还可见输卵管前端萎缩或发育不全，导致成熟卵泡无法进入输卵管形成蛋坠落到腹腔中，造成产蛋障碍综合征，即所谓的“假母鸡”。","2024-01-17T03:33:57.776254Z"
44,"1","2024-01-12T15:55:09.572557Z",43,"[{""start"":8,""end"":15,""text"":""轻微呼吸道症状"",""labels"":[""pathology""]},{""start"":33,""end"":37,""text"":""羽毛逆立"",""labels"":[""symptom""]},{""start"":50,""end"":54,""text"":""鸡爪干枯"",""labels"":[""symptom""]},{""start"":55,""end"":61,""text"":""机体脱水严重"",""labels"":[""pathology""]},{""start"":62,""end"":65,""text"":""肾肿大"",""labels"":[""pathology""]},{""start"":66,""end"":68,""text"":""苍白"",""labels"":[""pathology""]},{""start"":33,""end"":35,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""逆立"",""labels"":[""symptom""]},{""start"":52,""end"":54,""text"":""干枯"",""labels"":[""symptom""]},{""start"":50,""end"":52,""text"":""鸡爪"",""labels"":[""bodypart""]},{""start"":62,""end"":63,""text"":""肾"",""labels"":[""bodypart""]},{""start"":63,""end"":65,""text"":""肿大"",""labels"":[""pathology""]},{""start"":29,""end"":31,""text"":""病鸡"",""labels"":[""type""]},{""start"":38,""end"":41,""text"":""精神沉"",""labels"":[""symptom""]},{""start"":41,""end"":49,""text"":""排米汤样白色粪便"",""labels"":[""symptom""]},{""start"":45,""end"":47,""text"":""白色"",""labels"":[""symptom""]},{""start"":47,""end"":49,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":0,""end"":2,""text"":""肾型"",""labels"":[""disease""]}]",283.421,"肾型：发病初期有轻微呼吸道症状，随后呼吸道症状消失，但随后病鸡表现羽毛逆立，精神沉排米汤样白色粪便，鸡爪干枯；机体脱水严重，肾肿大、苍白；","2024-01-17T04:05:13.478294Z"
