"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
599,"1","2024-01-21T03:23:15.483800Z",602,"[{""start"":2,""end"":8,""text"":""鸡贫血因子病"",""labels"":[""disease""]},{""start"":10,""end"":15,""text"":""鸡贫血病毒"",""labels"":[""disease""]},{""start"":50,""end"":57,""text"":""免疫抑制性疾病"",""labels"":[""disease""]},{""start"":60,""end"":66,""text"":""出血性综合征"",""labels"":[""disease""]},{""start"":67,""end"":75,""text"":""贫血性皮炎综合征"",""labels"":[""disease""]},{""start"":18,""end"":20,""text"":""雏鸡"",""labels"":[""type""]},{""start"":20,""end"":27,""text"":""再生障碍性贫血"",""labels"":[""pathology""]},{""start"":28,""end"":36,""text"":""全身淋巴组织萎缩"",""labels"":[""pathology""]},{""start"":34,""end"":36,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":37,""end"":44,""text"":""皮下和肌肉出血"",""labels"":[""pathology""]},{""start"":42,""end"":44,""text"":""出血"",""labels"":[""pathology""]},{""start"":30,""end"":34,""text"":""淋巴组织"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":40,""end"":42,""text"":""肌肉"",""labels"":[""bodypart""]}]",37.008,"又名鸡贫血因子病，由鸡贫血病毒引起的雏鸡再生障碍性贫血、全身淋巴组织萎缩、皮下和肌肉出血为特征的一种免疫抑制性疾病。又称出血性综合征或贫血性皮炎综合征。","2024-01-21T03:23:15.483800Z"
600,"1","2024-01-21T03:25:17.875274Z",603,"[{""start"":0,""end"":7,""text"":""鸡传染性贫血病"",""labels"":[""disease""]},{""start"":40,""end"":48,""text"":""鸡传染性贫血病毒"",""labels"":[""disease""]},{""start"":115,""end"":122,""text"":""免疫抑制性疾病"",""labels"":[""disease""]},{""start"":88,""end"":90,""text"":""雏鸡"",""labels"":[""type""]},{""start"":92,""end"":99,""text"":""再生障碍性贫血"",""labels"":[""pathology""]},{""start"":100,""end"":109,""text"":""全身性淋巴组织萎缩"",""labels"":[""pathology""]},{""start"":107,""end"":109,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":136,""end"":144,""text"":""细菌和真菌性感染"",""labels"":[""pathology""]},{""start"":103,""end"":107,""text"":""淋巴组织"",""labels"":[""bodypart""]}]",122.34200000000001,"鸡传染性贫血病(Chicken Infectious Anemia，CIA)是由鸡传染性贫血病毒(Chicken infectious anemia virus,CIAV)引起雏鸡的以再生障碍性贫血和全身性淋巴组织萎缩为特征的一种免疫抑制性疾病，经常合并、继发和加重病毒、细菌和真菌性感染，危害很大。","2024-01-21T03:25:28.873955Z"
601,"1","2024-01-21T03:25:46.910784Z",604,"[{""start"":53,""end"":61,""text"":""鸡传染性贫血病毒"",""labels"":[""disease""]}]",6.371,"1979年首次在日本发现本病，之后相继在德国、瑞典、英国、美国、澳大利亚、荷兰、丹麦、波兰、巴西等国分离到鸡传染性贫血病毒。","2024-01-21T03:25:46.910784Z"
602,"1","2024-01-21T03:26:05.800913Z",605,"[{""start"":18,""end"":22,""text"":""发病鸡群"",""labels"":[""type""]},{""start"":66,""end"":68,""text"":""鸡群"",""labels"":[""type""]},{""start"":55,""end"":63,""text"":""鸡传染性贫血病毒"",""labels"":[""disease""]}]",384.524,"在我国，李孝欣，崔现兰于1992年从发病鸡群中分离到病毒，从而确证该病在我国的存在。根据近几年的流行病学调查，鸡传染性贫血病毒在我国鸡群中的感染率约在40%～70%。","2024-01-21T03:32:13.475991Z"
603,"1","2024-01-21T03:33:53.386057Z",606,"[{""start"":19,""end"":26,""text"":""鸡传染性贫血病"",""labels"":[""disease""]},{""start"":36,""end"":43,""text"":""鸡传染性贫血病"",""labels"":[""disease""]},{""start"":65,""end"":67,""text"":""肉鸡"",""labels"":[""type""]}]",87.18,"国内外的病原分离和血清学调查结果表明，鸡传染性贫血病可能呈世界性分布，由鸡传染性贫血病诱发的疾病已成为一个严重的经济问题，特别是对肉鸡的生产。","2024-01-21T03:33:53.386057Z"
604,"1","2024-01-21T03:34:33.111839Z",608,"[{""start"":9,""end"":11,""text"":""贫血"",""labels"":[""pathology""]}]",4.038,"本病的特征性症状是贫血。一般在感染后10天发病，14～16天达到高峰。","2024-01-21T03:34:33.111839Z"
605,"1","2024-01-21T03:35:39.682411Z",609,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":5,""end"":9,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":10,""end"":12,""text"":""虚弱"",""labels"":[""symptom""]},{""start"":13,""end"":17,""text"":""行动迟缓"",""labels"":[""symptom""]},{""start"":18,""end"":22,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":20,""end"":22,""text"":""松乱"",""labels"":[""symptom""]},{""start"":28,""end"":39,""text"":""面部皮肤和可视粘膜苍白"",""labels"":[""symptom""]},{""start"":37,""end"":39,""text"":""苍白"",""labels"":[""symptom""]},{""start"":40,""end"":44,""text"":""生长不良"",""labels"":[""symptom""]},{""start"":45,""end"":49,""text"":""体重下降"",""labels"":[""symptom""]},{""start"":57,""end"":59,""text"":""拉稀"",""labels"":[""symptom""]},{""start"":18,""end"":20,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":23,""end"":24,""text"":""喙"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""肉髯"",""labels"":[""bodypart""]},{""start"":28,""end"":32,""text"":""面部皮肤"",""labels"":[""bodypart""]},{""start"":33,""end"":37,""text"":""可视粘膜"",""labels"":[""bodypart""]}]",65.264,"病鸡表现为精神沉郁，虚弱，行动迟缓，羽毛松乱，喙、肉髯、面部皮肤和可视粘膜苍白，生长不良，体重下降；临死前还可见到拉稀。","2024-01-21T03:35:39.683409Z"
606,"1","2024-01-21T03:36:16.267280Z",610,"[{""start"":0,""end"":6,""text"":""血液稀薄如水"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""血液"",""labels"":[""bodypart""]},{""start"":7,""end"":10,""text"":""红细胞"",""labels"":[""bodypart""]},{""start"":44,""end"":47,""text"":""红细胞"",""labels"":[""bodypart""]},{""start"":60,""end"":63,""text"":""自细胞"",""labels"":[""bodypart""]},{""start"":73,""end"":76,""text"":""血小板"",""labels"":[""bodypart""]},{""start"":40,""end"":42,""text"":""贫血"",""labels"":[""pathology""]},{""start"":2,""end"":4,""text"":""稀薄"",""labels"":[""pathology""]}]",43.57,"血液稀薄如水，红细胞压积值降到20%以下(正常值在30%以上，降到27%以下便为贫血)，红细胞数低于200万个/mm3，自细胞数低于5000个脚，血小板值低于27%。","2024-01-22T08:51:47.462412Z"
607,"1","2024-01-21T03:36:25.495338Z",611,"[{""start"":12,""end"":20,""text"":""红细胞的异常变化"",""labels"":[""pathology""]},{""start"":12,""end"":15,""text"":""红细胞"",""labels"":[""bodypart""]}]",6.257,"在病的严重时期，还可见到红细胞的异常变化。","2024-01-21T03:36:25.495338Z"
608,"1","2024-01-21T03:36:44.248620Z",612,"[{""start"":0,""end"":3,""text"":""发病鸡"",""labels"":[""type""]},{""start"":53,""end"":59,""text"":""鸡传染性贫血"",""labels"":[""disease""]},{""start"":111,""end"":112,""text"":""鸡"",""labels"":[""type""]}]",17.655,"发病鸡的死亡率不一致，受到病毒、细菌、宿主和环境等许多因素的影响，实验感染的死亡率不超过30%，无并发症的鸡传染性贫血，特别是由水平感染引起的，不会引起高死亡率。如有继发感染，可加重病情；死亡增多。感染后20～28天存活的鸡可逐渐恢复正常。","2024-01-21T03:36:44.248620Z"
