"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
613,"1","2024-01-21T03:50:52.065275Z",617,"[{""start"":0,""end"":2,""text"":""羽虱"",""labels"":[""disease""]},{""start"":9,""end"":12,""text"":""鸡羽虱"",""labels"":[""disease""]},{""start"":20,""end"":24,""text"":""外寄生虫"",""labels"":[""disease""]},{""start"":13,""end"":14,""text"":""鸡"",""labels"":[""type""]},{""start"":33,""end"":35,""text"":""鸡体"",""labels"":[""type""]}]",15.029,"羽虱是一种病原体。鸡羽虱是鸡的一种常见的外寄生虫，种类很多，寄生在鸡体上的数量也很多，在寒冷季节更是严重。","2024-01-21T03:50:52.065275Z"
614,"1","2024-01-21T03:51:20.016324Z",618,"[{""start"":0,""end"":3,""text"":""鸡羽虱"",""labels"":[""disease""]},{""start"":46,""end"":50,""text"":""发育停止"",""labels"":[""symptom""]},{""start"":8,""end"":9,""text"":""鸡"",""labels"":[""type""]},{""start"":10,""end"":13,""text"":""珍珠鸡"",""labels"":[""type""]},{""start"":16,""end"":18,""text"":""家禽"",""labels"":[""type""]},{""start"":19,""end"":21,""text"":""羽轴"",""labels"":[""bodypart""]},{""start"":24,""end"":26,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":27,""end"":32,""text"":""皮肤分泌物"",""labels"":[""bodypart""]},{""start"":38,""end"":45,""text"":""使宿主不得安宁"",""labels"":[""symptom""]}]",32.291000000000004,"鸡羽虱主要寄生在鸡、珍珠鸡、鸭等家禽的羽轴上，以羽毛和皮肤分泌物为食。严重时使宿主不得安宁，发育停止。","2024-01-21T03:51:26.182874Z"
615,"1","2024-01-21T03:51:40.981135Z",619,"[{""start"":0,""end"":2,""text"":""羽虱"",""labels"":[""disease""]},{""start"":7,""end"":8,""text"":""鸡"",""labels"":[""type""]},{""start"":8,""end"":10,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":11,""end"":13,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":18,""end"":24,""text"":""永久性寄生虫"",""labels"":[""disease""]},{""start"":32,""end"":34,""text"":""羽虱"",""labels"":[""disease""]}]",13.725,"羽虱主要寄生在鸡羽毛和皮肤上，是一种永久性寄生虫。已发现40多种羽虱。","2024-01-21T03:51:40.981135Z"
616,"1","2024-01-21T03:52:25.342046Z",620,"[{""start"":0,""end"":2,""text"":""羽虱"",""labels"":[""disease""]},{""start"":7,""end"":9,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":10,""end"":12,""text"":""皮屑"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""血液"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""患鸡"",""labels"":[""type""]},{""start"":27,""end"":31,""text"":""羽毛断落"",""labels"":[""symptom""]},{""start"":32,""end"":36,""text"":""皮肤损伤"",""labels"":[""symptom""]},{""start"":37,""end"":39,""text"":""发痒"",""labels"":[""symptom""]},{""start"":40,""end"":44,""text"":""消瘦贫血"",""labels"":[""symptom""]},{""start"":45,""end"":51,""text"":""生长发育受阻"",""labels"":[""symptom""]},{""start"":52,""end"":59,""text"":""产蛋鸡产蛋下降"",""labels"":[""symptom""]},{""start"":62,""end"":73,""text"":""降低对其他疾病的抵抗力"",""labels"":[""symptom""]},{""start"":27,""end"":29,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":32,""end"":34,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":52,""end"":55,""text"":""产蛋鸡"",""labels"":[""type""]},{""start"":34,""end"":36,""text"":""损伤"",""labels"":[""symptom""]},{""start"":29,""end"":31,""text"":""断落"",""labels"":[""symptom""]},{""start"":55,""end"":59,""text"":""产蛋下降"",""labels"":[""symptom""]}]",68.045,"羽虱主要靠咬食羽毛、皮屑和吸食血液而生存，因此患鸡表现羽毛断落，皮肤损伤，发痒，消瘦贫血，生长发育受阻，产蛋鸡产蛋下降，并可降低对其他疾病的抵抗力。","2024-01-22T08:58:11.494713Z"
617,"1","2024-01-21T03:53:00.714787Z",621,"[{""start"":6,""end"":11,""text"":""普通大鸡虱"",""labels"":[""disease""]},{""start"":16,""end"":17,""text"":""鸡"",""labels"":[""type""]},{""start"":17,""end"":20,""text"":""泄殖腔"",""labels"":[""bodypart""]},{""start"":32,""end"":34,""text"":""胸部"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""腹部"",""labels"":[""bodypart""]},{""start"":38,""end"":40,""text"":""翅膀"",""labels"":[""bodypart""]},{""start"":45,""end"":47,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":48,""end"":51,""text"":""羽小枝"",""labels"":[""bodypart""]},{""start"":59,""end"":61,""text"":""表皮"",""labels"":[""bodypart""]},{""start"":64,""end"":66,""text"":""血液"",""labels"":[""bodypart""]},{""start"":70,""end"":72,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":75,""end"":77,""text"":""发痒"",""labels"":[""symptom""]}]",36.466,"症状与病变：普通大鸡虱主要寄生在鸡泄殖腔下部，严重感染时可蔓延到胸部、腹部和翅膀下面，除以羽毛的羽小枝为食外，还常损害表皮，吸食血液，因刺激皮肤而引起发痒；","2024-01-21T03:53:04.542117Z"
618,"1","2024-01-21T03:53:54.633704Z",622,"[{""start"":0,""end"":3,""text"":""羽干虱"",""labels"":[""disease""]},{""start"":8,""end"":10,""text"":""羽干"",""labels"":[""bodypart""]},{""start"":14,""end"":16,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":19,""end"":23,""text"":""羽毛脱落"",""labels"":[""symptom""]},{""start"":21,""end"":23,""text"":""脱落"",""labels"":[""symptom""]},{""start"":19,""end"":21,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":24,""end"":26,""text"":""头虱"",""labels"":[""disease""]},{""start"":31,""end"":32,""text"":""鸡"",""labels"":[""type""]},{""start"":33,""end"":35,""text"":""头部"",""labels"":[""bodypart""]},{""start"":51,""end"":53,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":64,""end"":67,""text"":""鸡秃头"",""labels"":[""symptom""]},{""start"":57,""end"":61,""text"":""皮肤发痒"",""labels"":[""symptom""]},{""start"":57,""end"":59,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":66,""end"":67,""text"":""头"",""labels"":[""bodypart""]},{""start"":64,""end"":65,""text"":""鸡"",""labels"":[""type""]},{""start"":59,""end"":61,""text"":""发痒"",""labels"":[""symptom""]}]",66.578,"羽干虱一般寄生在羽干上，咬食羽毛，导致羽毛脱落，头虱主要寄生在鸡的头部，其口器常紧紧地附着在寄生部位的皮肤上，刺激皮肤发痒，造成鸡秃头。","2024-01-22T08:58:39.655681Z"
619,"1","2024-01-21T03:54:44.969928Z",623,"[{""start"":0,""end"":2,""text"":""羽虱"",""labels"":[""disease""]},{""start"":8,""end"":10,""text"":""患鸡"",""labels"":[""type""]},{""start"":10,""end"":12,""text"":""奇痒"",""labels"":[""symptom""]},{""start"":13,""end"":15,""text"":""不安"",""labels"":[""symptom""]},{""start"":16,""end"":23,""text"":""影响采食和休息"",""labels"":[""symptom""]},{""start"":29,""end"":33,""text"":""羽毛折断"",""labels"":[""symptom""]},{""start"":31,""end"":33,""text"":""折断"",""labels"":[""symptom""]},{""start"":34,""end"":36,""text"":""脱落"",""labels"":[""symptom""]},{""start"":37,""end"":41,""text"":""皮肤损伤"",""labels"":[""symptom""]},{""start"":42,""end"":46,""text"":""鸡体消瘦"",""labels"":[""symptom""]},{""start"":47,""end"":49,""text"":""贫血"",""labels"":[""symptom""]},{""start"":50,""end"":56,""text"":""生长发育迟缓"",""labels"":[""symptom""]},{""start"":57,""end"":65,""text"":""产蛋鸡产蛋量下降"",""labels"":[""symptom""]},{""start"":69,""end"":73,""text"":""引起死亡"",""labels"":[""symptom""]},{""start"":29,""end"":31,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":42,""end"":44,""text"":""鸡体"",""labels"":[""type""]},{""start"":57,""end"":60,""text"":""产蛋鸡"",""labels"":[""type""]},{""start"":39,""end"":41,""text"":""损伤"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""消瘦"",""labels"":[""symptom""]},{""start"":60,""end"":65,""text"":""产蛋量下降"",""labels"":[""symptom""]}]",72.757,"羽虱大量寄生时，患鸡奇痒，不安，影响采食和休息因啄痒而造成羽毛折断、脱落及皮肤损伤，鸡体消瘦，贫血，生长发育迟缓，产蛋鸡产蛋量下降，严重的引起死亡。","2024-01-22T08:58:53.430579Z"
620,"1","2024-01-21T03:57:44.237350Z",625,"[{""start"":0,""end"":3,""text"":""鸡羽虱"",""labels"":[""disease""]},{""start"":46,""end"":47,""text"":""鸡"",""labels"":[""type""]},{""start"":74,""end"":75,""text"":""鸡"",""labels"":[""type""]},{""start"":75,""end"":79,""text"":""贫血消瘦"",""labels"":[""symptom""]},{""start"":80,""end"":86,""text"":""产蛋明显减少"",""labels"":[""symptom""]}]",23.143,"鸡羽虱白天藏伏于墙壁、栖架、产蛋箱的缝隙及松散干粪等处，并在这些地方产卵繁殖；夜晚则成群爬到鸡身上叮咬吸血，每次一个多小时，吸饱后离开。其数量多时，鸡贫血消瘦，产蛋明显减少。","2024-01-21T03:57:44.237350Z"
621,"1","2024-01-21T03:58:03.060997Z",626,"[{""start"":18,""end"":19,""text"":""鸡"",""labels"":[""type""]},{""start"":26,""end"":27,""text"":""鸡"",""labels"":[""type""]},{""start"":46,""end"":56,""text"":""大量失血可能造成死亡"",""labels"":[""symptom""]},{""start"":34,""end"":36,""text"":""雏鸡"",""labels"":[""type""]}]",56.849000000000004,"如果产蛋窝内白天比较阴暗，该螨也会到鸡身上吸血，以致鸡不愿进去产蛋。雏鸡如果感染严重，则会因大量失血可能造成死亡。","2024-01-22T08:59:47.317859Z"
622,"1","2024-01-21T03:58:17.752500Z",627,"[{""start"":0,""end"":3,""text"":""螨成虫"",""labels"":[""disease""]},{""start"":4,""end"":6,""text"":""稚虫"",""labels"":[""disease""]},{""start"":13,""end"":14,""text"":""鸡"",""labels"":[""type""]}]",13.293,"螨成虫和稚虫时期在晚上爬到鸡身上吸血，其余时期均躲在鸡舍的缝隙当中。成虫能耐饥饿，不吸血状态可生存82－113天。","2024-01-21T03:58:17.752500Z"
