"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
629,"1","2024-01-21T04:00:39.569894Z",634,"[{""start"":0,""end"":3,""text"":""鸡螨虫"",""labels"":[""disease""]},{""start"":48,""end"":50,""text"":""螨虫"",""labels"":[""disease""]}]",7.752000000000001,"鸡螨虫，Dermanyssus gallinae，属节肢动物门蛛形纲蜱螨目皮刺科、皮刺螨属的一类螨虫。","2024-01-21T04:00:43.836898Z"
630,"1","2024-01-21T04:01:00.484301Z",635,"[{""start"":10,""end"":12,""text"":""鸡血"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""鸡体"",""labels"":[""type""]},{""start"":31,""end"":35,""text"":""鸡痘病毒"",""labels"":[""disease""]},{""start"":36,""end"":39,""text"":""新城疫"",""labels"":[""disease""]},{""start"":40,""end"":44,""text"":""大肠杆菌"",""labels"":[""disease""]}]",15.658,"体形微小，主要靠吸食鸡血为生，有时也吸人血，通过叮咬鸡体可传播鸡痘病毒、新城疫、大肠杆菌等。","2024-01-21T04:01:00.484301Z"
631,"1","2024-01-21T04:01:16.172918Z",636,"[{""start"":1,""end"":2,""text"":""鸡"",""labels"":[""type""]},{""start"":5,""end"":9,""text"":""商品蛋鸡"",""labels"":[""type""]},{""start"":10,""end"":12,""text"":""种鸡"",""labels"":[""type""]},{""start"":22,""end"":26,""text"":""鸡刺皮螨"",""labels"":[""disease""]},{""start"":27,""end"":31,""text"":""林禽刺螨"",""labels"":[""disease""]}]",14.308,"对鸡（尤其商品蛋鸡和种鸡）危害较大的2种，即鸡刺皮螨和林禽刺螨。","2024-01-21T04:01:16.172918Z"
632,"1","2024-01-21T04:01:42.933440Z",637,"[{""start"":3,""end"":4,""text"":""螨"",""labels"":[""disease""]},{""start"":6,""end"":9,""text"":""疥癣虫"",""labels"":[""disease""]},{""start"":10,""end"":12,""text"":""鸡螨"",""labels"":[""disease""]},{""start"":26,""end"":29,""text"":""鸡膝螨"",""labels"":[""disease""]},{""start"":30,""end"":33,""text"":""脱羽螨"",""labels"":[""disease""]},{""start"":35,""end"":40,""text"":""鸡突变膝螨"",""labels"":[""disease""]},{""start"":41,""end"":44,""text"":""鳞足螨"",""labels"":[""disease""]},{""start"":46,""end"":48,""text"":""红螨"",""labels"":[""disease""]},{""start"":49,""end"":52,""text"":""梄架蜻"",""labels"":[""disease""]},{""start"":54,""end"":59,""text"":""鸡新勋痒螨"",""labels"":[""disease""]},{""start"":60,""end"":65,""text"":""鸡奇棒痒螨"",""labels"":[""disease""]},{""start"":19,""end"":20,""text"":""鸡"",""labels"":[""type""]}]",25.152,"简介：螨俗称疥癣虫，鸡螨有20余种，对鸡危害严重的有鸡膝螨(脱羽螨)、鸡突变膝螨(鳞足螨)、红螨(梄架蜻)、鸡新勋痒螨(鸡奇棒痒螨)等。","2024-01-21T04:01:42.933440Z"
633,"1","2024-01-21T04:02:02.799835Z",638,"[{""start"":0,""end"":2,""text"":""鸡螨"",""labels"":[""disease""]},{""start"":5,""end"":6,""text"":""鸡"",""labels"":[""type""]},{""start"":7,""end"":9,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":10,""end"":14,""text"":""羽毛根部"",""labels"":[""bodypart""]},{""start"":18,""end"":19,""text"":""腿"",""labels"":[""bodypart""]},{""start"":19,""end"":20,""text"":""脚"",""labels"":[""bodypart""]},{""start"":23,""end"":27,""text"":""鳞片内层"",""labels"":[""bodypart""]}]",18.321,"鸡螨寄生在鸡的皮肤、羽毛根部或潜伏在腿脚无毛的鳞片内层，以吸血为生。","2024-01-21T04:02:02.799916Z"
634,"1","2024-01-21T04:02:16.971786Z",639,"[{""start"":1,""end"":3,""text"":""鸡螨"",""labels"":[""disease""]},{""start"":15,""end"":17,""text"":""贫血"",""labels"":[""symptom""]},{""start"":19,""end"":21,""text"":""死亡"",""labels"":[""symptom""]},{""start"":14,""end"":15,""text"":""鸡"",""labels"":[""type""]}]",12.492,"当鸡螨大量繁衍滋生时，可引起鸡贫血甚至死亡。","2024-01-21T04:02:16.971786Z"
635,"1","2024-01-21T04:02:26.169329Z",640,"[{""start"":0,""end"":2,""text"":""鸡螨"",""labels"":[""disease""]},{""start"":3,""end"":5,""text"":""土鸡"",""labels"":[""type""]},{""start"":12,""end"":18,""text"":""体表寄生虫病"",""labels"":[""disease""]}]",7.316,"鸡螨是土鸡放养过程常见的体表寄生虫病，特别在阴暗、潮湿的饲养场较多见。","2024-01-21T04:02:26.169329Z"
636,"1","2024-01-21T04:02:46.328625Z",641,"[{""start"":5,""end"":7,""text"":""鸡螨"",""labels"":[""disease""]},{""start"":43,""end"":45,""text"":""鸡只"",""labels"":[""type""]}]",10.292,"发病特点：鸡螨一般白天寄居于鸡舍的墙缝、鸡笼及笼架的缝隙和食槽、水管夹缝等处，夜间侵袭鸡只吸血。","2024-01-21T04:02:46.328625Z"
637,"1","2024-01-21T04:03:05.070769Z",642,"[{""start"":0,""end"":2,""text"":""螨虫"",""labels"":[""disease""]},{""start"":7,""end"":9,""text"":""鸡体"",""labels"":[""type""]},{""start"":10,""end"":12,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""腹部"",""labels"":[""bodypart""]}]",16.758,"螨虫主要集中在鸡体的肛门周围、腹部。","2024-01-21T04:03:05.070769Z"
638,"1","2024-01-21T04:03:10.956958Z",643,"[{""start"":0,""end"":3,""text"":""笼养鸡"",""labels"":[""type""]},{""start"":14,""end"":17,""text"":""平养鸡"",""labels"":[""type""]}]",4.653,"笼养鸡发生严重，容易被发现。平养鸡也有发生。","2024-01-21T04:03:10.956958Z"
