"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
687,"1","2024-01-21T05:46:31.420504Z",676,"[{""start"":0,""end"":6,""text"":""鸡葡萄球菌病"",""labels"":[""disease""]},{""start"":38,""end"":42,""text"":""葡萄球菌"",""labels"":[""disease""]},{""start"":56,""end"":63,""text"":""金黄色葡萄球菌"",""labels"":[""disease""]},{""start"":67,""end"":70,""text"":""致病菌"",""labels"":[""disease""]}]",98.31,"鸡葡萄球菌病(Staphylococcosis in Chickens)是由葡萄球菌所引起的一种传染病，一般认为金黄色葡萄球菌是主要的致病菌，该病有多种类型，给养鸡业造成较大损失。","2024-01-22T09:12:07.755526Z"
688,"1","2024-01-21T05:46:54.897029Z",677,"[{""start"":5,""end"":11,""text"":""急性败血症状"",""labels"":[""pathology""]},{""start"":12,""end"":15,""text"":""关节炎"",""labels"":[""pathology""]},{""start"":16,""end"":20,""text"":""雏鸡脐炎"",""labels"":[""pathology""]},{""start"":29,""end"":31,""text"":""坏死"",""labels"":[""pathology""]},{""start"":32,""end"":35,""text"":""骨膜炎"",""labels"":[""pathology""]},{""start"":21,""end"":23,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""翼尖"",""labels"":[""bodypart""]},{""start"":16,""end"":18,""text"":""雏鸡"",""labels"":[""type""]},{""start"":18,""end"":20,""text"":""脐炎"",""labels"":[""pathology""]}]",318.421,"临诊表现为急性败血症状、关节炎、雏鸡脐炎、皮肤(包括翼尖)坏死和骨膜炎。","2024-01-22T09:12:36.672137Z"
689,"1","2024-01-21T05:52:38.962782Z",678,"[{""start"":0,""end"":2,""text"":""雏鸡"",""labels"":[""type""]},{""start"":7,""end"":12,""text"":""急性败血病"",""labels"":[""disease""]},{""start"":21,""end"":23,""text"":""中雏"",""labels"":[""type""]},{""start"":24,""end"":26,""text"":""急性"",""labels"":[""pathology""]},{""start"":27,""end"":29,""text"":""慢性"",""labels"":[""pathology""]},{""start"":35,""end"":37,""text"":""慢性"",""labels"":[""pathology""]},{""start"":30,""end"":33,""text"":""成年鸡"",""labels"":[""type""]}]",99.548,"雏鸡感染后多为急性败血病的症状和病理变化，中雏为急性或慢性，成年鸡多为慢性。","2024-01-22T09:13:50.536902Z"
690,"1","2024-01-21T05:53:17.821362Z",679,"[{""start"":0,""end"":2,""text"":""雏鸡"",""labels"":[""type""]},{""start"":3,""end"":5,""text"":""中雏"",""labels"":[""type""]}]",4.967,"雏鸡和中雏死亡率较高，是养鸡业中危害严重的疾病之一。","2024-01-21T05:53:17.821362Z"
691,"1","2024-01-21T05:53:41.776404Z",680,"[{""start"":13,""end"":17,""text"":""葡萄球菌"",""labels"":[""disease""]},{""start"":38,""end"":40,""text"":""炎症"",""labels"":[""pathology""]},{""start"":47,""end"":50,""text"":""肠毒素"",""labels"":[""disease""]},{""start"":64,""end"":68,""text"":""食物中毒"",""labels"":[""symptom""]}]",22.282,"近20年来，在人医和兽医中葡萄球菌已引起了广泛的注意。一方面除了引起人的大量炎症之外，还能产生肠毒素污染食品，在一定条件下可发生食物中毒。","2024-01-21T05:53:41.776404Z"
692,"1","2024-01-21T05:54:02.222294Z",681,"[{""start"":9,""end"":12,""text"":""抗生素"",""labels"":[""drug""]},{""start"":35,""end"":38,""text"":""抗生素"",""labels"":[""drug""]},{""start"":53,""end"":57,""text"":""葡萄球菌"",""labels"":[""disease""]}]",12.03,"另一方面，由于近代抗生素疗法的广泛应用，在和食物(包括动物饲料)中加入抗生素，结果使原来只有兼性病原作用的葡萄球菌常在人和动物引起疾病。","2024-01-21T05:54:02.222294Z"
693,"1","2024-01-21T05:54:07.448060Z",682,"[{""start"":3,""end"":7,""text"":""葡萄球菌"",""labels"":[""disease""]}]",3.547,"因此，葡萄球菌现已是广泛分布于世界的病原菌之一，引起普遍的重视。","2024-01-21T05:54:07.448060Z"
694,"1","2024-01-21T05:54:29.666730Z",683,"[{""start"":7,""end"":14,""text"":""金黄色葡萄球菌"",""labels"":[""disease""]},{""start"":19,""end"":20,""text"":""禽"",""labels"":[""type""]},{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]},{""start"":26,""end"":28,""text"":""火鸡"",""labels"":[""type""]},{""start"":34,""end"":35,""text"":""鸡"",""labels"":[""type""]},{""start"":38,""end"":40,""text"":""鸡胚"",""labels"":[""type""]}]",21.488,"流行特点：1.金黄色葡萄球菌可侵害各种禽，尤其是鸡和火鸡。任何年龄的鸡，甚至鸡胚都可感染。","2024-01-21T05:54:31.810834Z"
695,"1","2024-01-21T05:54:48.961680Z",684,"[{""start"":8,""end"":10,""text"":""雏鸡"",""labels"":[""type""]},{""start"":30,""end"":32,""text"":""中雏"",""labels"":[""type""]}]",7.034,"虽然4-6周龄的雏鸡极其敏感，但实际上发生在40-60日龄的中雏最多。","2024-01-21T05:54:48.961680Z"
696,"1","2024-01-21T05:55:12.520313Z",685,"[{""start"":2,""end"":9,""text"":""金黄色葡萄球菌"",""labels"":[""disease""]},{""start"":35,""end"":36,""text"":""鸡"",""labels"":[""type""]},{""start"":37,""end"":39,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":40,""end"":42,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":43,""end"":45,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":46,""end"":48,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":49,""end"":51,""text"":""粪便"",""labels"":[""bodypart""]}]",15.532,"2.金黄色葡萄球菌广泛分布在自然界的土壤、空气、水、饲料、物体表面以及鸡的羽毛、皮肤、粘膜、肠道和粪便中。","2024-01-21T05:55:12.520313Z"
697,"1","2024-01-21T05:56:01.175565Z",687,"[{""start"":12,""end"":14,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":39,""end"":41,""text"":""脐带"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""雏鸡"",""labels"":[""type""]}]",44.102,"4.本病的主要传染途径是皮肤和粘膜的创伤，但也可能直接接触和空气传播，雏鸡通过脐带也是常见的途径。","2024-01-21T05:56:01.175565Z"
698,"1","2024-01-21T05:56:17.772473Z",688,"[{""start"":5,""end"":9,""text"":""葡萄球菌"",""labels"":[""disease""]},{""start"":25,""end"":29,""text"":""葡萄球菌"",""labels"":[""disease""]},{""start"":35,""end"":37,""text"":""表皮"",""labels"":[""bodypart""]},{""start"":38,""end"":40,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":55,""end"":59,""text"":""葡萄球菌"",""labels"":[""disease""]}]",14.706,"流行病学：葡萄球菌能引起多种动物感染和疾病。动物对葡萄球菌的易感性，与表皮或粘膜创伤的有无、机体抵抗力的强弱、葡萄球菌污染的程度，以及动物所处的环境有密切关系。","2024-01-21T05:56:17.772473Z"
699,"1","2024-01-21T05:56:24.377114Z",689,"[{""start"":0,""end"":7,""text"":""金黄色葡萄球菌"",""labels"":[""disease""]},{""start"":34,""end"":36,""text"":""粪便"",""labels"":[""bodypart""]}]",11.251999999999999,"金黄色葡萄球菌在自然界分布很广，在土壤、空气、尘埃、水、饲料、地面、粪便、污水及物体表面均有本菌存在。","2024-01-21T05:56:31.708897Z"
700,"1","2024-01-21T05:56:48.978666Z",690,"[{""start"":0,""end"":2,""text"":""禽类"",""labels"":[""type""]},{""start"":21,""end"":25,""text"":""葡萄球菌"",""labels"":[""disease""]},{""start"":3,""end"":5,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":6,""end"":8,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""眼睑"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""肠道"",""labels"":[""bodypart""]}]",13.612,"禽类的皮肤、羽毛、眼睑、粘膜、肠道亦分布有葡萄球菌。","2024-01-21T05:56:48.978666Z"
701,"1","2024-01-21T05:57:06.177856Z",691,"[{""start"":0,""end"":7,""text"":""金黄色葡萄球菌"",""labels"":[""disease""]},{""start"":9,""end"":10,""text"":""鸡"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""火鸡"",""labels"":[""type""]},{""start"":16,""end"":18,""text"":""野鸡"",""labels"":[""type""]},{""start"":46,""end"":47,""text"":""粪"",""labels"":[""bodypart""]}]",15.376,"金黄色葡萄球菌曾从鸡、火鸡、鹅及野鸡分离出来。发病鸡舍的地面、网架(面)、空气、墙壁、水槽、粪等处有多量本菌存在。","2024-01-21T05:57:06.177856Z"
