"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
667,"1","2024-01-21T04:15:03.931374Z",746,"[{""start"":0,""end"":6,""text"":""鸡绿脓杆菌病"",""labels"":[""disease""]},{""start"":8,""end"":12,""text"":""绿脓杆菌"",""labels"":[""disease""]},{""start"":15,""end"":20,""text"":""雏鸡传染病"",""labels"":[""disease""]},{""start"":15,""end"":17,""text"":""雏鸡"",""labels"":[""type""]},{""start"":22,""end"":24,""text"":""拉稀"",""labels"":[""pathology""]},{""start"":25,""end"":29,""text"":""呼吸困难"",""labels"":[""pathology""]},{""start"":30,""end"":34,""text"":""皮下水肿"",""labels"":[""pathology""]},{""start"":32,""end"":34,""text"":""水肿"",""labels"":[""pathology""]},{""start"":30,""end"":32,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":40,""end"":44,""text"":""抗菌消炎"",""labels"":[""control""]}]",357.809,"鸡绿脓杆菌病，由绿脓杆菌引起的雏鸡传染病。以拉稀、呼吸困难、皮下水肿为特征。治宜抗菌消炎。","2024-01-21T04:20:28.932324Z"
668,"1","2024-01-21T04:22:28.442201Z",747,"[{""start"":0,""end"":5,""text"":""绿脓杆菌病"",""labels"":[""disease""]},{""start"":8,""end"":18,""text"":""革兰氏阴性的绿脓杆菌"",""labels"":[""disease""]},{""start"":33,""end"":35,""text"":""雏鸡"",""labels"":[""type""]}]",181.29500000000002,"绿脓杆菌病本病由革兰氏阴性的绿脓杆菌感染引起，主要危害10日龄内的雏鸡。","2024-01-21T04:24:27.424906Z"
669,"1","2024-01-21T04:24:41.220947Z",749,"[{""start"":0,""end"":6,""text"":""鸡绿脓杆菌病"",""labels"":[""disease""]},{""start"":8,""end"":12,""text"":""绿脓杆菌"",""labels"":[""disease""]},{""start"":19,""end"":24,""text"":""败血性疾病"",""labels"":[""disease""]},{""start"":14,""end"":16,""text"":""雏鸡"",""labels"":[""type""]}]",17.948999999999998,"鸡绿脓杆菌病是由绿脓杆菌引起雏鸡的一种败血性疾病。","2024-01-21T04:24:50.394823Z"
670,"1","2024-01-21T04:26:39.806526Z",751,"[{""start"":0,""end"":4,""text"":""绿脓杆菌"",""labels"":[""disease""]}]",14.055,"绿脓杆菌属假单胞菌属，革兰氏染色阴性，为两端钝圆的短小杆菌，能运动，菌体一端有一根鞭毛，细菌大小为1.5～3.0&micro;m×0.5～O.8&micro;m，单在或成双排列，偶见短链。","2024-01-21T04:26:39.806526Z"
671,"1","2024-01-21T04:29:11.998455Z",752,"[{""start"":5,""end"":7,""text"":""病鸡"",""labels"":[""type""]},{""start"":11,""end"":15,""text"":""吃食减少"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""精神不振"",""labels"":[""symptom""]},{""start"":21,""end"":27,""text"":""不同程度下痢"",""labels"":[""symptom""]},{""start"":28,""end"":32,""text"":""粪便水样"",""labels"":[""symptom""]},{""start"":34,""end"":38,""text"":""淡黄绿色"",""labels"":[""symptom""]},{""start"":39,""end"":47,""text"":""严重病鸡粪中带血"",""labels"":[""symptom""]},{""start"":48,""end"":52,""text"":""腹部膨大"",""labels"":[""symptom""]},{""start"":53,""end"":57,""text"":""手压柔软"",""labels"":[""symptom""]},{""start"":63,""end"":67,""text"":""腹式呼吸"",""labels"":[""symptom""]},{""start"":72,""end"":83,""text"":""眼周围发生不同程度水肿"",""labels"":[""pathology""]},{""start"":81,""end"":83,""text"":""水肿"",""labels"":[""pathology""]},{""start"":84,""end"":93,""text"":""水肿部破裂流出液体"",""labels"":[""pathology""]},{""start"":94,""end"":98,""text"":""形成痂皮"",""labels"":[""pathology""]},{""start"":99,""end"":105,""text"":""眼全闭或半闭"",""labels"":[""pathology""]},{""start"":106,""end"":108,""text"":""流泪"",""labels"":[""pathology""]},{""start"":109,""end"":115,""text"":""颈部皮下水肿"",""labels"":[""pathology""]},{""start"":113,""end"":115,""text"":""水肿"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":43,""end"":44,""text"":""粪"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""腹部"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""膨大"",""labels"":[""symptom""]},{""start"":72,""end"":73,""text"":""眼"",""labels"":[""bodypart""]},{""start"":99,""end"":100,""text"":""眼"",""labels"":[""bodypart""]},{""start"":109,""end"":113,""text"":""颈部皮下"",""labels"":[""bodypart""]},{""start"":58,""end"":60,""text"":""病鸡"",""labels"":[""type""]},{""start"":70,""end"":72,""text"":""病鸡"",""labels"":[""type""]},{""start"":30,""end"":32,""text"":""水样"",""labels"":[""symptom""]},{""start"":41,""end"":43,""text"":""病鸡"",""labels"":[""type""]}]",342.55,"临床症状：病鸡主要表现吃食减少，精神不振；不同程度下痢，粪便水样，呈淡黄绿色，严重病鸡粪中带血；腹部膨大，手压柔软，病鸡后期呈腹式呼吸；有的病鸡眼周围发生不同程度水肿，水肿部破裂流出液体，形成痂皮，眼全闭或半闭，流泪；颈部皮下水肿。","2024-01-21T04:32:26.424599Z"
672,"1","2024-01-21T04:33:29.552753Z",753,"[{""start"":2,""end"":4,""text"":""病鸡"",""labels"":[""type""]},{""start"":27,""end"":29,""text"":""雏鸡"",""labels"":[""type""]},{""start"":38,""end"":40,""text"":""病鸡"",""labels"":[""type""]},{""start"":4,""end"":15,""text"":""两腿内侧部皮下也见水肿"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""水肿"",""labels"":[""pathology""]},{""start"":29,""end"":37,""text"":""绿脓杆菌性关节炎"",""labels"":[""disease""]},{""start"":42,""end"":53,""text"":""跗关节和跖关节明显肿胀"",""labels"":[""pathology""]},{""start"":51,""end"":53,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":54,""end"":56,""text"":""微红"",""labels"":[""pathology""]},{""start"":57,""end"":59,""text"":""跛行"",""labels"":[""pathology""]},{""start"":63,""end"":67,""text"":""不能站立"",""labels"":[""pathology""]},{""start"":68,""end"":74,""text"":""以跗关节着地"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""两腿"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":42,""end"":45,""text"":""跗关节"",""labels"":[""bodypart""]},{""start"":46,""end"":49,""text"":""跖关节"",""labels"":[""bodypart""]},{""start"":69,""end"":72,""text"":""跗关节"",""labels"":[""bodypart""]}]",105.352,"严重病鸡两腿内侧部皮下也见水肿。魏华德(1992)报道雏鸡绿脓杆菌性关节炎，病鸡表现跗关节和跖关节明显肿胀、微红，跛行，严重者不能站立，以跗关节着地。","2024-01-21T04:34:14.402114Z"
673,"1","2024-01-21T04:35:15.364273Z",754,"[{""start"":5,""end"":7,""text"":""病鸡"",""labels"":[""type""]},{""start"":7,""end"":9,""text"":""颈部"",""labels"":[""bodypart""]},{""start"":10,""end"":14,""text"":""脐部皮下"",""labels"":[""bodypart""]},{""start"":15,""end"":18,""text"":""黄绿色"",""labels"":[""pathology""]},{""start"":10,""end"":23,""text"":""脐部皮下呈黄绿色胶冻样浸润"",""labels"":[""pathology""]},{""start"":21,""end"":23,""text"":""浸润"",""labels"":[""pathology""]},{""start"":24,""end"":34,""text"":""肌肉有出血点或出血斑"",""labels"":[""pathology""]},{""start"":31,""end"":34,""text"":""出血斑"",""labels"":[""pathology""]},{""start"":27,""end"":30,""text"":""出血点"",""labels"":[""pathology""]},{""start"":35,""end"":45,""text"":""内脏器官不同程度充血"",""labels"":[""pathology""]},{""start"":46,""end"":48,""text"":""出血"",""labels"":[""pathology""]},{""start"":49,""end"":55,""text"":""肝脏脆而肿大"",""labels"":[""pathology""]},{""start"":57,""end"":60,""text"":""土黄色"",""labels"":[""pathology""]},{""start"":61,""end"":71,""text"":""有淡灰黄色小点坏死灶"",""labels"":[""pathology""]},{""start"":72,""end"":76,""text"":""胆囊充盈"",""labels"":[""pathology""]},{""start"":74,""end"":76,""text"":""充盈"",""labels"":[""pathology""]},{""start"":62,""end"":66,""text"":""淡灰黄色"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":35,""end"":39,""text"":""内脏器官"",""labels"":[""bodypart""]},{""start"":49,""end"":51,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":72,""end"":74,""text"":""胆囊"",""labels"":[""bodypart""]},{""start"":43,""end"":45,""text"":""充血"",""labels"":[""pathology""]},{""start"":51,""end"":55,""text"":""脆而肿大"",""labels"":[""pathology""]}]",180.41,"病理变化：病鸡颈部、脐部皮下呈黄绿色胶冻样浸润，肌肉有出血点或出血斑。内脏器官不同程度充血、出血。肝脏脆而肿大，呈土黄色，有淡灰黄色小点坏死灶。胆囊充盈。","2024-01-22T09:43:39.795105Z"
674,"1","2024-01-21T05:05:40.559765Z",755,"[{""start"":0,""end"":4,""text"":""肾脏肿大"",""labels"":[""pathology""]},{""start"":2,""end"":4,""text"":""肿大"",""labels"":[""pathology""]},{""start"":5,""end"":14,""text"":""表面有散在出血小点"",""labels"":[""pathology""]},{""start"":15,""end"":19,""text"":""肺脏充血"",""labels"":[""pathology""]},{""start"":17,""end"":19,""text"":""充血"",""labels"":[""pathology""]},{""start"":22,""end"":26,""text"":""见出血点"",""labels"":[""pathology""]},{""start"":27,""end"":34,""text"":""肺小叶炎性病变"",""labels"":[""pathology""]},{""start"":30,""end"":32,""text"":""炎性"",""labels"":[""pathology""]},{""start"":36,""end"":39,""text"":""紫红色"",""labels"":[""pathology""]},{""start"":40,""end"":46,""text"":""大理石样变化"",""labels"":[""pathology""]},{""start"":36,""end"":46,""text"":""紫红色或大理石样变化"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""肺脏"",""labels"":[""bodypart""]},{""start"":27,""end"":30,""text"":""肺小叶"",""labels"":[""bodypart""]}]",1716.013,"肾脏肿大，表面有散在出血小点。肺脏充血，有的见出血点，肺小叶炎性病变，呈紫红色或大理石样变化。","2024-01-21T05:05:40.559765Z"
675,"1","2024-01-21T05:06:00.142705Z",756,"[{""start"":0,""end"":6,""text"":""心冠脂肪出血"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""出血"",""labels"":[""pathology""]},{""start"":8,""end"":14,""text"":""有胶冻样浸润"",""labels"":[""pathology""]},{""start"":18,""end"":25,""text"":""外膜有出血斑点"",""labels"":[""pathology""]},{""start"":21,""end"":25,""text"":""出血斑点"",""labels"":[""pathology""]},{""start"":0,""end"":4,""text"":""心冠脂肪"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""心内"",""labels"":[""bodypart""]},{""start"":18,""end"":20,""text"":""外膜"",""labels"":[""bodypart""]}]",16.736,"心冠脂肪出血，并有胶冻样浸润，心内、外膜有出血斑点。","2024-01-21T05:06:00.142705Z"
676,"1","2024-01-21T05:07:37.897952Z",757,"[{""start"":0,""end"":6,""text"":""腺胃粘膜脱落"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""脱落"",""labels"":[""pathology""]},{""start"":7,""end"":15,""text"":""肌胃粘膜有出血斑"",""labels"":[""pathology""]},{""start"":12,""end"":15,""text"":""出血斑"",""labels"":[""pathology""]},{""start"":16,""end"":20,""text"":""易于剥离"",""labels"":[""pathology""]},{""start"":21,""end"":26,""text"":""肠粘膜充血"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""充血"",""labels"":[""pathology""]},{""start"":27,""end"":31,""text"":""出血严重"",""labels"":[""pathology""]},{""start"":32,""end"":35,""text"":""脾肿大"",""labels"":[""pathology""]},{""start"":33,""end"":35,""text"":""肿大"",""labels"":[""pathology""]},{""start"":36,""end"":41,""text"":""有出血小点"",""labels"":[""pathology""]},{""start"":42,""end"":46,""text"":""气囊混浊"",""labels"":[""pathology""]},{""start"":44,""end"":46,""text"":""混浊"",""labels"":[""pathology""]},{""start"":47,""end"":49,""text"":""增厚"",""labels"":[""pathology""]},{""start"":0,""end"":4,""text"":""腺胃粘膜"",""labels"":[""bodypart""]},{""start"":7,""end"":11,""text"":""肌胃粘膜"",""labels"":[""bodypart""]},{""start"":21,""end"":24,""text"":""肠粘膜"",""labels"":[""bodypart""]},{""start"":32,""end"":33,""text"":""脾"",""labels"":[""bodypart""]},{""start"":42,""end"":44,""text"":""气囊"",""labels"":[""bodypart""]}]",72.328,"腺胃粘膜脱落，肌胃粘膜有出血斑，易于剥离，肠粘膜充血、出血严重。脾肿大，有出血小点。气囊混浊、增厚。","2024-01-21T05:07:37.897952Z"
