"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
78,"1","2024-01-13T01:35:56.357255Z",77,"[{""start"":0,""end"":8,""text"":""鸡传染性法氏囊病"",""labels"":[""disease""]},{""start"":43,""end"":51,""text"":""鸡传染性腔上囊病"",""labels"":[""disease""]},{""start"":54,""end"":63,""text"":""鸡传染性法氏囊病毒"",""labels"":[""disease""]},{""start"":109,""end"":110,""text"":""鸡"",""labels"":[""type""]}]",15.309,"鸡传染性法氏囊病（Infectious bursal disease，简称IBD）又称鸡传染性腔上囊病，是由鸡传染性法氏囊病毒（Infectious bursal disease virus，简称IBDV）引起、发生在鸡身上的一种常见病害。","2024-01-13T01:35:56.357255Z"
79,"1","2024-01-13T01:36:22.282698Z",78,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":2,""end"":6,""text"":""增重减少"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""死亡"",""labels"":[""symptom""]},{""start"":10,""end"":16,""text"":""机体严重脱水"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""脱水"",""labels"":[""pathology""]},{""start"":17,""end"":22,""text"":""骨骼肌出血"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""出血"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""机体"",""labels"":[""bodypart""]},{""start"":17,""end"":20,""text"":""骨骼肌"",""labels"":[""bodypart""]}]",194.444,"病鸡增重减少、死亡、机体严重脱水和骨骼肌出血。","2024-01-15T04:11:07.079003Z"
80,"1","2024-01-13T01:37:54.993329Z",79,"[{""start"":0,""end"":8,""text"":""鸡传染性法氏囊病"",""labels"":[""disease""]},{""start"":15,""end"":18,""text"":""感染鸡"",""labels"":[""type""]},{""start"":43,""end"":46,""text"":""产蛋鸡"",""labels"":[""type""]},{""start"":70,""end"":72,""text"":""鸡群"",""labels"":[""type""]},{""start"":22,""end"":26,""text"":""免疫失败"",""labels"":[""pathology""]},{""start"":33,""end"":38,""text"":""易感性增强"",""labels"":[""pathology""]}]",118.82400000000001,"鸡传染性法氏囊病引起免疫抑制，感染鸡常常发生免疫失败和对其他病原的易感性增强，感染后对产蛋鸡可以造成高达70%的死亡率。而且具有高母源抗体的鸡群也可发病。","2024-01-17T08:00:37.144472Z"
128,"1","2024-01-13T16:16:50.095288Z",80,"",1.206,"该传染病在世界上主要养鸡国家迅速流行，经济损失惨重。1980年以后该病传入中国并大面积暴发和持续流行，严重影响了中国养鸡业的发展。","2024-01-13T16:16:50.095288Z"
81,"1","2024-01-13T01:38:52.145216Z",81,"[{""start"":15,""end"":18,""text"":""健全防"",""labels"":[""control""]},{""start"":19,""end"":23,""text"":""检疫制度"",""labels"":[""control""]},{""start"":27,""end"":31,""text"":""自繁自养"",""labels"":[""control""]},{""start"":62,""end"":72,""text"":""在检疫和免疫后再引进"",""labels"":[""control""]},{""start"":75,""end"":79,""text"":""隔离观察"",""labels"":[""control""]},{""start"":80,""end"":89,""text"":""确认健康后方可混群"",""labels"":[""control""]},{""start"":90,""end"":99,""text"":""定期对鸡舍进行消毒"",""labels"":[""control""]},{""start"":32,""end"":36,""text"":""不从外地"",""labels"":[""control""]},{""start"":48,""end"":50,""text"":""种鸡"",""labels"":[""type""]}]",93.14500000000001,"预防该传染病最有效的方式是建立健全防、检疫制度，要坚持自繁自养，不从外地（特别是IBD疫区）引进种鸡、种蛋，必须引进时，也要在检疫和免疫后再引进，且需隔离观察，确认健康后方可混群；定期对鸡舍进行消毒。","2024-01-15T04:12:02.108540Z"
82,"1","2024-01-13T01:41:30.809745Z",82,"[{""start"":1,""end"":4,""text"":""易感鸡"",""labels"":[""type""]},{""start"":21,""end"":26,""text"":""自啄泄殖腔"",""labels"":[""symptom""]},{""start"":27,""end"":29,""text"":""减食"",""labels"":[""symptom""]},{""start"":30,""end"":34,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":35,""end"":39,""text"":""羽毛蓬乱"",""labels"":[""symptom""]},{""start"":40,""end"":46,""text"":""头及翅膀下垂"",""labels"":[""symptom""]},{""start"":47,""end"":49,""text"":""嗜睡"",""labels"":[""symptom""]},{""start"":50,""end"":54,""text"":""眼睑闭合"",""labels"":[""symptom""]},{""start"":55,""end"":59,""text"":""呆立一隅"",""labels"":[""symptom""]},{""start"":60,""end"":64,""text"":""不愿走动"",""labels"":[""symptom""]},{""start"":65,""end"":69,""text"":""步态不稳"",""labels"":[""symptom""]},{""start"":70,""end"":72,""text"":""卧地"",""labels"":[""symptom""]},{""start"":73,""end"":75,""text"":""震额"",""labels"":[""symptom""]},{""start"":76,""end"":83,""text"":""白色或水样腹泻"",""labels"":[""symptom""]},{""start"":84,""end"":93,""text"":""肛门周围羽毛有泥土"",""labels"":[""symptom""]},{""start"":97,""end"":99,""text"":""啄肛"",""labels"":[""symptom""]},{""start"":18,""end"":19,""text"":""鸡"",""labels"":[""type""]},{""start"":23,""end"":26,""text"":""泄殖腔"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""蓬乱"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""下垂"",""labels"":[""symptom""]},{""start"":40,""end"":41,""text"":""头"",""labels"":[""bodypart""]},{""start"":42,""end"":44,""text"":""翅膀"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""眼睑"",""labels"":[""bodypart""]},{""start"":52,""end"":54,""text"":""闭合"",""labels"":[""symptom""]},{""start"":76,""end"":78,""text"":""白色"",""labels"":[""symptom""]},{""start"":84,""end"":86,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":88,""end"":90,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":98,""end"":99,""text"":""肛"",""labels"":[""bodypart""]},{""start"":94,""end"":96,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":81,""end"":82,""text"":""腹"",""labels"":[""bodypart""]}]",297.813,"在易感鸡群中，初发的IBD多呈急性型鸡表现自啄泄殖腔、减食，精神沉郁，羽毛蓬乱，头及翅膀下垂；嗜睡，眼睑闭合，呆立一隅，不愿走动，步态不稳，卧地，震额；白色或水样腹泻，肛门周围羽毛有泥土、粪便，啄肛。","2024-01-15T04:12:27.529039Z"
129,"1","2024-01-13T16:16:56.321746Z",83,"[{""start"":18,""end"":23,""text"":""死亡高峰期"",""labels"":[""symptom""]}]",1371.9260000000002,"感染后的第二天开始陆续有死亡现象出现死亡高峰期一般在感染后的第3~4天，第5~7天后开始恢复。","2024-01-17T08:01:02.665086Z"
83,"1","2024-01-13T01:41:51.112779Z",84,"[{""start"":19,""end"":23,""text"":""体重减轻"",""labels"":[""symptom""]},{""start"":29,""end"":34,""text"":""特异性抗体"",""labels"":[""symptom""]}]",17.531,"亚临床感染不表现明显可见的临床症状，但体重减轻，有时可查出特异性抗体。","2024-01-17T08:01:11.439055Z"
84,"1","2024-01-13T01:42:16.413755Z",85,"[{""start"":0,""end"":2,""text"":""死鸡"",""labels"":[""type""]},{""start"":6,""end"":8,""text"":""脱水"",""labels"":[""pathology""]},{""start"":9,""end"":17,""text"":""法氏囊充血和水肿"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""充血"",""labels"":[""pathology""]},{""start"":15,""end"":17,""text"":""水肿"",""labels"":[""pathology""]},{""start"":9,""end"":12,""text"":""法氏囊"",""labels"":[""bodypart""]}]",21.805,"死鸡剖检可见脱水而法氏囊充血和水肿比正常的肿大约2倍。","2024-01-13T01:42:16.413755Z"
85,"1","2024-01-13T01:43:48.583016Z",86,"[{""start"":23,""end"":32,""text"":""法氏囊浆膜明显发炎"",""labels"":[""pathology""]},{""start"":30,""end"":32,""text"":""发炎"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""法氏"",""labels"":[""bodypart""]},{""start"":23,""end"":28,""text"":""法氏囊浆膜"",""labels"":[""bodypart""]},{""start"":34,""end"":40,""text"":""浆液性渗出物"",""labels"":[""pathology""]},{""start"":41,""end"":58,""text"":""法氏囊的粘膜表面有出血性淤点或淤斑"",""labels"":[""pathology""]},{""start"":41,""end"":49,""text"":""法氏囊的粘膜表面"",""labels"":[""bodypart""]},{""start"":50,""end"":55,""text"":""出血性淤点"",""labels"":[""pathology""]},{""start"":56,""end"":58,""text"":""淤斑"",""labels"":[""pathology""]},{""start"":61,""end"":65,""text"":""紫葡萄样"",""labels"":[""pathology""]}]",90.068,"法氏是该病毒的主要侵害器官，变化明显，严重病例法氏囊浆膜明显发炎，有浆液性渗出物，法氏囊的粘膜表面有出血性淤点或淤斑甚至“紫葡萄样”外观。","2024-01-13T01:43:48.583016Z"
