"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
117,"1","2024-01-13T16:04:53.479395Z",122,"[{""start"":0,""end"":8,""text"":""鸡传染性脑脊髓炎"",""labels"":[""disease""]},{""start"":43,""end"":45,""text"":""幼鸡"",""labels"":[""type""]},{""start"":51,""end"":55,""text"":""共济失调"",""labels"":[""pathology""]},{""start"":56,""end"":60,""text"":""快速震颤"",""labels"":[""pathology""]},{""start"":63,""end"":67,""text"":""头部震颤"",""labels"":[""pathology""]},{""start"":63,""end"":65,""text"":""头部"",""labels"":[""bodypart""]},{""start"":65,""end"":67,""text"":""震颤"",""labels"":[""pathology""]}]",43.131,"鸡传染性脑脊髓炎(Avian Encephalomyelitis，AE)是一种主要侵害幼鸡的传染病，以共济失调和快速震颤特别是头部震颤为特征。AE很大程度上是一种经蛋传播的疾病。","2024-01-17T07:37:30.578146Z"
134,"1","2024-01-13T16:17:26.418222Z",123,"[{""start"":14,""end"":16,""text"":""小鸡"",""labels"":[""type""]},{""start"":32,""end"":34,""text"":""小鸡"",""labels"":[""type""]}]",7.657,"临床症状：经垂直传播而感染的小鸡潜伏期1～7天，经水平传播感染的小鸡，其潜伏期为11天以上(12～30天)。","2024-01-15T04:51:33.809575Z"
118,"1","2024-01-13T16:10:05.322142Z",124,"[{""start"":32,""end"":36,""text"":""石岐杂鸡"",""labels"":[""type""]},{""start"":7,""end"":15,""text"":""3周龄以内的雏鸡"",""labels"":[""type""]}]",17.595,"此病主要发生于3周龄以内的雏鸡，笔者也曾多次确诊过于6～7周龄的石岐杂鸡发生AE的病例。","2024-01-15T04:51:48.174914Z"
119,"1","2024-01-13T16:11:05.731256Z",125,"[{""start"":10,""end"":12,""text"":""雏鸡"",""labels"":[""type""]},{""start"":21,""end"":23,""text"":""病雏"",""labels"":[""type""]},{""start"":28,""end"":30,""text"":""迟钝"",""labels"":[""symptom""]},{""start"":31,""end"":35,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":36,""end"":50,""text"":""小鸡不愿走动或走几步就蹲下来"",""labels"":[""symptom""]},{""start"":51,""end"":58,""text"":""常以跗关节着地"",""labels"":[""symptom""]},{""start"":63,""end"":67,""text"":""共济失调"",""labels"":[""symptom""]},{""start"":68,""end"":72,""text"":""走路蹒跚"",""labels"":[""symptom""]},{""start"":73,""end"":77,""text"":""步态不稳"",""labels"":[""symptom""]},{""start"":78,""end"":94,""text"":""驱赶时勉强用跗关节走路并拍动翅膀"",""labels"":[""symptom""]},{""start"":36,""end"":38,""text"":""小鸡"",""labels"":[""type""]},{""start"":53,""end"":56,""text"":""跗关节"",""labels"":[""bodypart""]},{""start"":84,""end"":87,""text"":""跗关节"",""labels"":[""bodypart""]},{""start"":92,""end"":94,""text"":""翅膀"",""labels"":[""bodypart""]}]",59.057,"在自然暴发的病例中，雏鸡出壳后就陆续发病，病雏最初表现为迟钝，精神沉郁，小鸡不愿走动或走几步就蹲下来，常以跗关节着地，继而出现共济失调，走路蹒跚，步态不稳，驱赶时勉强用跗关节走路并拍动翅膀。","2024-01-13T16:11:05.731256Z"
120,"1","2024-01-13T16:11:42.666341Z",126,"[{""start"":0,""end"":2,""text"":""病雏"",""labels"":[""type""]},{""start"":12,""end"":14,""text"":""麻痹"",""labels"":[""symptom""]},{""start"":15,""end"":19,""text"":""倒地侧卧"",""labels"":[""symptom""]},{""start"":41,""end"":50,""text"":""阵发性音叉式的震颤"",""labels"":[""symptom""]},{""start"":20,""end"":25,""text"":""头颈部震颤"",""labels"":[""symptom""]},{""start"":23,""end"":25,""text"":""震颤"",""labels"":[""symptom""]},{""start"":20,""end"":23,""text"":""头颈部"",""labels"":[""bodypart""]}]",52.023,"病雏一般在发病3天后出现麻痹而倒地侧卧，头颈部震颤一般在发病5天后逐渐出现，一般呈阵发性音叉式的震颤；人工刺激如给水加料、驱赶、倒提时可激发。","2024-01-17T07:38:18.967018Z"
121,"1","2024-01-13T16:13:09.471451Z",127,"[{""start"":2,""end"":4,""text"":""病鸡"",""labels"":[""type""]},{""start"":10,""end"":14,""text"":""运动障碍"",""labels"":[""symptom""]},{""start"":15,""end"":19,""text"":""羽毛不整"",""labels"":[""symptom""]},{""start"":20,""end"":24,""text"":""发育受阻"",""labels"":[""symptom""]},{""start"":15,""end"":17,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":25,""end"":37,""text"":""平均体重明显低于正常水平"",""labels"":[""symptom""]},{""start"":40,""end"":43,""text"":""存活鸡"",""labels"":[""type""]},{""start"":45,""end"":64,""text"":""一侧或两侧眼球的晶状体混浊或浅蓝色褪色"",""labels"":[""pathology""]},{""start"":65,""end"":72,""text"":""眼球增大及失明"",""labels"":[""pathology""]},{""start"":56,""end"":58,""text"":""混浊"",""labels"":[""pathology""]},{""start"":59,""end"":62,""text"":""浅蓝色"",""labels"":[""pathology""]},{""start"":62,""end"":64,""text"":""褪色"",""labels"":[""pathology""]},{""start"":67,""end"":69,""text"":""增大"",""labels"":[""pathology""]},{""start"":70,""end"":72,""text"":""失明"",""labels"":[""pathology""]},{""start"":50,""end"":52,""text"":""眼球"",""labels"":[""bodypart""]},{""start"":53,""end"":56,""text"":""晶状体"",""labels"":[""bodypart""]},{""start"":65,""end"":67,""text"":""眼球"",""labels"":[""bodypart""]},{""start"":4,""end"":9,""text"":""趾关节卷曲"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""卷曲"",""labels"":[""symptom""]},{""start"":4,""end"":7,""text"":""趾关节"",""labels"":[""bodypart""]}]",108.416,"有些病鸡趾关节卷曲、运动障碍、羽毛不整和发育受阻，平均体重明显低于正常水平。部分存活鸡可见一侧或两侧眼球的晶状体混浊或浅蓝色褪色，眼球增大及失明。","2024-01-15T04:52:29.439431Z"
122,"1","2024-01-13T16:13:22.484558Z",128,"[{""start"":4,""end"":6,""text"":""小鸡"",""labels"":[""type""]},{""start"":18,""end"":20,""text"":""病鸡"",""labels"":[""type""]},{""start"":13,""end"":17,""text"":""运动障碍"",""labels"":[""symptom""]},{""start"":30,""end"":36,""text"":""饥渴衰竭死亡"",""labels"":[""symptom""]}]",33.195,"发病早期小鸡食欲尚好，但因运动障碍，病鸡难以接近食槽和水槽而饥渴衰竭死亡。","2024-01-15T04:53:14.528726Z"
123,"1","2024-01-13T16:13:51.729816Z",129,"[{""start"":9,""end"":10,""text"":""鸡"",""labels"":[""type""]},{""start"":20,""end"":25,""text"":""细菌性感染"",""labels"":[""disease""]},{""start"":37,""end"":44,""text"":""血清学阳性反应"",""labels"":[""pathology""]},{""start"":29,""end"":32,""text"":""中成鸡"",""labels"":[""type""]}]",21.937,"在大群饲养条件下，鸡只也会互相践踏或继发细菌性感染而死亡。中成鸡感染除出现血清学阳性反应外，无明显的临诊症状及肉眼可见的病理变化。","2024-01-13T16:13:51.729816Z"
124,"1","2024-01-13T16:14:14.450955Z",130,"[{""start"":0,""end"":3,""text"":""产蛋鸡"",""labels"":[""type""]},{""start"":6,""end"":10,""text"":""产蛋下降"",""labels"":[""symptom""]},{""start"":46,""end"":50,""text"":""蛋重减少"",""labels"":[""symptom""]},{""start"":32,""end"":38,""text"":""孵化率可下降"",""labels"":[""symptom""]},{""start"":52,""end"":57,""text"":""畸形蛋稍多"",""labels"":[""symptom""]},{""start"":59,""end"":67,""text"":""蛋壳颜色基本正常"",""labels"":[""symptom""]}]",33.286,"产蛋鸡感染后产蛋下降16%～43%。产蛋下降后1～2周恢复正常。孵化率可下降10%～35%，蛋重减少，除畸形蛋稍多外，蛋壳颜色基本正常。","2024-01-15T04:53:36.230804Z"
125,"1","2024-01-13T16:14:59.340168Z",131,"[{""start"":7,""end"":11,""text"":""内脏器官"",""labels"":[""bodypart""]},{""start"":35,""end"":37,""text"":""出血"",""labels"":[""pathology""]},{""start"":46,""end"":60,""text"":""病雏肌胃的肌层有散在的灰白区"",""labels"":[""pathology""]},{""start"":46,""end"":48,""text"":""病雏"",""labels"":[""type""]},{""start"":48,""end"":50,""text"":""肌胃"",""labels"":[""bodypart""]},{""start"":51,""end"":53,""text"":""肌层"",""labels"":[""bodypart""]},{""start"":61,""end"":64,""text"":""成年鸡"",""labels"":[""type""]},{""start"":28,""end"":34,""text"":""脑膜血管充血"",""labels"":[""pathology""]},{""start"":32,""end"":34,""text"":""充血"",""labels"":[""pathology""]},{""start"":28,""end"":32,""text"":""脑膜血管"",""labels"":[""bodypart""]}]",57.362,"剖检变化：一般内脏器官无特征性的肉眼病变，个别病例能见到脑膜血管充血、出血。如细心观察可偶见病雏肌胃的肌层有散在的灰白区。成年鸡发病无上述病变。","2024-01-15T04:53:52.723433Z"
