"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
174,"1","2024-01-15T12:03:15.577379Z",172,"[{""start"":0,""end"":4,""text"":""鸡球虫病"",""labels"":[""disease""]},{""start"":58,""end"":62,""text"":""寄生虫病"",""labels"":[""disease""]},{""start"":75,""end"":84,""text"":""急性流行性寄生虫病"",""labels"":[""disease""]},{""start"":47,""end"":48,""text"":""鸡"",""labels"":[""type""]}]",535.048,"鸡球虫病（Avian coccidiosis，Coccidiosis in Chicken）是鸡常见且危害十分严重的寄生虫病，是由一种或多种球虫引起的急性流行性寄生虫病。它造成的经济损失是惊人的。","2024-01-15T12:03:15.577379Z"
175,"1","2024-01-15T12:03:28.680710Z",173,"[{""start"":8,""end"":10,""text"":""雏鸡"",""labels"":[""type""]},{""start"":19,""end"":22,""text"":""青年鸡"",""labels"":[""type""]}]",6.632,"10～30日龄的雏鸡或35～60日龄的青年鸡的发病率和致死率可高达80%。","2024-01-15T12:03:28.680710Z"
176,"1","2024-01-15T12:03:52.388838Z",174,"[{""start"":3,""end"":5,""text"":""雏鸡"",""labels"":[""type""]},{""start"":5,""end"":9,""text"":""生长受阻"",""labels"":[""symptom""]},{""start"":10,""end"":14,""text"":""增重缓慢"",""labels"":[""symptom""]},{""start"":30,""end"":39,""text"":""增重和产蛋能力降低"",""labels"":[""symptom""]},{""start"":43,""end"":46,""text"":""球虫病"",""labels"":[""disease""]},{""start"":15,""end"":18,""text"":""成年鸡"",""labels"":[""type""]},{""start"":52,""end"":58,""text"":""其他类传染病"",""labels"":[""disease""]},{""start"":59,""end"":63,""text"":""寄生虫病"",""labels"":[""disease""]}]",38.655,"病愈的雏鸡生长受阻，增重缓慢；成年鸡一般不发病，但为带虫者，增重和产蛋能力降低，是传播球虫病的重要病源。其他类传染病、寄生虫病。","2024-01-17T07:52:35.371279Z"
177,"1","2024-01-15T12:33:56.868166Z",175,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":47,""end"":49,""text"":""病鸡"",""labels"":[""type""]},{""start"":63,""end"":70,""text"":""柔嫩艾美耳球虫"",""labels"":[""disease""]},{""start"":2,""end"":6,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":7,""end"":11,""text"":""羽毛蓬松"",""labels"":[""symptom""]},{""start"":12,""end"":15,""text"":""头卷缩"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":21,""end"":28,""text"":""嗉囊内充满液体"",""labels"":[""symptom""]},{""start"":29,""end"":38,""text"":""鸡冠和可视粘膜贫血"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":12,""end"":13,""text"":""头"",""labels"":[""bodypart""]},{""start"":21,""end"":23,""text"":""嗉囊"",""labels"":[""bodypart""]},{""start"":29,""end"":31,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":32,""end"":36,""text"":""可视粘膜"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""蓬松"",""labels"":[""symptom""]},{""start"":13,""end"":15,""text"":""卷缩"",""labels"":[""symptom""]},{""start"":36,""end"":38,""text"":""贫血"",""labels"":[""symptom""]},{""start"":39,""end"":41,""text"":""苍白"",""labels"":[""symptom""]},{""start"":42,""end"":46,""text"":""逐渐消瘦"",""labels"":[""symptom""]},{""start"":49,""end"":59,""text"":""常排红色葫萝卜样粪便"",""labels"":[""symptom""]},{""start"":57,""end"":59,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":51,""end"":53,""text"":""红色"",""labels"":[""symptom""]},{""start"":71,""end"":80,""text"":""开始时粪便为咖啡色"",""labels"":[""symptom""]},{""start"":82,""end"":90,""text"":""后变为完全的血粪"",""labels"":[""symptom""]},{""start"":77,""end"":80,""text"":""咖啡色"",""labels"":[""symptom""]},{""start"":74,""end"":76,""text"":""粪便"",""labels"":[""bodypart""]}]",1779.473,"病鸡精神沉郁，羽毛蓬松，头卷缩，食欲减退，嗉囊内充满液体，鸡冠和可视粘膜贫血、苍白，逐渐消瘦，病鸡常排红色葫萝卜样粪便，若感染柔嫩艾美耳球虫，开始时粪便为咖啡色，以后变为完全的血粪，如不及时采取措施，致死率可达50%以上。","2024-01-15T12:33:56.868166Z"
178,"1","2024-01-15T12:34:19.283621Z",176,"[{""start"":1,""end"":9,""text"":""多种球虫混合感染"",""labels"":[""disease""]},{""start"":10,""end"":16,""text"":""粪便中带血液"",""labels"":[""symptom""]},{""start"":18,""end"":28,""text"":""含有大量脱落的肠粘膜"",""labels"":[""symptom""]},{""start"":10,""end"":12,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":14,""end"":16,""text"":""血液"",""labels"":[""bodypart""]},{""start"":25,""end"":28,""text"":""肠粘膜"",""labels"":[""bodypart""]}]",19.709,"若多种球虫混合感染，粪便中带血液，并含有大量脱落的肠粘膜。","2024-01-15T12:34:19.283621Z"
179,"1","2024-01-15T12:35:40.994528Z",177,"[{""start"":0,""end"":5,""text"":""急性球虫病"",""labels"":[""disease""]},{""start"":6,""end"":8,""text"":""精神"",""labels"":[""symptom""]},{""start"":9,""end"":13,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":14,""end"":18,""text"":""饮欲增加"",""labels"":[""symptom""]},{""start"":19,""end"":23,""text"":""被毛粗乱"",""labels"":[""symptom""]},{""start"":24,""end"":26,""text"":""腹泻"",""labels"":[""symptom""]},{""start"":27,""end"":32,""text"":""粪便常带血"",""labels"":[""symptom""]},{""start"":33,""end"":35,""text"":""贫血"",""labels"":[""symptom""]},{""start"":44,""end"":48,""text"":""肉垂苍白"",""labels"":[""symptom""]},{""start"":46,""end"":48,""text"":""苍白"",""labels"":[""symptom""]},{""start"":21,""end"":23,""text"":""粗乱"",""labels"":[""symptom""]},{""start"":19,""end"":21,""text"":""被毛"",""labels"":[""bodypart""]},{""start"":24,""end"":25,""text"":""腹"",""labels"":[""bodypart""]},{""start"":27,""end"":29,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":36,""end"":40,""text"":""可视粘膜"",""labels"":[""bodypart""]},{""start"":41,""end"":43,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":44,""end"":46,""text"":""肉垂"",""labels"":[""bodypart""]},{""start"":49,""end"":51,""text"":""脱水"",""labels"":[""symptom""]},{""start"":52,""end"":56,""text"":""皮肤皱缩"",""labels"":[""symptom""]},{""start"":54,""end"":56,""text"":""皱缩"",""labels"":[""symptom""]},{""start"":57,""end"":63,""text"":""生产性能下降"",""labels"":[""symptom""]},{""start"":64,""end"":72,""text"":""严重的可引起死亡"",""labels"":[""symptom""]},{""start"":92,""end"":99,""text"":""恢复者生长缓慢"",""labels"":[""symptom""]},{""start"":52,""end"":54,""text"":""皮肤"",""labels"":[""bodypart""]}]",79.559,"急性球虫病：精神、食欲不振，饮欲增加；被毛粗乱；腹泻，粪便常带血；贫血，可视粘膜、鸡冠、肉垂苍白；脱水，皮肤皱缩；生产性能下降；严重的可引起死亡，死亡率可达80%，一般为20-30%。恢复者生长缓慢。","2024-01-15T12:35:40.994528Z"
180,"1","2024-01-15T12:36:00.164604Z",178,"[{""start"":0,""end"":5,""text"":""慢性球虫病"",""labels"":[""disease""]},{""start"":8,""end"":14,""text"":""少量球虫感染"",""labels"":[""disease""]},{""start"":17,""end"":27,""text"":""致病力不强的球虫感染"",""labels"":[""disease""]},{""start"":29,""end"":31,""text"":""堆型"",""labels"":[""disease""]},{""start"":32,""end"":39,""text"":""巨型艾美耳球虫"",""labels"":[""disease""]}]",15.462,"慢性球虫病：见于少量球虫感染，以及致病力不强的球虫感染（如堆型、巨型艾美耳球虫）。","2024-01-15T12:36:00.164604Z"
181,"1","2024-01-15T12:36:13.688291Z",179,"[{""start"":0,""end"":2,""text"":""拉稀"",""labels"":[""bodypart""]},{""start"":4,""end"":8,""text"":""多不带血"",""labels"":[""bodypart""]},{""start"":9,""end"":15,""text"":""生产性能下降"",""labels"":[""bodypart""]},{""start"":16,""end"":26,""text"":""对其它疾病易感性增强"",""labels"":[""bodypart""]}]",10.701,"拉稀，但多不带血。生产性能下降，对其它疾病易感性增强。","2024-01-15T12:36:13.688291Z"
182,"1","2024-01-15T12:37:03.936952Z",180,"[{""start"":2,""end"":4,""text"":""消瘦"",""labels"":[""symptom""]},{""start"":5,""end"":12,""text"":""鸡冠与粘膜苍白"",""labels"":[""symptom""]},{""start"":10,""end"":12,""text"":""苍白"",""labels"":[""symptom""]},{""start"":13,""end"":17,""text"":""内脏变化"",""labels"":[""symptom""]},{""start"":22,""end"":24,""text"":""肠管"",""labels"":[""bodypart""]},{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""bodypart""]},{""start"":5,""end"":7,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":8,""end"":10,""text"":""粘膜"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""内脏"",""labels"":[""bodypart""]}]",48.461,"病鸡消瘦，鸡冠与粘膜苍白，内脏变化主要发生在肠管，病变部位和程度与球虫的种别有关。","2024-01-15T12:37:03.936952Z"
183,"1","2024-01-15T12:40:24.896559Z",181,"[{""start"":0,""end"":7,""text"":""柔嫩艾美耳球虫"",""labels"":[""disease""]},{""start"":9,""end"":13,""text"":""侵害盲肠"",""labels"":[""symptom""]},{""start"":14,""end"":22,""text"":""两支盲肠显著肿大"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""肿大"",""labels"":[""pathology""]},{""start"":33,""end"":50,""text"":""肠腔中充满凝固的或新鲜的暗红色血液"",""labels"":[""pathology""]},{""start"":45,""end"":48,""text"":""暗红色"",""labels"":[""pathology""]},{""start"":51,""end"":57,""text"":""盲肠上皮变厚"",""labels"":[""pathology""]},{""start"":59,""end"":64,""text"":""严重的糜烂"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""盲肠"",""labels"":[""bodypart""]},{""start"":16,""end"":18,""text"":""盲肠"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""肠腔"",""labels"":[""bodypart""]},{""start"":51,""end"":55,""text"":""盲肠上皮"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""血液"",""labels"":[""bodypart""]}]",197.582,"柔嫩艾美耳球虫主要侵害盲肠，两支盲肠显著肿大，可为正常的3～5倍，肠腔中充满凝固的或新鲜的暗红色血液，盲肠上皮变厚，有严重的糜烂。","2024-01-15T12:40:24.896559Z"
