"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
240,"1","2024-01-15T15:26:02.923172Z",238,"[{""start"":0,""end"":5,""text"":""鸡输卵管炎"",""labels"":[""disease""]},{""start"":6,""end"":8,""text"":""病禽"",""labels"":[""type""]},{""start"":13,""end"":17,""text"":""疼痛不安"",""labels"":[""symptom""]},{""start"":23,""end"":32,""text"":""蛋壳上往往带有血迹"",""labels"":[""symptom""]}]",25.41,"鸡输卵管炎，病禽主要表现为疼痛不安，产出的蛋其蛋壳上往往带有血迹。病因比较复杂，是威胁养鸡业健康发展多发病之一。","2024-01-15T15:26:02.923172Z"
241,"1","2024-01-15T15:27:40.838874Z",239,"[{""start"":0,""end"":3,""text"":""卵巢炎"",""labels"":[""disease""]},{""start"":4,""end"":8,""text"":""输卵管炎"",""labels"":[""disease""]},{""start"":9,""end"":12,""text"":""腹膜炎"",""labels"":[""disease""]},{""start"":13,""end"":14,""text"":""鸡"",""labels"":[""type""]},{""start"":18,""end"":21,""text"":""产蛋鸡"",""labels"":[""type""]},{""start"":32,""end"":34,""text"":""卵巢"",""labels"":[""bodypart""]},{""start"":35,""end"":38,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":50,""end"":54,""text"":""卵泡变形"",""labels"":[""pathology""]},{""start"":55,""end"":57,""text"":""充血"",""labels"":[""pathology""]},{""start"":58,""end"":60,""text"":""出血"",""labels"":[""pathology""]},{""start"":62,""end"":65,""text"":""红褐色"",""labels"":[""pathology""]},{""start"":66,""end"":69,""text"":""灰褐色"",""labels"":[""pathology""]},{""start"":72,""end"":74,""text"":""破裂"",""labels"":[""pathology""]},{""start"":52,""end"":54,""text"":""变形"",""labels"":[""pathology""]},{""start"":50,""end"":52,""text"":""卵泡"",""labels"":[""bodypart""]},{""start"":75,""end"":85,""text"":""破裂于腹腔中的蛋黄液"",""labels"":[""pathology""]},{""start"":86,""end"":89,""text"":""味恶臭"",""labels"":[""pathology""]},{""start"":92,""end"":96,""text"":""卵泡皱缩"",""labels"":[""pathology""]},{""start"":94,""end"":96,""text"":""皱缩"",""labels"":[""pathology""]},{""start"":97,""end"":102,""text"":""形状不整齐"",""labels"":[""pathology""]},{""start"":104,""end"":107,""text"":""金黄色"",""labels"":[""pathology""]},{""start"":108,""end"":110,""text"":""褐色"",""labels"":[""pathology""]},{""start"":111,""end"":114,""text"":""无光泽"",""labels"":[""pathology""]},{""start"":121,""end"":125,""text"":""肠道粘连"",""labels"":[""pathology""]},{""start"":123,""end"":125,""text"":""粘连"",""labels"":[""pathology""]},{""start"":126,""end"":137,""text"":""输卵管有黄白色干酪样物"",""labels"":[""pathology""]},{""start"":130,""end"":133,""text"":""黄白色"",""labels"":[""pathology""]},{""start"":78,""end"":80,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":92,""end"":94,""text"":""卵泡"",""labels"":[""bodypart""]},{""start"":121,""end"":123,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":126,""end"":129,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":39,""end"":43,""text"":""腹膜发炎"",""labels"":[""pathology""]},{""start"":41,""end"":43,""text"":""发炎"",""labels"":[""pathology""]},{""start"":39,""end"":41,""text"":""腹膜"",""labels"":[""bodypart""]}]",119.723,"卵巢炎、输卵管炎及腹膜炎是鸡，特别是产蛋鸡的一种常见病，临床上以卵巢、输卵管、腹膜发炎为特征，严重时卵泡变形、充血、出血，呈红褐色或灰褐色，甚至破裂，破裂于腹腔中的蛋黄液，味恶臭，有时卵泡皱缩，形状不整齐，呈金黄色或褐色，无光泽，病情稍长时，肠道粘连，输卵管有黄白色干酪样物。病因比较复杂，是威胁养鸡业健康发展多发病之一。","2024-01-17T08:23:51.984137Z"
242,"1","2024-01-15T15:29:14.905808Z",240,"[{""start"":9,""end"":12,""text"":""泄殖腔"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""细菌"",""labels"":[""disease""]},{""start"":17,""end"":23,""text"":""白痢沙门氏菌"",""labels"":[""disease""]},{""start"":24,""end"":29,""text"":""副伤寒杆菌"",""labels"":[""disease""]},{""start"":30,""end"":34,""text"":""大肠杆菌"",""labels"":[""disease""]},{""start"":41,""end"":44,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":71,""end"":74,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":78,""end"":83,""text"":""损伤输卵管"",""labels"":[""symptom""]},{""start"":80,""end"":83,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":95,""end"":99,""text"":""维生素A"",""labels"":[""drug""]},{""start"":100,""end"":101,""text"":""D"",""labels"":[""drug""]},{""start"":102,""end"":103,""text"":""E"",""labels"":[""drug""]},{""start"":108,""end"":112,""text"":""输卵管炎"",""labels"":[""disease""]},{""start"":116,""end"":120,""text"":""输卵管炎"",""labels"":[""disease""]},{""start"":113,""end"":115,""text"":""家禽"",""labels"":[""type""]},{""start"":126,""end"":131,""text"":""输卵管脱垂"",""labels"":[""pathology""]},{""start"":129,""end"":131,""text"":""脱垂"",""labels"":[""pathology""]},{""start"":126,""end"":129,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":132,""end"":134,""text"":""难产"",""labels"":[""symptom""]}]",91.917,"禽舍卫生条件太差，泄殖腔被细菌（如白痢沙门氏菌、副伤寒杆菌、大肠杆菌等）污染而侵入输卵管；或饲喂动物性饲料过多，产蛋过大或产双黄蛋，有时蛋壳在输卵管中破裂，损伤输卵管；或产蛋过多、饲料中缺乏维生素A、D、E等均可导致输卵管炎。家禽患输卵管炎，往往会引起输卵管脱垂、难产等。","2024-01-15T15:29:14.905808Z"
243,"1","2024-01-15T15:29:26.466832Z",241,"[{""start"":2,""end"":4,""text"":""鸡群"",""labels"":[""type""]}]",4.07,"1、鸡群外观一切正常,但产蛋无高峰期","2024-01-15T15:29:26.467829Z"
244,"1","2024-01-15T15:29:47.671429Z",242,"[{""start"":2,""end"":4,""text"":""病鸡"",""labels"":[""type""]},{""start"":4,""end"":6,""text"":""冠厚"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""鲜红"",""labels"":[""symptom""]},{""start"":10,""end"":14,""text"":""腹部下垂"",""labels"":[""symptom""]},{""start"":12,""end"":14,""text"":""下垂"",""labels"":[""symptom""]},{""start"":4,""end"":5,""text"":""冠"",""labels"":[""bodypart""]},{""start"":10,""end"":12,""text"":""腹部"",""labels"":[""bodypart""]}]",18.472,"2、病鸡冠厚,鲜红,腹部下垂","2024-01-15T15:29:47.671429Z"
245,"1","2024-01-15T15:30:49.524562Z",243,"[{""start"":2,""end"":13,""text"":""输卵管内有大小不等水泡"",""labels"":[""pathology""]},{""start"":2,""end"":5,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":51,""end"":52,""text"":""鸡"",""labels"":[""type""]},{""start"":52,""end"":55,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":61,""end"":69,""text"":""盲端或输卵管狭窄"",""labels"":[""symptom""]},{""start"":70,""end"":75,""text"":""无输卵管口"",""labels"":[""symptom""]},{""start"":67,""end"":69,""text"":""狭窄"",""labels"":[""symptom""]},{""start"":61,""end"":63,""text"":""盲端"",""labels"":[""bodypart""]},{""start"":64,""end"":67,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":71,""end"":74,""text"":""输卵管"",""labels"":[""bodypart""]}]",59.612,"3、输卵管内有大小不等水泡,大的有600多毫升,小的有几毫升.积水是清凉,无色,透明,无味的液体.有些鸡输卵管无积水,但有盲端或输卵管狭窄或无输卵管口","2024-01-15T15:30:49.524562Z"
246,"1","2024-01-16T03:33:15.126557Z",244,"[{""start"":5,""end"":7,""text"":""病鸡"",""labels"":[""type""]},{""start"":7,""end"":9,""text"":""卵泡"",""labels"":[""bodypart""]},{""start"":17,""end"":19,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":28,""end"":30,""text"":""卵子"",""labels"":[""bodypart""]},{""start"":16,""end"":17,""text"":""鸡"",""labels"":[""type""]},{""start"":33,""end"":43,""text"":""没有完整功能的输卵管"",""labels"":[""symptom""]},{""start"":44,""end"":48,""text"":""无法产蛋"",""labels"":[""symptom""]},{""start"":49,""end"":56,""text"":""其他器官无异常"",""labels"":[""symptom""]},{""start"":40,""end"":43,""text"":""输卵管"",""labels"":[""bodypart""]}]",36.032,"4、大多数病鸡卵泡发育正常.有的鸡腹腔内有6-7个成熟的卵子,但是没有完整功能的输卵管,无法产蛋,其他器官无异常","2024-01-16T03:33:15.126557Z"
247,"1","2024-01-16T03:35:36.860223Z",245,"[{""start"":0,""end"":2,""text"":""病禽"",""labels"":[""type""]},{""start"":7,""end"":11,""text"":""疼痛不安"",""labels"":[""symptom""]},{""start"":12,""end"":26,""text"":""产出的蛋其蛋壳上往往带有血迹"",""labels"":[""symptom""]},{""start"":27,""end"":36,""text"":""输卵管内经常排出黄"",""labels"":[""symptom""]},{""start"":37,""end"":44,""text"":""白色脓样分泌物"",""labels"":[""symptom""]},{""start"":37,""end"":39,""text"":""白色"",""labels"":[""symptom""]},{""start"":35,""end"":36,""text"":""黄"",""labels"":[""symptom""]},{""start"":45,""end"":58,""text"":""污染肛门周围及其下面的羽毛"",""labels"":[""symptom""]},{""start"":59,""end"":63,""text"":""产蛋困难"",""labels"":[""symptom""]},{""start"":76,""end"":78,""text"":""发热"",""labels"":[""symptom""]},{""start"":84,""end"":88,""text"":""痛苦不安"",""labels"":[""symptom""]},{""start"":89,""end"":93,""text"":""呆立不动"",""labels"":[""symptom""]},{""start"":94,""end"":98,""text"":""两翅下垂"",""labels"":[""symptom""]},{""start"":96,""end"":98,""text"":""下垂"",""labels"":[""symptom""]},{""start"":99,""end"":103,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":101,""end"":103,""text"":""松乱"",""labels"":[""symptom""]},{""start"":106,""end"":113,""text"":""腹部靠地或昏睡"",""labels"":[""symptom""]},{""start"":131,""end"":136,""text"":""输卵管破裂"",""labels"":[""symptom""]},{""start"":115,""end"":122,""text"":""炎症蔓延到腹腔"",""labels"":[""symptom""]},{""start"":134,""end"":136,""text"":""破裂"",""labels"":[""symptom""]},{""start"":115,""end"":117,""text"":""炎症"",""labels"":[""disease""]},{""start"":126,""end"":129,""text"":""腹膜炎"",""labels"":[""disease""]},{""start"":138,""end"":144,""text"":""卵黄性腹膜炎"",""labels"":[""disease""]},{""start"":72,""end"":74,""text"":""病禽"",""labels"":[""type""]},{""start"":27,""end"":30,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":47,""end"":49,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":56,""end"":58,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":95,""end"":96,""text"":""翅"",""labels"":[""bodypart""]},{""start"":99,""end"":101,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":106,""end"":108,""text"":""腹部"",""labels"":[""bodypart""]},{""start"":120,""end"":122,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":131,""end"":134,""text"":""输卵管"",""labels"":[""bodypart""]}]",184.888,"病禽主要表现为疼痛不安，产出的蛋其蛋壳上往往带有血迹。输卵管内经常排出黄、白色脓样分泌物，污染肛门周围及其下面的羽毛，产蛋困难。随着病情的发展，病禽开始发热，而后热退，痛苦不安，呆立不动，两翅下垂，羽毛松乱，有的腹部靠地或昏睡，当炎症蔓延到腹腔时可引起腹膜炎，或输卵管破裂引起卵黄性腹膜炎。","2024-01-16T03:36:26.496323Z"
248,"1","2024-01-16T03:38:16.447316Z",246,"",0.684,"主要剖检变化：","2024-01-16T03:38:16.447316Z"
249,"1","2024-01-16T03:40:04.612887Z",247,"[{""start"":7,""end"":11,""text"":""卵泡变性"",""labels"":[""pathology""]},{""start"":9,""end"":11,""text"":""变性"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""变形"",""labels"":[""pathology""]},{""start"":15,""end"":17,""text"":""充血"",""labels"":[""pathology""]},{""start"":18,""end"":20,""text"":""出血"",""labels"":[""pathology""]},{""start"":21,""end"":23,""text"":""坏死"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":27,""end"":32,""text"":""输卵管水肿"",""labels"":[""pathology""]},{""start"":30,""end"":32,""text"":""水肿"",""labels"":[""pathology""]},{""start"":33,""end"":35,""text"":""变粗"",""labels"":[""pathology""]},{""start"":36,""end"":43,""text"":""内有大量分泌物"",""labels"":[""pathology""]},{""start"":44,""end"":48,""text"":""腹膜发炎"",""labels"":[""pathology""]},{""start"":46,""end"":48,""text"":""发炎"",""labels"":[""pathology""]},{""start"":49,""end"":51,""text"":""充血"",""labels"":[""pathology""]},{""start"":52,""end"":54,""text"":""浑浊"",""labels"":[""pathology""]},{""start"":58,""end"":64,""text"":""卵泡掉入腹腔"",""labels"":[""pathology""]},{""start"":74,""end"":83,""text"":""肠道与腹膜发生粘连"",""labels"":[""pathology""]},{""start"":89,""end"":95,""text"":""脏器发生粘连"",""labels"":[""pathology""]},{""start"":81,""end"":83,""text"":""粘连"",""labels"":[""pathology""]},{""start"":93,""end"":95,""text"":""粘连"",""labels"":[""pathology""]},{""start"":96,""end"":104,""text"":""腹腔积有浑浊液体"",""labels"":[""pathology""]},{""start"":129,""end"":136,""text"":""输卵管壁会变薄"",""labels"":[""pathology""]},{""start"":137,""end"":144,""text"":""内有异形蛋样物"",""labels"":[""pathology""]},{""start"":145,""end"":150,""text"":""表面不光滑"",""labels"":[""pathology""]},{""start"":151,""end"":157,""text"":""切面层呈轮状"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""卵泡"",""labels"":[""bodypart""]},{""start"":27,""end"":30,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":44,""end"":46,""text"":""腹膜"",""labels"":[""bodypart""]},{""start"":58,""end"":60,""text"":""卵泡"",""labels"":[""bodypart""]},{""start"":62,""end"":64,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":74,""end"":76,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":77,""end"":79,""text"":""腹膜"",""labels"":[""bodypart""]},{""start"":84,""end"":88,""text"":""腹腔肠道"",""labels"":[""bodypart""]},{""start"":89,""end"":91,""text"":""脏器"",""labels"":[""bodypart""]},{""start"":96,""end"":98,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":129,""end"":133,""text"":""输卵管壁"",""labels"":[""bodypart""]},{""start"":67,""end"":73,""text"":""卵黄性腹膜炎"",""labels"":[""disease""]},{""start"":121,""end"":127,""text"":""卵黄性腹膜炎"",""labels"":[""disease""]},{""start"":105,""end"":107,""text"":""恶臭"",""labels"":[""pathology""]},{""start"":108,""end"":117,""text"":""有黄白色干酪样物质"",""labels"":[""pathology""]},{""start"":109,""end"":112,""text"":""黄白色"",""labels"":[""pathology""]},{""start"":134,""end"":136,""text"":""变薄"",""labels"":[""pathology""]}]",175.40500000000003,"剖检病变主要是卵泡变性、变形、充血、出血、坏死或萎缩；输卵管水肿、变粗，内有大量分泌物，腹膜发炎、充血、浑浊，严重的卵泡掉入腹腔，形成卵黄性腹膜炎，肠道与腹膜发生粘连或腹腔肠道、脏器发生粘连；腹腔积有浑浊液体，恶臭或有黄白色干酪样物质。当表现卵黄性腹膜炎时，输卵管壁会变薄，内有异形蛋样物，表面不光滑，切面层呈轮状。","2024-01-17T08:32:01.659215Z"
