"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
253,"1","2024-01-16T04:00:45.570906Z",253,"[{""start"":0,""end"":3,""text"":""鸡白痢"",""labels"":[""disease""]},{""start"":22,""end"":27,""text"":""二类传染病"",""labels"":[""disease""]},{""start"":28,""end"":32,""text"":""寄生虫病"",""labels"":[""disease""]},{""start"":35,""end"":42,""text"":""鸡白痢沙门氏菌"",""labels"":[""disease""]},{""start"":45,""end"":50,""text"":""传染性疾病"",""labels"":[""disease""]}]",12.37,"鸡白痢（Pullorum disease），二类传染病、寄生虫病，是由鸡白痢沙门氏菌引起的传染性疾病，世界各地均有发生，是危害养鸡业最严重的疾病之一。","2024-01-16T04:00:45.570906Z"
254,"1","2024-01-16T04:12:28.865725Z",254,"[{""start"":15,""end"":23,""text"":""鸡白痢沙门氏杆菌"",""labels"":[""disease""]},{""start"":27,""end"":30,""text"":""排泄物"",""labels"":[""bodypart""]}]",701.913,"本病是一种极其常见的传染病，由鸡白痢沙门氏杆菌引起，其排泄物是重要的传播媒介，同时也可通过鸡蛋垂直传播。","2024-01-16T04:12:28.865725Z"
255,"1","2024-01-16T04:20:32.744662Z",255,"[{""start"":8,""end"":10,""text"":""雏鸡"",""labels"":[""type""]},{""start"":12,""end"":16,""text"":""不吃饲料"",""labels"":[""symptom""]},{""start"":17,""end"":19,""text"":""怕冷"",""labels"":[""symptom""]},{""start"":20,""end"":24,""text"":""身体蜷缩"",""labels"":[""symptom""]},{""start"":25,""end"":29,""text"":""翅膀下垂"",""labels"":[""symptom""]},{""start"":27,""end"":29,""text"":""下垂"",""labels"":[""symptom""]},{""start"":30,""end"":34,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""昏睡"",""labels"":[""symptom""]},{""start"":38,""end"":46,""text"":""排白色粘稠或淡黄"",""labels"":[""symptom""]},{""start"":39,""end"":41,""text"":""白色"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""淡黄"",""labels"":[""symptom""]},{""start"":47,""end"":52,""text"":""淡绿色稀便"",""labels"":[""symptom""]},{""start"":47,""end"":50,""text"":""淡绿色"",""labels"":[""symptom""]},{""start"":53,""end"":65,""text"":""肛门有时被硬结的粪块封闭"",""labels"":[""symptom""]},{""start"":66,""end"":70,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":25,""end"":27,""text"":""翅膀"",""labels"":[""bodypart""]},{""start"":51,""end"":52,""text"":""便"",""labels"":[""bodypart""]},{""start"":53,""end"":55,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":61,""end"":63,""text"":""粪块"",""labels"":[""bodypart""]}]",482.678,"主要症状和病变：雏鸡表现不吃饲料，怕冷，身体蜷缩，翅膀下垂，精神沉郁或昏睡，排白色粘稠或淡黄、淡绿色稀便，肛门有时被硬结的粪块封闭，呼吸困难。","2024-01-16T04:20:32.744662Z"
256,"1","2024-01-16T04:21:59.885464Z",256,"[{""start"":0,""end"":3,""text"":""成年鸡"",""labels"":[""type""]},{""start"":16,""end"":18,""text"":""病鸡"",""labels"":[""type""]},{""start"":20,""end"":24,""text"":""精神萎靡"",""labels"":[""symptom""]},{""start"":25,""end"":35,""text"":""排黄绿色或蛋清样稀便"",""labels"":[""symptom""]},{""start"":26,""end"":29,""text"":""黄绿色"",""labels"":[""symptom""]},{""start"":34,""end"":35,""text"":""便"",""labels"":[""bodypart""]},{""start"":45,""end"":49,""text"":""脾脏肿大"",""labels"":[""pathology""]},{""start"":47,""end"":49,""text"":""肿大"",""labels"":[""pathology""]},{""start"":50,""end"":52,""text"":""脆弱"",""labels"":[""pathology""]},{""start"":53,""end"":57,""text"":""有坏死点"",""labels"":[""pathology""]},{""start"":58,""end"":69,""text"":""肾脏暗红充血或苍白贫血"",""labels"":[""pathology""]},{""start"":62,""end"":64,""text"":""充血"",""labels"":[""pathology""]},{""start"":60,""end"":62,""text"":""暗红"",""labels"":[""pathology""]},{""start"":65,""end"":67,""text"":""苍白"",""labels"":[""pathology""]},{""start"":67,""end"":69,""text"":""贫血"",""labels"":[""pathology""]},{""start"":73,""end"":78,""text"":""腹膜炎变化"",""labels"":[""pathology""]},{""start"":84,""end"":88,""text"":""卵巢萎缩"",""labels"":[""pathology""]},{""start"":86,""end"":88,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":89,""end"":93,""text"":""卵子变性"",""labels"":[""pathology""]},{""start"":91,""end"":93,""text"":""变性"",""labels"":[""pathology""]},{""start"":96,""end"":100,""text"":""产蛋停止"",""labels"":[""pathology""]},{""start"":79,""end"":82,""text"":""产蛋鸡"",""labels"":[""type""]},{""start"":94,""end"":96,""text"":""病鸡"",""labels"":[""type""]},{""start"":42,""end"":44,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":45,""end"":47,""text"":""脾脏"",""labels"":[""bodypart""]},{""start"":58,""end"":60,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":73,""end"":76,""text"":""腹膜炎"",""labels"":[""disease""]},{""start"":84,""end"":86,""text"":""卵巢"",""labels"":[""bodypart""]},{""start"":89,""end"":91,""text"":""卵子"",""labels"":[""bodypart""]}]",85.009,"成年鸡无临床症状，少数感染严重的病鸡表现精神萎靡，排黄绿色或蛋清样稀便，主要病变可见肝脏、脾脏肿大、脆弱，有坏死点，肾脏暗红充血或苍白贫血，常出现腹膜炎变化。产蛋鸡可见卵巢萎缩，卵子变性，病鸡产蛋停止。","2024-01-16T04:21:59.885464Z"
257,"1","2024-01-16T04:23:40.262879Z",257,"[{""start"":9,""end"":22,""text"":""对种鸡场进行鸡白痢综合防治"",""labels"":[""control""]},{""start"":23,""end"":31,""text"":""种鸡逐只检疫净化"",""labels"":[""control""]},{""start"":33,""end"":37,""text"":""药物治疗"",""labels"":[""control""]},{""start"":41,""end"":46,""text"":""作药敏试验"",""labels"":[""control""]},{""start"":4,""end"":6,""text"":""种鸡"",""labels"":[""type""]},{""start"":15,""end"":18,""text"":""鸡白痢"",""labels"":[""disease""]},{""start"":23,""end"":25,""text"":""种鸡"",""labels"":[""type""]},{""start"":50,""end"":53,""text"":""氟哌酸"",""labels"":[""drug""]}]",98.961,"防治：从种鸡入手，对种鸡场进行鸡白痢综合防治及种鸡逐只检疫净化；可药物治疗，最好先作药敏试验，一般用氟哌酸效果较好。","2024-01-16T04:23:40.262879Z"
258,"1","2024-01-16T04:24:47.870049Z",258,"[{""start"":0,""end"":2,""text"":""病雏"",""labels"":[""type""]},{""start"":45,""end"":47,""text"":""成鸡"",""labels"":[""type""]},{""start"":67,""end"":69,""text"":""母鸡"",""labels"":[""type""]},{""start"":2,""end"":6,""text"":""精神萎顿"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""缩头"",""labels"":[""symptom""]},{""start"":10,""end"":13,""text"":""翅下垂"",""labels"":[""symptom""]},{""start"":14,""end"":22,""text"":""拉白色浆糊状稀粪"",""labels"":[""symptom""]},{""start"":15,""end"":17,""text"":""白色"",""labels"":[""symptom""]},{""start"":23,""end"":31,""text"":""肛门常被粪便粘住"",""labels"":[""symptom""]},{""start"":32,""end"":37,""text"":""排粪时发出"",""labels"":[""symptom""]},{""start"":69,""end"":76,""text"":""产蛋量明显减少"",""labels"":[""symptom""]},{""start"":61,""end"":63,""text"":""贫血"",""labels"":[""symptom""]},{""start"":64,""end"":66,""text"":""下痢"",""labels"":[""symptom""]},{""start"":11,""end"":13,""text"":""下垂"",""labels"":[""symptom""]},{""start"":8,""end"":9,""text"":""头"",""labels"":[""bodypart""]},{""start"":10,""end"":11,""text"":""翅"",""labels"":[""bodypart""]},{""start"":21,""end"":22,""text"":""粪"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":27,""end"":29,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":33,""end"":34,""text"":""粪"",""labels"":[""bodypart""]}]",74.011,"病雏精神萎顿，缩头，翅下垂，拉白色浆糊状稀粪，肛门常被粪便粘住，排粪时发出“吱、吱”叫声。成鸡多为隐性带菌，只有严重时见有贫血和下痢，母鸡产蛋量明显减少。","2024-01-17T08:34:27.247730Z"
259,"1","2024-01-16T08:48:45.785109Z",259,"[{""start"":9,""end"":12,""text"":""痢特灵"",""labels"":[""drug""]},{""start"":28,""end"":32,""text"":""拌匀喂鸡"",""labels"":[""control""]},{""start"":31,""end"":32,""text"":""鸡"",""labels"":[""type""]}]",10.121,"1、每公斤饲料加入痢特灵200-400毫克（即2-4片）拌匀喂鸡，连用7天，停3天，再喂7天。","2024-01-16T08:48:45.785109Z"
260,"1","2024-01-16T08:49:21.511827Z",260,"[{""start"":6,""end"":7,""text"":""鸡"",""labels"":[""type""]},{""start"":10,""end"":13,""text"":""土霉素"",""labels"":[""drug""]},{""start"":15,""end"":18,""text"":""金霉素"",""labels"":[""drug""]},{""start"":19,""end"":22,""text"":""四环素"",""labels"":[""drug""]},{""start"":28,""end"":30,""text"":""喂服"",""labels"":[""control""]},{""start"":65,""end"":69,""text"":""拌匀喂鸡"",""labels"":[""control""]},{""start"":50,""end"":53,""text"":""土霉素"",""labels"":[""drug""]},{""start"":68,""end"":69,""text"":""鸡"",""labels"":[""type""]}]",33.531,"2、按每公斤鸡体重用土霉素（或金霉素、四环素）200毫克喂服（每片药含量250毫克）；或每公斤饲料加土霉素2-3克（即8-12片）拌匀喂鸡，连用3-4天。","2024-01-16T08:49:21.511827Z"
261,"1","2024-01-16T08:49:34.528705Z",261,"[{""start"":4,""end"":5,""text"":""鸡"",""labels"":[""type""]},{""start"":8,""end"":11,""text"":""青霉素"",""labels"":[""drug""]},{""start"":19,""end"":23,""text"":""拌料喂服"",""labels"":[""control""]}]",10.945,"3、每只鸡每天用青霉素2000国际单位拌料喂服，连用7天。","2024-01-16T08:49:34.528705Z"
262,"1","2024-01-16T08:50:05.344066Z",262,"[{""start"":44,""end"":48,""text"":""拌料喂鸡"",""labels"":[""control""]},{""start"":69,""end"":76,""text"":""加入饮水中喂鸡"",""labels"":[""control""]},{""start"":47,""end"":48,""text"":""鸡"",""labels"":[""type""]},{""start"":75,""end"":76,""text"":""鸡"",""labels"":[""type""]},{""start"":9,""end"":12,""text"":""磺胺脒"",""labels"":[""drug""]},{""start"":14,""end"":18,""text"":""磺胺嘧啶"",""labels"":[""drug""]},{""start"":29,""end"":36,""text"":""磺胺二甲基嘧啶"",""labels"":[""drug""]},{""start"":57,""end"":60,""text"":""链霉素"",""labels"":[""drug""]}]",28.622,"4、每公斤饲料加入磺胺脒（或磺胺嘧啶）10克（即20片）或磺胺二甲基嘧啶5克（即10片）拌料喂鸡，连用5天；也可用链霉素按0.1-0.2%加入饮水中喂鸡，连用7天。","2024-01-16T08:50:05.344066Z"
