"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
286,"1","2024-01-16T14:25:25.155070Z",286,"[{""start"":36,""end"":40,""text"":""欧洲鸡瘟"",""labels"":[""disease""]},{""start"":41,""end"":45,""text"":""真性鸡瘟"",""labels"":[""disease""]},{""start"":20,""end"":22,""text"":""禽类"",""labels"":[""type""]},{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]},{""start"":3,""end"":14,""text"":""呼吸道和严重全身性感染"",""labels"":[""pathology""]},{""start"":3,""end"":6,""text"":""呼吸道"",""labels"":[""bodypart""]}]",49.081999999999994,"表现为呼吸道和严重全身性感染。主要发生在禽类，如鸡、鸭、鹅、鸽子等。又称欧洲鸡瘟、真性鸡瘟。","2024-01-16T14:25:42.421095Z"
327,"1","2024-01-17T08:53:38.134281Z",287,"",12.789,"按病原体致病性的大小，分为高致病性、低致病性和无致病性。","2024-01-17T08:53:38.134281Z"
287,"1","2024-01-16T14:26:04.086483Z",288,"[{""start"":2,""end"":9,""text"":""高致病性禽流感"",""labels"":[""disease""]},{""start"":9,""end"":12,""text"":""传播快"",""labels"":[""symptom""]},{""start"":13,""end"":16,""text"":""病情重"",""labels"":[""symptom""]},{""start"":17,""end"":22,""text"":""病死率很高"",""labels"":[""symptom""]}]",23.663,"其中高致病性禽流感传播快、病情重、病死率很高。","2024-01-16T14:26:13.013179Z"
288,"1","2024-01-16T14:26:42.288276Z",289,"[{""start"":37,""end"":42,""text"":""人禽流感病"",""labels"":[""disease""]},{""start"":19,""end"":23,""text"":""呼吸系统"",""labels"":[""bodypart""]},{""start"":27,""end"":29,""text"":""脏器"",""labels"":[""symptom""]},{""start"":44,""end"":49,""text"":""病情进展快"",""labels"":[""symptom""]},{""start"":50,""end"":54,""text"":""病死率高"",""labels"":[""symptom""]},{""start"":29,""end"":33,""text"":""功能衰竭"",""labels"":[""pathology""]}]",106.655,"由于病毒基因易发生变异，可感染人而发生呼吸系统和全身多脏器功能衰竭，称为“人禽流感病”，病情进展快，病死率高。","2024-01-17T08:53:58.245921Z"
328,"1","2024-01-17T08:54:01.708465Z",290,"",1.422,"该病最早于1978年在意大利爆发，现已遍及世界各国。","2024-01-17T08:54:01.708746Z"
329,"1","2024-01-17T08:54:04.412586Z",291,"",1.655,"20世纪90年代后期起，在欧亚大陆日趋频繁爆发。不但给一些国家家禽养殖业带来沉重打击，而且也向人类健康提出了严峻挑战。","2024-01-17T08:54:04.412586Z"
289,"1","2024-01-16T14:28:19.837720Z",292,"[{""start"":24,""end"":26,""text"":""气管"",""labels"":[""bodypart""]},{""start"":40,""end"":50,""text"":""H5N1型禽流感病毒"",""labels"":[""disease""]},{""start"":61,""end"":64,""text"":""禽流感"",""labels"":[""disease""]}]",16.355,"1997年中国香港特区卫生署宣布从一个3岁男孩的气管分泌物中发现一种病毒，证明是H5N1型禽流感病毒，这是全球首例人类感染禽流感的个案。","2024-01-17T08:54:09.816435Z"
290,"1","2024-01-16T14:28:39.072695Z",293,"[{""start"":3,""end"":4,""text"":""鸡"",""labels"":[""type""]},{""start"":8,""end"":17,""text"":""H5N1禽流感病毒"",""labels"":[""disease""]},{""start"":36,""end"":43,""text"":""H5N1病毒株"",""labels"":[""disease""]},{""start"":46,""end"":49,""text"":""禽流感"",""labels"":[""disease""]},{""start"":57,""end"":62,""text"":""人禽流感病"",""labels"":[""disease""]}]",20.179,"同时在鸡场检查出H5N1禽流感病毒。越南、韩国、泰国、日本等国家已发现由H5N1病毒株引起的禽流感，有的国家已有“人禽流感病”发生。","2024-01-17T08:54:15.570546Z"
291,"1","2024-01-16T14:28:48.536953Z",294,"[{""start"":38,""end"":42,""text"":""H5N1"",""labels"":[""disease""]},{""start"":45,""end"":48,""text"":""禽流感"",""labels"":[""disease""]}]",7.772,"但没有发现该病在人群中交叉感染。中国湖南、湖北、上海、广西、新疆等地，亦发现H5N1引起的禽流感，也未感染人。","2024-01-16T14:28:48.536953Z"
292,"1","2024-01-16T14:29:10.457480Z",295,"[{""start"":6,""end"":8,""text"":""病禽"",""labels"":[""type""]},{""start"":9,""end"":14,""text"":""带病毒禽类"",""labels"":[""type""]},{""start"":22,""end"":24,""text"":""禽类"",""labels"":[""type""]},{""start"":26,""end"":29,""text"":""分泌物"",""labels"":[""bodypart""]},{""start"":30,""end"":33,""text"":""排泄物"",""labels"":[""bodypart""]},{""start"":47,""end"":50,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":51,""end"":54,""text"":""消化道"",""labels"":[""bodypart""]}]",20.307,"传染源主要是病禽和带病毒禽类。通过接触感染的禽类及其分泌物和排泄物污染的饲料、水及其他物品，经呼吸道、消化道传播。","2024-01-16T14:29:10.457480Z"
