"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
68,"1","2024-07-02T02:44:11.902750Z",34,"[{""start"":2,""end"":3,""text"":""鸡"",""labels"":[""type""]}]",532.597,"引起鸡发病的外因一般可分为饲养管理因素、化学性因素、生物性因素、物理性因素以及机械性因素。","2024-07-02T02:44:11.902750Z"
69,"1","2024-07-02T03:08:26.516314Z",35,"[{""start"":51,""end"":53,""text"":""光照"",""labels"":[""control""]},{""start"":54,""end"":56,""text"":""通风"",""labels"":[""control""]},{""start"":40,""end"":41,""text"":""鸡"",""labels"":[""type""]},{""start"":71,""end"":72,""text"":""鸡"",""labels"":[""type""]}]",1454.085,"1.饲养管理因素一般指摄入过少或过多像蛋白质、矿物质、能量等的营养物质，也包括像鸡数量过多、缺少足够的光照和通风、长途运输等管理方面的因素导致鸡发病。","2024-07-02T03:08:26.516314Z"
70,"1","2024-07-02T03:10:31.909232Z",36,"[{""start"":11,""end"":12,""text"":""鸡"",""labels"":[""type""]}]",80.45400000000001,"2.化学性致病因素导致鸡病的化学性致病因素较多，一般包括重金属盐类、农药、化学毒剂、强酸、强碱等，若使用不当都可导致鸡发病。","2024-07-02T03:10:31.909232Z"
71,"1","2024-07-02T03:10:44.858857Z",37,"[{""start"":2,""end"":7,""text"":""生物性致病"",""labels"":[""disease""]}]",12.781,"3.生物性致病因素此种致病因素在临床上最为普遍。","2024-07-02T03:10:44.858857Z"
72,"1","2024-07-02T03:11:12.400644Z",38,"[{""start"":6,""end"":11,""text"":""病原微生物"",""labels"":[""disease""]},{""start"":12,""end"":15,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":25,""end"":27,""text"":""病毒"",""labels"":[""disease""]},{""start"":28,""end"":30,""text"":""细菌"",""labels"":[""disease""]},{""start"":31,""end"":34,""text"":""螺旋体"",""labels"":[""disease""]},{""start"":35,""end"":38,""text"":""支原体"",""labels"":[""disease""]},{""start"":47,""end"":49,""text"":""蠕虫"",""labels"":[""disease""]},{""start"":50,""end"":52,""text"":""原虫"",""labels"":[""disease""]}]",27.379,"一般包括各种病原微生物和寄生虫，病原微生物一般包括病毒、细菌、螺旋体、支原体等；寄生虫一般包括蠕虫、原虫等。","2024-07-02T03:11:12.400644Z"
73,"1","2024-07-02T03:11:26.804442Z",39,"[{""start"":8,""end"":11,""text"":""传染病"",""labels"":[""disease""]},{""start"":12,""end"":16,""text"":""寄生虫病"",""labels"":[""disease""]},{""start"":17,""end"":20,""text"":""中毒病"",""labels"":[""disease""]},{""start"":21,""end"":26,""text"":""肿瘤等疾病"",""labels"":[""disease""]}]",14.229,"它们是引发鸡各种传染病、寄生虫病、中毒病和肿瘤等疾病的病原。","2024-07-02T03:11:26.804442Z"
74,"1","2024-07-02T03:11:30.218644Z",40,"",3.245,"此种致病因素是危害养鸡生产中最主要的病因。","2024-07-02T03:11:30.218644Z"
75,"1","2024-07-02T03:11:41.033843Z",41,"[{""start"":66,""end"":67,""text"":""鸡"",""labels"":[""type""]}]",10.658,"4.物理性致病因素此因素主要包括高温、低温、电流、光线、电离辐射、气压等因素，当它们达到了一定强度或超过了一定的时间，都可能会损伤到鸡。","2024-07-02T03:11:41.033843Z"
76,"1","2024-07-02T03:11:47.849816Z",42,"",6.655,"5.机械性致病因素此因素一般指像钝器或锐器的撞击、爆炸的冲击等导致机体损伤的各种机械力，还有机体从高处落下所导致的各种机体损伤，如刺、砍、咬、打、压等各种机械力。","2024-07-02T03:11:47.849816Z"
77,"1","2024-07-02T03:12:04.239246Z",43,"[{""start"":2,""end"":3,""text"":""鸡"",""labels"":[""type""]},{""start"":17,""end"":18,""text"":""鸡"",""labels"":[""type""]}]",16.229,"引发鸡病的内因有很多方面，一般包括鸡的营养因素、年龄和性别、遗传特性、神经和内分泌系统的机能状态、防御免疫机能状态等因素。","2024-07-02T03:12:04.239246Z"
78,"1","2024-07-02T03:12:11.306783Z",44,"",6.899,"机体各器官的结构、机能、代谢特点以及机体的一般特性，都会影响着机体对病因的敏感性和防御能力。","2024-07-02T03:12:11.306783Z"
79,"1","2024-07-02T03:12:16.022891Z",45,"[{""start"":10,""end"":11,""text"":""鸡"",""labels"":[""type""]}]",4.558,"机体的一般特性包括：鸡的年龄、性别、品种、营养状态、免疫状态等。","2024-07-02T03:12:16.022891Z"
80,"1","2024-07-02T03:12:20.458422Z",46,"[{""start"":6,""end"":7,""text"":""鸡"",""labels"":[""type""]}]",4.276,"1.年龄差异鸡的年龄影响着其对外界致病因素刺激的反应能力。","2024-07-02T03:12:20.458422Z"
81,"1","2024-07-02T03:12:27.858482Z",47,"[{""start"":6,""end"":8,""text"":""幼鸡"",""labels"":[""type""]},{""start"":9,""end"":12,""text"":""老年鸡"",""labels"":[""type""]}]",7.238,"一般情况下，幼鸡和老年鸡的抵抗力较低。","2024-07-02T03:12:27.858482Z"
