"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2935,"1","2024-02-02T14:03:43.570516Z",3396,"[{""start"":0,""end"":7,""text"":""一氧化碳中毒症"",""labels"":[""disease""]},{""start"":10,""end"":12,""text"":""鸡只"",""labels"":[""type""]},{""start"":25,""end"":26,""text"":""鸡"",""labels"":[""type""]},{""start"":29,""end"":34,""text"":""中毒性疾病"",""labels"":[""disease""]}]",14.152,"一氧化碳中毒症是由于鸡只吸入了一氧化碳气体而引起的鸡的一种中毒性疾病。","2024-02-02T14:03:43.570516Z"
2936,"1","2024-02-02T14:04:21.830189Z",3398,"[{""start"":74,""end"":76,""text"":""鸡只"",""labels"":[""type""]},{""start"":94,""end"":98,""text"":""血红蛋白"",""labels"":[""bodypart""]},{""start"":100,""end"":102,""text"":""血液"",""labels"":[""bodypart""]},{""start"":111,""end"":113,""text"":""鸡体"",""labels"":[""type""]},{""start"":115,""end"":117,""text"":""缺氧"",""labels"":[""symptom""]},{""start"":118,""end"":126,""text"":""组织呼吸受到抑制"",""labels"":[""symptom""]}]",32.863,"育雏室的温度保持，多数鸡场尤其是设备条件差的中小型养鸡场，是以火墙、火炕、火炉燃烧煤炭取暖增温，一旦煤炭燃烧不全，便可产生一氧化碳，如不能及时排出，鸡只吸入一氧化碳后，使而液中形成大量碳氧血红蛋白，使血液失去带氧能力，造成鸡体组织缺氧，组织呼吸受到抑制。","2024-02-02T14:04:21.830189Z"
2937,"1","2024-02-02T14:04:40.113894Z",3399,"[{""start"":2,""end"":8,""text"":""中枢神经系统"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""缺氧"",""labels"":[""symptom""]},{""start"":18,""end"":20,""text"":""患鸡"",""labels"":[""type""]},{""start"":57,""end"":59,""text"":""中毒"",""labels"":[""symptom""]},{""start"":60,""end"":64,""text"":""窒息死亡"",""labels"":[""symptom""]}]",16.831,"由于中枢神经系统对缺氧甚为敏感，所以患鸡发生一系列相应症状。舍内空气中一氧化碳浓度达到0.05%～0.1%即可发生中毒或窒息死亡。","2024-02-02T14:04:40.113894Z"
2938,"1","2024-02-02T14:05:14.439589Z",3400,"[{""start"":2,""end"":4,""text"":""鸡只"",""labels"":[""type""]},{""start"":22,""end"":24,""text"":""鸡只"",""labels"":[""type""]},{""start"":26,""end"":30,""text"":""慢性中毒"",""labels"":[""pathology""]},{""start"":32,""end"":34,""text"":""雏鸡"",""labels"":[""type""]},{""start"":34,""end"":36,""text"":""贫血"",""labels"":[""symptom""]},{""start"":37,""end"":43,""text"":""生长发育受阻"",""labels"":[""symptom""]},{""start"":44,""end"":50,""text"":""免疫功能下降"",""labels"":[""symptom""]}]",30.941,"如果鸡只长期生活在低浓度的一氧化碳环境中，则鸡只发生慢性中毒，使雏鸡贫血，生长发育受阻，免疫功能下降，给养鸡场带来严重损失。","2024-02-02T14:05:14.439589Z"
2939,"1","2024-02-02T14:05:58.513731Z",3401,"[{""start"":7,""end"":9,""text"":""鸡群"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""鸡只"",""labels"":[""type""]},{""start"":15,""end"":19,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":20,""end"":24,""text"":""焦躁不安"",""labels"":[""symptom""]},{""start"":27,""end"":32,""text"":""发出尖叫声"",""labels"":[""symptom""]},{""start"":36,""end"":40,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":41,""end"":43,""text"":""呆立"",""labels"":[""symptom""]},{""start"":44,""end"":49,""text"":""半昏睡状态"",""labels"":[""symptom""]},{""start"":50,""end"":54,""text"":""运动失调"",""labels"":[""symptom""]},{""start"":59,""end"":61,""text"":""痉挛"",""labels"":[""symptom""]},{""start"":62,""end"":64,""text"":""抽搐"",""labels"":[""symptom""]}]",20.158,"发病初期，可见鸡群多数鸡只发生呼吸困难，焦躁不安，有的发出尖叫声，不久则精神沉郁，呆立，半昏睡状态，运动失调，死前发生痉挛、抽搐，一般于夜间封火3小时后即出现中毒症状，4小时后出现死亡，如不及时发现，及时采取措施，严重时则可全群覆没。","2024-02-02T14:05:58.513731Z"
2940,"1","2024-02-02T14:06:03.855798Z",3402,"[{""start"":6,""end"":8,""text"":""鸡只"",""labels"":[""type""]},{""start"":15,""end"":21,""text"":""生长发育迟缓"",""labels"":[""symptom""]},{""start"":25,""end"":30,""text"":""饮食不正常"",""labels"":[""symptom""]}]",11.945,"门口、窗边的鸡只可能活下来，但生长发育迟缓，3周内饮食不正常。","2024-02-02T14:06:12.484670Z"
2941,"1","2024-02-02T14:06:33.776835Z",3403,"[{""start"":10,""end"":16,""text"":""血液呈鲜红色"",""labels"":[""pathology""]},{""start"":13,""end"":16,""text"":""鲜红色"",""labels"":[""pathology""]},{""start"":20,""end"":27,""text"":""肌肉呈樱桃红色"",""labels"":[""pathology""]},{""start"":23,""end"":27,""text"":""樱桃红色"",""labels"":[""pathology""]},{""start"":33,""end"":35,""text"":""充血"",""labels"":[""pathology""]},{""start"":36,""end"":38,""text"":""出血"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""脏器"",""labels"":[""bodypart""]},{""start"":10,""end"":12,""text"":""血液"",""labels"":[""bodypart""]},{""start"":17,""end"":19,""text"":""黏膜"",""labels"":[""bodypart""]},{""start"":20,""end"":22,""text"":""肌肉"",""labels"":[""bodypart""]}]",19.187,"特征性的变化为脏器和血液呈鲜红色，黏膜和肌肉呈樱桃红色，各部位均有充血、出血现象。","2024-02-02T14:06:33.776835Z"
2942,"1","2024-02-02T14:06:50.347653Z",3404,"[{""start"":4,""end"":7,""text"":""病死鸡"",""labels"":[""type""]},{""start"":7,""end"":9,""text"":""血液"",""labels"":[""bodypart""]},{""start"":16,""end"":20,""text"":""血红蛋白"",""labels"":[""bodypart""]}]",11.75,"必要时取病死鸡血液，检测血中碳氧血红蛋白即可确诊。","2024-02-02T14:06:50.347653Z"
2943,"1","2024-02-02T14:07:01.378013Z",3405,"[{""start"":0,""end"":7,""text"":""一氧化碳中毒症"",""labels"":[""disease""]}]",3.954,"一氧化碳中毒症的发生完全是人为因素造成的。","2024-02-02T14:07:01.378013Z"
2944,"1","2024-02-02T14:07:13.606218Z",3406,"[{""start"":11,""end"":15,""text"":""通风换气"",""labels"":[""control""]},{""start"":30,""end"":37,""text"":""烟囱要排放畅通"",""labels"":[""control""]},{""start"":38,""end"":42,""text"":""防止倒烟"",""labels"":[""control""]}]",11.241,"保温的同时，切不可忘记通风换气，切不可松懈炉灶的管理和维修，烟囱要排放畅通，防止倒烟、漏烟；","2024-02-02T14:07:13.606218Z"
