"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
857,"1","2024-01-25T12:05:31.169049Z",878,"[{""start"":0,""end"":7,""text"":""呋喃类药物中毒"",""labels"":[""disease""]},{""start"":8,""end"":13,""text"":""呋喃类药物"",""labels"":[""drug""]},{""start"":16,""end"":21,""text"":""广谱抗菌药"",""labels"":[""drug""]},{""start"":34,""end"":38,""text"":""呋喃西林"",""labels"":[""drug""]},{""start"":39,""end"":43,""text"":""呋喃咀啶"",""labels"":[""drug""]},{""start"":44,""end"":48,""text"":""呋喃妥因"",""labels"":[""drug""]},{""start"":57,""end"":61,""text"":""呋喃西林"",""labels"":[""drug""]}]",17.428,"呋喃类药物中毒：呋喃类药物亦属于广谱抗菌药，临床应用较广泛，常用的有呋喃西林和呋喃咀啶(呋喃妥因),均有毒性，其中呋喃西林毒性最大，兽医临床已少用。","2024-01-25T12:05:31.169049Z"
858,"1","2024-01-25T12:05:36.804801Z",879,"[{""start"":23,""end"":30,""text"":""呋喃类药物中毒"",""labels"":[""disease""]}]",4.396,"临床上有应用本类药物的病史，又使用不当，易造成呋喃类药物中毒的发生。","2024-01-25T12:05:36.804801Z"
859,"1","2024-01-25T12:05:56.654497Z",880,"[{""start"":33,""end"":35,""text"":""急性"",""labels"":[""pathology""]},{""start"":44,""end"":48,""text"":""精神委顿"",""labels"":[""symptom""]},{""start"":49,""end"":53,""text"":""闭眼呆立"",""labels"":[""symptom""]},{""start"":54,""end"":58,""text"":""缩颈垂翅"",""labels"":[""symptom""]},{""start"":50,""end"":51,""text"":""眼"",""labels"":[""bodypart""]},{""start"":55,""end"":56,""text"":""颈"",""labels"":[""bodypart""]},{""start"":57,""end"":58,""text"":""翅"",""labels"":[""bodypart""]}]",18.587,"根据使用本类药物情况，其潜伏期长短不一，多则几天，少则几小时，多为急性发作，有的开始表现精神委顿，闭眼呆立、缩颈垂翅；","2024-01-25T12:05:56.654497Z"
860,"1","2024-01-25T12:11:01.708716Z",881,"[{""start"":2,""end"":6,""text"":""表现兴奋"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""过度兴奋"",""labels"":[""symptom""]},{""start"":21,""end"":25,""text"":""两脚抽搐"",""labels"":[""symptom""]},{""start"":23,""end"":25,""text"":""抽搐"",""labels"":[""symptom""]},{""start"":26,""end"":30,""text"":""运动失调"",""labels"":[""symptom""]},{""start"":31,""end"":35,""text"":""站立不稳"",""labels"":[""symptom""]},{""start"":36,""end"":40,""text"":""行走摇摆"",""labels"":[""symptom""]},{""start"":41,""end"":45,""text"":""头颈歪斜"",""labels"":[""symptom""]},{""start"":46,""end"":50,""text"":""转圈运动"",""labels"":[""symptom""]},{""start"":51,""end"":55,""text"":""浑身颤抖"",""labels"":[""symptom""]},{""start"":56,""end"":62,""text"":""发出痛苦叫声"",""labels"":[""symptom""]},{""start"":65,""end"":76,""text"":""倒地两脚伸直作游泳姿势"",""labels"":[""symptom""]},{""start"":79,""end"":81,""text"":""痉挛"",""labels"":[""symptom""]},{""start"":82,""end"":87,""text"":""抽搐而死亡"",""labels"":[""symptom""]},{""start"":89,""end"":91,""text"":""急性"",""labels"":[""pathology""]},{""start"":21,""end"":23,""text"":""两脚"",""labels"":[""bodypart""]},{""start"":41,""end"":42,""text"":""头"",""labels"":[""bodypart""]},{""start"":42,""end"":43,""text"":""颈"",""labels"":[""bodypart""]},{""start"":67,""end"":69,""text"":""两脚"",""labels"":[""bodypart""]},{""start"":7,""end"":11,""text"":""神经症状"",""labels"":[""symptom""]}]",325.235,"有的表现兴奋，神经症状表现突出，过度兴奋，两脚抽搐，运动失调，站立不稳，行走摇摆，头颈歪斜，转圈运动，浑身颤抖，发出痛苦叫声，有时倒地两脚伸直作游泳姿势，最后痉挛、抽搐而死亡。最急性的十多分钟即死亡。","2024-01-25T15:22:10.057568Z"
861,"1","2024-01-25T12:11:52.037698Z",882,"[{""start"":8,""end"":11,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":14,""end"":16,""text"":""口腔"",""labels"":[""bodypart""]},{""start"":14,""end"":21,""text"":""口腔有黄色黏液"",""labels"":[""pathology""]},{""start"":17,""end"":19,""text"":""黄色"",""labels"":[""pathology""]},{""start"":19,""end"":21,""text"":""黏液"",""labels"":[""pathology""]},{""start"":22,""end"":26,""text"":""嗦囊肿大"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""肿大"",""labels"":[""pathology""]},{""start"":27,""end"":33,""text"":""有黄色内容物"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""黄色"",""labels"":[""pathology""]},{""start"":36,""end"":45,""text"":""肠道中有黄色内容物"",""labels"":[""pathology""]},{""start"":40,""end"":42,""text"":""黄色"",""labels"":[""pathology""]},{""start"":50,""end"":55,""text"":""出血性肠炎"",""labels"":[""pathology""]},{""start"":56,""end"":62,""text"":""肝脏充血肿大"",""labels"":[""pathology""]},{""start"":58,""end"":62,""text"":""充血肿大"",""labels"":[""pathology""]},{""start"":63,""end"":68,""text"":""胆囊也肿大"",""labels"":[""pathology""]},{""start"":66,""end"":68,""text"":""肿大"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""嗦囊"",""labels"":[""bodypart""]},{""start"":36,""end"":38,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":56,""end"":58,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":63,""end"":65,""text"":""胆囊"",""labels"":[""bodypart""]}]",48.702,"本中毒变化主要在消化道，可见口腔有黄色黏液，嗦囊肿大、有黄色内容物，整个肠道中有黄色内容物，有时可见出血性肠炎，肝脏充血肿大，胆囊也肿大。","2024-01-25T12:11:52.037698Z"
862,"1","2024-01-25T12:12:05.442612Z",884,"[{""start"":3,""end"":8,""text"":""混水要均匀"",""labels"":[""control""]},{""start"":13,""end"":15,""text"":""鸡只"",""labels"":[""type""]}]",10.412,"拌料、混水要均匀，避免部分鸡只食入过量。","2024-01-25T12:12:05.442612Z"
863,"1","2024-01-25T12:12:34.350849Z",885,"[{""start"":10,""end"":12,""text"":""鸡群"",""labels"":[""type""]},{""start"":53,""end"":57,""text"":""葡萄糖水"",""labels"":[""drug""]},{""start"":64,""end"":67,""text"":""硫酸镁"",""labels"":[""drug""]},{""start"":80,""end"":85,""text"":""特效解毒药"",""labels"":[""drug""]},{""start"":49,""end"":51,""text"":""灌饮"",""labels"":[""control""]},{""start"":62,""end"":67,""text"":""口服硫酸镁"",""labels"":[""control""]},{""start"":6,""end"":14,""text"":""注意观察鸡群反应"",""labels"":[""control""]}]",116.539,"使用药物后要注意观察鸡群反应，注意有无中毒现象发生，一旦发现中毒，应立即采取有效措施，如立即停药，灌饮5%葡萄糖水或绿豆汤，口服硫酸镁促进排泄。本类药物中毒没有特效解毒药，应对症治疗。","2024-01-25T15:23:47.681028Z"
864,"1","2024-01-25T12:13:09.441419Z",886,"[{""start"":0,""end"":5,""text"":""呋喃类药物"",""labels"":[""drug""]},{""start"":13,""end"":17,""text"":""抗菌药物"",""labels"":[""drug""]},{""start"":28,""end"":33,""text"":""呋喃类药物"",""labels"":[""drug""]},{""start"":35,""end"":38,""text"":""喃西林"",""labels"":[""drug""]},{""start"":39,""end"":43,""text"":""呋喃唑酮"",""labels"":[""drug""]},{""start"":44,""end"":47,""text"":""痢特灵"",""labels"":[""drug""]},{""start"":49,""end"":53,""text"":""呋喃妥因"",""labels"":[""drug""]}]",18.48,"呋喃类药物是一类人工合成的抗菌药物，应用广泛。兽医常用的呋喃类药物有呋喃西林、呋喃唑酮(痢特灵)、呋喃妥因。","2024-01-25T12:13:09.441419Z"
865,"1","2024-01-25T12:13:31.151116Z",887,"[{""start"":3,""end"":6,""text"":""痢特灵"",""labels"":[""drug""]},{""start"":28,""end"":31,""text"":""磺胺药"",""labels"":[""drug""]},{""start"":32,""end"":35,""text"":""抗生素"",""labels"":[""drug""]}]",20.434,"目前以痢特灵最为常用，其不仅有明显的抗菌作用，且能杀灭对磺胺药和抗生素有抗性的病原菌，还能明显地促进生长和提高产蛋率。","2024-01-25T12:13:31.151116Z"
866,"1","2024-01-25T12:13:43.831260Z",888,"[{""start"":1,""end"":6,""text"":""呋喃类药物"",""labels"":[""drug""]},{""start"":34,""end"":38,""text"":""呋喃西林"",""labels"":[""drug""]}]",11.163,"但呋喃类药物使用剂量过大或长期使用或饲料中搅拌不匀均可引起中毒，其中呋喃西林毒性最大，目前已禁止使用。","2024-01-25T12:13:43.831260Z"
867,"1","2024-01-25T12:13:51.752242Z",889,"[{""start"":34,""end"":38,""text"":""呋喃唑酮"",""labels"":[""drug""]}]",6.73,"用药剂量过大或连续用药时间过长、药物在饲料中搅拌不匀等均可引起中毒。呋喃唑酮的预防剂量(拌料)为0.01%,连用不超过15天；","2024-01-25T12:13:51.752242Z"
868,"1","2024-01-25T12:14:02.174336Z",890,"[{""start"":44,""end"":48,""text"":""1日龄鸡"",""labels"":[""type""]},{""start"":53,""end"":56,""text"":""成年鸡"",""labels"":[""type""]}]",8.941,"治疗剂量为0.02%,连用不超过7天。据报道，饲料中添加量为0.04%~0.07%即可使1日龄鸡发生死亡，成年鸡的中毒量为80~100mg,致死量为200mg。","2024-01-25T12:14:02.174336Z"
869,"1","2024-01-25T12:15:01.117673Z",891,"[{""start"":0,""end"":4,""text"":""急性中毒"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""雏鸡"",""labels"":[""type""]},{""start"":22,""end"":26,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":27,""end"":31,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":29,""end"":31,""text"":""松乱"",""labels"":[""symptom""]},{""start"":32,""end"":36,""text"":""两翅下垂"",""labels"":[""symptom""]},{""start"":34,""end"":36,""text"":""下垂"",""labels"":[""symptom""]},{""start"":37,""end"":41,""text"":""缩头闭眼"",""labels"":[""symptom""]},{""start"":42,""end"":46,""text"":""站立不稳"",""labels"":[""symptom""]},{""start"":47,""end"":52,""text"":""减食或不食"",""labels"":[""symptom""]},{""start"":60,""end"":64,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":65,""end"":67,""text"":""乱转"",""labels"":[""symptom""]},{""start"":68,""end"":70,""text"":""鸣叫"",""labels"":[""symptom""]},{""start"":71,""end"":75,""text"":""狂燥不安"",""labels"":[""symptom""]},{""start"":89,""end"":93,""text"":""角弓反张"",""labels"":[""symptom""]},{""start"":96,""end"":100,""text"":""抽搐而死"",""labels"":[""symptom""]},{""start"":101,""end"":104,""text"":""成年鸡"",""labels"":[""type""]},{""start"":27,""end"":29,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":32,""end"":34,""text"":""两翅"",""labels"":[""bodypart""]},{""start"":38,""end"":39,""text"":""头"",""labels"":[""bodypart""]},{""start"":40,""end"":41,""text"":""眼"",""labels"":[""bodypart""]},{""start"":79,""end"":81,""text"":""两腿"",""labels"":[""bodypart""]},{""start"":79,""end"":83,""text"":""两腿伸直"",""labels"":[""symptom""]}]",77.456,"急性中毒雏鸡往往给药后几小时或几天死亡，初期精神沉郁，羽毛松乱，两翅下垂，缩头闭眼，站立不稳，减食或不食。继而出现典型的神经症状、乱转、鸣叫、狂燥不安。倒地后两腿伸直呈游泳姿势、角弓反张，最后抽搐而死。成年鸡也表现相似的症状。","2024-01-25T15:24:33.960783Z"
870,"1","2024-01-25T12:15:33.787750Z",892,"[{""start"":11,""end"":25,""text"":""消化道黏膜及其内容物均呈黄色"",""labels"":[""pathology""]},{""start"":23,""end"":25,""text"":""黄色"",""labels"":[""pathology""]},{""start"":26,""end"":35,""text"":""小肠和大肠部分充血"",""labels"":[""pathology""]},{""start"":33,""end"":35,""text"":""充血"",""labels"":[""pathology""]},{""start"":36,""end"":38,""text"":""出血"",""labels"":[""pathology""]},{""start"":39,""end"":47,""text"":""肠道黏膜呈黄褐色"",""labels"":[""pathology""]},{""start"":44,""end"":47,""text"":""黄褐色"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""口腔"",""labels"":[""bodypart""]},{""start"":3,""end"":5,""text"":""嗦囊"",""labels"":[""bodypart""]},{""start"":6,""end"":10,""text"":""腺胃肌胃"",""labels"":[""bodypart""]},{""start"":11,""end"":16,""text"":""消化道黏膜"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":29,""end"":31,""text"":""大肠"",""labels"":[""bodypart""]},{""start"":39,""end"":43,""text"":""肠道黏膜"",""labels"":[""bodypart""]}]",31.295,"口腔、嗦囊、腺胃肌胃和消化道黏膜及其内容物均呈黄色。小肠和大肠部分充血、出血，肠道黏膜呈黄褐色。","2024-01-25T12:15:33.787750Z"
871,"1","2024-01-25T12:16:21.577932Z",893,"[{""start"":0,""end"":4,""text"":""心肌变性"",""labels"":[""pathology""]},{""start"":2,""end"":4,""text"":""变性"",""labels"":[""pathology""]},{""start"":5,""end"":7,""text"":""发硬"",""labels"":[""pathology""]},{""start"":8,""end"":12,""text"":""心脏扩张"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""扩张"",""labels"":[""pathology""]},{""start"":13,""end"":21,""text"":""肝脏肿大呈淡黄色"",""labels"":[""pathology""]},{""start"":15,""end"":17,""text"":""肿大"",""labels"":[""pathology""]},{""start"":18,""end"":21,""text"":""淡黄色"",""labels"":[""pathology""]},{""start"":22,""end"":26,""text"":""胆囊肿大"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""肿大"",""labels"":[""pathology""]},{""start"":27,""end"":31,""text"":""充满胆汁"",""labels"":[""pathology""]},{""start"":32,""end"":36,""text"":""肾脏肿大"",""labels"":[""pathology""]},{""start"":34,""end"":36,""text"":""肿大"",""labels"":[""pathology""]},{""start"":37,""end"":46,""text"":""表面有弥漫性出血点"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""心肌"",""labels"":[""bodypart""]},{""start"":8,""end"":10,""text"":""心脏"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":22,""end"":24,""text"":""胆囊"",""labels"":[""bodypart""]},{""start"":29,""end"":31,""text"":""胆汁"",""labels"":[""bodypart""]},{""start"":32,""end"":34,""text"":""肾脏"",""labels"":[""bodypart""]}]",45.876,"心肌变性、发硬，心脏扩张。肝脏肿大呈淡黄色。胆囊肿大，充满胆汁。肾脏肿大，表面有弥漫性出血点。","2024-01-25T12:16:21.577932Z"
872,"1","2024-01-25T12:16:48.100294Z",894,"[{""start"":2,""end"":7,""text"":""呋喃类药物"",""labels"":[""drug""]},{""start"":8,""end"":14,""text"":""严格控制剂量"",""labels"":[""control""]},{""start"":19,""end"":23,""text"":""呋喃西林"",""labels"":[""drug""]},{""start"":41,""end"":45,""text"":""搅拌均匀"",""labels"":[""control""]},{""start"":34,""end"":38,""text"":""准确计量"",""labels"":[""control""]}]",29.749,"使用呋喃类药物应严格控制剂量，禁止使用呋喃西林作为鸡药。饲料中添加时准确计量，且要搅拌均匀。","2024-01-25T15:24:59.333391Z"
873,"1","2024-01-25T12:17:11.659415Z",895,"[{""start"":5,""end"":11,""text"":""立即更换饲料"",""labels"":[""control""]},{""start"":18,""end"":23,""text"":""呋喃类药物"",""labels"":[""drug""]},{""start"":24,""end"":26,""text"":""灌服"",""labels"":[""control""]},{""start"":37,""end"":41,""text"":""高锰酸钾"",""labels"":[""drug""]},{""start"":44,""end"":48,""text"":""葡萄糖水"",""labels"":[""drug""]},{""start"":53,""end"":58,""text"":""维生素B₁"",""labels"":[""drug""]},{""start"":59,""end"":66,""text"":""维生素C注射液"",""labels"":[""drug""]},{""start"":51,""end"":52,""text"":""鸡"",""labels"":[""type""]}]",22.019,"发现中毒，立即更换饲料，严禁继续摄食呋喃类药物。灌服0.01%~0.05%高锰酸钾或5%葡萄糖水，每只鸡加维生素B₁或维生素C注射液0.05~0.125g。","2024-01-25T12:17:11.659415Z"
874,"1","2024-01-25T12:17:21.658164Z",896,"[{""start"":3,""end"":7,""text"":""肌内注射"",""labels"":[""control""]},{""start"":7,""end"":20,""text"":""维生素C和维生素B₁混合液"",""labels"":[""drug""]}]",8.463,"重症可肌内注射维生素C和维生素B₁混合液，每只0.2mL,每天1次。","2024-01-25T12:17:21.658164Z"
