"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2586,"1","2024-02-02T04:51:39.912797Z",2773,"[{""start"":0,""end"":5,""text"":""喹乙醇中毒"",""labels"":[""disease""]},{""start"":8,""end"":11,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":18,""end"":19,""text"":""鸡"",""labels"":[""type""]},{""start"":20,""end"":25,""text"":""中毒性疾病"",""labels"":[""disease""]}]",135.756,"喹乙醇中毒是由于喹乙醇应用不当，造成鸡的中毒性疾病。","2024-02-02T04:53:34.677014Z"
2587,"1","2024-02-02T04:54:50.806868Z",2774,"[{""start"":0,""end"":3,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":10,""end"":13,""text"":""快育诺"",""labels"":[""drug""]},{""start"":14,""end"":18,""text"":""喹酰胺醇"",""labels"":[""drug""]},{""start"":24,""end"":26,""text"":""鸡只"",""labels"":[""type""]},{""start"":43,""end"":47,""text"":""大肠杆菌"",""labels"":[""disease""]},{""start"":48,""end"":52,""text"":""沙门氏菌"",""labels"":[""disease""]},{""start"":53,""end"":60,""text"":""金黄色葡萄球菌"",""labels"":[""disease""]},{""start"":61,""end"":65,""text"":""绿脓杆菌"",""labels"":[""disease""]},{""start"":84,""end"":87,""text"":""青霉素"",""labels"":[""drug""]},{""start"":88,""end"":92,""text"":""庆大霉素"",""labels"":[""drug""]},{""start"":93,""end"":96,""text"":""抗生素"",""labels"":[""drug""]}]",59.677,"喹乙醇就是平常所说的快育诺或喹酰胺醇，它具有促进鸡只生长发育、改善饲料转化率的作用，对大肠杆菌、沙门氏菌、金黄色葡萄球菌、绿脓杆菌等病原菌有较好的抑制作用，其抗菌活性比青霉素、庆大霉素等抗生素还好，是一种价格便宜，使用方便，不易产生抗药性，疗效较高的常用药。常因用药量大或搅拌不均匀造成中毒事故。","2024-02-02T04:54:50.806868Z"
2588,"1","2024-02-02T04:56:43.419786Z",2775,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":2,""end"":6,""text"":""食欲减少"",""labels"":[""symptom""]},{""start"":10,""end"":14,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":15,""end"":19,""text"":""垂翅缩颈"",""labels"":[""symptom""]},{""start"":20,""end"":25,""text"":""鸡冠黑紫色"",""labels"":[""symptom""]},{""start"":22,""end"":25,""text"":""黑紫色"",""labels"":[""symptom""]},{""start"":26,""end"":33,""text"":""排出黄白色稀粪"",""labels"":[""symptom""]},{""start"":28,""end"":31,""text"":""黄白色"",""labels"":[""symptom""]},{""start"":39,""end"":41,""text"":""痉挛"",""labels"":[""symptom""]},{""start"":42,""end"":46,""text"":""角弓反张"",""labels"":[""symptom""]},{""start"":67,""end"":69,""text"":""鸡群"",""labels"":[""type""]},{""start"":49,""end"":54,""text"":""喹乙醇中毒"",""labels"":[""disease""]},{""start"":32,""end"":33,""text"":""粪"",""labels"":[""bodypart""]},{""start"":16,""end"":17,""text"":""翅"",""labels"":[""bodypart""]},{""start"":18,""end"":19,""text"":""颈"",""labels"":[""bodypart""]},{""start"":20,""end"":22,""text"":""鸡冠"",""labels"":[""bodypart""]}]",98.183,"病鸡食欲减少或废绝，精神沉郁，垂翅缩颈，鸡冠黑紫色，排出黄白色稀粪，死前常见有痉挛或角弓反张现象；喹乙醇中毒康复率很低，曾有全群覆灭的鸡群。","2024-02-02T04:56:43.419786Z"
2589,"1","2024-02-02T04:57:33.163981Z",2776,"[{""start"":1,""end"":6,""text"":""败血症变化"",""labels"":[""pathology""]},{""start"":10,""end"":15,""text"":""多处有出血"",""labels"":[""pathology""]},{""start"":20,""end"":26,""text"":""心冠脂肪充血"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""充血"",""labels"":[""pathology""]},{""start"":27,""end"":33,""text"":""十二指肠充血"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""充血"",""labels"":[""pathology""]},{""start"":34,""end"":36,""text"":""出血"",""labels"":[""pathology""]},{""start"":42,""end"":46,""text"":""盲肠充血"",""labels"":[""pathology""]},{""start"":44,""end"":46,""text"":""充血"",""labels"":[""pathology""]},{""start"":47,""end"":49,""text"":""出血"",""labels"":[""pathology""]},{""start"":53,""end"":57,""text"":""肾脏瘀血"",""labels"":[""pathology""]},{""start"":55,""end"":57,""text"":""瘀血"",""labels"":[""pathology""]},{""start"":58,""end"":60,""text"":""肿大"",""labels"":[""pathology""]},{""start"":20,""end"":24,""text"":""心冠脂肪"",""labels"":[""bodypart""]},{""start"":27,""end"":31,""text"":""十二指肠"",""labels"":[""bodypart""]},{""start"":39,""end"":41,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":42,""end"":44,""text"":""盲肠"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":53,""end"":55,""text"":""肾脏"",""labels"":[""bodypart""]}]",152.234,"以败血症变化为特征，多处有出血现象，可见心冠脂肪充血，十二指肠充血、出血，有时腺胃、盲肠充血、出血，肝脏、肾脏瘀血，肿大2～4倍。","2024-02-02T04:59:19.657145Z"
2590,"1","2024-02-02T04:59:33.422991Z",2777,"[{""start"":6,""end"":14,""text"":""严格控制用药剂量"",""labels"":[""control""]},{""start"":25,""end"":28,""text"":""大群鸡"",""labels"":[""type""]}]",11.141,"以预防为主，严格控制用药剂量，避免计算错误，是防止大群鸡中毒的根本办法。","2024-02-02T04:59:33.422991Z"
2591,"1","2024-02-02T04:59:47.403819Z",2778,"[{""start"":0,""end"":4,""text"":""拌料均匀"",""labels"":[""control""]},{""start"":9,""end"":11,""text"":""鸡只"",""labels"":[""type""]},{""start"":34,""end"":38,""text"":""拌料浓度"",""labels"":[""control""]}]",14.367,"拌料均匀，避免个别鸡只摄入过量，其预防量掌握在0.01%～0.02%拌料浓度；","2024-02-02T04:59:52.715622Z"
2592,"1","2024-02-02T05:00:24.453792Z",2779,"[{""start"":22,""end"":26,""text"":""维生素C"",""labels"":[""drug""]},{""start"":27,""end"":30,""text"":""多维素"",""labels"":[""drug""]},{""start"":34,""end"":37,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":38,""end"":40,""text"":""神经"",""labels"":[""bodypart""]},{""start"":41,""end"":43,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":17,""end"":26,""text"":""饲料中添加维生素C"",""labels"":[""control""]}]",63.742000000000004,"其治疗量应在0.03%~0.04%饲料中添加维生素C或多维素，以减轻喹乙醇对神经和肝脏的损害。","2024-02-02T05:01:00.999547Z"
2593,"1","2024-02-02T05:06:47.130340Z",2780,"[{""start"":0,""end"":5,""text"":""灌服白糖水"",""labels"":[""control""]}]",43.24,"灌服白糖水或绿豆汤可缓解毒性。","2024-02-02T05:06:47.130340Z"
2594,"1","2024-02-02T05:07:03.501363Z",2781,"[{""start"":0,""end"":3,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":5,""end"":9,""text"":""喹酰胺醇"",""labels"":[""drug""]},{""start"":10,""end"":13,""text"":""快育诺"",""labels"":[""drug""]},{""start"":14,""end"":17,""text"":""倍育诺"",""labels"":[""drug""]},{""start"":22,""end"":25,""text"":""促进剂"",""labels"":[""drug""]},{""start"":26,""end"":29,""text"":""抗菌剂"",""labels"":[""drug""]}]",13.987,"喹乙醇又名喹酰胺醇、快育诺、倍育诺等，是一种促进剂和抗菌剂。","2024-02-02T05:07:03.501363Z"
2595,"1","2024-02-02T05:07:55.617693Z",2782,"[{""start"":52,""end"":55,""text"":""禽霍乱"",""labels"":[""disease""]}]",35.459,"由于其具有提高畜禽生长率、改善饲料转化率和抗菌作用，并有用量少、价格便宜、使用方便、不易产生耐药性及防治禽霍乱效果显著等特点，故在养禽业中有广泛的应用。但其用量过大或拌料不匀则可引起中毒。","2024-02-02T05:07:55.617693Z"
2596,"1","2024-02-02T05:17:04.176734Z",2783,"[{""start"":22,""end"":25,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":46,""end"":49,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":51,""end"":58,""text"":""家禽生长促进剂"",""labels"":[""drug""]},{""start"":37,""end"":40,""text"":""添加剂"",""labels"":[""drug""]}]",554.6239999999999,"用量过大，或大剂量连续应用所致。常常因为使用喹乙醇含量较高的猪用全价饲料或添加剂而引起中毒，喹乙醇作为家禽生长促进剂，一般在饲料中加入25~30g/t。","2024-02-02T05:17:14.922158Z"
2597,"1","2024-02-02T05:19:58.148989Z",2784,"[{""start"":14,""end"":17,""text"":""禽霍乱"",""labels"":[""disease""]},{""start"":30,""end"":36,""text"":""细菌性传染病"",""labels"":[""disease""]},{""start"":51,""end"":54,""text"":""喹乙醇"",""labels"":[""drug""]}]",160.904,"饲料搅拌不匀或错误用量，预防禽霍乱等疾病时超量引起中毒。预防细菌性传染病，一般在饲料中添加100g/t喹乙醇，连用7天，停药7~10天。","2024-02-02T05:19:58.149954Z"
2598,"1","2024-02-02T05:20:18.118113Z",2785,"[{""start"":17,""end"":20,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":51,""end"":54,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":60,""end"":61,""text"":""鸡"",""labels"":[""type""]}]",24.048,"治疗量一般在饲料中添加200g/t喹乙醇，连用3~5天，停药7~10天。据报道，饲料中添加300g/t喹乙醇，饲喂6天，鸡就呈现中毒症状。","2024-02-02T05:26:26.975844Z"
2599,"1","2024-02-02T05:26:11.613895Z",2786,"[{""start"":12,""end"":15,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":22,""end"":24,""text"":""蛋鸡"",""labels"":[""type""]}]",12.238,"饲料中添加1000g/t喹乙醇饲喂240日龄蛋鸡，第3天即出现中毒症状。","2024-02-02T05:26:11.613895Z"
2600,"1","2024-02-02T05:26:46.864118Z",2787,"[{""start"":0,""end"":3,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":44,""end"":47,""text"":""速育灵"",""labels"":[""drug""]},{""start"":48,""end"":51,""text"":""快育灵"",""labels"":[""drug""]},{""start"":52,""end"":55,""text"":""霍乱灵"",""labels"":[""drug""]},{""start"":56,""end"":59,""text"":""鸡病灵"",""labels"":[""drug""]},{""start"":36,""end"":39,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":4,""end"":6,""text"":""鸡体"",""labels"":[""type""]}]",34.458,"喹乙醇在鸡体内有较强的蓄积作用，小剂量连续应用，也会蓄积中毒，如使用含有喹乙醇的药品，如速育灵、快育灵、霍乱灵、鸡病灵等。","2024-02-02T05:27:12.756904Z"
2601,"1","2024-02-02T05:28:05.313849Z",2788,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":2,""end"":4,""text"":""厌食"",""labels"":[""symptom""]},{""start"":5,""end"":9,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":10,""end"":14,""text"":""缩头嗜睡"",""labels"":[""symptom""]},{""start"":15,""end"":19,""text"":""畏寒扎堆"",""labels"":[""symptom""]},{""start"":20,""end"":24,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":22,""end"":24,""text"":""松乱"",""labels"":[""symptom""]},{""start"":25,""end"":32,""text"":""排黄色水样稀粪"",""labels"":[""symptom""]},{""start"":26,""end"":28,""text"":""黄色"",""labels"":[""symptom""]},{""start"":33,""end"":39,""text"":""鸡冠呈紫黑色"",""labels"":[""symptom""]},{""start"":36,""end"":39,""text"":""紫黑色"",""labels"":[""symptom""]},{""start"":40,""end"":44,""text"":""卧地不动"",""labels"":[""symptom""]},{""start"":11,""end"":12,""text"":""头"",""labels"":[""bodypart""]},{""start"":20,""end"":22,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":31,""end"":32,""text"":""粪"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""鸡冠"",""labels"":[""bodypart""]}]",50.018,"病鸡厌食，精神沉郁，缩头嗜睡，畏寒扎堆，羽毛松乱，排黄色水样稀粪。鸡冠呈紫黑色，卧地不动，很快死亡。","2024-02-02T05:28:05.313849Z"
2602,"1","2024-02-02T06:10:16.979920Z",2789,"[{""start"":34,""end"":41,""text"":""产蛋量急剧下降"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""绝产"",""labels"":[""symptom""]},{""start"":28,""end"":31,""text"":""产蛋鸡"",""labels"":[""type""]}]",2528.099,"轻度中毒时，发病较迟缓。大剂量中毒时，可在数小时内发病。产蛋鸡中毒后产蛋量急剧下降，甚至绝产。","2024-02-02T06:10:16.980575Z"
2603,"1","2024-02-02T06:11:23.177161Z",2790,"[{""start"":5,""end"":9,""text"":""鸡新城疫"",""labels"":[""disease""]},{""start"":10,""end"":15,""text"":""急性禽霍乱"",""labels"":[""disease""]},{""start"":18,""end"":23,""text"":""消化道出血"",""labels"":[""pathology""]},{""start"":21,""end"":23,""text"":""出血"",""labels"":[""pathology""]},{""start"":38,""end"":43,""text"":""弥漫性出血"",""labels"":[""pathology""]},{""start"":48,""end"":50,""text"":""条状"",""labels"":[""pathology""]},{""start"":51,""end"":57,""text"":""出血斑状出血"",""labels"":[""pathology""]},{""start"":64,""end"":68,""text"":""点状出血"",""labels"":[""pathology""]},{""start"":44,""end"":50,""text"":""腺胃出现条状"",""labels"":[""pathology""]},{""start"":69,""end"":84,""text"":""腺胃与肌胃交界处有黑色的坏死区"",""labels"":[""pathology""]},{""start"":78,""end"":80,""text"":""黑色"",""labels"":[""pathology""]},{""start"":81,""end"":84,""text"":""坏死区"",""labels"":[""pathology""]},{""start"":18,""end"":21,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":25,""end"":29,""text"":""十二指肠"",""labels"":[""bodypart""]},{""start"":30,""end"":33,""text"":""泄殖腔"",""labels"":[""bodypart""]},{""start"":44,""end"":46,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":69,""end"":71,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":72,""end"":74,""text"":""肌胃"",""labels"":[""bodypart""]},{""start"":58,""end"":63,""text"":""肌胃角质层"",""labels"":[""bodypart""]}]",103.203,"病理变化与鸡新城疫和急性禽霍乱相似。消化道出血尤以十二指肠、泄殖腔严重表现为弥漫性出血，腺胃出现条状或出血斑状出血，肌胃角质层下点状出血、腺胃与肌胃交界处有黑色的坏死区。","2024-02-02T06:16:25.743551Z"
2604,"1","2024-02-02T06:17:38.259302Z",2791,"[{""start"":11,""end"":16,""text"":""散在出血点"",""labels"":[""pathology""]},{""start"":17,""end"":21,""text"":""心肌质软"",""labels"":[""pathology""]},{""start"":19,""end"":21,""text"":""质软"",""labels"":[""pathology""]},{""start"":22,""end"":25,""text"":""肝肿大"",""labels"":[""pathology""]},{""start"":23,""end"":25,""text"":""肿大"",""labels"":[""pathology""]},{""start"":26,""end"":29,""text"":""出血斑"",""labels"":[""pathology""]},{""start"":30,""end"":33,""text"":""色暗红"",""labels"":[""pathology""]},{""start"":34,""end"":36,""text"":""质脆"",""labels"":[""pathology""]},{""start"":37,""end"":43,""text"":""切面糜烂多汁"",""labels"":[""pathology""]},{""start"":46,""end"":49,""text"":""肾肿大"",""labels"":[""pathology""]},{""start"":47,""end"":49,""text"":""肿大"",""labels"":[""pathology""]},{""start"":50,""end"":52,""text"":""质脆"",""labels"":[""pathology""]},{""start"":55,""end"":60,""text"":""肾一般肿大"",""labels"":[""pathology""]},{""start"":58,""end"":60,""text"":""肿大"",""labels"":[""pathology""]},{""start"":0,""end"":5,""text"":""心冠状脂肪"",""labels"":[""bodypart""]},{""start"":6,""end"":8,""text"":""心肌"",""labels"":[""bodypart""]},{""start"":17,""end"":19,""text"":""心肌"",""labels"":[""bodypart""]},{""start"":22,""end"":23,""text"":""肝"",""labels"":[""bodypart""]},{""start"":44,""end"":45,""text"":""脾"",""labels"":[""bodypart""]},{""start"":46,""end"":47,""text"":""肾"",""labels"":[""bodypart""]},{""start"":53,""end"":54,""text"":""肝"",""labels"":[""bodypart""]},{""start"":55,""end"":56,""text"":""肾"",""labels"":[""bodypart""]}]",89.797,"心冠状脂肪和心肌表面有散在出血点，心肌质软。肝肿大有出血斑，色暗红，质脆，切面糜烂多汁，脾、肾肿大，质脆。肝、肾一般肿大2~5倍。","2024-02-02T06:17:38.259302Z"
2605,"1","2024-02-02T06:19:04.610354Z",2792,"[{""start"":16,""end"":19,""text"":""添加剂"",""labels"":[""drug""]},{""start"":36,""end"":39,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":0,""end"":8,""text"":""按规定添加量应用"",""labels"":[""control""]}]",16.939,"按规定添加量应用。用作促进生长的添加剂时，每千克饲料中加25~35mg的喹乙醇，且要混匀；","2024-02-02T06:19:04.610354Z"
2606,"1","2024-02-02T06:19:21.549283Z",2793,"[{""start"":24,""end"":27,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":53,""end"":56,""text"":""喹乙醇"",""labels"":[""drug""]},{""start"":42,""end"":48,""text"":""立即更换饲料"",""labels"":[""control""]},{""start"":49,""end"":56,""text"":""停止饲喂喹乙醇"",""labels"":[""control""]}]",14.131,"用作预防疾病时按每千克饲料中加50~100mg的喹乙醇，连用1周后，应停药3~5天。立即更换饲料，停止饲喂喹乙醇。","2024-02-02T06:19:21.549283Z"
2607,"1","2024-02-02T06:19:41.095345Z",2794,"[{""start"":17,""end"":21,""text"":""碳酸氢钠"",""labels"":[""drug""]},{""start"":33,""end"":38,""text"":""葡萄糖溶液"",""labels"":[""drug""]},{""start"":60,""end"":65,""text"":""复合维生素"",""labels"":[""drug""]},{""start"":73,""end"":76,""text"":""百毒解"",""labels"":[""drug""]},{""start"":0,""end"":6,""text"":""水中交替投入"",""labels"":[""control""]}]",16.667,"水中交替投入0.1%～0.15%的碳酸氢钠、6%～8%的白糖或5%葡萄糖溶液，连饮3~5天。也可投喂5~10倍营养需要的复合维生素，连饮3~5天。百毒解250g加25kg水，连饮3~5天。","2024-02-02T06:19:41.095345Z"
