"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
813,"1","2024-01-25T11:49:14.939003Z",829,"[{""start"":0,""end"":4,""text"":""鸡异食癖"",""labels"":[""disease""]},{""start"":14,""end"":16,""text"":""鸡体"",""labels"":[""disease""]},{""start"":52,""end"":57,""text"":""疾病综合征"",""labels"":[""disease""]},{""start"":16,""end"":22,""text"":""代谢机能紊乱"",""labels"":[""pathology""]},{""start"":23,""end"":27,""text"":""营养失调"",""labels"":[""pathology""]},{""start"":34,""end"":40,""text"":""味觉机能异常"",""labels"":[""pathology""]}]",31.758,"鸡异食癖是由于饲养管理不当，鸡体代谢机能紊乱，营养失调，视觉和嗅觉、味觉机能异常引起的一种多种表现形式的疾病综合征。","2024-01-25T11:49:14.939003Z"
814,"1","2024-01-25T11:49:20.795565Z",830,"[{""start"":3,""end"":6,""text"":""啄羽癖"",""labels"":[""disease""]}]",4.445,"(一)啄羽癖的诊断要点及防治措施：","2024-01-25T11:49:20.795565Z"
815,"1","2024-01-25T11:49:56.362643Z",831,"[{""start"":0,""end"":4,""text"":""鸡异食癖"",""labels"":[""disease""]},{""start"":7,""end"":9,""text"":""幼鸡"",""labels"":[""type""]},{""start"":14,""end"":16,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":41,""end"":45,""text"":""自食羽毛"",""labels"":[""symptom""]},{""start"":46,""end"":52,""text"":""互相啄食羽毛"",""labels"":[""symptom""]},{""start"":43,""end"":45,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":55,""end"":60,""text"":""头顶部羽毛"",""labels"":[""bodypart""]},{""start"":61,""end"":68,""text"":""肛门周围的羽毛"",""labels"":[""bodypart""]},{""start"":69,""end"":71,""text"":""尾羽"",""labels"":[""bodypart""]}]",38.951,"鸡异食癖常见于幼鸡开始生长新羽毛时、产蛋高峰期和换羽期，冬季和早春季节多发，表现为自食羽毛或互相啄食羽毛，有时头顶部羽毛、肛门周围的羽毛和尾羽全部被啄光。","2024-01-25T11:50:04.211609Z"
816,"1","2024-01-25T11:50:16.743417Z",832,"[{""start"":26,""end"":31,""text"":""维生素B₂"",""labels"":[""drug""]},{""start"":32,""end"":37,""text"":""含硫氨基酸"",""labels"":[""drug""]},{""start"":38,""end"":41,""text"":""蛋氨酸"",""labels"":[""drug""]},{""start"":42,""end"":45,""text"":""胱氨酸"",""labels"":[""drug""]}]",10.987,"究其发生原因，可能是饲料中营养不全，配比不合理，缺乏维生素B₂和含硫氨基酸(蛋氨酸、胱氨酸);缺乏运动，密度大；","2024-01-25T11:50:16.743417Z"
817,"1","2024-01-25T11:50:28.520492Z",833,"[{""start"":1,""end"":6,""text"":""体外寄生虫"",""labels"":[""disease""]}]",4.599,"与体外寄生虫也有一定关系。","2024-01-25T11:50:28.520492Z"
818,"1","2024-01-25T11:50:48.473739Z",835,"[{""start"":21,""end"":26,""text"":""加入硫酸钙"",""labels"":[""control""]},{""start"":23,""end"":26,""text"":""硫酸钙"",""labels"":[""drug""]},{""start"":29,""end"":31,""text"":""啄羽"",""labels"":[""symptom""]}]",17.054,"据李子文介绍，在换羽季节，在日粮中可按1%加入硫酸钙有预防啄羽作用；","2024-01-25T11:50:48.473739Z"
819,"1","2024-01-25T11:51:13.508193Z",836,"[{""start"":0,""end"":2,""text"":""啄羽"",""labels"":[""symptom""]},{""start"":8,""end"":9,""text"":""鸡"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""补喂"",""labels"":[""control""]},{""start"":18,""end"":21,""text"":""羽毛粉"",""labels"":[""drug""]},{""start"":26,""end"":29,""text"":""硫酸钙"",""labels"":[""drug""]},{""start"":40,""end"":43,""text"":""蛋氨酸"",""labels"":[""drug""]},{""start"":46,""end"":48,""text"":""啄羽"",""labels"":[""symptom""]}]",28.653,"啄羽发生后，每只鸡每天补喂5～10克羽毛粉或3～5克硫酸钙，或旧粮中加0.2%的蛋氨酸可停止啄羽。","2024-01-25T11:51:23.841840Z"
820,"1","2024-01-25T11:51:37.002486Z",837,"[{""start"":9,""end"":13,""text"":""拌料连喂"",""labels"":[""control""]},{""start"":4,""end"":9,""text"":""硫酸钠溶液"",""labels"":[""drug""]},{""start"":16,""end"":18,""text"":""啄羽"",""labels"":[""symptom""]}]",12.793,"用1%的硫酸钠溶液拌料连喂5天，啄羽现象可消失。","2024-01-25T11:51:39.701143Z"
821,"1","2024-01-25T11:51:56.167769Z",838,"[{""start"":5,""end"":10,""text"":""维生素B₂"",""labels"":[""drug""]},{""start"":26,""end"":27,""text"":""鸡"",""labels"":[""type""]},{""start"":31,""end"":35,""text"":""硫酸亚铁"",""labels"":[""drug""]},{""start"":41,""end"":46,""text"":""维生素B2"",""labels"":[""drug""]}]",15.278,"如因缺铁和维生素B₂引起的，每只0.5千克体重以上的鸡，每次用硫酸亚铁0.9克、加维生素B22.5毫克；","2024-01-25T11:51:56.167769Z"
822,"1","2024-01-25T11:52:07.389315Z",840,"[{""start"":8,""end"":12,""text"":""生石膏粉"",""labels"":[""drug""]},{""start"":17,""end"":18,""text"":""鸡"",""labels"":[""type""]}]",6.892,"也可在饲料中加入生石膏粉，每天每只鸡2克，即可见效。","2024-01-25T11:52:07.389315Z"
