"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2608,"1","2024-02-02T06:21:39.325237Z",2795,"[{""start"":0,""end"":5,""text"":""李氏杆菌病"",""labels"":[""disease""]},{""start"":7,""end"":18,""text"":""单核细胞增多性李氏杆菌"",""labels"":[""disease""]},{""start"":21,""end"":25,""text"":""李氏杆菌"",""labels"":[""disease""]},{""start"":36,""end"":37,""text"":""鸡"",""labels"":[""type""]},{""start"":48,""end"":52,""text"":""神经症状"",""labels"":[""pathology""]},{""start"":62,""end"":68,""text"":""单核细胞增多"",""labels"":[""pathology""]},{""start"":53,""end"":56,""text"":""败血症"",""labels"":[""pathology""]},{""start"":57,""end"":61,""text"":""心内膜炎"",""labels"":[""pathology""]}]",241.20399999999998,"李氏杆菌病是由单核细胞增多性李氏杆菌(简称李氏杆菌)引起的多种哺乳动物、鸡和人类共患的传染病，以神经症状、败血症、心内膜炎和单核细胞增多为特征，在兽医公共卫生具有重要意义。","2024-02-02T06:24:55.814056Z"
2609,"1","2024-02-02T06:25:08.234277Z",2796,"[{""start"":8,""end"":13,""text"":""李氏杆菌病"",""labels"":[""disease""]},{""start"":16,""end"":20,""text"":""李氏杆菌"",""labels"":[""disease""]},{""start"":28,""end"":34,""text"":""无芽孢周毛菌"",""labels"":[""disease""]}]",10.857,"(一)病原特性：李氏杆菌病病原为李氏杆菌，是一种很细小的无芽孢周毛菌，革兰氏染色阳性。在普通培养基上即能生长，在鲜血琼脂培养基上生长并产生β溶血，在肉汤培养基中形成混浊。","2024-02-02T06:25:08.234277Z"
2610,"1","2024-02-02T06:25:26.289042Z",2798,"[{""start"":0,""end"":5,""text"":""李氏杆菌病"",""labels"":[""disease""]},{""start"":111,""end"":116,""text"":""化学消毒药"",""labels"":[""drug""]},{""start"":128,""end"":131,""text"":""消毒药"",""labels"":[""drug""]}]",14.707,"李氏杆菌病病原体对外界环境的抵抗力较强，在潮湿的土壤中能存活1年，在干燥的土壤中2年不死，在-20℃能存活2年，70℃加温30分钟不死，对盐的耐受力也较大，如在20%食盐溶液中经久不死，在巴氏灭菌的牛奶中仍能存活，但是，对化学消毒药的抵抗力不强，常用浓度的消毒药均可将其灭活。","2024-02-02T06:25:26.289042Z"
2611,"1","2024-02-02T06:25:40.913069Z",2799,"[{""start"":15,""end"":17,""text"":""家禽"",""labels"":[""type""]},{""start"":24,""end"":27,""text"":""幼龄鸡"",""labels"":[""type""]},{""start"":28,""end"":31,""text"":""成年鸡"",""labels"":[""type""]}]",12.61,"(二)流行病学特征：多种家畜、家禽和人类均易感，幼龄鸡较成年鸡更易感。有自然带菌现象，多为散发。","2024-02-02T06:25:40.913069Z"
2612,"1","2024-02-02T06:26:26.532364Z",2800,"[{""start"":6,""end"":9,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":12,""end"":16,""text"":""沙门氏菌"",""labels"":[""disease""]},{""start"":34,""end"":39,""text"":""李氏杆菌病"",""labels"":[""disease""]},{""start"":43,""end"":48,""text"":""李氏杆菌病"",""labels"":[""disease""]},{""start"":57,""end"":59,""text"":""病禽"",""labels"":[""type""]},{""start"":61,""end"":63,""text"":""粪尿"",""labels"":[""bodypart""]},{""start"":64,""end"":69,""text"":""眼鼻分泌物"",""labels"":[""bodypart""]},{""start"":75,""end"":78,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":84,""end"":87,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":88,""end"":91,""text"":""眼结膜"",""labels"":[""bodypart""]},{""start"":94,""end"":96,""text"":""皮肤"",""labels"":[""bodypart""]}]",242.117,"当气候多变、寄生虫侵袭、沙门氏菌感染等使动物机体抵抗力降低时，可促进李氏杆菌病的发生。李氏杆菌病的传染来源是病畜、病禽、从粪尿、眼鼻分泌物排菌，主要经消化道传播，也可经呼吸道、眼结膜和损伤皮肤感染。吸血昆虫也起着媒介作用。","2024-02-02T06:29:48.902077Z"
2613,"1","2024-02-02T06:31:04.038128Z",2801,"[{""start"":8,""end"":13,""text"":""李氏杆菌病"",""labels"":[""disease""]},{""start"":27,""end"":30,""text"":""败血病"",""labels"":[""pathology""]},{""start"":50,""end"":54,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":58,""end"":60,""text"":""痉挛"",""labels"":[""symptom""]},{""start"":61,""end"":65,""text"":""扭颈观天"",""labels"":[""symptom""]},{""start"":66,""end"":70,""text"":""尖叫怪鸣"",""labels"":[""symptom""]},{""start"":79,""end"":83,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]},{""start"":62,""end"":63,""text"":""颈"",""labels"":[""bodypart""]},{""start"":73,""end"":76,""text"":""新城疫"",""labels"":[""disease""]}]",53.426,"(三)临床症状：李氏杆菌病主要发生于2月龄以内的鸡，呈败血病经过，短时间内死亡，但多数病程较长，出现神经症状，表现为痉挛、扭颈观天、尖叫怪鸣，类似新城疫呈现的神经症状。","2024-02-02T06:31:27.062326Z"
2614,"1","2024-02-02T06:31:42.386079Z",2802,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":2,""end"":4,""text"":""发热"",""labels"":[""symptom""]},{""start"":5,""end"":7,""text"":""虚弱"",""labels"":[""symptom""]},{""start"":8,""end"":12,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":13,""end"":19,""text"":""生理机能紊乱"",""labels"":[""symptom""]}]",10.153,"病鸡发热，虚弱，食欲减退，生理机能紊乱。","2024-02-02T06:31:42.386079Z"
2615,"1","2024-02-02T06:32:33.298981Z",2803,"[{""start"":8,""end"":13,""text"":""李氏杆菌病"",""labels"":[""disease""]},{""start"":27,""end"":31,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":37,""end"":41,""text"":""脑膜水肿"",""labels"":[""pathology""]},{""start"":39,""end"":41,""text"":""水肿"",""labels"":[""pathology""]},{""start"":42,""end"":48,""text"":""脑脊髓液增多"",""labels"":[""pathology""]},{""start"":46,""end"":48,""text"":""增多"",""labels"":[""pathology""]},{""start"":54,""end"":58,""text"":""皮下水肿"",""labels"":[""pathology""]},{""start"":56,""end"":58,""text"":""水肿"",""labels"":[""pathology""]},{""start"":62,""end"":70,""text"":""心肌有黄色坏死灶"",""labels"":[""pathology""]},{""start"":67,""end"":70,""text"":""坏死灶"",""labels"":[""pathology""]},{""start"":65,""end"":67,""text"":""黄色"",""labels"":[""pathology""]},{""start"":35,""end"":36,""text"":""脑"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""脑膜"",""labels"":[""bodypart""]},{""start"":42,""end"":46,""text"":""脑脊髓液"",""labels"":[""bodypart""]},{""start"":54,""end"":56,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":59,""end"":61,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":62,""end"":64,""text"":""心肌"",""labels"":[""bodypart""]},{""start"":52,""end"":54,""text"":""病鸡"",""labels"":[""type""]}]",237.18,"(四)病理变化：李氏杆菌病没有特征性的可见病理变化，有神经症状者，可见脑及脑膜水肿，脑脊髓液增多，有时见病鸡皮下水肿，肝脏和心肌有黄色坏死灶。","2024-02-02T06:36:33.308611Z"
2616,"1","2024-02-02T06:33:30.825108Z",2804,"[{""start"":26,""end"":30,""text"":""神经症状"",""labels"":[""symptom""]}]",3.986,"(五)诊断：根据流行病学、临床症状可初步诊断，但具有神经症状的疾病很多，不易确诊。","2024-02-02T06:33:30.825108Z"
2617,"1","2024-02-02T06:33:49.115026Z",2805,"[{""start"":10,""end"":12,""text"":""病鸡"",""labels"":[""type""]},{""start"":13,""end"":15,""text"":""血液"",""labels"":[""bodypart""]},{""start"":16,""end"":17,""text"":""肝"",""labels"":[""bodypart""]},{""start"":18,""end"":19,""text"":""脾"",""labels"":[""bodypart""]},{""start"":20,""end"":21,""text"":""肾"",""labels"":[""bodypart""]},{""start"":22,""end"":23,""text"":""脑"",""labels"":[""bodypart""]},{""start"":24,""end"":27,""text"":""脊髓液"",""labels"":[""bodypart""]}]",16.497,"需要时，可采取病料如病鸡的血液、肝、脾、肾、脑、脊髓液等，送化验室做病原菌的分离鉴定，最后确诊。","2024-02-02T06:33:49.115026Z"
2618,"1","2024-02-02T06:34:06.011767Z",2806,"[{""start"":2,""end"":4,""text"":""鸡群"",""labels"":[""type""]},{""start"":0,""end"":8,""text"":""加强鸡群饲养管理"",""labels"":[""control""]},{""start"":9,""end"":15,""text"":""保证全价营养"",""labels"":[""control""]},{""start"":16,""end"":20,""text"":""除虫灭鼠"",""labels"":[""control""]},{""start"":21,""end"":30,""text"":""减少应激因素的刺激"",""labels"":[""control""]}]",18.892,"加强鸡群饲养管理，保证全价营养，除虫灭鼠，减少应激因素的刺激，提高自身免疫力。","2024-02-02T06:34:14.517898Z"
2619,"1","2024-02-02T06:38:06.537230Z",2807,"[{""start"":5,""end"":11,""text"":""及时隔离治疗"",""labels"":[""control""]},{""start"":18,""end"":22,""text"":""神经系统"",""labels"":[""bodypart""]},{""start"":42,""end"":47,""text"":""磺胺嘧啶钠"",""labels"":[""drug""]},{""start"":53,""end"":61,""text"":""加强对患者的护理"",""labels"":[""control""]},{""start"":66,""end"":72,""text"":""用具彻底消毒"",""labels"":[""control""]}]",104.52,"发现病患者及时隔离治疗。因疾病主要在神经系统，治疗药物应选用能透过血脑屏障的品种，如磺胺嘧啶钠等，同时，应加强对患者的护理，对环境、用具彻底消毒，促进康复。","2024-02-02T06:39:25.241205Z"
