"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2652,"1","2024-02-02T07:01:56.291551Z",2846,"[{""start"":0,""end"":5,""text"":""棉籽饼中毒"",""labels"":[""disease""]},{""start"":44,""end"":45,""text"":""鸡"",""labels"":[""type""]}]",57.622,"棉籽饼中毒：我国多数省份盛产棉花，棉籽榨油之后的渣可制成棉籽饼，含有丰富的蛋白质，可作为鸡的蛋白质饲料。","2024-02-02T07:01:56.291551Z"
2653,"1","2024-02-02T07:02:10.328071Z",2847,"[{""start"":48,""end"":51,""text"":""鸡中毒"",""labels"":[""disease""]}]",8.397,"但棉籽饼中同时含有棉酚，这是一种毒性物质，如果饲用前不经特殊加工，饲喂量大，并连续喂饲，则会引起鸡中毒。","2024-02-02T07:02:10.328071Z"
2654,"1","2024-02-02T07:03:23.767457Z",2848,"[{""start"":6,""end"":9,""text"":""成年鸡"",""labels"":[""type""]},{""start"":27,""end"":28,""text"":""鸡"",""labels"":[""type""]},{""start"":29,""end"":31,""text"":""血管"",""labels"":[""bodypart""]},{""start"":32,""end"":34,""text"":""神经"",""labels"":[""bodypart""]},{""start"":35,""end"":39,""text"":""生殖系统"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":51,""end"":53,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":54,""end"":58,""text"":""胃肠黏膜"",""labels"":[""bodypart""]}]",96.005,"含毒的棉籽饼成年鸡每天喂饲30克就有中毒的危险，主要对鸡的血管、神经和生殖系统呈现毒性作用，损伤肝脏、肾脏和胃肠黏膜。","2024-02-02T07:04:20.138110Z"
2655,"1","2024-02-02T07:04:51.592450Z",2849,"[{""start"":5,""end"":9,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":13,""end"":15,""text"":""衰竭"",""labels"":[""symptom""]},{""start"":16,""end"":18,""text"":""抽搐"",""labels"":[""symptom""]},{""start"":19,""end"":24,""text"":""产蛋率下降"",""labels"":[""symptom""]},{""start"":34,""end"":40,""text"":""孵化率均降低"",""labels"":[""symptom""]},{""start"":43,""end"":55,""text"":""循环和呼吸中枢麻痹而死亡"",""labels"":[""symptom""]},{""start"":43,""end"":50,""text"":""循环和呼吸中枢"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""麻痹"",""labels"":[""symptom""]}]",46.242,"临床上出现食欲减退或消失，衰竭，抽搐，产蛋率下降或停止，种蛋受精率、孵化率均降低，终因循环和呼吸中枢麻痹而死亡。","2024-02-02T07:05:09.018126Z"
2656,"1","2024-02-02T07:05:51.410108Z",2850,"[{""start"":4,""end"":9,""text"":""出血性肠炎"",""labels"":[""pathology""]},{""start"":13,""end"":17,""text"":""肾脏出血"",""labels"":[""pathology""]},{""start"":15,""end"":17,""text"":""出血"",""labels"":[""pathology""]},{""start"":18,""end"":20,""text"":""肿大"",""labels"":[""pathology""]},{""start"":21,""end"":24,""text"":""肺水肿"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""水肿"",""labels"":[""pathology""]},{""start"":25,""end"":31,""text"":""胸腹腔有积液"",""labels"":[""pathology""]},{""start"":29,""end"":31,""text"":""积液"",""labels"":[""pathology""]},{""start"":40,""end"":47,""text"":""输卵管萎缩变小"",""labels"":[""pathology""]},{""start"":43,""end"":47,""text"":""萎缩变小"",""labels"":[""pathology""]},{""start"":48,""end"":52,""text"":""色泽灰白"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":21,""end"":22,""text"":""肺"",""labels"":[""bodypart""]},{""start"":25,""end"":28,""text"":""胸腹腔"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""卵巢"",""labels"":[""bodypart""]},{""start"":40,""end"":43,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":34,""end"":37,""text"":""产蛋鸡"",""labels"":[""type""]}]",38.913,"剖检可见出血性肠炎，肝脏、肾脏出血、肿大，肺水肿，胸腹腔有积液。有时产蛋鸡卵巢和输卵管萎缩变小，色泽灰白。","2024-02-02T07:05:51.410108Z"
2657,"1","2024-02-02T07:06:11.903264Z",2851,"[{""start"":16,""end"":25,""text"":""控制喂量和饲喂时间"",""labels"":[""control""]},{""start"":26,""end"":29,""text"":""成年鸡"",""labels"":[""type""]}]",13.69,"用不含毒的其他饼类作蛋白质饲料；控制喂量和饲喂时间，成年鸡不超过饲料的5%；","2024-02-02T07:06:11.903264Z"
2658,"1","2024-02-02T07:06:39.413666Z",2852,"[{""start"":0,""end"":1,""text"":""鸡"",""labels"":[""type""]},{""start"":11,""end"":15,""text"":""维生素A"",""labels"":[""drug""]},{""start"":16,""end"":20,""text"":""维生素D"",""labels"":[""drug""]},{""start"":42,""end"":44,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":45,""end"":47,""text"":""心脏"",""labels"":[""bodypart""]},{""start"":35,""end"":39,""text"":""对症治疗"",""labels"":[""control""]}]",26.64,"鸡的日粮中要保证足够的维生素A和维生素D以及钙质，可以减缓中毒的发生；对症治疗，保护肝脏和心脏。","2024-02-02T07:06:49.177948Z"
2659,"1","2024-02-02T07:07:18.863970Z",2853,"[{""start"":26,""end"":31,""text"":""新鲜石灰水"",""labels"":[""drug""]},{""start"":38,""end"":45,""text"":""喂前用清水洗涤"",""labels"":[""control""]},{""start"":50,""end"":56,""text"":""硫酸亚铁溶液"",""labels"":[""drug""]}]",26.728,"去毒方法：加水煮沸1～2小时；85℃干热2小时：2%新鲜石灰水浸泡24小时，喂前用清水洗涤；0.2%硫酸亚铁溶液浸泡4小时等，都可使毒性大大降低。","2024-02-02T07:07:18.863970Z"
2660,"1","2024-02-02T07:08:18.759360Z",2854,"[{""start"":15,""end"":16,""text"":""鸡"",""labels"":[""type""]}]",6.138,"棉籽饼含有丰富的蛋白质，可作为鸡的蛋白质饲料，其添入饲料中既可降低饲料成本，也有利于营养平衡。","2024-02-02T07:08:18.759360Z"
2661,"1","2024-02-02T07:08:46.114867Z",2855,"[{""start"":0,""end"":5,""text"":""棉籽饼中毒"",""labels"":[""disease""]},{""start"":40,""end"":42,""text"":""家禽"",""labels"":[""type""]},{""start"":56,""end"":60,""text"":""棉酚中毒"",""labels"":[""disease""]},{""start"":42,""end"":48,""text"":""实质细胞损伤"",""labels"":[""symptom""]},{""start"":42,""end"":46,""text"":""实质细胞"",""labels"":[""bodypart""]},{""start"":46,""end"":48,""text"":""损伤"",""labels"":[""symptom""]}]",110.244,"棉籽饼中毒是指因过量或长期连续饲喂未经脱毒处理的棉籽饼，导致棉酚在体内蓄积，引起家禽实质细胞损伤的疾病。其实质是棉酚中毒。","2024-02-02T07:10:14.516858Z"
