"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2457,"1","2024-02-02T03:07:34.616391Z",2641,"[{""start"":0,""end"":6,""text"":""矿物质缺乏症"",""labels"":[""disease""]},{""start"":11,""end"":12,""text"":""鸡"",""labels"":[""type""]},{""start"":28,""end"":30,""text"":""鸡体"",""labels"":[""type""]},{""start"":45,""end"":47,""text"":""血液"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""体液"",""labels"":[""bodypart""]},{""start"":53,""end"":56,""text"":""分泌物"",""labels"":[""bodypart""]},{""start"":67,""end"":69,""text"":""血液"",""labels"":[""bodypart""]},{""start"":70,""end"":73,""text"":""淋巴液"",""labels"":[""bodypart""]},{""start"":79,""end"":81,""text"":""体液"",""labels"":[""bodypart""]}]",24.806,"矿物质缺乏症：矿物质是鸡生命活动过程中不可缺乏的物质，是鸡体组织生长和修补的重要物质，它是血液、体液和某些分泌物的重要组成部分，可调节血液、淋巴液的渗透压，使体液渗透压恒定；","2024-02-02T03:07:34.616391Z"
2458,"1","2024-02-02T03:08:01.493894Z",2642,"[{""start"":3,""end"":5,""text"":""血液"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""血液"",""labels"":[""bodypart""]},{""start"":53,""end"":54,""text"":""酶"",""labels"":[""bodypart""]}]",25.431,"能维持血液的酸碱平衡，使血液保持恒定的pH;是多种酶类的重要组成部分，影响其他营养在体内的溶解度，激活某些酶的活性，增强消化能力；","2024-02-02T03:08:01.493894Z"
2459,"1","2024-02-02T03:08:14.205667Z",2643,"[{""start"":2,""end"":6,""text"":""神经肌肉"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""鸡体"",""labels"":[""type""]}]",11.223,"维持神经肌肉的兴奋性，使鸡体保持正常的生命活动。","2024-02-02T03:08:14.205667Z"
2460,"1","2024-02-02T03:08:20.536056Z",2644,"[{""start"":3,""end"":5,""text"":""鸡体"",""labels"":[""type""]}]",4.973,"但是，鸡体所需要的矿物质都不能自己合成，必须由饲料中摄取。","2024-02-02T03:08:20.536056Z"
2461,"1","2024-02-02T03:08:30.730749Z",2645,"[{""start"":2,""end"":4,""text"":""鸡体"",""labels"":[""type""]},{""start"":54,""end"":56,""text"":""鸡体"",""labels"":[""type""]}]",8.73,"根据鸡体所需矿物质的数量和比例，可将其分为两种，一是常量矿物质元素，如钙、磷、钠、钾、氯、镁、硫7种，通常占鸡体重量的0.01%以上；","2024-02-02T03:08:30.730749Z"
2462,"1","2024-02-02T03:08:37.183792Z",2646,"[{""start"":37,""end"":39,""text"":""鸡体"",""labels"":[""type""]}]",4.531,"二是微量矿物质元素，如铁、铜、碘、硒、锰、锌、钼、钴、硅、氟、铬11种，占鸡体重量的0.01%以下。","2024-02-02T03:08:37.183792Z"
2463,"1","2024-02-02T03:08:42.368422Z",2647,"[{""start"":10,""end"":11,""text"":""鸡"",""labels"":[""type""]}]",3.742,"不同品种、不同日龄的鸡对矿物质的需要量不同，其中以钙、磷的需要量最大，钙占49%,磷占27%,而其余的仅占24%。","2024-02-02T03:08:42.368422Z"
2464,"1","2024-02-02T03:08:48.424876Z",2648,"[{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]}]",4.579,"矿物质微量元素虽然需要量少，但必须保证供给才能使鸡的生产性能正常发挥。","2024-02-02T03:08:48.424876Z"
2465,"1","2024-02-02T03:08:53.475915Z",2649,"[{""start"":15,""end"":16,""text"":""鸡"",""labels"":[""type""]}]",3.645,"使用时应注意下列问题：一是满足鸡的生命活动中的需要，不可过量；","2024-02-02T03:08:53.476912Z"
2466,"1","2024-02-02T03:08:58.700249Z",2650,"[{""start"":3,""end"":16,""text"":""保证各种微量元素的均衡供给"",""labels"":[""control""]}]",3.989,"二是要保证各种微量元素的均衡供给，避免各元素之间的缺乏或过量；","2024-02-02T03:08:58.700249Z"
2467,"1","2024-02-02T03:09:18.676162Z",2651,"[{""start"":62,""end"":65,""text"":""铜缺乏"",""labels"":[""disease""]}]",12.126,"三是各元素之间的协同和颉颜作用，如钙与锌、镁、锰、铜之间有筑颅作用，饲料中钙过多会影响锌、镁、锰、铜的吸收，造成锌、镁、锰、铜缺乏；","2024-02-02T03:09:18.676162Z"
2468,"1","2024-02-02T03:09:55.010446Z",2652,"[{""start"":17,""end"":20,""text"":""锌过量"",""labels"":[""disease""]},{""start"":24,""end"":27,""text"":""锌过量"",""labels"":[""disease""]},{""start"":30,""end"":35,""text"":""铜代谢紊乱"",""labels"":[""disease""]},{""start"":38,""end"":40,""text"":""贫血"",""labels"":[""symptom""]}]",15.862,"锰过多则影响钙的吸收；铜不足可引起锌过量、中毒，锌过量可引起铜代谢紊乱，导致贫血。","2024-02-02T03:09:55.010446Z"
2469,"1","2024-02-02T03:10:09.214505Z",2653,"[{""start"":4,""end"":16,""text"":""日粮配制中要合理添加使用"",""labels"":[""control""]},{""start"":38,""end"":46,""text"":""矿物质元素缺乏症"",""labels"":[""disease""]}]",12.837,"所以，在日粮配制中要合理添加使用。因为日粮中缺乏矿物质元素或配备不合理常造成矿物质元素缺乏症。","2024-02-02T03:10:09.214505Z"
2470,"1","2024-02-02T03:10:19.298011Z",2654,"[{""start"":4,""end"":6,""text"":""细胞"",""labels"":[""bodypart""]},{""start"":39,""end"":41,""text"":""细胞"",""labels"":[""bodypart""]}]",8.788,"无机盐在细胞中的含量很少，却是生物组织的重要材料，对维持生物体的生命活动、维持细胞的形态和功能有重要作用。","2024-02-02T03:10:19.298011Z"
