"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
889,"1","2024-01-26T03:05:50.916958Z",911,"[{""start"":0,""end"":7,""text"":""磺胺类药物中毒"",""labels"":[""disease""]},{""start"":15,""end"":20,""text"":""磺胺类药物"",""labels"":[""drug""]},{""start"":36,""end"":41,""text"":""中毒性疾病"",""labels"":[""disease""]}]",14.275,"磺胺类药物中毒是由于临床上使用磺胺类药物剂量大，连续用药时间长发生的一种中毒性疾病。","2024-01-26T03:05:50.916958Z"
890,"1","2024-01-26T03:06:03.619755Z",912,"[{""start"":0,""end"":5,""text"":""磺胺类药物"",""labels"":[""drug""]},{""start"":49,""end"":50,""text"":""鸡"",""labels"":[""type""]}]",10.95,"磺胺类药物在兽医临床上是常用药物，如剂量过大，连续用药时间长，饮水或饲料投药时搅拌不均，可导致部分鸡食入量加大而发病；有时因剂量计算错误而发生中毒事故。","2024-01-26T03:06:03.619772Z"
891,"1","2024-01-26T03:06:36.556364Z",913,"[{""start"":2,""end"":6,""text"":""急性发病"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""兴奋"",""labels"":[""symptom""]},{""start"":15,""end"":17,""text"":""腹泻"",""labels"":[""symptom""]},{""start"":18,""end"":20,""text"":""厌食"",""labels"":[""symptom""]},{""start"":21,""end"":25,""text"":""渴欲增加"",""labels"":[""symptom""]},{""start"":26,""end"":30,""text"":""鸡冠苍白"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""苍白"",""labels"":[""pathology""]},{""start"":31,""end"":35,""text"":""头部肿大"",""labels"":[""pathology""]},{""start"":33,""end"":35,""text"":""肿大"",""labels"":[""pathology""]},{""start"":36,""end"":39,""text"":""蓝紫色"",""labels"":[""pathology""]},{""start"":40,""end"":42,""text"":""痉挛"",""labels"":[""pathology""]},{""start"":43,""end"":45,""text"":""麻痹"",""labels"":[""pathology""]},{""start"":26,""end"":28,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":31,""end"":33,""text"":""头部"",""labels"":[""bodypart""]},{""start"":7,""end"":9,""text"":""病鸡"",""labels"":[""type""]}]",38.174,"多为急性发病，病鸡表现为兴奋、腹泻、厌食、渴欲增加，鸡冠苍白，头部肿大，蓝紫色，痉挛或麻痹；","2024-01-26T03:06:44.223464Z"
892,"1","2024-01-26T03:08:35.072359Z",914,"[{""start"":6,""end"":10,""text"":""慢性中毒"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""病鸡"",""labels"":[""type""]},{""start"":14,""end"":18,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":19,""end"":23,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":32,""end"":36,""text"":""鸡冠苍白"",""labels"":[""pathology""]},{""start"":34,""end"":36,""text"":""苍白"",""labels"":[""pathology""]},{""start"":37,""end"":43,""text"":""头部肿大发紫"",""labels"":[""pathology""]},{""start"":39,""end"":43,""text"":""肿大发紫"",""labels"":[""pathology""]},{""start"":46,""end"":48,""text"":""便秘"",""labels"":[""symptom""]},{""start"":51,""end"":53,""text"":""下痢"",""labels"":[""symptom""]},{""start"":60,""end"":64,""text"":""发育受阻"",""labels"":[""symptom""]},{""start"":68,""end"":73,""text"":""产蛋率下降"",""labels"":[""symptom""]},{""start"":75,""end"":79,""text"":""产畸形蛋"",""labels"":[""symptom""]},{""start"":29,""end"":31,""text"":""贫血"",""labels"":[""pathology""]},{""start"":32,""end"":34,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""头部"",""labels"":[""bodypart""]},{""start"":54,""end"":56,""text"":""幼鸡"",""labels"":[""type""]},{""start"":57,""end"":60,""text"":""青年鸡"",""labels"":[""type""]},{""start"":65,""end"":68,""text"":""产蛋鸡"",""labels"":[""type""]}]",109.107,"有时可能发生慢性中毒，则病鸡精神沉郁，食欲不振或废绝，也见贫血，鸡冠苍白，头部肿大发紫，有时便秘，有时下痢，幼鸡、青年鸡发育受阻，产蛋鸡产蛋率下降，并产畸形蛋。","2024-01-26T03:08:35.072359Z"
893,"1","2024-01-26T03:08:58.652113Z",915,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":14,""end"":20,""text"":""内脏器官出血"",""labels"":[""pathology""]},{""start"":18,""end"":20,""text"":""出血"",""labels"":[""pathology""]},{""start"":3,""end"":5,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":6,""end"":10,""text"":""皮下组织"",""labels"":[""bodypart""]},{""start"":11,""end"":13,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":14,""end"":18,""text"":""内脏器官"",""labels"":[""bodypart""]}]",18.914,"病鸡的皮下、皮下组织、肌肉、内脏器官出血是其特征。","2024-01-26T03:08:58.652113Z"
894,"1","2024-01-26T03:09:09.262451Z",916,"[{""start"":2,""end"":8,""text"":""凝血时间延长"",""labels"":[""pathology""]},{""start"":9,""end"":14,""text"":""白细胞减少"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""减少"",""labels"":[""pathology""]},{""start"":9,""end"":12,""text"":""白细胞"",""labels"":[""bodypart""]}]",7.938,"1.凝血时间延长，白细胞减少。","2024-01-26T03:09:09.262451Z"
895,"1","2024-01-26T03:09:28.204682Z",918,"[{""start"":2,""end"":4,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":5,""end"":7,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":8,""end"":10,""text"":""肝脏"",""labels"":[""bodypart""]}]",9.039,"3.肌肉、肾脏、肝脏中药物含量，应不超过20毫克/千克。","2024-01-26T03:09:28.204682Z"
896,"1","2024-01-26T03:09:47.559468Z",919,"[{""start"":0,""end"":7,""text"":""磺胺类药物中毒"",""labels"":[""disease""]},{""start"":21,""end"":26,""text"":""磺胺类药物"",""labels"":[""drug""]},{""start"":27,""end"":34,""text"":""投药时掌握剂量"",""labels"":[""control""]},{""start"":38,""end"":46,""text"":""饮水内要搅拌均匀"",""labels"":[""control""]}]",208.51299999999998,"磺胺类药物中毒以预防为主，选择毒副作用小的磺胺类药物，投药时掌握剂量，饲料、饮水内要搅拌均匀。","2024-01-26T03:13:56.419118Z"
897,"1","2024-01-26T03:10:03.522205Z",920,"[{""start"":2,""end"":7,""text"":""磺胺类药物"",""labels"":[""drug""]},{""start"":7,""end"":9,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":15,""end"":19,""text"":""磺胺嘧啶"",""labels"":[""drug""]},{""start"":24,""end"":31,""text"":""磺胺二甲基嘧啶"",""labels"":[""drug""]},{""start"":37,""end"":42,""text"":""磺胺喹噁啉"",""labels"":[""drug""]}]",13.834,"有些磺胺类药物肠道容易吸收，如磺胺嘧啶(SD)、磺胺二甲基嘧啶(SM₂)、磺胺喹噁啉(SQ)等，其治疗量和中毒量非常接近。","2024-01-26T03:10:03.522205Z"
898,"1","2024-01-26T03:14:24.275952Z",921,"[{""start"":36,""end"":38,""text"":""鸡只"",""labels"":[""type""]},{""start"":13,""end"":19,""text"":""准确配制浓度"",""labels"":[""control""]},{""start"":20,""end"":27,""text"":""控制好用药时间"",""labels"":[""control""]}]",54.682,"所以，应用此类药物时，必须准确配制浓度，控制好用药时间，避免发生抗药性和鸡只中毒。","2024-01-26T03:14:24.275952Z"
