"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2692,"1","2024-02-02T07:35:27.461103Z",2890,"[{""start"":25,""end"":27,""text"":""禽病"",""labels"":[""disease""]}]",5.827,"随着养鸡业的迅速发展，购销旺盛，交流频繁，造成当前禽病发生与流行有如下特点。","2024-02-02T07:35:27.461103Z"
2693,"1","2024-02-02T07:35:32.145000Z",2891,"[{""start"":2,""end"":4,""text"":""禽病"",""labels"":[""disease""]}]",3.036,"1.禽病的种类增多：现有80多种，以传染病最多，约占75%。","2024-02-02T07:35:32.145000Z"
2694,"1","2024-02-02T07:39:52.953846Z",2892,"[{""start"":4,""end"":6,""text"":""禽病"",""labels"":[""disease""]},{""start"":12,""end"":18,""text"":""鸡传染性贫血"",""labels"":[""disease""]},{""start"":19,""end"":22,""text"":""禽流感"",""labels"":[""disease""]},{""start"":23,""end"":25,""text"":""肾型"",""labels"":[""disease""]},{""start"":26,""end"":36,""text"":""腺胃型传染性支气管炎"",""labels"":[""disease""]},{""start"":37,""end"":44,""text"":""鸡病毒性关节炎"",""labels"":[""disease""]},{""start"":45,""end"":50,""text"":""包含体肝炎"",""labels"":[""disease""]},{""start"":51,""end"":56,""text"":""肠毒综合征"",""labels"":[""disease""]},{""start"":57,""end"":64,""text"":""产蛋减少综合征"",""labels"":[""disease""]},{""start"":65,""end"":72,""text"":""雏鸭病毒性肝炎"",""labels"":[""disease""]},{""start"":73,""end"":80,""text"":""番鸭细小病毒病"",""labels"":[""disease""]},{""start"":81,""end"":88,""text"":""鸭传染性浆膜炎"",""labels"":[""disease""]},{""start"":89,""end"":96,""text"":""肉鸡腹水综合征"",""labels"":[""disease""]},{""start"":97,""end"":102,""text"":""隐孢子虫病"",""labels"":[""disease""]}]",259.312,"2.新的禽病不断出现：如鸡传染性贫血、禽流感、肾型和腺胃型传染性支气管炎、鸡病毒性关节炎、包含体肝炎、肠毒综合征、产蛋减少综合征、雏鸭病毒性肝炎、番鸭细小病毒病、鸭传染性浆膜炎、肉鸡腹水综合征、隐孢子虫病等。","2024-02-02T07:39:52.953846Z"
2695,"1","2024-02-02T07:40:00.281016Z",2893,"[{""start"":3,""end"":6,""text"":""禽流感"",""labels"":[""disease""]},{""start"":7,""end"":13,""text"":""鸡传染性贫血"",""labels"":[""disease""]},{""start"":14,""end"":17,""text"":""肾传支"",""labels"":[""disease""]}]",5.395,"特别是禽流感、鸡传染性贫血和肾传支。","2024-02-02T07:40:00.281016Z"
2696,"1","2024-02-02T07:40:10.239293Z",2894,"[{""start"":4,""end"":9,""text"":""非典型发病"",""labels"":[""disease""]},{""start"":11,""end"":17,""text"":""非典型新城疫"",""labels"":[""disease""]},{""start"":18,""end"":22,""text"":""法氏囊病"",""labels"":[""disease""]},{""start"":23,""end"":28,""text"":""马立克氏病"",""labels"":[""disease""]}]",8.135,"3.出现非典型发病：如非典型新城疫、法氏囊病、马立克氏病等，使某些原有的旧病以新的面貌出现，所以，诊断防治应格外注意。","2024-02-02T07:40:10.239293Z"
2697,"1","2024-02-02T07:40:29.482187Z",2895,"[{""start"":4,""end"":9,""text"":""细菌性疾病"",""labels"":[""disease""]},{""start"":10,""end"":14,""text"":""寄生虫病"",""labels"":[""disease""]},{""start"":21,""end"":25,""text"":""大肠杆菌"",""labels"":[""disease""]},{""start"":26,""end"":30,""text"":""沙门氏菌"",""labels"":[""disease""]},{""start"":31,""end"":36,""text"":""绿脓杆菌病"",""labels"":[""disease""]},{""start"":37,""end"":41,""text"":""支原体病"",""labels"":[""disease""]},{""start"":42,""end"":50,""text"":""小鸭传染性浆膜炎"",""labels"":[""disease""]},{""start"":51,""end"":55,""text"":""鸡球虫病"",""labels"":[""disease""]},{""start"":56,""end"":63,""text"":""鸡住白细胞虫病"",""labels"":[""disease""]}]",16.596,"4.某些细菌性疾病和寄生虫病的危害加大，如大肠杆菌、沙门氏菌、绿脓杆菌病、支原体病、小鸭传染性浆膜炎、鸡球虫病、鸡住白细胞虫病等。","2024-02-02T07:40:29.482187Z"
2698,"1","2024-02-02T07:40:44.341003Z",2896,"[{""start"":19,""end"":27,""text"":""破坏免疫系统疾病"",""labels"":[""disease""]},{""start"":28,""end"":31,""text"":""法氏囊"",""labels"":[""disease""]},{""start"":32,""end"":37,""text"":""传染性贫血"",""labels"":[""disease""]},{""start"":44,""end"":47,""text"":""抗菌药"",""labels"":[""drug""]}]",12.733,"这些病原体存在广泛，传播途径广，再加上破坏免疫系统疾病(法氏囊、传染性贫血)的流行，滥用抗菌药，所以上述疫病容易发生。","2024-02-02T07:40:44.341003Z"
2699,"1","2024-02-02T07:41:05.467007Z",2897,"[{""start"":38,""end"":41,""text"":""新城疫"",""labels"":[""disease""]},{""start"":42,""end"":45,""text"":""法氏囊"",""labels"":[""disease""]},{""start"":46,""end"":53,""text"":""传染性支气管炎"",""labels"":[""disease""]},{""start"":54,""end"":56,""text"":""流感"",""labels"":[""disease""]},{""start"":57,""end"":62,""text"":""大肠杆菌病"",""labels"":[""disease""]},{""start"":63,""end"":69,""text"":""慢性呼吸道病"",""labels"":[""disease""]}]",47.723,"5.混合感染使疾病复杂化并发病、继发感染和混合感染的病例增多，如混合感染的有新城疫和法氏囊、传染性支气管炎、流感、大肠杆菌病、慢性呼吸道病；","2024-02-02T07:41:35.050228Z"
2700,"1","2024-02-02T07:41:45.440762Z",2898,"[{""start"":0,""end"":5,""text"":""大肠杆菌病"",""labels"":[""disease""]},{""start"":6,""end"":11,""text"":""沙门氏菌病"",""labels"":[""disease""]},{""start"":12,""end"":18,""text"":""慢性呼吸道病"",""labels"":[""disease""]}]",8.072,"大肠杆菌病和沙门氏菌病、慢性呼吸道病等。","2024-02-02T07:41:45.440762Z"
2701,"1","2024-02-02T07:41:52.567895Z",2899,"[{""start"":2,""end"":9,""text"":""营养代谢性疾病"",""labels"":[""disease""]},{""start"":10,""end"":15,""text"":""中毒性疾病"",""labels"":[""disease""]}]",4.271,"6.营养代谢性疾病和中毒性疾病增多。","2024-02-02T07:41:52.567895Z"
