"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2674,"1","2024-02-02T07:28:50.048375Z",2871,"[{""start"":0,""end"":6,""text"":""禽溃疡性肠炎"",""labels"":[""disease""]},{""start"":8,""end"":11,""text"":""肠梭菌"",""labels"":[""disease""]},{""start"":28,""end"":36,""text"":""急性细菌性传染病"",""labels"":[""disease""]},{""start"":13,""end"":16,""text"":""幼年鸡"",""labels"":[""type""]},{""start"":17,""end"":19,""text"":""火鸡"",""labels"":[""type""]}]",12.203,"禽溃疡性肠炎是由肠梭菌引起幼年鸡、火鸡和鹤鹑等鸟类的一种急性细菌性传染病。","2024-02-02T07:28:50.048375Z"
2675,"1","2024-02-02T07:29:31.089120Z",2872,"[{""start"":1,""end"":5,""text"":""突然发病"",""labels"":[""pathology""]},{""start"":6,""end"":12,""text"":""迅速大量死亡"",""labels"":[""pathology""]},{""start"":18,""end"":30,""text"":""大小不一的黄白色坏死斑点"",""labels"":[""pathology""]},{""start"":23,""end"":26,""text"":""黄白色"",""labels"":[""pathology""]},{""start"":31,""end"":36,""text"":""肠黏膜出血"",""labels"":[""pathology""]},{""start"":34,""end"":36,""text"":""出血"",""labels"":[""pathology""]},{""start"":37,""end"":45,""text"":""有黄白色的溃疡灶"",""labels"":[""pathology""]},{""start"":38,""end"":41,""text"":""黄白色"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":31,""end"":34,""text"":""肠黏膜"",""labels"":[""bodypart""]}]",39.207,"以突然发病，迅速大量死亡，肝脏表面有大小不一的黄白色坏死斑点，肠黏膜出血和有黄白色的溃疡灶为特征。","2024-02-02T07:29:31.089120Z"
2676,"1","2024-02-02T07:29:40.313277Z",2873,"[{""start"":9,""end"":15,""text"":""禽溃疡性肠炎"",""labels"":[""disease""]}]",6.845,"随着养鸡业的发展，禽溃疡性肠炎的发生呈上升趋势。","2024-02-02T07:29:40.313277Z"
2677,"1","2024-02-02T07:29:48.779233Z",2874,"[{""start"":0,""end"":1,""text"":""鸡"",""labels"":[""type""]},{""start"":5,""end"":7,""text"":""火鸡"",""labels"":[""type""]},{""start"":8,""end"":10,""text"":""野鸡"",""labels"":[""type""]}]",5.71,"鸡、鹌鹑、火鸡、野鸡、鸽均易感，尤以鹧鸪最为易感。","2024-02-02T07:29:48.779233Z"
2678,"1","2024-02-02T07:30:03.822066Z",2875,"[{""start"":5,""end"":9,""text"":""发病幼禽"",""labels"":[""type""]},{""start"":10,""end"":12,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":21,""end"":24,""text"":""消化道"",""labels"":[""bodypart""]}]",37.924,"主要是由于发病幼禽的粪便污染了饲料饮水，经消化道而感染：","2024-02-02T07:30:37.421498Z"
2679,"1","2024-02-02T07:30:21.425157Z",2876,"[{""start"":9,""end"":11,""text"":""病禽"",""labels"":[""type""]}]",3.629,"在同一养殖场，其他病禽也可成为主要传染来源。","2024-02-02T07:30:21.425157Z"
2680,"1","2024-02-02T07:30:46.915465Z",2877,"[{""start"":3,""end"":9,""text"":""禽溃疡性肠炎"",""labels"":[""disease""]}]",4.168,"蚊蝇是禽溃疡性肠炎的传播媒介。饲料腐败，卫生条件不良，阴雨潮湿都是诱发因素。","2024-02-02T07:30:46.915465Z"
2681,"1","2024-02-02T07:30:53.622499Z",2878,"[{""start"":0,""end"":2,""text"":""病禽"",""labels"":[""type""]}]",16.730999999999998,"病禽常常突然死亡，尤以幼龄鹤鹑为明显。","2024-02-02T07:31:06.702159Z"
2682,"1","2024-02-02T07:31:31.067127Z",2879,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":2,""end"":6,""text"":""表现不安"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""弓背"",""labels"":[""symptom""]},{""start"":10,""end"":14,""text"":""精神萎靡"",""labels"":[""symptom""]},{""start"":15,""end"":18,""text"":""眼半闭"",""labels"":[""symptom""]},{""start"":16,""end"":18,""text"":""半闭"",""labels"":[""symptom""]},{""start"":19,""end"":23,""text"":""羽毛松乱"",""labels"":[""symptom""]},{""start"":21,""end"":23,""text"":""松乱"",""labels"":[""symptom""]},{""start"":24,""end"":28,""text"":""行动缓慢"",""labels"":[""symptom""]},{""start"":29,""end"":31,""text"":""腹泻"",""labels"":[""symptom""]},{""start"":8,""end"":9,""text"":""背"",""labels"":[""bodypart""]},{""start"":15,""end"":16,""text"":""眼"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""羽毛"",""labels"":[""bodypart""]}]",22.696,"病鸡表现不安，弓背，精神萎靡，眼半闭，羽毛松乱，行动缓慢，腹泻。如不及时救治，致死率可达100%。","2024-02-02T07:31:31.067127Z"
2683,"1","2024-02-02T07:31:56.995825Z",2880,"[{""start"":4,""end"":14,""text"":""肠道有许多圆形的溃疡"",""labels"":[""pathology""]},{""start"":9,""end"":14,""text"":""圆形的溃疡"",""labels"":[""pathology""]},{""start"":19,""end"":24,""text"":""肠内有出血"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""出血"",""labels"":[""pathology""]},{""start"":33,""end"":37,""text"":""肠壁穿孔"",""labels"":[""pathology""]},{""start"":35,""end"":37,""text"":""穿孔"",""labels"":[""pathology""]},{""start"":39,""end"":42,""text"":""腹膜炎"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":19,""end"":20,""text"":""肠"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""肠壁"",""labels"":[""bodypart""]}]",49.61,"剖检可见肠道有许多圆形的溃疡，有的病例肠内有出血，严重的病例可造成肠壁穿孔引起腹膜炎。","2024-02-02T07:32:23.787629Z"
2684,"1","2024-02-02T07:32:56.420034Z",2881,"[{""start"":0,""end"":10,""text"":""肝脏有黄色局限性病灶"",""labels"":[""pathology""]},{""start"":5,""end"":10,""text"":""局限性病灶"",""labels"":[""pathology""]},{""start"":3,""end"":5,""text"":""黄色"",""labels"":[""pathology""]},{""start"":11,""end"":16,""text"":""花斑状病灶"",""labels"":[""pathology""]},{""start"":21,""end"":32,""text"":""肝脏有许多小的黄色病灶"",""labels"":[""pathology""]},{""start"":30,""end"":32,""text"":""病灶"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""黄色"",""labels"":[""pathology""]},{""start"":33,""end"":36,""text"":""脾肿大"",""labels"":[""pathology""]},{""start"":34,""end"":36,""text"":""肿大"",""labels"":[""pathology""]},{""start"":37,""end"":39,""text"":""出血"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":21,""end"":23,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":33,""end"":34,""text"":""脾"",""labels"":[""bodypart""]}]",28.893,"肝脏有黄色局限性病灶或花斑状病灶，有的病例肝脏有许多小的黄色病灶。脾肿大，出血。","2024-02-02T07:32:56.420034Z"
2685,"1","2024-02-02T07:33:09.307251Z",2882,"[{""start"":26,""end"":32,""text"":""禽溃疡性肠炎"",""labels"":[""disease""]}]",4.667,"根据发病特点、临床症状、病理变化并结合细菌学检查进行禽溃疡性肠炎的诊断。","2024-02-02T07:33:09.307251Z"
2686,"1","2024-02-02T07:33:29.812356Z",2884,"[{""start"":15,""end"":17,""text"":""消毒"",""labels"":[""control""]},{""start"":26,""end"":29,""text"":""百毒杀"",""labels"":[""drug""]},{""start"":34,""end"":37,""text"":""安唯消"",""labels"":[""drug""]},{""start"":40,""end"":43,""text"":""来苏尔"",""labels"":[""drug""]}]",15.898,"(1)预防。每周对禽舍进行1次消毒，可选用0.10%百毒杀0.10%安唯消或5%来苏尔等。","2024-02-02T07:33:29.812356Z"
2687,"1","2024-02-02T07:33:47.557473Z",2885,"[{""start"":2,""end"":11,""text"":""保持禽舍的清洁卫生"",""labels"":[""control""]},{""start"":12,""end"":18,""text"":""定期清除粪便"",""labels"":[""control""]},{""start"":30,""end"":38,""text"":""保持禽舍相对干燥"",""labels"":[""control""]},{""start"":16,""end"":18,""text"":""粪便"",""labels"":[""bodypart""]}]",15.16,"平时保持禽舍的清洁卫生，定期清除粪便，避免饲料、饮水受污染，保持禽舍相对干燥；","2024-02-02T07:33:47.557473Z"
2688,"1","2024-02-02T07:34:11.621628Z",2886,"[{""start"":0,""end"":11,""text"":""鹧鸪与其他禽类分开饲养"",""labels"":[""control""]},{""start"":14,""end"":18,""text"":""网上饲养"",""labels"":[""control""]},{""start"":19,""end"":21,""text"":""笼养"",""labels"":[""control""]},{""start"":5,""end"":7,""text"":""禽类"",""labels"":[""type""]},{""start"":24,""end"":26,""text"":""粪便"",""labels"":[""bodypart""]}]",19.387,"鹧鸪与其他禽类分开饲养。采用网上饲养和笼养，减少粪便对饲料和饮水的污染。","2024-02-02T07:34:11.621628Z"
2689,"1","2024-02-02T07:34:21.755081Z",2887,"[{""start"":5,""end"":8,""text"":""氯霉素"",""labels"":[""drug""]},{""start"":17,""end"":20,""text"":""链霉素"",""labels"":[""drug""]},{""start"":27,""end"":29,""text"":""混饲"",""labels"":[""control""]}]",8.172,"饲料中添加氯霉素(500g/t)或链霉素(60g/t)混饲。","2024-02-02T07:34:21.755081Z"
2690,"1","2024-02-02T07:34:36.692090Z",2888,"[{""start"":21,""end"":25,""text"":""拌料投喂"",""labels"":[""control""]},{""start"":33,""end"":39,""text"":""禽溃疡性肠炎"",""labels"":[""disease""]},{""start"":8,""end"":11,""text"":""氯霉素"",""labels"":[""drug""]},{""start"":12,""end"":15,""text"":""痢特灵"",""labels"":[""drug""]},{""start"":16,""end"":20,""text"":""泰乐菌素"",""labels"":[""drug""]}]",12.789,"(2)治疗。选用氯霉素、痢特灵、泰乐菌素等拌料投喂3天，可有效治疗禽溃疡性肠炎。","2024-02-02T07:34:36.692090Z"
2691,"1","2024-02-02T07:34:53.005460Z",2889,"[{""start"":4,""end"":12,""text"":""改善饲养管理条件"",""labels"":[""control""]},{""start"":13,""end"":23,""text"":""增加多种维生素的用量"",""labels"":[""control""]},{""start"":17,""end"":20,""text"":""维生素"",""labels"":[""drug""]},{""start"":26,""end"":28,""text"":""球虫"",""labels"":[""disease""]}]",13.283,"同时注意改善饲养管理条件，增加多种维生素的用量及防止球虫的继发感染。","2024-02-02T07:34:53.005875Z"
