"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2793,"1","2024-02-02T09:58:01.931622Z",3000,"[{""start"":0,""end"":10,""text"":""禽网状内皮组织增生病"",""labels"":[""disease""]},{""start"":15,""end"":22,""text"":""免疫抑制性疾病"",""labels"":[""disease""]},{""start"":27,""end"":32,""text"":""反转录病毒"",""labels"":[""disease""]},{""start"":34,""end"":36,""text"":""禽类"",""labels"":[""type""]},{""start"":55,""end"":65,""text"":""急性致死性网状细胞瘤"",""labels"":[""disease""]},{""start"":91,""end"":95,""text"":""禽用疫苗"",""labels"":[""drug""]},{""start"":82,""end"":86,""text"":""慢性肿瘤"",""labels"":[""disease""]},{""start"":50,""end"":54,""text"":""免疫抑制"",""labels"":[""disease""]},{""start"":66,""end"":71,""text"":""矮小综合征"",""labels"":[""disease""]},{""start"":72,""end"":76,""text"":""淋巴组织"",""labels"":[""bodypart""]}]",246.949,"禽网状内皮组织增生病是一种新的免疫抑制性疾病，是由一组反转录病毒引起禽类的一组症状不同的综合征，包括免疫抑制、急性致死性网状细胞瘤，矮小综合征和淋巴组织及其他组织的慢性肿瘤，它是污染禽用疫苗的潜在因素。","2024-02-02T09:58:01.931622Z"
2794,"1","2024-02-02T09:58:28.216247Z",3001,"[{""start"":0,""end"":2,""text"":""家禽"",""labels"":[""type""]},{""start"":8,""end"":16,""text"":""免疫应答能力降低"",""labels"":[""symptom""]},{""start"":17,""end"":22,""text"":""抗病力下降"",""labels"":[""symptom""]},{""start"":27,""end"":29,""text"":""疫苗"",""labels"":[""drug""]},{""start"":23,""end"":33,""text"":""干扰其他疫苗免疫效应"",""labels"":[""symptom""]}]",22.662,"家禽感染后，造成免疫应答能力降低，抗病力下降，干扰其他疫苗免疫效应，导致免疫失败。","2024-02-02T09:58:28.216247Z"
2795,"1","2024-02-02T09:58:47.321312Z",3002,"[{""start"":18,""end"":20,""text"":""鸡痘"",""labels"":[""disease""]},{""start"":21,""end"":25,""text"":""支气管炎"",""labels"":[""disease""]},{""start"":26,""end"":28,""text"":""球虫"",""labels"":[""disease""]},{""start"":29,""end"":34,""text"":""沙门氏菌病"",""labels"":[""disease""]}]",13.966,"它又可潜在地引起病毒突变并易激发感染鸡痘、支气管炎、球虫、沙门氏菌病等，造成巨大经济损失。","2024-02-02T09:58:47.321312Z"
2796,"1","2024-02-02T10:06:38.273153Z",3003,"[{""start"":7,""end"":18,""text"":""禽网状内皮组织增生病毒"",""labels"":[""disease""]},{""start"":32,""end"":34,""text"":""乙醚"",""labels"":[""drug""]},{""start"":35,""end"":37,""text"":""氯仿"",""labels"":[""drug""]}]",469.059,"1.病原特性：禽网状内皮组织增生病毒对理化因素抵抗力不强，容易被乙醚、氯仿杀灭，对热敏感，不耐酸，耐低温。","2024-02-02T10:06:38.273153Z"
2797,"1","2024-02-02T10:07:04.401241Z",3004,"[{""start"":9,""end"":19,""text"":""禽网状内皮组织增生病"",""labels"":[""disease""]},{""start"":40,""end"":43,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":44,""end"":47,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":58,""end"":68,""text"":""禽网状内皮组织增生病"",""labels"":[""disease""]},{""start"":52,""end"":54,""text"":""疫苗"",""labels"":[""drug""]}]",21.011,"2.流行病学特征：禽网状内皮组织增生病可垂直传播，也可水平传播，其水平传播主要经呼吸道和消化道感染，污染疫苗的传播是禽网状内皮组织增生病发生的重要因素。","2024-02-02T10:07:04.401241Z"
2798,"1","2024-02-02T10:07:16.765871Z",3005,"[{""start"":15,""end"":22,""text"":""急性网状细胞瘤"",""labels"":[""disease""]},{""start"":42,""end"":46,""text"":""急性死亡"",""labels"":[""pathology""]}]",10.347,"3.临床症状与病理变化：(1)急性网状细胞瘤发病急，很少见到临床症状，多于1～2天内急性死亡，死亡率可达100%。","2024-02-02T10:07:16.765871Z"
2799,"1","2024-02-02T10:08:00.403297Z",3006,"[{""start"":5,""end"":8,""text"":""脾肿大"",""labels"":[""pathology""]},{""start"":6,""end"":8,""text"":""肿大"",""labels"":[""pathology""]},{""start"":5,""end"":6,""text"":""脾"",""labels"":[""bodypart""]},{""start"":3,""end"":4,""text"":""肝"",""labels"":[""bodypart""]},{""start"":15,""end"":27,""text"":""小点状或弥漫性灰白色病灶"",""labels"":[""pathology""]},{""start"":22,""end"":25,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":28,""end"":33,""text"":""肾脏也肿胀"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":41,""end"":50,""text"":""卵巢出现纤维性粘连"",""labels"":[""pathology""]},{""start"":45,""end"":50,""text"":""纤维性粘连"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":34,""end"":36,""text"":""胰腺"",""labels"":[""bodypart""]},{""start"":37,""end"":40,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":41,""end"":43,""text"":""卵巢"",""labels"":[""bodypart""]}]",41.783,"剖检见肝、脾肿大，表面及切面有小点状或弥漫性灰白色病灶；肾脏也肿胀，胰腺、输卵管及卵巢出现纤维性粘连。","2024-02-02T10:08:00.403297Z"
2800,"1","2024-02-02T10:08:57.106058Z",3007,"[{""start"":3,""end"":8,""text"":""矮小综合征"",""labels"":[""disease""]},{""start"":9,""end"":15,""text"":""生长发育迟缓"",""labels"":[""symptom""]},{""start"":19,""end"":23,""text"":""体形瘦小"",""labels"":[""symptom""]},{""start"":24,""end"":28,""text"":""参差不齐"",""labels"":[""symptom""]},{""start"":30,""end"":36,""text"":""饲料消耗不减"",""labels"":[""symptom""]},{""start"":40,""end"":44,""text"":""血液稀薄"",""labels"":[""pathology""]},{""start"":42,""end"":44,""text"":""稀薄"",""labels"":[""pathology""]},{""start"":45,""end"":47,""text"":""贫血"",""labels"":[""pathology""]},{""start"":48,""end"":52,""text"":""全身出血"",""labels"":[""pathology""]},{""start"":53,""end"":57,""text"":""腺胃充血"",""labels"":[""pathology""]},{""start"":55,""end"":57,""text"":""充血"",""labels"":[""pathology""]},{""start"":58,""end"":60,""text"":""出血"",""labels"":[""pathology""]},{""start"":61,""end"":63,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":64,""end"":68,""text"":""黏膜糜烂"",""labels"":[""pathology""]},{""start"":66,""end"":68,""text"":""糜烂"",""labels"":[""pathology""]},{""start"":69,""end"":71,""text"":""溃疡"",""labels"":[""pathology""]},{""start"":40,""end"":42,""text"":""血液"",""labels"":[""bodypart""]},{""start"":53,""end"":55,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":64,""end"":66,""text"":""黏膜"",""labels"":[""bodypart""]}]",47.052,"(2)矮小综合征：生长发育迟缓或停滞、体形瘦小，参差不齐，但饲料消耗不减，剖检见血液稀薄，贫血，全身出血；腺胃充血、出血、肿胀，黏膜糜烂或溃疡；","2024-02-02T10:08:57.106058Z"
2801,"1","2024-02-02T10:42:26.295923Z",3008,"[{""start"":0,""end"":4,""text"":""脾脏坏死"",""labels"":[""pathology""]},{""start"":2,""end"":4,""text"":""坏死"",""labels"":[""pathology""]},{""start"":8,""end"":13,""text"":""法氏囊萎缩"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":21,""end"":26,""text"":""臂神经肿胀"",""labels"":[""pathology""]},{""start"":27,""end"":38,""text"":""横纹消失呈黄白或灰白色"",""labels"":[""pathology""]},{""start"":35,""end"":38,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":32,""end"":34,""text"":""黄白"",""labels"":[""pathology""]},{""start"":39,""end"":46,""text"":""水肿样明显增粗"",""labels"":[""pathology""]},{""start"":54,""end"":68,""text"":""卵巢有时也见弥漫性灰白色病灶"",""labels"":[""pathology""]},{""start"":66,""end"":68,""text"":""病灶"",""labels"":[""pathology""]},{""start"":63,""end"":66,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""脾脏"",""labels"":[""bodypart""]},{""start"":5,""end"":7,""text"":""胸腺"",""labels"":[""bodypart""]},{""start"":8,""end"":11,""text"":""法氏囊"",""labels"":[""bodypart""]},{""start"":16,""end"":20,""text"":""坐骨神经"",""labels"":[""bodypart""]},{""start"":21,""end"":24,""text"":""臂神经"",""labels"":[""bodypart""]},{""start"":47,""end"":49,""text"":""胰腺"",""labels"":[""bodypart""]},{""start"":50,""end"":51,""text"":""心"",""labels"":[""bodypart""]},{""start"":52,""end"":53,""text"":""肾"",""labels"":[""bodypart""]},{""start"":54,""end"":56,""text"":""卵巢"",""labels"":[""bodypart""]}]",2006.907,"脾脏坏死，胸腺及法氏囊萎缩；两侧坐骨神经、臂神经肿胀，横纹消失呈黄白或灰白色，水肿样明显增粗；胰腺、心、肾及卵巢有时也见弥漫性灰白色病灶。","2024-02-02T10:42:26.296921Z"
2802,"1","2024-02-02T10:43:24.633980Z",3009,"[{""start"":3,""end"":8,""text"":""慢性淋巴瘤"",""labels"":[""disease""]},{""start"":9,""end"":13,""text"":""精神委顿"",""labels"":[""symptom""]},{""start"":14,""end"":18,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":21,""end"":27,""text"":""淋巴样白血病"",""labels"":[""disease""]},{""start"":37,""end"":41,""text"":""肿瘤病变"",""labels"":[""pathology""]},{""start"":28,""end"":29,""text"":""肝"",""labels"":[""bodypart""]},{""start"":30,""end"":32,""text"":""胸腺"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""心脏"",""labels"":[""bodypart""]}]",54.502,"(3)慢性淋巴瘤：精神委顿，食欲不振，产生淋巴样白血病，肝、胸腺、心脏均有肿瘤病变。","2024-02-02T10:43:24.633980Z"
