"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2620,"1","2024-02-02T06:40:50.280670Z",2808,"[{""start"":0,""end"":7,""text"":""笼养蛋鸡疲劳症"",""labels"":[""disease""]},{""start"":12,""end"":17,""text"":""笼养产蛋鸡"",""labels"":[""type""]},{""start"":19,""end"":24,""text"":""骨骼易碎裂"",""labels"":[""symptom""]},{""start"":21,""end"":24,""text"":""易碎裂"",""labels"":[""symptom""]},{""start"":25,""end"":29,""text"":""腿软无力"",""labels"":[""symptom""]},{""start"":19,""end"":21,""text"":""骨骼"",""labels"":[""bodypart""]},{""start"":25,""end"":26,""text"":""腿"",""labels"":[""bodypart""]}]",60.157,"笼养蛋鸡疲劳症主要发生于笼养产蛋鸡，以骨骼易碎裂、腿软无力为特征。","2024-02-02T06:40:50.280670Z"
2621,"1","2024-02-02T06:41:55.682693Z",2809,"[{""start"":6,""end"":11,""text"":""笼养产蛋鸡"",""labels"":[""type""]},{""start"":55,""end"":57,""text"":""骨骼"",""labels"":[""bodypart""]},{""start"":65,""end"":69,""text"":""骨质疏松"",""labels"":[""symptom""]},{""start"":70,""end"":72,""text"":""软化"",""labels"":[""symptom""]},{""start"":76,""end"":81,""text"":""尿酸盐在肾"",""labels"":[""symptom""]},{""start"":82,""end"":88,""text"":""肝脏内的沉积"",""labels"":[""symptom""]},{""start"":94,""end"":100,""text"":""新陈代谢紊乱"",""labels"":[""symptom""]},{""start"":104,""end"":109,""text"":""脂肪代谢乱"",""labels"":[""symptom""]},{""start"":114,""end"":126,""text"":""脂溶性维生素D₃吸收不良"",""labels"":[""symptom""]},{""start"":131,""end"":136,""text"":""钙代谢障碍"",""labels"":[""symptom""]},{""start"":91,""end"":93,""text"":""母鸡"",""labels"":[""type""]},{""start"":80,""end"":81,""text"":""肾"",""labels"":[""bodypart""]},{""start"":82,""end"":84,""text"":""肝脏"",""labels"":[""bodypart""]}]",62.063,"1.发病情况笼养产蛋鸡体内无机盐的消耗增加，如果钙、磷供应不足或钙、磷比例不当，满足不了蛋壳形成的需要，就要用骨骼中的钙、磷，造成骨质疏松和软化，并伴发尿酸盐在肾、肝脏内的沉积，加剧母鸡的新陈代谢紊乱，尤其是脂肪代谢乱，就会引起脂溶性维生素D₃吸收不良，最终造成钙代谢障碍。","2024-02-02T06:41:55.682693Z"
2622,"1","2024-02-02T06:42:05.794769Z",2810,"[{""start"":3,""end"":7,""text"":""笼养蛋鸡"",""labels"":[""type""]},{""start"":17,""end"":24,""text"":""笼养蛋鸡疲劳症"",""labels"":[""disease""]}]",117.821,"此外，笼养蛋鸡活动量不足，也是造成笼养蛋鸡疲劳症的原因之一。","2024-02-02T06:43:57.340478Z"
2623,"1","2024-02-02T06:48:31.839505Z",2811,"[{""start"":11,""end"":15,""text"":""产软皮蛋"",""labels"":[""symptom""]},{""start"":16,""end"":19,""text"":""砂皮蛋"",""labels"":[""symptom""]},{""start"":24,""end"":28,""text"":""趾爪弯曲"",""labels"":[""symptom""]},{""start"":26,""end"":28,""text"":""弯曲"",""labels"":[""symptom""]},{""start"":29,""end"":33,""text"":""运动失调"",""labels"":[""symptom""]},{""start"":34,""end"":38,""text"":""站立困难"",""labels"":[""symptom""]},{""start"":39,""end"":43,""text"":""两腿发软"",""labels"":[""symptom""]},{""start"":41,""end"":43,""text"":""发软"",""labels"":[""symptom""]},{""start"":45,""end"":50,""text"":""呈侧卧姿势"",""labels"":[""symptom""]},{""start"":24,""end"":26,""text"":""趾爪"",""labels"":[""bodypart""]},{""start"":39,""end"":41,""text"":""两腿"",""labels"":[""bodypart""]}]",33.865,"2.临床表现最初表现是产软皮蛋、砂皮蛋，然后出现趾爪弯曲，运动失调，站立困难，两腿发软，常呈侧卧姿势。","2024-02-02T06:48:31.839505Z"
2624,"1","2024-02-02T06:49:19.028720Z",2812,"[{""start"":30,""end"":34,""text"":""骨软疏松"",""labels"":[""symptom""]},{""start"":35,""end"":39,""text"":""肋骨易断"",""labels"":[""symptom""]},{""start"":37,""end"":39,""text"":""易断"",""labels"":[""symptom""]},{""start"":40,""end"":44,""text"":""胸骨凹陷"",""labels"":[""symptom""]},{""start"":42,""end"":44,""text"":""凹陷"",""labels"":[""symptom""]},{""start"":47,""end"":54,""text"":""胸骨呈S形弯曲"",""labels"":[""symptom""]},{""start"":50,""end"":54,""text"":""S形弯曲"",""labels"":[""symptom""]},{""start"":57,""end"":61,""text"":""不能起立"",""labels"":[""symptom""]},{""start"":64,""end"":66,""text"":""瘫痪"",""labels"":[""symptom""]},{""start"":73,""end"":80,""text"":""鸡血钙指标降低"",""labels"":[""symptom""]},{""start"":81,""end"":85,""text"":""蛋壳变薄"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""肋骨"",""labels"":[""bodypart""]},{""start"":40,""end"":42,""text"":""胸骨"",""labels"":[""bodypart""]},{""start"":47,""end"":49,""text"":""胸骨"",""labels"":[""bodypart""]},{""start"":55,""end"":57,""text"":""病鸡"",""labels"":[""type""]}]",90.477,"此间如能及时发现，及时采取措施，则很快康复，否则，症状加剧，骨软疏松，肋骨易断，胸骨凹陷，有时胸骨呈S形弯曲，病鸡不能起立，造成瘫痪，同群无症状的鸡血钙指标降低，蛋壳变薄。","2024-02-02T06:50:06.472416Z"
2625,"1","2024-02-02T06:50:44.570421Z",2813,"[{""start"":8,""end"":12,""text"":""胸廓缩小"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""缩小"",""labels"":[""pathology""]},{""start"":13,""end"":22,""text"":""关节呈现痛风样损害"",""labels"":[""pathology""]},{""start"":17,""end"":22,""text"":""痛风样损害"",""labels"":[""pathology""]},{""start"":23,""end"":29,""text"":""骨质疏松易断"",""labels"":[""pathology""]},{""start"":6,""end"":8,""text"":""病鸡"",""labels"":[""type""]},{""start"":8,""end"":10,""text"":""胸廓"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""关节"",""labels"":[""bodypart""]}]",18.038,"3.剖检变化病鸡胸廓缩小，关节呈现痛风样损害，骨质疏松易断；","2024-02-02T06:50:44.571420Z"
2626,"1","2024-02-02T06:51:07.695095Z",2814,"[{""start"":2,""end"":10,""text"":""肾脏有尿酸盐沉积"",""labels"":[""pathology""]},{""start"":5,""end"":10,""text"":""尿酸盐沉积"",""labels"":[""pathology""]},{""start"":11,""end"":15,""text"":""肾盂扩张"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""扩张"",""labels"":[""pathology""]},{""start"":16,""end"":22,""text"":""肾实质性囊肿"",""labels"":[""pathology""]},{""start"":17,""end"":22,""text"":""实质性囊肿"",""labels"":[""pathology""]},{""start"":23,""end"":28,""text"":""出血性肠炎"",""labels"":[""pathology""]},{""start"":0,""end"":1,""text"":""肝"",""labels"":[""bodypart""]},{""start"":2,""end"":4,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":11,""end"":13,""text"":""肾盂"",""labels"":[""bodypart""]},{""start"":16,""end"":17,""text"":""肾"",""labels"":[""bodypart""]}]",26.410000000000004,"肝、肾脏有尿酸盐沉积，肾盂扩张，肾实质性囊肿，出血性肠炎等。","2024-02-02T06:51:16.362228Z"
2627,"1","2024-02-02T06:51:33.848883Z",2815,"[{""start"":2,""end"":8,""text"":""加强饲养管理"",""labels"":[""control""]},{""start"":8,""end"":14,""text"":""注意观察鸡群"",""labels"":[""control""]},{""start"":12,""end"":14,""text"":""鸡群"",""labels"":[""type""]},{""start"":24,""end"":28,""text"":""补加骨粉"",""labels"":[""control""]},{""start"":26,""end"":28,""text"":""骨粉"",""labels"":[""drug""]}]",15.505,"1.加强饲养管理注意观察鸡群，发现软皮蛋后应立即补加骨粉。","2024-02-02T06:51:33.848883Z"
2628,"1","2024-02-02T06:52:23.750555Z",2817,"[{""start"":6,""end"":12,""text"":""笼养高产蛋鸡"",""labels"":[""type""]},{""start"":37,""end"":40,""text"":""贝壳粉"",""labels"":[""drug""]},{""start"":42,""end"":47,""text"":""补钙添加剂"",""labels"":[""drug""]}]",45.415,"2.预防治疗笼养高产蛋鸡的饲料含钙量平时不低于3.5%,发病时可增至4%,贝壳粉作为补钙添加剂效果较好，喂量为2%～4%,连用2周后改用2%添加；","2024-02-02T06:52:23.750555Z"
2629,"1","2024-02-02T06:52:37.987700Z",2818,"[{""start"":0,""end"":7,""text"":""经常作血钙测试"",""labels"":[""control""]},{""start"":8,""end"":11,""text"":""产蛋鸡"",""labels"":[""type""]}]",17.183999999999997,"经常作血钙测试，产蛋鸡的正常血钙190～220毫克/升，当降到120～150毫克/升时，即有发病的可能。","2024-02-02T06:52:50.211373Z"
2630,"1","2024-02-02T06:53:02.551721Z",2819,"[{""start"":19,""end"":23,""text"":""碱性溶液"",""labels"":[""drug""]},{""start"":25,""end"":30,""text"":""钙红指示剂"",""labels"":[""drug""]}]",21.735,"3.血钙测定方法：原理：血清中钙离子在碱性溶液中与钙红指示剂结合成可溶性的复合物，使溶液呈淡红色。","2024-02-02T06:55:05.060201Z"
2631,"1","2024-02-02T06:53:14.322747Z",2820,"[{""start"":0,""end"":9,""text"":""乙二胺四乙酸二钠盐"",""labels"":[""drug""]}]",9.961,"乙二胺四乙酸二钠盐(ED-TANa₂)对钙离子的亲和力极大，能与该复合物中的Ca²+络合，使指示剂重新游离，溶液呈现蓝色。","2024-02-02T06:53:14.322747Z"
2632,"1","2024-02-02T06:53:27.006272Z",2821,"[{""start"":2,""end"":11,""text"":""乙二胺四乙酸二钠盐"",""labels"":[""drug""]}]",10.71,"故以乙二胺四乙酸二钠盐滴定时，溶液由红色转变为蓝色，即表示到达滴定终点，由此可以计算出血清中钙的含量。","2024-02-02T06:53:27.006272Z"
2633,"1","2024-02-02T06:53:40.509550Z",2822,"[{""start"":25,""end"":28,""text"":""碳酸钙"",""labels"":[""drug""]},{""start"":3,""end"":7,""text"":""钙标准液"",""labels"":[""drug""]}]",18.144,"(1)钙标准液(含钙0.1毫克/毫升)精确称取干燥碳酸钙250毫克，加水40毫升及1摩尔/升盐酸6毫升，慢慢加温至60℃,使其溶解，冷却，移入1升容量瓶中，加蒸馏水至刻度。","2024-02-02T06:54:50.169170Z"
2634,"1","2024-02-02T06:54:09.161013Z",2823,"[{""start"":23,""end"":25,""text"":""甲醇"",""labels"":[""drug""]},{""start"":27,""end"":31,""text"":""钙指示剂"",""labels"":[""drug""]},{""start"":60,""end"":65,""text"":""钙红指示剂"",""labels"":[""drug""]},{""start"":3,""end"":8,""text"":""钙红指示剂"",""labels"":[""drug""]}]",23.009,"(2)钙红指示剂称取钙红0.1克，溶于20毫升甲醇中(钙指示剂种类繁多，由于受血清中其他离子的干扰，滴定终点常不明显，而钙红指示剂则终点较明显，且不受镁离子等的影响）","2024-02-02T06:54:39.356262Z"
2635,"1","2024-02-02T06:54:23.620984Z",2824,"[{""start"":10,""end"":16,""text"":""氢氧化钠溶液"",""labels"":[""drug""]}]",6.085,"(3)0.2摩尔/升氢氧化钠溶液。","2024-02-02T06:54:23.620984Z"
2636,"1","2024-02-02T06:55:31.765929Z",2825,"[{""start"":3,""end"":14,""text"":""乙二胺四乙酸二钠盐溶液"",""labels"":[""drug""]},{""start"":17,""end"":26,""text"":""乙二胺四乙酸二钠盐"",""labels"":[""drug""]},{""start"":54,""end"":58,""text"":""氢氧化钠"",""labels"":[""drug""]}]",11.17,"(4)乙二胺四乙酸二钠盐溶液称称取乙二胺四乙酸二钠盐(EDTANa₂)0.1克，加蒸馏水50毫升，1摩尔/升氢氧化钠2毫升，待完全溶解后，加蒸馏水至100毫升。","2024-02-02T06:55:31.765929Z"
