"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2967,"1","2024-02-02T14:14:37.501134Z",3146,"[{""start"":0,""end"":6,""text"":""维生素缺乏症"",""labels"":[""disease""]},{""start"":9,""end"":16,""text"":""营养代谢性疾病"",""labels"":[""disease""]},{""start"":7,""end"":8,""text"":""鸡"",""labels"":[""type""]},{""start"":18,""end"":20,""text"":""鸡体"",""labels"":[""type""]}]",13.458,"维生素缺乏症：鸡的营养代谢性疾病，是鸡体生命活动中所需某些营养物质的不足、过量或代谢失常所造成的疾病。","2024-02-02T14:14:37.501134Z"
2968,"1","2024-02-02T14:14:44.401578Z",3147,"[{""start"":20,""end"":31,""text"":""三大营养物质的代谢障碍"",""labels"":[""disease""]}]",22.435000000000002,"这种疾病分为3种情况，即蛋白质、脂肪和糖三大营养物质的代谢障碍；","2024-02-02T14:16:52.418184Z"
2969,"1","2024-02-02T14:14:59.490139Z",3148,"[{""start"":0,""end"":14,""text"":""各种维生素营养物质的代谢障碍"",""labels"":[""disease""]}]",20.173000000000002,"各种维生素营养物质的代谢障碍；","2024-02-02T14:15:18.912251Z"
2970,"1","2024-02-02T14:15:27.087237Z",3149,"[{""start"":0,""end"":18,""text"":""各种矿物质微量元素营养物质的代谢障碍"",""labels"":[""disease""]}]",3.963,"各种矿物质微量元素营养物质的代谢障碍。","2024-02-02T14:15:27.087237Z"
2971,"1","2024-02-02T14:16:10.717977Z",3152,"[{""start"":18,""end"":22,""text"":""吸收不全"",""labels"":[""symptom""]},{""start"":7,""end"":13,""text"":""吸收机能障碍"",""labels"":[""symptom""]}]",17.532,"或者由于消化、吸收机能障碍引起消化、吸收不全；","2024-02-02T14:16:22.468784Z"
2972,"1","2024-02-02T14:16:39.353125Z",3154,"[{""start"":3,""end"":9,""text"":""维生素缺乏症"",""labels"":[""disease""]},{""start"":34,""end"":36,""text"":""鸡体"",""labels"":[""type""]}]",7.378,"总之，维生素缺乏症的发生原因复杂多样，有饲料问题，有饲养管理问题，有鸡体自身健康问题，还有社会问题。","2024-02-02T14:16:39.353125Z"
2973,"1","2024-02-02T14:18:11.325970Z",3155,"[{""start"":0,""end"":1,""text"":""鸡"",""labels"":[""type""]},{""start"":43,""end"":44,""text"":""鸡"",""labels"":[""type""]},{""start"":13,""end"":20,""text"":""营养代谢性疾病"",""labels"":[""disease""]},{""start"":28,""end"":32,""text"":""寄生虫病"",""labels"":[""disease""]}]",9.7,"鸡在不同发育阶段，如果发生营养代谢性疾病，虽不如传染病和寄生虫病那样损失惨重，但它可使鸡慢慢发病，而且不易察觉；","2024-02-02T14:18:11.325970Z"
2974,"1","2024-02-02T14:18:19.442151Z",3156,"[{""start"":2,""end"":4,""text"":""鸡群"",""labels"":[""type""]},{""start"":7,""end"":8,""text"":""鸡"",""labels"":[""type""]}]",6.303,"可使鸡群大部分鸡发病，而且病程较长；","2024-02-02T14:18:19.442151Z"
2975,"1","2024-02-02T14:18:50.215070Z",3157,"[{""start"":1,""end"":2,""text"":""鸡"",""labels"":[""type""]},{""start"":14,""end"":15,""text"":""鸡"",""labels"":[""type""]},{""start"":2,""end"":9,""text"":""生长发育较缓慢"",""labels"":[""symptom""]},{""start"":10,""end"":12,""text"":""停滞"",""labels"":[""symptom""]},{""start"":23,""end"":28,""text"":""抵抗力降低"",""labels"":[""symptom""]},{""start"":29,""end"":35,""text"":""免疫机能下降"",""labels"":[""symptom""]}]",182.606,"使鸡生长发育较缓慢或停滞，使鸡的生产性能下降，抵抗力降低，免疫机能下降；","2024-02-02T14:21:26.623776Z"
2976,"1","2024-02-02T14:22:01.767516Z",3158,"[{""start"":18,""end"":20,""text"":""消瘦"",""labels"":[""symptom""]},{""start"":21,""end"":23,""text"":""衰竭"",""labels"":[""symptom""]}]",12.392,"如不及时抢救，则会变得不可逆转，逐渐消瘦、衰竭或招致疾病的发生而死亡，损失惊人。","2024-02-02T14:22:01.767516Z"
