"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2819,"1","2024-02-02T12:23:45.906795Z",3026,"[{""start"":0,""end"":5,""text"":""肉鸡腹水症"",""labels"":[""disease""]},{""start"":30,""end"":32,""text"":""肉鸡"",""labels"":[""type""]},{""start"":39,""end"":51,""text"":""腹腔内积蓄大量浆液性液体"",""labels"":[""pathology""]},{""start"":46,""end"":51,""text"":""浆液性液体"",""labels"":[""pathology""]},{""start"":39,""end"":41,""text"":""腹腔"",""labels"":[""bodypart""]}]",19.116,"肉鸡腹水症是由于多种非特异性的致病因素引起的、3～4周龄左右肉鸡的一种疾病，以腹腔内积蓄大量浆液性液体为特征。","2024-02-02T12:23:45.906795Z"
2820,"1","2024-02-02T12:24:08.590511Z",3027,"[{""start"":6,""end"":11,""text"":""肉鸡腹水症"",""labels"":[""disease""]},{""start"":12,""end"":19,""text"":""肉仔鸡常发病症"",""labels"":[""disease""]},{""start"":42,""end"":44,""text"":""中毒"",""labels"":[""disease""]},{""start"":85,""end"":88,""text"":""消化道"",""labels"":[""bodypart""]}]",19.837,"1.发生情况肉鸡腹水症是肉仔鸡常发病症，其发病原因多种多样，如生长发育快、饲料变化、中毒、缺氧、低温、高温，细菌和病毒的侵入等，但最根本的原因是饲料中粗蛋白质含量过高造成消化道机能紊乱。","2024-02-02T12:24:08.590511Z"
2821,"1","2024-02-02T12:45:51.112096Z",3028,"[{""start"":2,""end"":5,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":11,""end"":13,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":57,""end"":62,""text"":""呼吸道黏膜"",""labels"":[""bodypart""]},{""start"":68,""end"":74,""text"":""呼吸器官炎症"",""labels"":[""pathology""]},{""start"":72,""end"":74,""text"":""炎症"",""labels"":[""pathology""]},{""start"":76,""end"":81,""text"":""渗出物增多"",""labels"":[""pathology""]},{""start"":84,""end"":88,""text"":""呼吸困难"",""labels"":[""pathology""]},{""start"":92,""end"":94,""text"":""缺氧"",""labels"":[""pathology""]},{""start"":68,""end"":72,""text"":""呼吸器官"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""肠道"",""labels"":[""bodypart""]}]",1293.789,"由于消化道机能紊乱，使肠道中的尿素酶活性增强，水解肠道中的蛋白质物质产生氨，造成自家中毒，造成氧供应不足，氧缺乏使呼吸道黏膜受刺激，引起呼吸器官炎症，使渗出物增多，出现呼吸困难，又造成缺氧。","2024-02-02T12:45:51.112096Z"
2822,"1","2024-02-02T12:46:20.298888Z",3029,"[{""start"":46,""end"":48,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":77,""end"":82,""text"":""刺激呼吸道"",""labels"":[""symptom""]},{""start"":84,""end"":88,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":79,""end"":82,""text"":""呼吸道"",""labels"":[""bodypart""]}]",107.571,"多发生在冬季或早春、晚秋天气寒冷季节，多因群养、密度大，为了保温而舍内空气不流畅，空气污浊，粪便发酵产生硫化氢、氨及呼出的二氧化碳等有害气体不能及时排出，刺激呼吸道而至呼吸困难。","2024-02-02T12:47:46.164849Z"
2823,"1","2024-02-02T12:49:35.663256Z",3030,"[{""start"":8,""end"":10,""text"":""肉鸡"",""labels"":[""type""]},{""start"":40,""end"":43,""text"":""内分泌"",""labels"":[""bodypart""]},{""start"":44,""end"":46,""text"":""神经"",""labels"":[""bodypart""]},{""start"":54,""end"":56,""text"":""心肺"",""labels"":[""bodypart""]},{""start"":155,""end"":158,""text"":""腹水症"",""labels"":[""disease""]},{""start"":80,""end"":84,""text"":""心脏扩张"",""labels"":[""pathology""]},{""start"":82,""end"":84,""text"":""扩张"",""labels"":[""pathology""]},{""start"":85,""end"":89,""text"":""收缩无力"",""labels"":[""pathology""]},{""start"":92,""end"":94,""text"":""缺氧"",""labels"":[""pathology""]},{""start"":95,""end"":103,""text"":""红细胞变形性降低"",""labels"":[""pathology""]},{""start"":98,""end"":103,""text"":""变形性降低"",""labels"":[""pathology""]},{""start"":106,""end"":113,""text"":""静脉血回流障碍"",""labels"":[""pathology""]},{""start"":119,""end"":126,""text"":""门静脉回流障碍"",""labels"":[""pathology""]},{""start"":122,""end"":126,""text"":""回流障碍"",""labels"":[""pathology""]},{""start"":127,""end"":131,""text"":""血液瘀滞"",""labels"":[""pathology""]},{""start"":129,""end"":131,""text"":""瘀滞"",""labels"":[""pathology""]},{""start"":132,""end"":138,""text"":""液体成分渗出"",""labels"":[""pathology""]},{""start"":142,""end"":147,""text"":""积聚于腹腔"",""labels"":[""pathology""]},{""start"":149,""end"":153,""text"":""腹腔积水"",""labels"":[""pathology""]},{""start"":151,""end"":153,""text"":""积水"",""labels"":[""pathology""]},{""start"":80,""end"":82,""text"":""心脏"",""labels"":[""bodypart""]},{""start"":95,""end"":98,""text"":""红细胞"",""labels"":[""bodypart""]},{""start"":106,""end"":109,""text"":""静脉血"",""labels"":[""bodypart""]},{""start"":109,""end"":113,""text"":""回流障碍"",""labels"":[""pathology""]},{""start"":115,""end"":118,""text"":""肝静脉"",""labels"":[""bodypart""]},{""start"":119,""end"":122,""text"":""门静脉"",""labels"":[""bodypart""]},{""start"":127,""end"":129,""text"":""血液"",""labels"":[""bodypart""]},{""start"":145,""end"":147,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":149,""end"":151,""text"":""腹腔"",""labels"":[""bodypart""]}]",107.982,"3～4周龄左右的肉鸡生长发育较快，需氧量增加显著,这时期如新鲜空气供应不足，本身内分泌与神经调节功能不健全，心肺功能不成熟，在增加心跳次数、肺压升高的情况下，使心脏扩张，收缩无力，由于缺氧，红细胞变形性降低，造成静脉血回流障碍，使肝静脉及门静脉回流障碍，血液瘀滞，液体成分渗出及溢出，积聚于腹腔造成腹腔积水，即腹水症。","2024-02-02T12:49:35.663256Z"
2824,"1","2024-02-02T12:50:14.931148Z",3031,"[{""start"":40,""end"":43,""text"":""维生素"",""labels"":[""drug""]},{""start"":84,""end"":89,""text"":""肉鸡腹水症"",""labels"":[""disease""]}]",34.238,"再加上其他应激因素如预防注射、惊扰，饲料变化，饲料中有霉败变质的成分，饲料中缺乏维生素，矿物质不足，粗蛋白质含量过高，高脂肪饲料过多，食盐含量高，饮水量增加等，均可促进肉鸡腹水症的发生。","2024-02-02T12:50:14.931148Z"
2825,"1","2024-02-02T12:50:59.598751Z",3032,"[{""start"":6,""end"":8,""text"":""病鸡"",""labels"":[""type""]},{""start"":8,""end"":12,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":13,""end"":17,""text"":""精神不佳"",""labels"":[""symptom""]},{""start"":18,""end"":25,""text"":""羽毛蓬松无光泽"",""labels"":[""symptom""]},{""start"":20,""end"":25,""text"":""蓬松无光泽"",""labels"":[""symptom""]},{""start"":26,""end"":30,""text"":""两翅下垂"",""labels"":[""symptom""]},{""start"":28,""end"":30,""text"":""下垂"",""labels"":[""symptom""]},{""start"":31,""end"":35,""text"":""粪便稀薄"",""labels"":[""symptom""]},{""start"":33,""end"":35,""text"":""稀薄"",""labels"":[""symptom""]},{""start"":38,""end"":40,""text"":""白色"",""labels"":[""symptom""]},{""start"":43,""end"":47,""text"":""冠髯发绀"",""labels"":[""pathology""]},{""start"":45,""end"":47,""text"":""发绀"",""labels"":[""pathology""]},{""start"":48,""end"":50,""text"":""苍白"",""labels"":[""pathology""]},{""start"":51,""end"":55,""text"":""日渐消瘦"",""labels"":[""pathology""]},{""start"":18,""end"":20,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""两翅"",""labels"":[""bodypart""]},{""start"":31,""end"":33,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":43,""end"":45,""text"":""冠髯"",""labels"":[""bodypart""]}]",42.778,"2.临床症状病鸡食欲不振，精神不佳，羽毛蓬松无光泽，两翅下垂，粪便稀薄，多以白色为主，冠髯发绀或苍白，日渐消瘦。","2024-02-02T12:50:59.598751Z"
2826,"1","2024-02-02T12:51:58.033637Z",3033,"[{""start"":7,""end"":11,""text"":""腹部膨大"",""labels"":[""pathology""]},{""start"":9,""end"":11,""text"":""膨大"",""labels"":[""pathology""]},{""start"":12,""end"":15,""text"":""青紫色"",""labels"":[""pathology""]},{""start"":16,""end"":20,""text"":""触之柔软"",""labels"":[""pathology""]},{""start"":20,""end"":24,""text"":""有波动感"",""labels"":[""pathology""]},{""start"":27,""end"":31,""text"":""行动不便"",""labels"":[""symptom""]},{""start"":32,""end"":36,""text"":""动作迟缓"",""labels"":[""symptom""]},{""start"":39,""end"":43,""text"":""蹲卧不动"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""嗜睡"",""labels"":[""symptom""]},{""start"":47,""end"":49,""text"":""躺卧"",""labels"":[""symptom""]},{""start"":54,""end"":61,""text"":""似企鹅行走姿势"",""labels"":[""symptom""]},{""start"":68,""end"":72,""text"":""黏膜发绀"",""labels"":[""symptom""]},{""start"":70,""end"":72,""text"":""发绀"",""labels"":[""symptom""]},{""start"":73,""end"":77,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":78,""end"":82,""text"":""肛门外翻"",""labels"":[""symptom""]},{""start"":80,""end"":82,""text"":""外翻"",""labels"":[""symptom""]},{""start"":94,""end"":99,""text"":""抽搐而死亡"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""腹部"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""病鸡"",""labels"":[""type""]},{""start"":62,""end"":66,""text"":""重症患鸡"",""labels"":[""type""]},{""start"":68,""end"":70,""text"":""黏膜"",""labels"":[""bodypart""]},{""start"":78,""end"":80,""text"":""肛门"",""labels"":[""bodypart""]}]",56.613,"最明显的特征为腹部膨大、青紫色，触之柔软有波动感，病鸡行动不便，动作迟缓，有时蹲卧不动，嗜睡和躺卧，人为驱动似企鹅行走姿势，重症患鸡可见黏膜发绀，呼吸困难，肛门外翻，如这时再有惊扰，则容易抽搐而死亡。","2024-02-02T12:51:58.033682Z"
2827,"1","2024-02-02T12:54:34.939492Z",3034,"[{""start"":8,""end"":10,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":14,""end"":22,""text"":""胸腹皮下胶样水肿"",""labels"":[""pathology""]},{""start"":18,""end"":22,""text"":""胶样水肿"",""labels"":[""pathology""]},{""start"":23,""end"":27,""text"":""肌肉萎缩"",""labels"":[""pathology""]},{""start"":25,""end"":27,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""瘀血"",""labels"":[""pathology""]},{""start"":32,""end"":35,""text"":""深红色"",""labels"":[""pathology""]},{""start"":36,""end"":40,""text"":""腹部胀大"",""labels"":[""pathology""]},{""start"":38,""end"":40,""text"":""胀大"",""labels"":[""pathology""]},{""start"":64,""end"":66,""text"":""白色"",""labels"":[""pathology""]},{""start"":58,""end"":61,""text"":""黄白色"",""labels"":[""pathology""]},{""start"":72,""end"":76,""text"":""腹水溢出"",""labels"":[""pathology""]},{""start"":79,""end"":83,""text"":""呈胶冻状"",""labels"":[""pathology""]},{""start"":84,""end"":88,""text"":""肺脏瘀血"",""labels"":[""pathology""]},{""start"":86,""end"":88,""text"":""瘀血"",""labels"":[""pathology""]},{""start"":89,""end"":91,""text"":""水肿"",""labels"":[""pathology""]},{""start"":14,""end"":18,""text"":""胸腹皮下"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":36,""end"":38,""text"":""腹部"",""labels"":[""bodypart""]},{""start"":46,""end"":50,""text"":""腹壁肌肉"",""labels"":[""bodypart""]},{""start"":84,""end"":86,""text"":""肺脏"",""labels"":[""bodypart""]}]",140.016,"3.病理变化剖开皮肤后，可见胸腹皮下胶样水肿，肌肉萎缩、瘀血，呈深红色，腹部胀大，切开薄薄的腹壁肌肉后，则见有大量的黄白色或稍带白色的清澈透明的腹水溢出，有的呈胶冻状；肺脏瘀血、水肿；","2024-02-02T12:54:34.939492Z"
2828,"1","2024-02-02T12:55:13.887957Z",3035,"[{""start"":0,""end"":4,""text"":""心包积液"",""labels"":[""pathology""]},{""start"":2,""end"":4,""text"":""积液"",""labels"":[""pathology""]},{""start"":5,""end"":11,""text"":""心脏增大变形"",""labels"":[""pathology""]},{""start"":7,""end"":11,""text"":""增大变形"",""labels"":[""pathology""]},{""start"":12,""end"":17,""text"":""右心室扩张"",""labels"":[""pathology""]},{""start"":15,""end"":17,""text"":""扩张"",""labels"":[""pathology""]},{""start"":18,""end"":22,""text"":""心肌松弛"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""松弛"",""labels"":[""pathology""]},{""start"":23,""end"":27,""text"":""充满血液"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""心包"",""labels"":[""bodypart""]},{""start"":5,""end"":7,""text"":""心脏"",""labels"":[""bodypart""]},{""start"":12,""end"":15,""text"":""右心室"",""labels"":[""bodypart""]},{""start"":18,""end"":20,""text"":""心肌"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""血液"",""labels"":[""bodypart""]}]",27.485,"心包积液，心脏增大变形，右心室扩张，心肌松弛，充满血液；","2024-02-02T12:55:13.888955Z"
