"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2809,"1","2024-02-02T12:17:28.882443Z",3016,"[{""start"":0,""end"":7,""text"":""肉鸡苍白综合征"",""labels"":[""disease""]},{""start"":9,""end"":14,""text"":""呼肠孤病毒"",""labels"":[""disease""]},{""start"":16,""end"":19,""text"":""肉仔鸡"",""labels"":[""type""]},{""start"":30,""end"":34,""text"":""生长缓慢"",""labels"":[""symptom""]},{""start"":35,""end"":39,""text"":""增重减慢"",""labels"":[""symptom""]},{""start"":40,""end"":46,""text"":""皮肤颜色苍白"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""苍白"",""labels"":[""symptom""]},{""start"":47,""end"":53,""text"":""羽毛生长不良"",""labels"":[""symptom""]},{""start"":49,""end"":53,""text"":""生长不良"",""labels"":[""symptom""]},{""start"":60,""end"":67,""text"":""肉鸡苍白综合征"",""labels"":[""disease""]},{""start"":70,""end"":78,""text"":""传染性矮小综合征"",""labels"":[""disease""]},{""start"":79,""end"":89,""text"":""传染性发育障碍综合征"",""labels"":[""disease""]},{""start"":90,""end"":97,""text"":""吸收障碍综合征"",""labels"":[""disease""]},{""start"":98,""end"":104,""text"":""传染性腺胃炎"",""labels"":[""disease""]},{""start"":40,""end"":42,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":47,""end"":49,""text"":""羽毛"",""labels"":[""bodypart""]}]",48.539,"肉鸡苍白综合征是由呼肠孤病毒引起肉仔鸡的一种传染病，临床上以生长缓慢，增重减慢，皮肤颜色苍白，羽毛生长不良为特征，由此，肉鸡苍白综合征曾称为传染性矮小综合征、传染性发育障碍综合征、吸收障碍综合征、传染性腺胃炎等。","2024-02-02T12:17:28.882443Z"
2810,"1","2024-02-02T12:17:35.260111Z",3017,"[{""start"":10,""end"":13,""text"":""肉仔鸡"",""labels"":[""type""]}]",4.226,"主要危害3周龄以内的肉仔鸡，造成重大经济损失。","2024-02-02T12:17:35.260111Z"
2811,"1","2024-02-02T12:18:01.495152Z",3018,"[{""start"":6,""end"":8,""text"":""病鸡"",""labels"":[""type""]},{""start"":8,""end"":12,""text"":""明显瘦小"",""labels"":[""symptom""]},{""start"":13,""end"":19,""text"":""精神委靡不振"",""labels"":[""symptom""]},{""start"":20,""end"":25,""text"":""采食量下降"",""labels"":[""symptom""]},{""start"":26,""end"":30,""text"":""粪便稀薄"",""labels"":[""symptom""]},{""start"":28,""end"":30,""text"":""稀薄"",""labels"":[""symptom""]},{""start"":31,""end"":39,""text"":""内含不消化的饲料"",""labels"":[""symptom""]},{""start"":26,""end"":28,""text"":""粪便"",""labels"":[""bodypart""]}]",24.375,"其临床表现：病鸡明显瘦小，精神委靡不振，采食量下降，粪便稀薄，内含不消化的饲料。","2024-02-02T12:18:01.495152Z"
2812,"1","2024-02-02T12:18:31.777333Z",3019,"[{""start"":0,""end"":7,""text"":""羽毛和皮肤苍白"",""labels"":[""pathology""]},{""start"":5,""end"":7,""text"":""苍白"",""labels"":[""pathology""]},{""start"":26,""end"":34,""text"":""趾和喙也变成白色"",""labels"":[""pathology""]},{""start"":32,""end"":34,""text"":""白色"",""labels"":[""pathology""]},{""start"":39,""end"":44,""text"":""苍白综合征"",""labels"":[""disease""]},{""start"":0,""end"":2,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":3,""end"":5,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""腿部"",""labels"":[""bodypart""]},{""start"":12,""end"":17,""text"":""颈部的皮肤"",""labels"":[""bodypart""]},{""start"":18,""end"":20,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":28,""end"":29,""text"":""喙"",""labels"":[""bodypart""]},{""start"":26,""end"":27,""text"":""趾"",""labels"":[""bodypart""]}]",27.975,"羽毛和皮肤苍白，而腿部和颈部的皮肤、羽毛表现最明显，趾和喙也变成白色，所以称为苍白综合征。","2024-02-02T12:18:31.777333Z"
2813,"1","2024-02-02T12:19:25.742558Z",3020,"[{""start"":3,""end"":9,""text"":""羽毛生长不良"",""labels"":[""symptom""]},{""start"":5,""end"":9,""text"":""生长不良"",""labels"":[""symptom""]},{""start"":10,""end"":16,""text"":""遍身留有绒毛"",""labels"":[""symptom""]},{""start"":17,""end"":27,""text"":""主翼羽生长迟缓不规则"",""labels"":[""symptom""]},{""start"":20,""end"":27,""text"":""生长迟缓不规则"",""labels"":[""symptom""]},{""start"":28,""end"":31,""text"":""无光泽"",""labels"":[""symptom""]},{""start"":32,""end"":34,""text"":""易断"",""labels"":[""symptom""]},{""start"":35,""end"":39,""text"":""身体虚弱"",""labels"":[""symptom""]},{""start"":40,""end"":44,""text"":""腿脚无力"",""labels"":[""symptom""]},{""start"":42,""end"":44,""text"":""无力"",""labels"":[""symptom""]},{""start"":45,""end"":49,""text"":""行动困难"",""labels"":[""symptom""]},{""start"":52,""end"":56,""text"":""衰竭死亡"",""labels"":[""symptom""]},{""start"":3,""end"":5,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":17,""end"":20,""text"":""主翼羽"",""labels"":[""bodypart""]},{""start"":40,""end"":42,""text"":""腿脚"",""labels"":[""bodypart""]},{""start"":58,""end"":61,""text"":""健康鸡"",""labels"":[""type""]}]",52.127,"此外，羽毛生长不良，遍身留有绒毛，主翼羽生长迟缓不规则，无光泽，易断；身体虚弱，腿脚无力，行动困难，最后衰竭死亡或被健康鸡踩死。","2024-02-02T12:19:25.742558Z"
2814,"1","2024-02-02T12:20:02.811740Z",3021,"[{""start"":4,""end"":8,""text"":""腺胃肿胀"",""labels"":[""pathology""]},{""start"":6,""end"":8,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":9,""end"":14,""text"":""腺胃壁增厚"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""增厚"",""labels"":[""pathology""]},{""start"":15,""end"":21,""text"":""腺胃黏膜出血"",""labels"":[""pathology""]},{""start"":19,""end"":21,""text"":""出血"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""溃疡"",""labels"":[""pathology""]},{""start"":25,""end"":31,""text"":""腺胃乳头肿大"",""labels"":[""pathology""]},{""start"":29,""end"":31,""text"":""肿大"",""labels"":[""pathology""]},{""start"":32,""end"":36,""text"":""模糊不清"",""labels"":[""pathology""]},{""start"":37,""end"":45,""text"":""几乎失去分泌作用"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":9,""end"":12,""text"":""腺胃壁"",""labels"":[""bodypart""]},{""start"":15,""end"":19,""text"":""腺胃黏膜"",""labels"":[""bodypart""]},{""start"":25,""end"":29,""text"":""腺胃乳头"",""labels"":[""bodypart""]}]",35.212,"剖检可见腺胃肿胀，腺胃壁增厚，腺胃黏膜出血、溃疡，腺胃乳头肿大，模糊不清，几乎失去分泌作用。","2024-02-02T12:20:02.811740Z"
2815,"1","2024-02-02T12:20:29.374974Z",3022,"[{""start"":0,""end"":6,""text"":""肌胃体积缩小"",""labels"":[""pathology""]},{""start"":2,""end"":6,""text"":""体积缩小"",""labels"":[""pathology""]},{""start"":7,""end"":11,""text"":""肌肉松弛"",""labels"":[""pathology""]},{""start"":9,""end"":11,""text"":""松弛"",""labels"":[""pathology""]},{""start"":12,""end"":16,""text"":""收缩无力"",""labels"":[""pathology""]},{""start"":17,""end"":26,""text"":""角质膜粗糙不易剥离"",""labels"":[""pathology""]},{""start"":20,""end"":26,""text"":""粗糙不易剥离"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""肌胃"",""labels"":[""bodypart""]},{""start"":7,""end"":9,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":17,""end"":20,""text"":""角质膜"",""labels"":[""bodypart""]}]",24.162,"肌胃体积缩小，肌肉松弛，收缩无力，角质膜粗糙不易剥离。","2024-02-02T12:20:29.374974Z"
2816,"1","2024-02-02T12:21:44.432586Z",3023,"[{""start"":0,""end"":7,""text"":""肠浆膜有出血点"",""labels"":[""pathology""]},{""start"":4,""end"":7,""text"":""出血点"",""labels"":[""pathology""]},{""start"":8,""end"":11,""text"":""出血斑"",""labels"":[""pathology""]},{""start"":12,""end"":16,""text"":""肠道膨胀"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""膨胀"",""labels"":[""pathology""]},{""start"":17,""end"":21,""text"":""肠腔扩大"",""labels"":[""pathology""]},{""start"":19,""end"":21,""text"":""扩大"",""labels"":[""pathology""]},{""start"":26,""end"":39,""text"":""含有未消化饲料的水样内容物"",""labels"":[""pathology""]},{""start"":43,""end"":50,""text"":""橘红色黏液样物"",""labels"":[""pathology""]},{""start"":51,""end"":60,""text"":""有未消化的饲料碎片"",""labels"":[""pathology""]},{""start"":43,""end"":46,""text"":""橘红色"",""labels"":[""pathology""]},{""start"":0,""end"":3,""text"":""肠浆膜"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":17,""end"":19,""text"":""肠腔"",""labels"":[""bodypart""]}]",73.105,"肠浆膜有出血点或出血斑，肠道膨胀，肠腔扩大，前段充满含有未消化饲料的水样内容物，后段有橘红色黏液样物并有未消化的饲料碎片。","2024-02-02T12:21:44.432586Z"
2817,"1","2024-02-02T12:22:04.104154Z",3024,"[{""start"":0,""end"":6,""text"":""骨质钙化不全"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""易断"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""变形"",""labels"":[""pathology""]},{""start"":13,""end"":18,""text"":""肋骨头肿大"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""肿大"",""labels"":[""pathology""]},{""start"":19,""end"":22,""text"":""念珠状"",""labels"":[""pathology""]},{""start"":13,""end"":16,""text"":""肋骨头"",""labels"":[""bodypart""]}]",16.672,"骨质钙化不全，易断，变形，肋骨头肿大呈念珠状。","2024-02-02T12:22:04.104154Z"
2818,"1","2024-02-02T12:22:46.768520Z",3025,"[{""start"":0,""end"":7,""text"":""肉鸡苍白综合征"",""labels"":[""type""]},{""start"":11,""end"":16,""text"":""特效治疗药"",""labels"":[""drug""]},{""start"":17,""end"":19,""text"":""疫苗"",""labels"":[""drug""]},{""start"":32,""end"":38,""text"":""执行消毒制度"",""labels"":[""control""]},{""start"":39,""end"":47,""text"":""保证日粮营养全价"",""labels"":[""control""]},{""start"":80,""end"":86,""text"":""及时淘汰病鸡"",""labels"":[""control""]},{""start"":87,""end"":92,""text"":""无害化处理"",""labels"":[""control""]},{""start"":58,""end"":62,""text"":""法式囊病"",""labels"":[""disease""]},{""start"":68,""end"":75,""text"":""免疫抑制性疾病"",""labels"":[""disease""]},{""start"":84,""end"":86,""text"":""病鸡"",""labels"":[""type""]}]",40.635,"肉鸡苍白综合征目前尚无特效治疗药和疫苗，必须采取综合性防制措施，执行消毒制度，保证日粮营养全价，杜绝病原的传人，做好法式囊病的免疫，防制免疫抑制性疾病的发生等，及时淘汰病鸡，无害化处理。","2024-02-02T12:22:46.768520Z"
