"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2861,"1","2024-02-02T13:27:34.090009Z",3134,"[{""start"":0,""end"":2,""text"":""脱肛"",""labels"":[""disease""]},{""start"":17,""end"":19,""text"":""脱肛"",""labels"":[""disease""]},{""start"":29,""end"":31,""text"":""脱肛"",""labels"":[""disease""]},{""start"":12,""end"":14,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":5,""end"":7,""text"":""直肠"",""labels"":[""bodypart""]},{""start"":3,""end"":4,""text"":""鸡"",""labels"":[""type""]}]",16.262,"脱肛：鸡的直肠部分脱出于肛门之外叫脱肛，在产蛋高峰期易发生脱肛。","2024-02-02T13:27:34.090009Z"
2862,"1","2024-02-02T13:27:57.213221Z",3135,"[{""start"":0,""end"":2,""text"":""脱肛"",""labels"":[""disease""]},{""start"":23,""end"":28,""text"":""输卵管内膜"",""labels"":[""bodypart""]},{""start"":42,""end"":44,""text"":""产道"",""labels"":[""bodypart""]}]",21.335,"脱肛的发生，多由于产蛋多，营养不足，体质较差，输卵管内膜分泌的起润滑作用的油脂不足，产道涩滞；或产蛋过大，强力努责；","2024-02-02T13:27:57.213221Z"
2863,"1","2024-02-02T13:28:21.236434Z",3136,"[{""start"":5,""end"":8,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":13,""end"":16,""text"":""泄殖腔"",""labels"":[""bodypart""]}]",17.289,"或因停产，输卵管收缩，产后泄殖腔未完全恢复正常即受惊吓；","2024-02-02T13:28:21.237437Z"
2864,"1","2024-02-02T13:28:45.598344Z",3137,"[{""start"":7,""end"":11,""text"":""慢性炎症"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""炎症"",""labels"":[""pathology""]},{""start"":0,""end"":3,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":4,""end"":6,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""病鸡"",""labels"":[""type""]}]",22.074,"输卵管或肛门的慢性炎症，由于炎症产物对局部的刺激，病鸡为了排出刺激物，常不断增加努责；","2024-02-02T13:28:45.599387Z"
2865,"1","2024-02-02T13:29:52.956312Z",3138,"[{""start"":0,""end"":2,""text"":""便秘"",""labels"":[""symptom""]},{""start"":5,""end"":6,""text"":""粪"",""labels"":[""bodypart""]},{""start"":21,""end"":22,""text"":""鸡"",""labels"":[""type""]},{""start"":29,""end"":33,""text"":""后躯风湿"",""labels"":[""symptom""]},{""start"":34,""end"":38,""text"":""不能站立"",""labels"":[""symptom""]},{""start"":40,""end"":44,""text"":""腹部下垂"",""labels"":[""symptom""]},{""start"":42,""end"":44,""text"":""下垂"",""labels"":[""symptom""]},{""start"":45,""end"":49,""text"":""腹压加大"",""labels"":[""symptom""]},{""start"":40,""end"":42,""text"":""腹部"",""labels"":[""bodypart""]}]",61.377,"便秘时，排粪过度努责；冬春季节舍内温度低，鸡运动不足，易患后躯风湿，不能站立，使腹部下垂，腹压加大；","2024-02-02T13:29:52.956312Z"
2866,"1","2024-02-02T13:30:18.333876Z",3139,"[{""start"":1,""end"":3,""text"":""鸡群"",""labels"":[""type""]},{""start"":9,""end"":11,""text"":""啄癖"",""labels"":[""disease""]},{""start"":18,""end"":20,""text"":""脱肛"",""labels"":[""disease""]},{""start"":21,""end"":23,""text"":""脱肛"",""labels"":[""disease""]},{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]}]",20.804,"对鸡群管理不善或有啄癖等原因均可造成脱肛。脱肛与鸡的品种也有一定关系。","2024-02-02T13:30:18.333876Z"
2867,"1","2024-02-02T13:31:07.801539Z",3140,"[{""start"":2,""end"":4,""text"":""脱肛"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":11,""end"":23,""text"":""肛门流出一种黄白色黏稠液"",""labels"":[""pathology""]},{""start"":17,""end"":20,""text"":""黄白色"",""labels"":[""pathology""]},{""start"":20,""end"":23,""text"":""黏稠液"",""labels"":[""pathology""]},{""start"":23,""end"":32,""text"":""附在肛门周围的绒毛"",""labels"":[""pathology""]},{""start"":25,""end"":32,""text"":""肛门周围的绒毛"",""labels"":[""bodypart""]}]",47.548,"发生脱肛的初期，可见从肛门流出一种黄白色黏稠液附在肛门周围的绒毛上。","2024-02-02T13:31:07.802543Z"
2868,"1","2024-02-02T13:31:52.973369Z",3141,"[{""start"":3,""end"":5,""text"":""肛门"",""labels"":[""bodypart""]},{""start"":20,""end"":22,""text"":""直肠"",""labels"":[""bodypart""]},{""start"":13,""end"":18,""text"":""肉红色物质"",""labels"":[""symptom""]},{""start"":43,""end"":45,""text"":""炎症"",""labels"":[""pathology""]},{""start"":46,""end"":48,""text"":""糜烂"",""labels"":[""pathology""]},{""start"":49,""end"":51,""text"":""溃疡"",""labels"":[""pathology""]},{""start"":58,""end"":59,""text"":""鸡"",""labels"":[""type""]},{""start"":63,""end"":64,""text"":""鸡"",""labels"":[""type""]}]",40.575,"然后从肛门脱出约2厘米长的肉红色物质，即直肠脱出的部分，此脱出部分若不及时护理则可发生炎症、糜烂或溃疡，并可招致其他鸡啄伤而致鸡死亡。","2024-02-02T13:31:52.973369Z"
2869,"1","2024-02-02T13:32:04.141577Z",3142,"[{""start"":2,""end"":8,""text"":""加强饲养管理"",""labels"":[""control""]},{""start"":14,""end"":24,""text"":""各种营养成分配比合理"",""labels"":[""control""]}]",7.895,"1.加强饲养管理：饲养过程中各种营养成分配比合理，增强体质。","2024-02-02T13:32:04.141577Z"
2870,"1","2024-02-02T13:32:38.081199Z",3143,"[{""start"":0,""end"":6,""text"":""及时发现病鸡"",""labels"":[""control""]},{""start"":8,""end"":12,""text"":""隔离饲养"",""labels"":[""control""]},{""start"":4,""end"":6,""text"":""病鸡"",""labels"":[""type""]},{""start"":26,""end"":34,""text"":""高锰酸钾温水溶液"",""labels"":[""drug""]},{""start"":37,""end"":43,""text"":""硼酸温水溶液"",""labels"":[""drug""]},{""start"":37,""end"":45,""text"":""硼酸温水溶液洗净"",""labels"":[""control""]},{""start"":46,""end"":48,""text"":""复位"",""labels"":[""control""]}]",30.435,"及时发现病鸡，并隔离饲养，防止啄伤脱出部分用0.1%高锰酸钾温水溶液或2%硼酸温水溶液洗净、复位，早、午、晚每天处理3次，连续处理几天，可不再脱出。","2024-02-02T13:32:38.081199Z"
