"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2948,"1","2024-02-02T14:08:22.111632Z",3410,"[{""start"":0,""end"":4,""text"":""衣原体病"",""labels"":[""disease""]},{""start"":6,""end"":12,""text"":""鹦鹉热衣原体"",""labels"":[""disease""]},{""start"":15,""end"":17,""text"":""家禽"",""labels"":[""type""]}]",11.465,"衣原体病是由鹦鹉热衣原体引起的家禽类、鸟类、多种家畜和人类共患的传染病。","2024-02-02T14:08:22.111632Z"
2949,"1","2024-02-02T14:08:40.498159Z",3411,"[{""start"":0,""end"":4,""text"":""衣原体病"",""labels"":[""disease""]},{""start"":7,""end"":10,""text"":""鹦鹉热"",""labels"":[""disease""]},{""start"":11,""end"":13,""text"":""鸟疫"",""labels"":[""disease""]},{""start"":14,""end"":17,""text"":""饲鸟病"",""labels"":[""disease""]},{""start"":18,""end"":22,""text"":""衣原体病"",""labels"":[""disease""]}]",15.009,"衣原体病又称为鹦鹉热、鸟疫、饲鸟病。衣原体病分布于世界各国，我国也有发生。","2024-02-02T14:08:40.498159Z"
2950,"1","2024-02-02T14:08:52.723956Z",3413,"[{""start"":8,""end"":15,""text"":""衣原体病病原体"",""labels"":[""disease""]}]",8.295,"(一)病原特性：衣原体病病原体在光学显微镜下见有大小两种颗粒的衣原体，小的直径0.2～0.4微米，卵圆形，是具有感染性的原生小体；","2024-02-02T14:08:52.723956Z"
2951,"1","2024-02-02T14:09:08.858105Z",3415,"[{""start"":0,""end"":7,""text"":""衣原体病病原体"",""labels"":[""disease""]},{""start"":12,""end"":14,""text"":""细胞"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""细胞"",""labels"":[""bodypart""]}]",11.91,"衣原体病病原体是一种专性细胞内寄生的微生物，浸入宿主细胞后，原生小体变成网状小体，而网状小体进行二分裂增殖，经过中间的小体阶段而成为新的、有感染性的原生小体。","2024-02-02T14:09:08.858105Z"
2952,"1","2024-02-02T14:09:18.412732Z",3416,"[{""start"":0,""end"":6,""text"":""鹦鹉热衣原体"",""labels"":[""disease""]},{""start"":18,""end"":20,""text"":""粪便"",""labels"":[""bodypart""]}]",7.865,"鹦鹉热衣原体耐低温、耐干燥，在干燥的粪便中可存活数月，在-50℃或-70℃的组织中保存数年仍具感染力；","2024-02-02T14:09:18.412821Z"
2953,"1","2024-02-02T14:09:36.936163Z",3417,"[{""start"":35,""end"":40,""text"":""化学消毒剂"",""labels"":[""drug""]},{""start"":47,""end"":52,""text"":""福尔马林液"",""labels"":[""drug""]},{""start"":57,""end"":61,""text"":""石炭酸液"",""labels"":[""drug""]},{""start"":73,""end"":80,""text"":""季铵盐类消毒液"",""labels"":[""drug""]}]",16.96,"对热敏感、37℃经48小时即失去活力，56℃加热5分钟即可灭活；对常用化学消毒剂也敏感，如1%福尔马林液、0.5%石炭酸液24小时可灭活，0.1%季铵盐类消毒液当即杀灭。","2024-02-02T14:09:36.936163Z"
2954,"1","2024-02-02T14:09:52.485498Z",3418,"[{""start"":13,""end"":15,""text"":""病禽"",""labels"":[""type""]},{""start"":31,""end"":35,""text"":""衣原体病"",""labels"":[""disease""]}]",7.843,"(二)流行病学特点：病畜、病禽、染病鸟类、患病人类以及带菌者是衣原体病的传染来源。","2024-02-02T14:09:52.485498Z"
2955,"1","2024-02-02T14:10:13.485071Z",3420,"[{""start"":2,""end"":5,""text"":""分泌物"",""labels"":[""bodypart""]},{""start"":6,""end"":9,""text"":""排泄物"",""labels"":[""bodypart""]},{""start"":30,""end"":33,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":48,""end"":51,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":58,""end"":61,""text"":""眼结膜"",""labels"":[""bodypart""]}]",17.084,"通过分泌物、排泄物排出病原体，污染饲料、饮水、用具和环境，经消化道感染，也可经尘埃和空气的液滴经呼吸道感染，或者通过眼结膜感染。","2024-02-02T14:10:13.485071Z"
2956,"1","2024-02-02T14:10:26.632594Z",3421,"[{""start"":0,""end"":6,""text"":""衣原体病原体"",""labels"":[""disease""]},{""start"":13,""end"":15,""text"":""家禽"",""labels"":[""type""]},{""start"":33,""end"":37,""text"":""产蛋鸡群"",""labels"":[""type""]}]",11.496,"衣原体病原体可使多种家畜、家禽、鸟类和人致病，鹦鹉和鸽子最易感，在产蛋鸡群中常有散在流行。","2024-02-02T14:10:26.632923Z"
2957,"1","2024-02-02T14:10:35.282675Z",3422,"[{""start"":0,""end"":4,""text"":""衣原体病"",""labels"":[""disease""]},{""start"":61,""end"":65,""text"":""衣原体病"",""labels"":[""disease""]}]",6.982,"衣原体病的发生没有明显的季节性，但气候多变、饲养管理不善、长途运输、拥挤、通风不良、环境卫生质量差、营养不良等因素，可促进衣原体病的发生。","2024-02-02T14:10:35.282675Z"
