"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
765,"1","2024-01-25T10:56:27.479112Z",780,"[{""start"":0,""end"":9,""text"":""雏鸡传染性脑脊髓炎"",""labels"":[""disease""]},{""start"":13,""end"":18,""text"":""滤过性病毒"",""labels"":[""disease""]},{""start"":35,""end"":43,""text"":""地方流行性传染病"",""labels"":[""disease""]},{""start"":26,""end"":28,""text"":""雏鸡"",""labels"":[""type""]},{""start"":28,""end"":32,""text"":""神经系统"",""labels"":[""bodypart""]}]",147.098,"雏鸡传染性脑脊髓炎是由一种滤过性病毒引起的、主要侵害雏鸡神经系统的一种地方流行性传染病。","2024-01-25T10:56:27.479112Z"
766,"1","2024-01-25T10:56:35.594689Z",781,"[{""start"":22,""end"":24,""text"":""雏鸡"",""labels"":[""type""]},{""start"":33,""end"":35,""text"":""雏鸡"",""labels"":[""type""]}]",6.781,"(一)流行病学特征：以冬春季多发，1～2日龄雏鸡易感，7～14日龄雏鸡最易感。","2024-01-25T10:56:35.594689Z"
767,"1","2024-01-25T10:57:14.135483Z",782,"[{""start"":13,""end"":15,""text"":""种鸡"",""labels"":[""type""]},{""start"":29,""end"":31,""text"":""雏鸡"",""labels"":[""type""]},{""start"":36,""end"":46,""text"":""雏鸡传染性脑脊髓炎毒"",""labels"":[""disease""]}]",37.125,"其传播途径，一是经卵传播，种鸡带毒，所产种蛋也带毒，孵出的雏鸡先天性感染雏鸡传染性脑脊髓炎毒而发病；","2024-01-25T10:57:14.135483Z"
768,"1","2024-01-25T10:57:27.451320Z",783,"[{""start"":7,""end"":9,""text"":""雏鸡"",""labels"":[""type""]},{""start"":13,""end"":15,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":47,""end"":50,""text"":""消化道"",""labels"":[""bodypart""]}]",11.455,"二是水平传播，雏鸡患病后由粪便排毒，污染环境，被污染的饲料、饮水、用具、人员等成为传递因素，经消化道感染。","2024-01-25T10:57:27.451320Z"
769,"1","2024-01-25T10:57:35.749252Z",784,"[{""start"":0,""end"":9,""text"":""雏鸡传染性脑脊髓炎"",""labels"":[""disease""]},{""start"":14,""end"":16,""text"":""雏鸡"",""labels"":[""type""]}]",6.749,"雏鸡传染性脑脊髓炎传播迅速，雏鸡的发病率与死亡率较高，一旦发病，损失严重。","2024-01-25T10:57:35.749252Z"
770,"1","2024-01-25T10:57:56.088971Z",785,"[{""start"":8,""end"":17,""text"":""雏鸡传染性脑脊髓炎"",""labels"":[""type""]},{""start"":23,""end"":29,""text"":""神经系统紊乱"",""labels"":[""pathology""]},{""start"":27,""end"":29,""text"":""紊乱"",""labels"":[""pathology""]},{""start"":36,""end"":40,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":34,""end"":36,""text"":""病雏"",""labels"":[""type""]},{""start"":23,""end"":27,""text"":""神经系统"",""labels"":[""bodypart""]}]",18.49,"(二)临床症状：雏鸡传染性脑脊髓炎的主要表现是神经系统紊乱。初期，见病雏精神沉郁；","2024-01-25T10:57:56.088971Z"
771,"1","2024-01-25T10:58:18.183656Z",786,"[{""start"":4,""end"":8,""text"":""共济失调"",""labels"":[""symptom""]},{""start"":18,""end"":20,""text"":""跌倒"",""labels"":[""symptom""]},{""start"":21,""end"":23,""text"":""伏卧"",""labels"":[""symptom""]},{""start"":24,""end"":26,""text"":""侧卧"",""labels"":[""symptom""]},{""start"":28,""end"":31,""text"":""跗关节"",""labels"":[""bodypart""]},{""start"":9,""end"":13,""text"":""前后倾斜"",""labels"":[""symptom""]},{""start"":13,""end"":17,""text"":""左右晃动"",""labels"":[""symptom""]},{""start"":34,""end"":36,""text"":""蹲伏"",""labels"":[""symptom""]}]",87.912,"随后出现共济失调，前后倾斜左右晃动，跌倒，伏卧或侧卧，或跗关节着地呈蹲伏姿势；","2024-01-25T12:35:33.045339Z"
772,"1","2024-01-25T10:58:58.799461Z",787,"[{""start"":2,""end"":6,""text"":""反应迟钝"",""labels"":[""symptom""]},{""start"":7,""end"":11,""text"":""全身颤抖"",""labels"":[""symptom""]},{""start"":12,""end"":16,""text"":""转圈运动"",""labels"":[""symptom""]},{""start"":17,""end"":21,""text"":""头颈扭转"",""labels"":[""symptom""]},{""start"":17,""end"":18,""text"":""头"",""labels"":[""bodypart""]},{""start"":18,""end"":19,""text"":""颈"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""扭转"",""labels"":[""symptom""]}]",21.915,"进而反应迟钝，全身颤抖，转圈运动或头颈扭转。","2024-01-25T12:35:43.989909Z"
773,"1","2024-01-25T10:59:10.600018Z",788,"[{""start"":19,""end"":22,""text"":""成年鸡"",""labels"":[""type""]},{""start"":28,""end"":36,""text"":""产蛋率暂时性下降"",""labels"":[""symptom""]}]",10.408,"水平感染时，症状多不明显，常被人忽略。成年鸡感染时，只有产蛋率暂时性下降，耐过之后，产蛋率逐渐恢复。","2024-01-25T10:59:10.600018Z"
774,"1","2024-01-25T10:59:38.100244Z",789,"[{""start"":8,""end"":17,""text"":""雏鸡传染性脑脊髓炎"",""labels"":[""disease""]},{""start"":35,""end"":37,""text"":""心肌"",""labels"":[""bodypart""]},{""start"":38,""end"":40,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":45,""end"":52,""text"":""不甚明显的白斑"",""labels"":[""pathology""]},{""start"":80,""end"":81,""text"":""鸡"",""labels"":[""type""]},{""start"":75,""end"":79,""text"":""肿瘤病变"",""labels"":[""disease""]},{""start"":63,""end"":72,""text"":""雏鸡传染性脑脊髓炎"",""labels"":[""disease""]}]",26.068,"(三)剖检变化：雏鸡传染性脑脊髓炎不具有肉眼可见的病理变化，有时能见到心肌、肝脏切面上出现不甚明显的白斑、不足以作为诊断依据。雏鸡传染性脑脊髓炎与具有肿瘤病变的鸡病鉴别。","2024-01-25T10:59:38.101241Z"
