"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2905,"1","2024-02-02T13:52:02.752398Z",3102,"[{""start"":0,""end"":4,""text"":""食盐中毒"",""labels"":[""disease""]}]",13.316,"食盐中毒：食盐是一种调味品，它可增加饲料的适口性，促进食欲，增强体质；","2024-02-02T13:52:02.753398Z"
2906,"1","2024-02-02T13:52:08.915901Z",3103,"[{""start"":25,""end"":27,""text"":""鸡体"",""labels"":[""type""]}]",4.663,"同时，食盐(氯化钠)又是组成机体的重要成分，是维护鸡体正常生命活动不可缺少的物质。当食入量过大时，则会引起中毒。","2024-02-02T13:52:08.915901Z"
2907,"1","2024-02-02T13:52:31.256994Z",3105,"[{""start"":10,""end"":12,""text"":""雏鸡"",""labels"":[""type""]}]",6.073,"或是喂料不及时，造成雏鸡饥饿，大量啄食槽底部残存的含食盐多的沉积细粉料；","2024-02-02T13:52:31.256994Z"
2908,"1","2024-02-02T13:52:41.076354Z",3106,"[{""start"":23,""end"":25,""text"":""鸡体"",""labels"":[""type""]}]",8.371,"或是生产过程中限制饮水时间过长等，都会使食盐在鸡体内含量相对增加，造成中毒。","2024-02-02T13:52:41.076354Z"
2909,"1","2024-02-02T13:52:50.938335Z",3107,"[{""start"":0,""end"":2,""text"":""幼鸡"",""labels"":[""type""]},{""start"":15,""end"":18,""text"":""成年鸡"",""labels"":[""type""]}]",8.439,"幼鸡对食盐敏感，容易发生中毒，成年鸡的耐受力较强。","2024-02-02T13:52:50.938335Z"
2910,"1","2024-02-02T13:53:00.078500Z",3108,"[{""start"":11,""end"":12,""text"":""鸡"",""labels"":[""type""]}]",6.823,"发生中毒后的临床表现依鸡的日龄和食入量的多少而不同。","2024-02-02T13:53:00.078500Z"
2911,"1","2024-02-02T13:54:37.428316Z",3109,"[{""start"":5,""end"":9,""text"":""食欲废绝"",""labels"":[""symptom""]},{""start"":10,""end"":14,""text"":""渴欲增加"",""labels"":[""symptom""]},{""start"":26,""end"":29,""text"":""胃肠道"",""labels"":[""bodypart""]},{""start"":43,""end"":45,""text"":""嗦囊"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""口鼻"",""labels"":[""bodypart""]},{""start"":32,""end"":34,""text"":""炎症"",""labels"":[""pathology""]},{""start"":35,""end"":37,""text"":""下痢"",""labels"":[""pathology""]},{""start"":38,""end"":42,""text"":""表现不安"",""labels"":[""pathology""]},{""start"":43,""end"":47,""text"":""嗦囊肿大"",""labels"":[""pathology""]},{""start"":45,""end"":47,""text"":""肿大"",""labels"":[""pathology""]},{""start"":52,""end"":59,""text"":""大量黏性分泌物"",""labels"":[""pathology""]},{""start"":48,""end"":59,""text"":""口鼻中有大量黏性分泌物"",""labels"":[""pathology""]}]",96.202,"一般情况是食欲废绝，渴欲增加，当食入量过大时，则刺激胃肠道，发生炎症和下痢，表现不安，嗦囊肿大，口鼻中有大量黏性分泌物；","2024-02-02T13:54:37.428316Z"
2912,"1","2024-02-02T13:55:01.916812Z",3110,"[{""start"":8,""end"":10,""text"":""病鸡"",""labels"":[""type""]},{""start"":12,""end"":16,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":17,""end"":21,""text"":""运动失调"",""labels"":[""symptom""]},{""start"":22,""end"":26,""text"":""步履不稳"",""labels"":[""symptom""]},{""start"":29,""end"":33,""text"":""卧地挣扎"",""labels"":[""symptom""]},{""start"":34,""end"":38,""text"":""站立不起"",""labels"":[""symptom""]},{""start"":43,""end"":47,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":48,""end"":52,""text"":""肌肉抽搐"",""labels"":[""symptom""]},{""start"":50,""end"":52,""text"":""抽搐"",""labels"":[""symptom""]},{""start"":53,""end"":57,""text"":""极度衰弱"",""labels"":[""symptom""]},{""start"":58,""end"":63,""text"":""虚脱而死亡"",""labels"":[""symptom""]},{""start"":48,""end"":50,""text"":""肌肉"",""labels"":[""bodypart""]}]",22.101,"随着病情的发展，病鸡出现精神沉郁，运动失调，步履不稳，甚至卧地挣扎，站立不起，最后多见呼吸困难，肌肉抽搐；极度衰弱，虚脱而死亡。","2024-02-02T13:55:01.916812Z"
2913,"1","2024-02-02T13:55:40.982612Z",3111,"[{""start"":5,""end"":8,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""食管"",""labels"":[""bodypart""]},{""start"":12,""end"":18,""text"":""嗦囊黏膜充血"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""充血"",""labels"":[""pathology""]},{""start"":12,""end"":16,""text"":""嗦囊黏膜"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""出血"",""labels"":[""pathology""]},{""start"":22,""end"":30,""text"":""嗦囊中有大量黏液"",""labels"":[""pathology""]},{""start"":26,""end"":30,""text"":""大量黏液"",""labels"":[""pathology""]},{""start"":33,""end"":39,""text"":""嗦囊黏膜脱落"",""labels"":[""pathology""]},{""start"":37,""end"":39,""text"":""脱落"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""嗦囊"",""labels"":[""bodypart""]},{""start"":33,""end"":37,""text"":""嗦囊黏膜"",""labels"":[""bodypart""]}]",36.613,"主要病变在消化道、食管和嗦囊黏膜充血、出血；嗦囊中有大量黏液，有时嗦囊黏膜脱落；","2024-02-02T13:55:40.982612Z"
2914,"1","2024-02-02T13:56:12.421490Z",3112,"[{""start"":7,""end"":10,""text"":""卡他性"",""labels"":[""pathology""]},{""start"":11,""end"":16,""text"":""出血性炎症"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":3,""end"":5,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":22,""end"":26,""text"":""心包积液"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""积液"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""心包"",""labels"":[""bodypart""]},{""start"":27,""end"":31,""text"":""腹腔积水"",""labels"":[""pathology""]},{""start"":29,""end"":31,""text"":""积水"",""labels"":[""pathology""]},{""start"":32,""end"":35,""text"":""肺水肿"",""labels"":[""pathology""]},{""start"":33,""end"":35,""text"":""水肿"",""labels"":[""pathology""]},{""start"":36,""end"":40,""text"":""脑膜炎症"",""labels"":[""pathology""]},{""start"":41,""end"":43,""text"":""出血"",""labels"":[""pathology""]},{""start"":27,""end"":29,""text"":""腹腔"",""labels"":[""bodypart""]},{""start"":32,""end"":33,""text"":""肺"",""labels"":[""bodypart""]}]",29.878,"腺胃和小肠可见卡他性或出血性炎症。此外，可见心包积液，腹腔积水，肺水肿，脑膜炎症和出血。","2024-02-02T13:56:12.421490Z"
