"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1149,"1","2024-01-29T03:17:46.722295Z",1214,"[{""start"":0,""end"":8,""text"":""鸡传染性喉气管炎"",""labels"":[""disease""]},{""start"":10,""end"":16,""text"":""A型疱疹病毒"",""labels"":[""disease""]},{""start"":26,""end"":32,""text"":""接触性传染病"",""labels"":[""disease""]},{""start"":23,""end"":25,""text"":""急性"",""labels"":[""pathology""]},{""start"":19,""end"":20,""text"":""鸡"",""labels"":[""type""]}]",12.443,"鸡传染性喉气管炎是由A型疱疹病毒引起的鸡的一种急性，接触性传染病。","2024-01-29T03:17:46.722295Z"
1150,"1","2024-01-29T03:17:55.074806Z",1215,"[{""start"":1,""end"":5,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":6,""end"":8,""text"":""咳嗽"",""labels"":[""symptom""]},{""start"":9,""end"":16,""text"":""咳出血样渗出物"",""labels"":[""symptom""]}]",7.119,"以呼吸困难、咳嗽、咳出血样渗出物为特征。","2024-01-29T03:17:55.074806Z"
1151,"1","2024-01-29T03:18:10.376295Z",1216,"[{""start"":0,""end"":9,""text"":""喉部和气管黏膜肿胀"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""出血"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""喉部"",""labels"":[""bodypart""]},{""start"":3,""end"":7,""text"":""气管黏膜"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""糜烂"",""labels"":[""pathology""]}]",20.704,"喉部和气管黏膜肿胀、出血并形成糜烂。","2024-01-31T01:47:03.173571Z"
1152,"1","2024-01-29T03:18:23.330297Z",1217,"[{""start"":0,""end"":8,""text"":""鸡传染性喉气管炎"",""labels"":[""disease""]},{""start"":12,""end"":16,""text"":""死亡率高"",""labels"":[""symptom""]},{""start"":17,""end"":22,""text"":""产蛋率下降"",""labels"":[""symptom""]}]",61.28,"鸡传染性喉气管炎传播快，死亡率高，产蛋率下降，给养鸡业造成重大损失。","2024-01-31T01:47:54.918512Z"
1153,"1","2024-01-29T03:18:32.399836Z",1218,"[{""start"":14,""end"":15,""text"":""鸡"",""labels"":[""type""]},{""start"":25,""end"":28,""text"":""成年鸡"",""labels"":[""type""]}]",7.774,"(一)流行病学特征：各种日龄鸡均可感染发病，尤其是成年鸡的症状最具有特征性。","2024-01-29T03:18:32.399836Z"
1154,"1","2024-01-29T03:18:42.890763Z",1219,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":3,""end"":9,""text"":""康复后带毒鸡"",""labels"":[""type""]}]",8.103,"病鸡和康复后带毒鸡是主要传染源。","2024-01-29T03:18:42.890763Z"
1155,"1","2024-01-29T03:18:54.820360Z",1220,"[{""start"":7,""end"":11,""text"":""上呼吸道"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""眼内"",""labels"":[""bodypart""]}]",10.425,"自然感染途径以上呼吸道和眼内为主，此外，污染的垫草、用具等也可成为传播媒介；","2024-01-29T03:18:54.820360Z"
1156,"1","2024-01-29T03:19:02.098505Z",1221,"[{""start"":48,""end"":56,""text"":""鸡传染性喉气管炎"",""labels"":[""disease""]}]",6.017,"种蛋也能传播病毒；饲养管理不良、卫生条件极差，如拥挤、通风不良、冷热不均，尤其夏季高温等均可促进鸡传染性喉气管炎的发生。","2024-01-29T03:19:02.098505Z"
1157,"1","2024-01-29T03:19:46.274951Z",1222,"[{""start"":0,""end"":8,""text"":""鸡传染性喉气管炎"",""labels"":[""disease""]},{""start"":9,""end"":13,""text"":""易感鸡群"",""labels"":[""type""]},{""start"":66,""end"":67,""text"":""鸡"",""labels"":[""type""]},{""start"":57,""end"":65,""text"":""鸡传染性喉气管炎"",""labels"":[""disease""]}]",42.797,"鸡传染性喉气管炎在易感鸡群中传播快，感染率可达90%～100%,死亡率5%~70%不等，一般为10%～20%。耐过鸡传染性喉气管炎的鸡可获得长期免疫力。","2024-01-29T03:19:46.274951Z"
1158,"1","2024-01-29T03:19:56.041489Z",1223,"[{""start"":2,""end"":5,""text"":""康复鸡"",""labels"":[""type""]},{""start"":30,""end"":38,""text"":""鸡传染性喉气管炎"",""labels"":[""disease""]}]",8.053,"由于康复鸡有的带毒可达2年之久，并随时排毒污染环境，可以引起鸡传染性喉气管炎的再度暴发流行，应引起鸡场重视。","2024-01-29T03:19:56.041489Z"
