"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1240,"1","2024-01-29T10:46:28.972647Z",1309,"[{""start"":0,""end"":8,""text"":""鸡传染性支气管炎"",""labels"":[""disease""]},{""start"":52,""end"":58,""text"":""神经系统疾病"",""labels"":[""disease""]},{""start"":26,""end"":27,""text"":""鸡"",""labels"":[""type""]},{""start"":30,""end"":32,""text"":""急性"",""labels"":[""pathology""]},{""start"":33,""end"":38,""text"":""高度接触性"",""labels"":[""pathology""]},{""start"":38,""end"":41,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":42,""end"":47,""text"":""泌尿生殖道"",""labels"":[""bodypart""]},{""start"":48,""end"":51,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":52,""end"":56,""text"":""神经系统"",""labels"":[""bodypart""]},{""start"":10,""end"":24,""text"":""冠状病毒属传染性支气管炎病毒"",""labels"":[""disease""]}]",34.13,"鸡传染性支气管炎是由冠状病毒属传染性支气管炎病毒引起鸡的一种急性、高度接触性呼吸道、泌尿生殖道、消化道和神经系统疾病。","2024-01-29T10:46:46.267230Z"
1241,"1","2024-01-29T10:47:02.453577Z",1310,"[{""start"":8,""end"":17,""text"":""鸡传染性支气管炎病"",""labels"":[""disease""]},{""start"":19,""end"":34,""text"":""冠状病毒属鸡传染性支气管炎病毒"",""labels"":[""disease""]},{""start"":40,""end"":42,""text"":""病鸡"",""labels"":[""type""]},{""start"":43,""end"":49,""text"":""呼吸道分泌物"",""labels"":[""bodypart""]},{""start"":50,""end"":51,""text"":""肾"",""labels"":[""bodypart""]},{""start"":52,""end"":53,""text"":""肝"",""labels"":[""bodypart""]},{""start"":54,""end"":55,""text"":""脾"",""labels"":[""bodypart""]},{""start"":56,""end"":58,""text"":""血液"",""labels"":[""bodypart""]},{""start"":59,""end"":62,""text"":""腔上囊"",""labels"":[""bodypart""]}]",22.706,"(一)病原特征：鸡传染性支气管炎病原为冠状病毒属鸡传染性支气管炎病毒，主要存在于病鸡的呼吸道分泌物、肾、肝、脾、血液、腔上囊等。","2024-01-29T10:47:02.453577Z"
1242,"1","2024-01-29T10:56:07.191954Z",1311,"[{""start"":0,""end"":8,""text"":""鸡传染性支气管炎"",""labels"":[""disease""]},{""start"":18,""end"":20,""text"":""酒精"",""labels"":[""drug""]},{""start"":21,""end"":23,""text"":""乙醚"",""labels"":[""drug""]},{""start"":24,""end"":26,""text"":""氯仿"",""labels"":[""drug""]},{""start"":27,""end"":29,""text"":""胆盐"",""labels"":[""drug""]},{""start"":33,""end"":38,""text"":""一般消毒药"",""labels"":[""drug""]},{""start"":45,""end"":48,""text"":""来苏儿"",""labels"":[""drug""]},{""start"":54,""end"":58,""text"":""高锰酸钾"",""labels"":[""drug""]},{""start"":62,""end"":64,""text"":""酒精"",""labels"":[""drug""]},{""start"":67,""end"":71,""text"":""福尔马林"",""labels"":[""drug""]}]",542.226,"鸡传染性支气管炎毒耐酸碱，不耐热，对酒精、乙醚、氯仿、胆盐敏感，对一般消毒药均敏感，如1%来苏儿、0.01%高锰酸钾、70%酒精、1%福尔马林，数分钟即可灭活。","2024-01-29T10:56:07.191954Z"
1243,"1","2024-01-29T10:57:37.481112Z",1312,"[{""start"":0,""end"":9,""text"":""鸡传染性支气管炎毒"",""labels"":[""disease""]}]",88.778,"鸡传染性支气管炎毒血清型较复杂，现已分离出100多个株，已有30种血清型。","2024-01-29T10:57:37.481112Z"
1244,"1","2024-01-29T10:57:54.482442Z",1313,"[{""start"":3,""end"":12,""text"":""鸡传染性支气管炎毒"",""labels"":[""disease""]},{""start"":26,""end"":32,""text"":""肾病变血清型"",""labels"":[""disease""]},{""start"":16,""end"":22,""text"":""呼吸道血清型"",""labels"":[""disease""]},{""start"":39,""end"":41,""text"":""肠型"",""labels"":[""disease""]}]",15.04,"现已知鸡传染性支气管炎毒有11个呼吸道血清型，16个肾病变血清型，国外又分离出肠型。","2024-01-29T10:57:54.482442Z"
1245,"1","2024-01-29T10:58:29.369735Z",1314,"[{""start"":4,""end"":7,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":8,""end"":11,""text"":""生殖道"",""labels"":[""bodypart""]},{""start"":12,""end"":13,""text"":""肾"",""labels"":[""bodypart""]},{""start"":24,""end"":28,""text"":""肠道损伤"",""labels"":[""pathology""]},{""start"":12,""end"":15,""text"":""肾病变"",""labels"":[""pathology""]},{""start"":31,""end"":34,""text"":""产蛋鸡"",""labels"":[""type""]}]",29.345,"除可引发呼吸道、生殖道和肾病变外，还可造成严重的肠道损伤。还有产蛋鸡的变异毒株。","2024-01-29T10:58:29.369735Z"
1246,"1","2024-01-29T10:58:46.895178Z",1315,"[{""start"":8,""end"":10,""text"":""腹泻"",""labels"":[""pathology""]},{""start"":11,""end"":15,""text"":""肌肉病变"",""labels"":[""pathology""]},{""start"":16,""end"":21,""text"":""呼吸道病变"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":16,""end"":19,""text"":""呼吸道"",""labels"":[""bodypart""]}]",15.89,"英国又发现了引起腹泻和肌肉病变而呼吸道病变不明显的毒株。","2024-01-29T10:58:46.895178Z"
1247,"1","2024-01-29T11:12:31.165021Z",1316,"[{""start"":16,""end"":21,""text"":""呼吸道症状"",""labels"":[""pathology""]},{""start"":25,""end"":35,""text"":""喉和气管的组织学变化"",""labels"":[""pathology""]},{""start"":30,""end"":35,""text"":""组织学变化"",""labels"":[""pathology""]},{""start"":16,""end"":19,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":25,""end"":26,""text"":""喉"",""labels"":[""bodypart""]},{""start"":27,""end"":29,""text"":""气管"",""labels"":[""bodypart""]}]",822.553,"我国分离出四个病理型：I型不引起呼吸道症状，只引起喉和气管的组织学变化；","2024-01-29T11:12:31.165021Z"
1248,"1","2024-01-29T11:12:47.007706Z",1317,"[{""start"":7,""end"":12,""text"":""呼吸道症状"",""labels"":[""pathology""]},{""start"":13,""end"":22,""text"":""上呼吸道组织学变化"",""labels"":[""pathology""]},{""start"":17,""end"":22,""text"":""组织学变化"",""labels"":[""pathology""]},{""start"":7,""end"":10,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":13,""end"":17,""text"":""上呼吸道"",""labels"":[""bodypart""]}]",13.583,"Ⅱ型引起明显的呼吸道症状及上呼吸道组织学变化；","2024-01-29T11:12:47.007706Z"
1249,"1","2024-01-29T11:15:02.446778Z",1318,"[{""start"":4,""end"":11,""text"":""明显呼吸道症状"",""labels"":[""pathology""]},{""start"":13,""end"":26,""text"":""上呼吸道和支气管组织学病变"",""labels"":[""pathology""]},{""start"":21,""end"":26,""text"":""组织学病变"",""labels"":[""pathology""]},{""start"":6,""end"":9,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":13,""end"":17,""text"":""上呼吸道"",""labels"":[""bodypart""]},{""start"":18,""end"":21,""text"":""支气管"",""labels"":[""bodypart""]}]",380.041,"Ⅲ型引起明显呼吸道症状以及上呼吸道和支气管组织学病变；","2024-01-29T11:19:09.332293Z"
