"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1064,"1","2024-01-27T02:02:14.625594Z",1109,"[{""start"":0,""end"":8,""text"":""鸡传染性法氏囊病"",""labels"":[""disease""]},{""start"":10,""end"":19,""text"":""双股双节RNA病毒"",""labels"":[""disease""]},{""start"":36,""end"":44,""text"":""高度接触性传染病"",""labels"":[""disease""]},{""start"":33,""end"":35,""text"":""急性"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""雏鸡"",""labels"":[""type""]}]",14.659,"鸡传染性法氏囊病是由双股双节RNA病毒引起的育雏中、后期雏鸡的一种急性、高度接触性传染病。","2024-01-27T02:02:14.625594Z"
1065,"1","2024-01-27T02:02:36.863714Z",1110,"[{""start"":4,""end"":9,""text"":""法氏囊肿大"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""肿大"",""labels"":[""pathology""]},{""start"":10,""end"":14,""text"":""肾脏损害"",""labels"":[""pathology""]},{""start"":12,""end"":14,""text"":""损害"",""labels"":[""pathology""]},{""start"":21,""end"":27,""text"":""胸肌的瘀血斑"",""labels"":[""pathology""]},{""start"":24,""end"":27,""text"":""瘀血斑"",""labels"":[""pathology""]},{""start"":4,""end"":7,""text"":""法氏囊"",""labels"":[""bodypart""]},{""start"":10,""end"":12,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""股肌"",""labels"":[""bodypart""]},{""start"":18,""end"":20,""text"":""翅肌"",""labels"":[""bodypart""]},{""start"":21,""end"":23,""text"":""胸肌"",""labels"":[""bodypart""]}]",21.352,"临床上以法氏囊肿大、肾脏损害和股肌、翅肌、胸肌的瘀血斑为特征。","2024-01-27T02:02:36.863714Z"
1066,"1","2024-01-27T02:03:05.532366Z",1111,"[{""start"":0,""end"":8,""text"":""鸡传染性法氏囊病"",""labels"":[""disease""]},{""start"":26,""end"":28,""text"":""雏鸡"",""labels"":[""type""]},{""start"":15,""end"":19,""text"":""死亡率高"",""labels"":[""symptom""]},{""start"":29,""end"":33,""text"":""免疫抑制"",""labels"":[""symptom""]},{""start"":41,""end"":51,""text"":""免疫接种反应能力降低"",""labels"":[""symptom""]},{""start"":38,""end"":40,""text"":""疫苗"",""labels"":[""drug""]}]",27.589,"鸡传染性法氏囊病一旦发生，不但死亡率高，而且还会引起雏鸡的免疫抑制，对很多种疫苗的免疫接种反应能力降低。","2024-01-27T02:03:05.533363Z"
1067,"1","2024-01-27T02:03:09.964517Z",1112,"[{""start"":3,""end"":11,""text"":""鸡传染性法氏囊病"",""labels"":[""disease""]}]",3.356,"所以，鸡传染性法氏囊病给养鸡业可能造成重大经济损失。","2024-01-27T02:03:09.964517Z"
1068,"1","2024-01-27T02:13:51.861718Z",1113,"[{""start"":15,""end"":17,""text"":""雏鸡"",""labels"":[""type""]},{""start"":20,""end"":27,""text"":""高度接触性传染"",""labels"":[""pathology""]},{""start"":29,""end"":32,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":33,""end"":36,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":58,""end"":60,""text"":""粪便"",""labels"":[""bodypart""]}]",640.946,"(一)流行病学特征：3～6周龄雏鸡多发，高度接触性传染，经呼吸道、消化道、肿蛋可感染，但主要通过被污染的饲料、饮水、粪便、尘土、用具、人员衣物、昆虫等途径传播。","2024-01-27T02:13:51.861718Z"
1069,"1","2024-01-27T02:13:58.749880Z",1114,"[{""start"":4,""end"":5,""text"":""鸡"",""labels"":[""type""]}]",5.778,"各品种的鸡均可感染，感染率几乎100%,发病率高达30%,其死亡率依发现早晚，急救措施得力与否而异，如早期发现、早期采取得力措施，死亡率可控制在10%以内。","2024-01-27T02:13:58.749880Z"
1070,"1","2024-01-27T02:14:16.071053Z",1115,"[{""start"":0,""end"":8,""text"":""鸡传染性法氏囊病"",""labels"":[""disease""]}]",16.234,"鸡传染性法氏囊病的发生没有季节性，育雏期均有发病的危险。","2024-01-27T02:14:16.071053Z"
1071,"1","2024-01-27T02:14:39.790575Z",1116,"[{""start"":23,""end"":28,""text"":""自啄泄殖腔"",""labels"":[""symptom""]},{""start"":25,""end"":28,""text"":""泄殖腔"",""labels"":[""bodypart""]}]",16.439,"(二)临床症状：潜伏期短，发病突然。早期症状是自啄泄殖腔。","2024-01-27T02:14:39.790575Z"
1072,"1","2024-01-27T02:16:23.591769Z",1117,"[{""start"":4,""end"":6,""text"":""病雏"",""labels"":[""type""]},{""start"":8,""end"":10,""text"":""下痢"",""labels"":[""symptom""]},{""start"":11,""end"":23,""text"":""排白色米汤样或淡绿色稀粪"",""labels"":[""symptom""]},{""start"":18,""end"":21,""text"":""淡绿色"",""labels"":[""symptom""]},{""start"":12,""end"":14,""text"":""白色"",""labels"":[""symptom""]},{""start"":24,""end"":32,""text"":""排泄物含有尿酸盐"",""labels"":[""symptom""]},{""start"":29,""end"":32,""text"":""尿酸盐"",""labels"":[""symptom""]},{""start"":33,""end"":41,""text"":""肛周羽毛被粪污染"",""labels"":[""symptom""]},{""start"":22,""end"":23,""text"":""粪"",""labels"":[""bodypart""]},{""start"":24,""end"":27,""text"":""排泄物"",""labels"":[""bodypart""]},{""start"":33,""end"":37,""text"":""肛周羽毛"",""labels"":[""bodypart""]},{""start"":38,""end"":39,""text"":""粪"",""labels"":[""bodypart""]}]",94.781,"发病后，病雏出现下痢，排白色米汤样或淡绿色稀粪，排泄物含有尿酸盐，肛周羽毛被粪污染。","2024-01-27T02:16:23.591769Z"
1073,"1","2024-01-27T02:18:12.474709Z",1118,"[{""start"":8,""end"":13,""text"":""饮食欲减退"",""labels"":[""symptom""]},{""start"":14,""end"":18,""text"":""逐渐消瘦"",""labels"":[""symptom""]},{""start"":19,""end"":21,""text"":""畏寒"",""labels"":[""symptom""]},{""start"":22,""end"":26,""text"":""身体发抖"",""labels"":[""symptom""]},{""start"":27,""end"":31,""text"":""步态不稳"",""labels"":[""symptom""]},{""start"":32,""end"":36,""text"":""精神委靡"",""labels"":[""symptom""]},{""start"":37,""end"":40,""text"":""头下垂"",""labels"":[""symptom""]},{""start"":38,""end"":40,""text"":""下垂"",""labels"":[""symptom""]},{""start"":41,""end"":45,""text"":""闭眼昏睡"",""labels"":[""symptom""]},{""start"":46,""end"":51,""text"":""羽毛无光泽"",""labels"":[""symptom""]},{""start"":48,""end"":51,""text"":""无光泽"",""labels"":[""symptom""]},{""start"":52,""end"":54,""text"":""松乱"",""labels"":[""symptom""]},{""start"":55,""end"":57,""text"":""脱水"",""labels"":[""symptom""]},{""start"":58,""end"":62,""text"":""眼窝下陷"",""labels"":[""symptom""]},{""start"":60,""end"":62,""text"":""下陷"",""labels"":[""symptom""]},{""start"":66,""end"":73,""text"":""极度衰竭而死亡"",""labels"":[""symptom""]},{""start"":37,""end"":38,""text"":""头"",""labels"":[""bodypart""]},{""start"":42,""end"":43,""text"":""眼"",""labels"":[""bodypart""]},{""start"":46,""end"":48,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":58,""end"":60,""text"":""眼窝"",""labels"":[""bodypart""]}]",107.5,"随着病程的发展，饮食欲减退，逐渐消瘦，畏寒，身体发抖，步态不稳，精神委靡，头下垂，闭眼昏睡，羽毛无光泽，松乱，脱水，眼窝下陷，最后因极度衰竭而死亡，5～7天死亡达到高峰，以后开始下降，病程一般5～10天。","2024-01-27T02:18:12.474709Z"
