"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1022,"1","2024-01-26T13:10:01.721639Z",1064,"[{""start"":0,""end"":6,""text"":""鸡传染性鼻炎"",""labels"":[""disease""]},{""start"":8,""end"":14,""text"":""鸡副嗜血杆菌"",""labels"":[""disease""]},{""start"":27,""end"":35,""text"":""急性呼吸道传染病"",""labels"":[""disease""]},{""start"":17,""end"":20,""text"":""育成鸡"",""labels"":[""type""]},{""start"":21,""end"":24,""text"":""产蛋鸡"",""labels"":[""type""]},{""start"":40,""end"":44,""text"":""传播迅速"",""labels"":[""symptom""]},{""start"":45,""end"":47,""text"":""肿脸"",""labels"":[""symptom""]},{""start"":48,""end"":52,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":46,""end"":47,""text"":""脸"",""labels"":[""bodypart""]}]",28.818,"鸡传染性鼻炎是由鸡副嗜血杆菌引起的育成鸡和产蛋鸡的一种急性呼吸道传染病，临床上以传播迅速、肿脸、呼吸困难为特征。","2024-01-26T13:10:01.721639Z"
1023,"1","2024-01-26T13:10:08.799377Z",1065,"[{""start"":8,""end"":11,""text"":""育成鸡"",""labels"":[""disease""]},{""start"":12,""end"":15,""text"":""产蛋鸡"",""labels"":[""disease""]}]",5.836,"(一)流行病学:育成鸡和产蛋鸡最易感，一年四季均可发生，但以寒冷季节、气温多变时多发。","2024-01-26T13:10:08.799377Z"
1024,"1","2024-01-26T13:10:26.087702Z",1067,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":3,""end"":6,""text"":""带菌鸡"",""labels"":[""type""]},{""start"":15,""end"":21,""text"":""鸡传染性鼻炎"",""labels"":[""disease""]},{""start"":38,""end"":41,""text"":""消化道"",""labels"":[""bodypart""]}]",11.873,"病鸡、带菌鸡是主要的传染来源。鸡传染性鼻炎主要通过污染的饲料、饮水、用具等经消化道感染。","2024-01-26T13:10:26.087702Z"
1025,"1","2024-01-26T13:13:00.685187Z",1068,"[{""start"":34,""end"":40,""text"":""鸡传染性鼻炎"",""labels"":[""disease""]}]",153.426,"发病率高，当有继发感染时，可加重病情，并使病程延长。如饲养管理不良，鸡传染性鼻炎可在鸡场反复发生，病愈后还可再感染发病。","2024-01-26T13:13:00.685187Z"
1026,"1","2024-01-26T13:13:19.558503Z",1069,"[{""start"":16,""end"":17,""text"":""鸡"",""labels"":[""type""]},{""start"":18,""end"":22,""text"":""颜面肿胀"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":23,""end"":32,""text"":""鼻孔有浆液性分泌物"",""labels"":[""pathology""]},{""start"":26,""end"":32,""text"":""浆液性分泌物"",""labels"":[""pathology""]},{""start"":18,""end"":20,""text"":""颜面"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""鼻孔"",""labels"":[""bodypart""]}]",17.787,"(二)临床症状:突出的临床症状是鸡的颜面肿胀，鼻孔有浆液性分泌物，一目了然。","2024-01-26T13:13:19.558503Z"
1027,"1","2024-01-26T13:14:45.554291Z",1070,"[{""start"":5,""end"":7,""text"":""病鸡"",""labels"":[""type""]},{""start"":26,""end"":28,""text"":""病鸡"",""labels"":[""type""]},{""start"":8,""end"":11,""text"":""结膜炎"",""labels"":[""pathology""]},{""start"":19,""end"":22,""text"":""髯肿大"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""肿大"",""labels"":[""pathology""]},{""start"":23,""end"":25,""text"":""变厚"",""labels"":[""pathology""]},{""start"":28,""end"":32,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":33,""end"":38,""text"":""产蛋率下降"",""labels"":[""symptom""]},{""start"":44,""end"":46,""text"":""停产"",""labels"":[""symptom""]},{""start"":17,""end"":18,""text"":""冠"",""labels"":[""bodypart""]},{""start"":19,""end"":20,""text"":""髯"",""labels"":[""bodypart""]}]",95.72,"此外，有的病鸡患结膜炎，流泪；有的冠、髯肿大、变厚；病鸡食欲不振，产蛋率下降，严重时甚至停产。","2024-01-29T02:29:40.547308Z"
1028,"1","2024-01-26T13:15:03.566406Z",1071,"[{""start"":14,""end"":20,""text"":""加强饲养管理"",""labels"":[""control""]},{""start"":21,""end"":25,""text"":""合理治疗"",""labels"":[""control""]},{""start"":45,""end"":48,""text"":""育成鸡"",""labels"":[""type""]}]",16.217,"早期发现疫情，及早采取措施，加强饲养管理，合理治疗，产蛋率会随病情好转、食欲的增加而回升。育成鸡恢复得快些。","2024-01-26T13:15:03.566406Z"
1029,"1","2024-01-26T13:15:42.986560Z",1072,"[{""start"":8,""end"":14,""text"":""鸡传染性鼻炎"",""labels"":[""disease""]},{""start"":26,""end"":30,""text"":""颜面肿胀"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":34,""end"":37,""text"":""结膜炎"",""labels"":[""pathology""]},{""start"":26,""end"":28,""text"":""颜面"",""labels"":[""bodypart""]},{""start"":31,""end"":33,""text"":""鼻炎"",""labels"":[""pathology""]},{""start"":43,""end"":47,""text"":""内脏器官"",""labels"":[""bodypart""]}]",38.005,"(三)剖检变化:鸡传染性鼻炎发病率高，但死亡率低。除颜面肿胀、鼻炎、结膜炎外，很少具有内脏器官的特征性病变。","2024-01-26T13:15:42.986560Z"
1030,"1","2024-01-26T13:15:55.870272Z",1073,"[{""start"":33,""end"":40,""text"":""传染性支气管炎"",""labels"":[""disease""]},{""start"":41,""end"":48,""text"":""传染性喉气管炎"",""labels"":[""disease""]},{""start"":49,""end"":55,""text"":""慢性呼吸道病"",""labels"":[""disease""]},{""start"":56,""end"":61,""text"":""大肠杆菌病"",""labels"":[""disease""]},{""start"":62,""end"":64,""text"":""霍乱"",""labels"":[""disease""]}]",11.671,"当有继发感染时，使病情加重，甚至死亡，此时可见继发病的病理变化，如传染性支气管炎、传染性喉气管炎、慢性呼吸道病、大肠杆菌病、霍乱等。","2024-01-26T13:15:55.870272Z"
1031,"1","2024-01-26T13:16:29.320727Z",1074,"[{""start"":0,""end"":3,""text"":""痊愈鸡"",""labels"":[""type""]},{""start"":5,""end"":9,""text"":""颜面肿胀"",""labels"":[""pathology""]},{""start"":11,""end"":17,""text"":""皮下留有硬痕"",""labels"":[""pathology""]},{""start"":26,""end"":31,""text"":""永久性肿物"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":5,""end"":7,""text"":""颜面"",""labels"":[""bodypart""]},{""start"":7,""end"":9,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":35,""end"":36,""text"":""鸡"",""labels"":[""type""]}]",32.121,"痊愈鸡有时颜面肿胀部位皮下留有硬痕，突出于表面，成为永久性肿物，改变了鸡的面貌，但不影响食欲和产蛋。","2024-01-26T13:16:29.320727Z"
1032,"1","2024-01-26T13:16:52.915109Z",1075,"[{""start"":2,""end"":8,""text"":""加强饲养管理"",""labels"":[""control""]},{""start"":30,""end"":34,""text"":""定期消毒"",""labels"":[""control""]},{""start"":36,""end"":38,""text"":""鸡群"",""labels"":[""type""]},{""start"":51,""end"":57,""text"":""鸡传染性鼻炎"",""labels"":[""disease""]}]",22.338,"平时加强饲养管理，控制或减少温度、湿度、气味等应激刺激，及时定期消毒，使鸡群健康，增强抗病能力，对防制鸡传染性鼻炎的发生具有重要意义。","2024-01-26T13:16:52.915109Z"
1033,"1","2024-01-26T13:17:35.385485Z",1076,"[{""start"":7,""end"":17,""text"":""及早采取合理防治措施"",""labels"":[""control""]},{""start"":19,""end"":25,""text"":""加强饲养管理"",""labels"":[""control""]},{""start"":26,""end"":32,""text"":""改善环境条件"",""labels"":[""control""]},{""start"":38,""end"":42,""text"":""特效药物"",""labels"":[""drug""]},{""start"":47,""end"":50,""text"":""链霉素"",""labels"":[""drug""]},{""start"":51,""end"":57,""text"":""鸡传染性鼻炎"",""labels"":[""disease""]},{""start"":73,""end"":76,""text"":""成年鸡"",""labels"":[""type""]},{""start"":124,""end"":125,""text"":""鸡"",""labels"":[""type""]},{""start"":78,""end"":82,""text"":""肌内注射"",""labels"":[""control""]},{""start"":119,""end"":121,""text"":""口服"",""labels"":[""control""]}]",39.086,"及早发现病情，及早采取合理防治措施，在加强饲养管理、改善环境条件的同时，要以特效药物进行治疗，链霉素对鸡传染性鼻炎原体有较强的杀灭作用，是首选药，成年鸡每天肌内注射100~200毫克，症状轻的每天注射1次，重症者注射2次，连续3天见效；若口服，每只鸡每天200毫克。","2024-01-26T13:17:35.385485Z"
1034,"1","2024-01-26T13:17:52.114452Z",1077,"[{""start"":13,""end"":17,""text"":""磺胺嘧啶"",""labels"":[""drug""]},{""start"":18,""end"":24,""text"":""磺胺二甲嘧啶"",""labels"":[""drug""]},{""start"":36,""end"":40,""text"":""溶液饮水"",""labels"":[""control""]}]",255.614,"为了方便起见，大群用药可将磺胺嘧啶或磺胺二甲嘧啶配成0.05%～0.1%溶液饮水，上午和下午各饮1次，连用5～6天，有治疗和预防作用。","2024-01-29T02:39:26.084447Z"
1035,"1","2024-01-26T13:18:17.696145Z",1078,"[{""start"":8,""end"":11,""text"":""新诺明"",""labels"":[""drug""]},{""start"":15,""end"":19,""text"":""按量投服"",""labels"":[""control""]},{""start"":34,""end"":38,""text"":""影响产蛋"",""labels"":[""symptom""]},{""start"":57,""end"":59,""text"":""死鸡"",""labels"":[""type""]}]",21.503,"此外，临床上常用新诺明，按时、按量投服，即可很快控制疫情，虽然用药后影响产蛋，但能迅速缓解病情，防止继发感染，减少死鸡，恢复快，产蛋率会很快回升，能达到减少损失的目的。","2024-01-26T13:18:17.696145Z"
