"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2107,"1","2024-02-01T17:26:00.366569Z",2254,"[{""start"":0,""end"":3,""text"":""鸡伤寒"",""labels"":[""disease""]},{""start"":5,""end"":13,""text"":""禽伤寒沙门氏杆菌"",""labels"":[""disease""]},{""start"":27,""end"":33,""text"":""败血性传染病"",""labels"":[""disease""]},{""start"":21,""end"":24,""text"":""成年鸡"",""labels"":[""type""]}]",14.595,"鸡伤寒是由禽伤寒沙门氏杆菌引起的，主要危害成年鸡的一种败血性传染病。","2024-02-01T17:26:00.366569Z"
2108,"1","2024-02-01T17:26:34.502374Z",2255,"[{""start"":10,""end"":12,""text"":""病鸡"",""labels"":[""type""]},{""start"":13,""end"":16,""text"":""带菌鸡"",""labels"":[""type""]},{""start"":56,""end"":58,""text"":""野禽"",""labels"":[""type""]},{""start"":65,""end"":68,""text"":""鸡伤寒"",""labels"":[""disease""]},{""start"":48,""end"":51,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""粪便"",""labels"":[""bodypart""]}]",35.96,"(一)流行病学特征：病鸡和带菌鸡是主要传染来源，由粪便排出病原菌污染饲料、环境、饮水和用具等，经消化道感染。其他野禽、苍蝇等可成为鸡伤寒的传染媒介。","2024-02-01T17:26:47.365422Z"
2109,"1","2024-02-01T17:26:54.407358Z",2256,"[{""start"":16,""end"":18,""text"":""雏鸡"",""labels"":[""type""]}]",5.464,"此外，也可经卵传染，种蛋带菌感染雏鸡，或在孵化过程中互相传染。","2024-02-01T17:26:54.407358Z"
2110,"1","2024-02-01T17:27:53.237197Z",2257,"[{""start"":13,""end"":15,""text"":""病鸡"",""labels"":[""type""]},{""start"":15,""end"":19,""text"":""精神不振"",""labels"":[""symptom""]},{""start"":20,""end"":24,""text"":""食欲下降"",""labels"":[""symptom""]},{""start"":25,""end"":30,""text"":""活动能力差"",""labels"":[""symptom""]},{""start"":37,""end"":40,""text"":""翅下垂"",""labels"":[""pathology""]},{""start"":38,""end"":40,""text"":""下垂"",""labels"":[""pathology""]},{""start"":41,""end"":43,""text"":""贫血"",""labels"":[""pathology""]},{""start"":46,""end"":49,""text"":""髯苍白"",""labels"":[""pathology""]},{""start"":47,""end"":49,""text"":""苍白"",""labels"":[""pathology""]},{""start"":50,""end"":54,""text"":""羽毛松乱"",""labels"":[""pathology""]},{""start"":52,""end"":54,""text"":""松乱"",""labels"":[""pathology""]},{""start"":55,""end"":58,""text"":""无光泽"",""labels"":[""pathology""]},{""start"":59,""end"":63,""text"":""食欲废绝"",""labels"":[""pathology""]},{""start"":64,""end"":66,""text"":""口渴"",""labels"":[""pathology""]},{""start"":67,""end"":72,""text"":""饮水量增加"",""labels"":[""pathology""]},{""start"":73,""end"":80,""text"":""排出淡黄色粪便"",""labels"":[""pathology""]},{""start"":75,""end"":78,""text"":""淡黄色"",""labels"":[""pathology""]},{""start"":81,""end"":90,""text"":""沾污肛门周围的羽毛"",""labels"":[""pathology""]},{""start"":35,""end"":36,""text"":""头"",""labels"":[""bodypart""]},{""start"":37,""end"":38,""text"":""翅"",""labels"":[""bodypart""]},{""start"":44,""end"":45,""text"":""冠"",""labels"":[""bodypart""]},{""start"":46,""end"":47,""text"":""髯"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":78,""end"":80,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":83,""end"":90,""text"":""肛门周围的羽毛"",""labels"":[""bodypart""]}]",57.242,"(二)临床症状：发病初期，病鸡精神不振，食欲下降，活动能力差，很快出现头、翅下垂，贫血，冠、髯苍白，羽毛松乱、无光泽，食欲废绝，口渴，饮水量增加，排出淡黄色粪便，沾污肛门周围的羽毛。","2024-02-01T17:27:53.237197Z"
2111,"1","2024-02-01T17:28:16.652047Z",2258,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":27,""end"":30,""text"":""康复鸡"",""labels"":[""type""]},{""start"":3,""end"":6,""text"":""腹膜炎"",""labels"":[""disease""]},{""start"":8,""end"":13,""text"":""呈犬坐姿势"",""labels"":[""symptom""]}]",17.954,"病鸡患腹膜炎时，呈犬坐姿势，多数情况2～5天死亡。也有康复鸡，但成为带菌者。","2024-02-01T17:28:16.652047Z"
2112,"1","2024-02-01T17:28:38.462966Z",2259,"[{""start"":0,""end"":2,""text"":""雏鸡"",""labels"":[""type""]},{""start"":4,""end"":7,""text"":""鸡伤寒"",""labels"":[""disease""]},{""start"":8,""end"":12,""text"":""精神不振"",""labels"":[""symptom""]},{""start"":13,""end"":19,""text"":""生长发育不良"",""labels"":[""symptom""]},{""start"":20,""end"":26,""text"":""排出白色稀粪"",""labels"":[""symptom""]},{""start"":22,""end"":24,""text"":""白色"",""labels"":[""symptom""]},{""start"":27,""end"":31,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":32,""end"":36,""text"":""食欲废绝"",""labels"":[""symptom""]},{""start"":25,""end"":26,""text"":""粪"",""labels"":[""bodypart""]}]",18.641,"雏鸡感染鸡伤寒时精神不振，生长发育不良，排出白色稀粪，呼吸困难，食欲废绝，多数死亡。","2024-02-01T17:28:38.462966Z"
2113,"1","2024-02-01T17:29:49.903223Z",2260,"[{""start"":8,""end"":10,""text"":""急性"",""labels"":[""pathology""]},{""start"":30,""end"":33,""text"":""髯苍白"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""苍白"",""labels"":[""pathology""]},{""start"":36,""end"":40,""text"":""脾脏肿大"",""labels"":[""pathology""]},{""start"":38,""end"":40,""text"":""肿大"",""labels"":[""pathology""]},{""start"":45,""end"":47,""text"":""充血"",""labels"":[""pathology""]},{""start"":49,""end"":52,""text"":""棕黄色"",""labels"":[""pathology""]},{""start"":54,""end"":56,""text"":""绿色"",""labels"":[""pathology""]},{""start"":59,""end"":62,""text"":""古铜色"",""labels"":[""pathology""]},{""start"":68,""end"":79,""text"":""针尖大小灰白色坏死小点"",""labels"":[""pathology""]},{""start"":72,""end"":75,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":80,""end"":84,""text"":""胆囊扩张"",""labels"":[""pathology""]},{""start"":82,""end"":84,""text"":""扩张"",""labels"":[""pathology""]},{""start"":85,""end"":89,""text"":""充满胆汁"",""labels"":[""pathology""]},{""start"":48,""end"":56,""text"":""呈棕黄色稍带绿色"",""labels"":[""pathology""]},{""start"":25,""end"":27,""text"":""黏膜"",""labels"":[""bodypart""]},{""start"":28,""end"":29,""text"":""冠"",""labels"":[""bodypart""]},{""start"":30,""end"":31,""text"":""髯"",""labels"":[""bodypart""]},{""start"":34,""end"":35,""text"":""肝"",""labels"":[""bodypart""]},{""start"":36,""end"":38,""text"":""脾脏"",""labels"":[""bodypart""]},{""start"":63,""end"":65,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":80,""end"":82,""text"":""胆囊"",""labels"":[""bodypart""]}]",65.1,"(三)剖检变化：急性病例病变不明显，病程稍长，可见黏膜及冠、髯苍白，肝、脾脏肿大2～4倍，充血，呈棕黄色稍带绿色，甚至古铜色，肝脏表面有针尖大小灰白色坏死小点，胆囊扩张，充满胆汁。","2024-02-01T17:29:49.903223Z"
2114,"1","2024-02-01T17:30:41.406386Z",2261,"[{""start"":0,""end"":3,""text"":""心包炎"",""labels"":[""pathology""]},{""start"":4,""end"":10,""text"":""心包积浆液性"",""labels"":[""pathology""]},{""start"":11,""end"":18,""text"":""纤维素性渗出物"",""labels"":[""pathology""]},{""start"":7,""end"":10,""text"":""浆液性"",""labels"":[""pathology""]},{""start"":19,""end"":31,""text"":""心肌表面有灰白色坏死小点"",""labels"":[""pathology""]},{""start"":24,""end"":27,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":32,""end"":36,""text"":""卵泡出血"",""labels"":[""pathology""]},{""start"":34,""end"":36,""text"":""出血"",""labels"":[""pathology""]},{""start"":37,""end"":39,""text"":""变形"",""labels"":[""pathology""]},{""start"":40,""end"":42,""text"":""变色"",""labels"":[""pathology""]},{""start"":45,""end"":47,""text"":""破裂"",""labels"":[""pathology""]},{""start"":47,""end"":52,""text"":""并发腹膜炎"",""labels"":[""pathology""]},{""start"":53,""end"":57,""text"":""肾脏肿大"",""labels"":[""pathology""]},{""start"":55,""end"":57,""text"":""肿大"",""labels"":[""pathology""]},{""start"":58,""end"":60,""text"":""充血"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""心包"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""心肌"",""labels"":[""bodypart""]},{""start"":32,""end"":34,""text"":""卵泡"",""labels"":[""bodypart""]},{""start"":53,""end"":55,""text"":""肾脏"",""labels"":[""bodypart""]}]",49.484,"心包炎，心包积浆液性、纤维素性渗出物，心肌表面有灰白色坏死小点；卵泡出血、变形、变色，有时破裂并发腹膜炎；肾脏肿大、充血；","2024-02-01T17:30:41.406386Z"
2115,"1","2024-02-01T17:31:00.345090Z",2262,"[{""start"":0,""end"":7,""text"":""小肠卡他性炎症"",""labels"":[""pathology""]},{""start"":8,""end"":15,""text"":""肠道内充满黏稠"",""labels"":[""pathology""]},{""start"":16,""end"":23,""text"":""多胆汁的内容物"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":8,""end"":10,""text"":""肠道"",""labels"":[""bodypart""]}]",17.309,"小肠卡他性炎症，肠道内充满黏稠、多胆汁的内容物。","2024-02-01T17:31:00.345090Z"
2116,"1","2024-02-01T17:31:17.379935Z",2263,"[{""start"":7,""end"":15,""text"":""不从病鸡场进种蛋"",""labels"":[""control""]},{""start"":31,""end"":33,""text"":""雏鸡"",""labels"":[""type""]},{""start"":36,""end"":38,""text"":""雏鸡"",""labels"":[""type""]}]",15.371,"二、防制措施：不从病鸡场进种蛋，不从管理差、消毒不严的孵化场进雏鸡，保证雏鸡健康不带菌；","2024-02-01T17:31:17.379935Z"
