"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2416,"1","2024-02-02T01:46:02.469873Z",2598,"[{""start"":0,""end"":7,""text"":""鸡住白细胞虫病"",""labels"":[""disease""]},{""start"":11,""end"":15,""text"":""白细胞虫"",""labels"":[""disease""]},{""start"":36,""end"":42,""text"":""卡氏白细胞虫"",""labels"":[""disease""]},{""start"":43,""end"":49,""text"":""沙氏白细胞虫"",""labels"":[""disease""]},{""start"":50,""end"":56,""text"":""安氏白细胞虫"",""labels"":[""disease""]},{""start"":69,""end"":76,""text"":""鸡住白细胞虫病"",""labels"":[""disease""]},{""start"":77,""end"":80,""text"":""白冠病"",""labels"":[""disease""]},{""start"":81,""end"":85,""text"":""出血性病"",""labels"":[""disease""]},{""start"":58,""end"":60,""text"":""患鸡"",""labels"":[""type""]},{""start"":60,""end"":62,""text"":""贫血"",""labels"":[""pathology""]},{""start"":63,""end"":65,""text"":""出血"",""labels"":[""pathology""]}]",397.375,"鸡住白细胞虫病病原体是白细胞虫，有20多种，常见的、危害最重的有3种，即卡氏白细胞虫、沙氏白细胞虫和安氏白细胞虫，使患鸡贫血和出血，故又称鸡住白细胞虫病为白冠病或出血性病。","2024-02-02T01:52:05.402212Z"
2417,"1","2024-02-02T01:52:26.460854Z",2599,"[{""start"":10,""end"":17,""text"":""鸡住白细胞虫病"",""labels"":[""disease""]},{""start"":30,""end"":37,""text"":""鸡住白细胞虫病"",""labels"":[""disease""]},{""start"":51,""end"":52,""text"":""鸡"",""labels"":[""type""]},{""start"":63,""end"":65,""text"":""幼鸡"",""labels"":[""type""]},{""start"":76,""end"":78,""text"":""急性"",""labels"":[""pathology""]}]",20.078,"(一)流行病学特征：鸡住白细胞虫病的传递因素是库蝶和蚋，所以鸡住白细胞虫病多在温热季节流行，各种日龄的鸡均可发病，以3～6周龄幼鸡发病率高，症状明显，呈急性发作，死亡率也高；","2024-02-02T01:52:26.460854Z"
2418,"1","2024-02-02T01:52:43.700959Z",2600,"[{""start"":0,""end"":3,""text"":""成年鸡"",""labels"":[""type""]},{""start"":4,""end"":6,""text"":""慢性"",""labels"":[""pathology""]}]",7.354,"成年鸡呈慢性经过，症状缓和。造成经济损失都很大。","2024-02-02T01:52:43.700959Z"
2419,"1","2024-02-02T01:53:16.100346Z",2601,"[{""start"":8,""end"":10,""text"":""幼鸡"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""急性"",""labels"":[""pathology""]},{""start"":20,""end"":24,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":25,""end"":29,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":30,""end"":32,""text"":""咳血"",""labels"":[""symptom""]},{""start"":33,""end"":39,""text"":""口腔流出鲜血"",""labels"":[""symptom""]},{""start"":33,""end"":35,""text"":""口腔"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""鲜血"",""labels"":[""bodypart""]}]",25.838,"(二)临床症状：幼鸡以急性经过为主，病初精神沉郁，呼吸困难，咳血，口腔流出鲜血而死亡。","2024-02-02T01:53:16.100346Z"
2420,"1","2024-02-02T01:54:07.896971Z",2602,"[{""start"":3,""end"":6,""text"":""亚急性"",""labels"":[""pathology""]},{""start"":11,""end"":15,""text"":""食欲下降"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""羽毛蓬乱"",""labels"":[""symptom""]},{""start"":18,""end"":20,""text"":""蓬乱"",""labels"":[""symptom""]},{""start"":21,""end"":25,""text"":""卧地不起"",""labels"":[""symptom""]},{""start"":26,""end"":30,""text"":""口中流涎"",""labels"":[""symptom""]},{""start"":31,""end"":33,""text"":""贫血"",""labels"":[""symptom""]},{""start"":36,""end"":39,""text"":""髯苍白"",""labels"":[""symptom""]},{""start"":37,""end"":39,""text"":""苍白"",""labels"":[""symptom""]},{""start"":40,""end"":42,""text"":""下痢"",""labels"":[""symptom""]},{""start"":43,""end"":45,""text"":""腹泻"",""labels"":[""symptom""]},{""start"":46,""end"":51,""text"":""粪便呈绿色"",""labels"":[""symptom""]},{""start"":49,""end"":51,""text"":""绿色"",""labels"":[""symptom""]},{""start"":52,""end"":56,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":16,""end"":18,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":26,""end"":27,""text"":""口"",""labels"":[""bodypart""]},{""start"":34,""end"":35,""text"":""冠"",""labels"":[""bodypart""]},{""start"":36,""end"":37,""text"":""髯"",""labels"":[""bodypart""]},{""start"":46,""end"":48,""text"":""粪便"",""labels"":[""bodypart""]}]",57.117999999999995,"有时呈亚急性经过，则见食欲下降，羽毛蓬乱，卧地不起，口中流涎，贫血，冠、髯苍白，下痢、腹泻，粪便呈绿色，呼吸困难。","2024-02-02T01:55:58.624188Z"
2421,"1","2024-02-02T01:54:19.729278Z",2603,"[{""start"":19,""end"":21,""text"":""鸡只"",""labels"":[""type""]},{""start"":21,""end"":27,""text"":""生长发育停滞"",""labels"":[""symptom""]}]",8.834,"如不及时治疗，1～2天死亡，即使不死，鸡只生长发育停滞。","2024-02-02T01:54:19.729278Z"
2422,"1","2024-02-02T01:54:52.207055Z",2604,"[{""start"":0,""end"":3,""text"":""青年鸡"",""labels"":[""type""]},{""start"":4,""end"":7,""text"":""成年鸡"",""labels"":[""type""]},{""start"":11,""end"":15,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""食欲不佳"",""labels"":[""symptom""]},{""start"":23,""end"":26,""text"":""髯苍白"",""labels"":[""symptom""]},{""start"":24,""end"":26,""text"":""苍白"",""labels"":[""symptom""]},{""start"":27,""end"":29,""text"":""下痢"",""labels"":[""symptom""]},{""start"":30,""end"":38,""text"":""拉白色或绿色粪便"",""labels"":[""symptom""]},{""start"":34,""end"":36,""text"":""绿色"",""labels"":[""symptom""]},{""start"":31,""end"":33,""text"":""白色"",""labels"":[""symptom""]},{""start"":39,""end"":41,""text"":""脚软"",""labels"":[""symptom""]},{""start"":42,""end"":44,""text"":""轻瘫"",""labels"":[""symptom""]},{""start"":45,""end"":49,""text"":""体重减轻"",""labels"":[""symptom""]},{""start"":50,""end"":55,""text"":""产蛋率下降"",""labels"":[""symptom""]},{""start"":21,""end"":22,""text"":""冠"",""labels"":[""bodypart""]},{""start"":23,""end"":24,""text"":""髯"",""labels"":[""bodypart""]},{""start"":36,""end"":38,""text"":""粪便"",""labels"":[""bodypart""]}]",63.422,"青年鸡和成年鸡患病后，精神沉郁，食欲不佳，冠、髯苍白，下痢、拉白色或绿色粪便，脚软或轻瘫，体重减轻，产蛋率下降或停止。","2024-02-02T01:56:30.808778Z"
2423,"1","2024-02-02T01:56:54.918160Z",2605,"[{""start"":10,""end"":13,""text"":""髯苍白"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""苍白"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""瘦弱"",""labels"":[""pathology""]},{""start"":17,""end"":24,""text"":""口腔内留有血液"",""labels"":[""pathology""]},{""start"":8,""end"":9,""text"":""冠"",""labels"":[""bodypart""]},{""start"":10,""end"":11,""text"":""髯"",""labels"":[""bodypart""]},{""start"":17,""end"":19,""text"":""口腔"",""labels"":[""bodypart""]},{""start"":22,""end"":24,""text"":""血液"",""labels"":[""bodypart""]}]",22.182,"（三)剖检变化：冠、髯苍白，瘦弱，口腔内留有血液；","2024-02-02T01:56:54.918160Z"
2424,"1","2024-02-02T01:59:01.589866Z",2606,"[{""start"":0,""end"":5,""text"":""全身性出血"",""labels"":[""pathology""]},{""start"":7,""end"":11,""text"":""皮下出血"",""labels"":[""pathology""]},{""start"":9,""end"":11,""text"":""出血"",""labels"":[""pathology""]},{""start"":15,""end"":21,""text"":""腿肌有出血点"",""labels"":[""pathology""]},{""start"":18,""end"":21,""text"":""出血点"",""labels"":[""pathology""]},{""start"":22,""end"":25,""text"":""出血斑"",""labels"":[""pathology""]},{""start"":35,""end"":40,""text"":""广泛性出血"",""labels"":[""pathology""]},{""start"":52,""end"":60,""text"":""肝包膜下积有血块"",""labels"":[""pathology""]},{""start"":56,""end"":60,""text"":""积有血块"",""labels"":[""pathology""]},{""start"":72,""end"":75,""text"":""出血点"",""labels"":[""pathology""]},{""start"":89,""end"":100,""text"":""针头至粟粒大白色小结节"",""labels"":[""pathology""]},{""start"":95,""end"":97,""text"":""白色"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""皮下"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""胸肌"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""腿肌"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""肺脏"",""labels"":[""bodypart""]},{""start"":29,""end"":31,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":32,""end"":34,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":43,""end"":45,""text"":""肺泡"",""labels"":[""bodypart""]},{""start"":47,""end"":50,""text"":""肾包膜"",""labels"":[""bodypart""]},{""start"":52,""end"":55,""text"":""肝包膜"",""labels"":[""bodypart""]},{""start"":79,""end"":81,""text"":""肌肉"",""labels"":[""bodypart""]},{""start"":82,""end"":86,""text"":""内脏器官"",""labels"":[""bodypart""]}]",865.233,"全身性出血，如皮下出血，胸肌、腿肌有出血点或出血斑，肺脏、肾脏、肝脏等广泛性出血，有时肺泡内、肾包膜下和肝包膜下积有血块，其他器官和组织也常见有出血点，并可在肌肉和内脏器官上见有针头至粟粒大白色小结节；","2024-02-02T02:11:24.157953Z"
2425,"1","2024-02-02T02:15:17.050741Z",2607,"[{""start"":16,""end"":22,""text"":""肠道中有积血"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""积血"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""嗦囊"",""labels"":[""bodypart""]},{""start"":7,""end"":9,""text"":""气管"",""labels"":[""bodypart""]},{""start"":10,""end"":12,""text"":""胸腔"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""腺胃"",""labels"":[""bodypart""]},{""start"":16,""end"":18,""text"":""肠道"",""labels"":[""bodypart""]}]",53.141,"有时可见嗦囊、气管、胸腔、腺胃和肠道中有积血。","2024-02-02T02:15:57.538850Z"
2426,"1","2024-02-02T02:17:25.011555Z",2608,"[{""start"":10,""end"":12,""text"":""病鸡"",""labels"":[""type""]},{""start"":19,""end"":21,""text"":""死鸡"",""labels"":[""type""]},{""start"":41,""end"":48,""text"":""卡氏住白细胞虫"",""labels"":[""disease""]},{""start"":23,""end"":27,""text"":""内脏器官"",""labels"":[""bodypart""]},{""start"":67,""end"":70,""text"":""白细胞"",""labels"":[""bodypart""]}]",83.981,"(四)实验室诊断：取病鸡末梢血1滴，或死鸡病变内脏器官等做成抹片，瑞氏染色，镜检，卡氏住白细胞虫的配子体近于圆形，直径10～15微米，白细胞呈圆形，白细胞核变大；","2024-02-02T02:17:25.011555Z"
2427,"1","2024-02-02T02:17:33.996712Z",2609,"[{""start"":0,""end"":7,""text"":""沙氏住白细胞虫"",""labels"":[""disease""]},{""start"":23,""end"":26,""text"":""白细胞"",""labels"":[""bodypart""]}]",6.495,"沙氏住白细胞虫的配子体为长形，为6～22微米，白细胞呈纺锤形，细胞核呈带状，位于虫体的一侧。","2024-02-02T02:17:33.996712Z"
2428,"1","2024-02-02T02:18:11.303867Z",2610,"[{""start"":3,""end"":7,""text"":""加强管理"",""labels"":[""control""]},{""start"":8,""end"":14,""text"":""消灭媒介昆虫"",""labels"":[""control""]},{""start"":24,""end"":31,""text"":""鸡住白细胞虫病"",""labels"":[""disease""]},{""start"":54,""end"":58,""text"":""马拉硫磷"",""labels"":[""drug""]},{""start"":61,""end"":69,""text"":""药物溶液喷洒鸡舍"",""labels"":[""control""]}]",65.57300000000001,"(一)加强管理：消灭媒介昆虫——库蝶和蚋，是预防鸡住白细胞虫病发生的重要措施，在炎热的天气，可用6%～7%的马拉硫磷或其他药物溶液喷洒鸡舍、纱窗，防止库蝶进入。","2024-02-02T02:18:43.796158Z"
2429,"1","2024-02-02T02:19:02.236306Z",2611,"[{""start"":3,""end"":7,""text"":""药物预防"",""labels"":[""control""]},{""start"":40,""end"":42,""text"":""混饲"",""labels"":[""control""]},{""start"":43,""end"":45,""text"":""混饮"",""labels"":[""control""]},{""start"":18,""end"":25,""text"":""磺胺二甲氧嘧啶"",""labels"":[""drug""]}]",24.807,"(二)药物预防：每年发病季节，全群用磺胺二甲氧嘧啶(SDM)每千克体重25毫克，混饲、混饮3天；","2024-02-02T02:19:10.423473Z"
