"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1670,"1","2024-01-31T16:24:14.364818Z",1769,"[{""start"":0,""end"":6,""text"":""鸡减蛋综合征"",""labels"":[""disease""]},{""start"":14,""end"":21,""text"":""群体产蛋率下降"",""labels"":[""symptom""]},{""start"":33,""end"":34,""text"":""鸡"",""labels"":[""type""]}]",14.001999999999999,"鸡减蛋综合征是由病毒引起，以群体产蛋率下降为特征，是威胁产蛋高峰期鸡的一种经济损失严重的传染病。","2024-01-31T16:24:20.090297Z"
1671,"1","2024-01-31T16:24:34.546210Z",1770,"[{""start"":10,""end"":16,""text"":""鸡减蛋综合征"",""labels"":[""disease""]},{""start"":50,""end"":52,""text"":""蛋鸡"",""labels"":[""type""]},{""start"":22,""end"":24,""text"":""种鸡"",""labels"":[""type""]}]",8.947,"（一)流行病学特征：鸡减蛋综合征的传染来源是种鸡，以垂直传播为主，亦可水平传播。170～180日龄的蛋鸡最敏感。","2024-01-31T16:24:34.546210Z"
1672,"1","2024-01-31T16:24:50.772177Z",1771,"[{""start"":0,""end"":2,""text"":""雏鸡"",""labels"":[""type""]},{""start"":4,""end"":10,""text"":""鸡减蛋综合征"",""labels"":[""disease""]}]",11.633,"雏鸡感染鸡减蛋综合征时并不表现临床症状，也不易查出抗体，性成熟后，病毒在体内才表现出侵害作用，才能够测出抗体，产蛋高峰期危害最为严重，临床表现明显，但死亡率低。","2024-01-31T16:24:50.772177Z"
1673,"1","2024-01-31T16:25:05.749411Z",1772,"[{""start"":8,""end"":14,""text"":""鸡减蛋综合征"",""labels"":[""disease""]},{""start"":36,""end"":38,""text"":""母鸡"",""labels"":[""type""]},{""start"":38,""end"":46,""text"":""群体性产蛋率下降"",""labels"":[""symptom""]}]",12.849,"(二)临床症状：鸡减蛋综合征表现出的临床症状主要有两方面：一是高峰期产蛋母鸡群体性产蛋率下降；","2024-01-31T16:25:05.749411Z"
1674,"1","2024-01-31T16:25:45.972489Z",1773,"[{""start"":14,""end"":17,""text"":""软壳蛋"",""labels"":[""symptom""]},{""start"":18,""end"":21,""text"":""薄皮蛋"",""labels"":[""symptom""]},{""start"":22,""end"":25,""text"":""无壳蛋"",""labels"":[""symptom""]},{""start"":26,""end"":29,""text"":""特小蛋"",""labels"":[""symptom""]},{""start"":30,""end"":33,""text"":""畸形蛋"",""labels"":[""symptom""]},{""start"":34,""end"":37,""text"":""破皮蛋"",""labels"":[""symptom""]},{""start"":5,""end"":12,""text"":""蛋的特征性变化"",""labels"":[""symptom""]},{""start"":43,""end"":49,""text"":""蛋壳颜色变淡"",""labels"":[""symptom""]},{""start"":50,""end"":53,""text"":""无光泽"",""labels"":[""symptom""]},{""start"":54,""end"":60,""text"":""蛋白稀薄如水"",""labels"":[""symptom""]},{""start"":64,""end"":68,""text"":""蛋黄分离"",""labels"":[""symptom""]},{""start"":73,""end"":79,""text"":""蛋白中有血液"",""labels"":[""symptom""]},{""start"":80,""end"":87,""text"":""种蛋孵化率降低"",""labels"":[""symptom""]},{""start"":77,""end"":79,""text"":""血液"",""labels"":[""bodypart""]}]",37.831,"二是所产的蛋的特征性变化，如软壳蛋、薄皮蛋、无壳蛋、特小蛋、畸形蛋、破皮蛋等多种多样，蛋壳颜色变淡，无光泽，蛋白稀薄如水，蛋白、蛋黄分离，有时可见蛋白中有血液，种蛋孵化率降低。","2024-01-31T16:25:45.972489Z"
1675,"1","2024-01-31T16:25:58.133721Z",1775,"[{""start"":8,""end"":14,""text"":""鸡减蛋综合征"",""labels"":[""disease""]}]",5.916,"(三)剖检变化：鸡减蛋综合征不具有特征性的病理变化，不足以作为诊断依据，主要依据流行特点和临床表现进行分析诊断。","2024-01-31T16:25:58.133721Z"
1676,"1","2024-01-31T16:26:18.977560Z",1776,"[{""start"":7,""end"":13,""text"":""鸡减蛋综合征"",""labels"":[""disease""]},{""start"":23,""end"":24,""text"":""鸡"",""labels"":[""type""]},{""start"":32,""end"":38,""text"":""鸡减蛋综合征"",""labels"":[""disease""]},{""start"":41,""end"":43,""text"":""种鸡"",""labels"":[""type""]},{""start"":45,""end"":47,""text"":""雏鸡"",""labels"":[""type""]},{""start"":50,""end"":52,""text"":""雏鸡"",""labels"":[""type""]}]",18.729,"鸭、鹅亦可感染鸡减蛋综合征成为带毒者，所以不可鸡鸭同舍饲养。不从鸡减蛋综合征流行的种鸡场进雏鸡，保证雏鸡健康。","2024-01-31T16:26:18.977560Z"
1677,"1","2024-01-31T16:26:45.670975Z",1777,"[{""start"":5,""end"":12,""text"":""减蛋综合征疫苗"",""labels"":[""drug""]},{""start"":12,""end"":16,""text"":""免疫接种"",""labels"":[""control""]},{""start"":45,""end"":47,""text"":""疫苗"",""labels"":[""drug""]},{""start"":49,""end"":53,""text"":""紧急接种"",""labels"":[""control""]}]",23.864,"在开产前以减蛋综合征疫苗免疫接种，有明显的保护率，可获得满意效果。当鸡场一旦发病，也可用本疫苗进行紧急接种，能起到控制疫情、缩短病程、促进恢复的作用。","2024-01-31T16:26:45.670975Z"
1681,"1","2024-01-31T16:28:31.940199Z",1778,"[{""start"":2,""end"":9,""text"":""双黄蛋与多黄蛋"",""labels"":[""disease""]}]",7.585000000000001,"1.双黄蛋与多黄蛋。特点：蛋型大，双黄蛋或三黄蛋。","2024-01-31T16:29:42.091192Z"
1678,"1","2024-01-31T16:27:36.896204Z",1779,"[{""start"":6,""end"":8,""text"":""母鸡"",""labels"":[""type""]},{""start"":8,""end"":15,""text"":""产卵规律不正常"",""labels"":[""symptom""]},{""start"":33,""end"":38,""text"":""不正常排卵"",""labels"":[""symptom""]},{""start"":22,""end"":27,""text"":""排卵诱导素"",""labels"":[""bodypart""]},{""start"":16,""end"":21,""text"":""促性腺激素"",""labels"":[""bodypart""]}]",59.903999999999996,"原因：初产新母鸡产卵规律不正常，促性腺激素和排卵诱导素分泌多，造成不正常排卵；","2024-01-31T16:27:53.991211Z"
