"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1910,"1","2024-02-01T16:17:59.969730Z",2051,"[{""start"":0,""end"":6,""text"":""鸡前殖吸虫病"",""labels"":[""disease""]},{""start"":8,""end"":12,""text"":""前殖吸虫"",""labels"":[""disease""]},{""start"":36,""end"":40,""text"":""寄生虫病"",""labels"":[""disease""]},{""start"":15,""end"":16,""text"":""鸡"",""labels"":[""type""]},{""start"":17,""end"":19,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":20,""end"":23,""text"":""泄殖腔"",""labels"":[""bodypart""]},{""start"":24,""end"":27,""text"":""腔上囊"",""labels"":[""bodypart""]},{""start"":28,""end"":31,""text"":""输卵管"",""labels"":[""bodypart""]}]",26.241,"鸡前殖吸虫病是由前殖吸虫寄生于鸡的肠道、泄殖腔、腔上囊和输卵管引起的一种寄生虫病。在我国已流行多年，南方地区尤为多见。","2024-02-01T16:17:59.969730Z"
1911,"1","2024-02-01T16:18:12.877366Z",2052,"[{""start"":0,""end"":4,""text"":""前殖吸虫"",""labels"":[""disease""]},{""start"":15,""end"":21,""text"":""卵圆前殖吸虫"",""labels"":[""disease""]},{""start"":22,""end"":28,""text"":""槐形前殖吸虫"",""labels"":[""disease""]},{""start"":29,""end"":35,""text"":""透明前殖吸虫"",""labels"":[""disease""]},{""start"":12,""end"":13,""text"":""鸡"",""labels"":[""type""]}]",11.155,"前殖吸虫种类较多。能感染鸡的有卵圆前殖吸虫、槐形前殖吸虫和透明前殖吸虫等。","2024-02-01T16:18:12.877366Z"
1912,"1","2024-02-01T16:18:21.011939Z",2053,"[{""start"":8,""end"":12,""text"":""内部器官"",""labels"":[""bodypart""]},{""start"":60,""end"":66,""text"":""透明前殖吸虫"",""labels"":[""disease""]},{""start"":40,""end"":42,""text"":""吸虫"",""labels"":[""disease""]}]",13.577,"虫体扁平较透明，内部器官清晰可见，大小约为5mm×2mm,具有吸盘和小棘，前两种吸虫前端较狭窄，后端宽而圆，外观呈梨形。透明前殖吸虫呈椭圆形。","2024-02-01T16:18:28.429732Z"
1913,"1","2024-02-01T16:18:53.439023Z",2054,"[{""start"":0,""end"":4,""text"":""前殖吸虫"",""labels"":[""disease""]},{""start"":18,""end"":19,""text"":""鸡"",""labels"":[""type""]},{""start"":20,""end"":23,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":24,""end"":27,""text"":""腔上囊"",""labels"":[""bodypart""]},{""start"":28,""end"":30,""text"":""直肠"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":40,""end"":43,""text"":""排泄物"",""labels"":[""bodypart""]}]",23.255,"前殖吸虫发育需要2个中间宿主。成虫在鸡的输卵管、腔上囊或直肠内产卵，虫卵随粪便或排泄物排出体外落入水中后，被第一中间宿主淡水螺吞食，并在其体内孵化为毛蚴。","2024-02-01T16:18:53.439023Z"
1914,"1","2024-02-01T16:19:08.237431Z",2057,"[{""start"":1,""end"":2,""text"":""鸡"",""labels"":[""type""]},{""start"":24,""end"":26,""text"":""鸡体"",""labels"":[""type""]}]",7.738,"当鸡啄食了含有囊蚴的蜻蜓后，就会发生感染。囊蚴在鸡体内发育成为成虫。","2024-02-01T16:19:08.237431Z"
1915,"1","2024-02-01T16:19:31.265516Z",2058,"[{""start"":0,""end"":6,""text"":""鸡前殖吸虫病"",""labels"":[""disease""]},{""start"":28,""end"":30,""text"":""病鸡"",""labels"":[""type""]},{""start"":30,""end"":34,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""消瘦"",""labels"":[""symptom""]},{""start"":38,""end"":42,""text"":""精神萎靡"",""labels"":[""symptom""]},{""start"":43,""end"":47,""text"":""羽毛粗乱"",""labels"":[""symptom""]},{""start"":45,""end"":47,""text"":""粗乱"",""labels"":[""symptom""]},{""start"":49,""end"":58,""text"":""蹲伏平地作产蛋姿势"",""labels"":[""symptom""]},{""start"":43,""end"":45,""text"":""羽毛"",""labels"":[""bodypart""]}]",21.42,"鸡前殖吸虫病在春夏两季多发，病初无明显症状。病情严重时，病鸡食欲不振，消瘦，精神萎靡，羽毛粗乱，常蹲伏平地作产蛋姿势。","2024-02-01T16:19:31.265516Z"
1916,"1","2024-02-01T16:20:38.151631Z",2059,"[{""start"":0,""end"":4,""text"":""成年病鸡"",""labels"":[""type""]},{""start"":4,""end"":8,""text"":""产软壳蛋"",""labels"":[""symptom""]},{""start"":9,""end"":12,""text"":""无壳蛋"",""labels"":[""symptom""]},{""start"":13,""end"":16,""text"":""畸形蛋"",""labels"":[""symptom""]},{""start"":20,""end"":29,""text"":""泄殖腔排出蛋壳碎片"",""labels"":[""symptom""]},{""start"":30,""end"":39,""text"":""流出浓稠的白色液体"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""白色"",""labels"":[""symptom""]},{""start"":44,""end"":48,""text"":""腹部膨大"",""labels"":[""symptom""]},{""start"":46,""end"":48,""text"":""膨大"",""labels"":[""symptom""]},{""start"":49,""end"":53,""text"":""步态不稳"",""labels"":[""symptom""]},{""start"":54,""end"":58,""text"":""两腿叉开"",""labels"":[""symptom""]},{""start"":59,""end"":64,""text"":""泄殖腔外翻"",""labels"":[""symptom""]},{""start"":65,""end"":69,""text"":""充血潮红"",""labels"":[""symptom""]},{""start"":20,""end"":23,""text"":""泄殖腔"",""labels"":[""bodypart""]},{""start"":44,""end"":46,""text"":""腹部"",""labels"":[""bodypart""]},{""start"":55,""end"":56,""text"":""腿"",""labels"":[""bodypart""]},{""start"":59,""end"":62,""text"":""泄殖腔"",""labels"":[""bodypart""]},{""start"":62,""end"":64,""text"":""外翻"",""labels"":[""symptom""]},{""start"":42,""end"":44,""text"":""病鸡"",""labels"":[""type""]}]",64.587,"成年病鸡产软壳蛋、无壳蛋或畸形蛋，有时从泄殖腔排出蛋壳碎片或流出浓稠的白色液体。有些病鸡腹部膨大，步态不稳，两腿叉开，泄殖腔外翻并充血潮红，严重时可引起死亡。","2024-02-01T16:20:38.151631Z"
1917,"1","2024-02-01T16:21:06.069220Z",2060,"[{""start"":5,""end"":12,""text"":""输卵管黏膜增厚"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""增厚"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""充血"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""发炎"",""labels"":[""pathology""]},{""start"":19,""end"":21,""text"":""出血"",""labels"":[""pathology""]},{""start"":22,""end"":30,""text"":""管壁上可找到虫体"",""labels"":[""pathology""]},{""start"":31,""end"":44,""text"":""管内有渗出物和残留的蛋物质"",""labels"":[""pathology""]},{""start"":5,""end"":10,""text"":""输卵管黏膜"",""labels"":[""bodypart""]},{""start"":22,""end"":24,""text"":""管壁"",""labels"":[""bodypart""]},{""start"":31,""end"":33,""text"":""管内"",""labels"":[""bodypart""]}]",24.804,"剖检时可见输卵管黏膜增厚、充血、发炎或出血，管壁上可找到虫体，管内有渗出物和残留的蛋物质。","2024-02-01T16:21:06.069220Z"
1918,"1","2024-02-01T16:21:50.034581Z",2061,"[{""start"":2,""end"":4,""text"":""病鸡"",""labels"":[""type""]},{""start"":25,""end"":31,""text"":""卵黄性腹膜炎"",""labels"":[""pathology""]},{""start"":9,""end"":11,""text"":""炎症"",""labels"":[""pathology""]},{""start"":17,""end"":22,""text"":""输卵管破裂"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""破裂"",""labels"":[""pathology""]},{""start"":5,""end"":8,""text"":""输卵管"",""labels"":[""bodypart""]},{""start"":17,""end"":20,""text"":""输卵管"",""labels"":[""bodypart""]}]",40.314,"部分病鸡的输卵管因炎症的加剧而导致输卵管破裂，继发卵黄性腹膜炎。","2024-02-01T16:21:50.034581Z"
1919,"1","2024-02-01T16:22:22.104562Z",2062,"[{""start"":1,""end"":7,""text"":""鸡前殖吸虫病"",""labels"":[""disease""]},{""start"":17,""end"":19,""text"":""病鸡"",""labels"":[""type""]},{""start"":29,""end"":30,""text"":""鸡"",""labels"":[""type""]},{""start"":20,""end"":24,""text"":""排畸形蛋"",""labels"":[""symptom""]},{""start"":25,""end"":28,""text"":""变质蛋"",""labels"":[""symptom""]},{""start"":34,""end"":37,""text"":""泄殖腔"",""labels"":[""bodypart""]},{""start"":37,""end"":40,""text"":""排泄物"",""labels"":[""bodypart""]},{""start"":53,""end"":55,""text"":""病鸡"",""labels"":[""type""]}]",29.632,"在鸡前殖吸虫病流行的地区，遇有可疑病鸡或排畸形蛋、变质蛋的鸡时，可取泄殖腔排泄物镜检，观察有无虫卵；或剖检病鸡，若找到虫体即可确诊。","2024-02-01T16:22:22.104562Z"
