"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1491,"1","2024-01-29T14:56:20.018004Z",1583,"[{""start"":0,""end"":4,""text"":""鸡副伤寒"",""labels"":[""disease""]},{""start"":6,""end"":10,""text"":""沙门氏菌"",""labels"":[""disease""]},{""start"":33,""end"":38,""text"":""慢性传染病"",""labels"":[""disease""]},{""start"":25,""end"":27,""text"":""幼鸡"",""labels"":[""type""]},{""start"":30,""end"":32,""text"":""急性"",""labels"":[""pathology""]}]",17.837,"鸡副伤寒是由沙门氏菌属中的一些细菌引起的，主要侵害幼鸡的一种急性或慢性传染病。","2024-01-29T14:56:20.018004Z"
1492,"1","2024-01-29T14:56:35.470768Z",1584,"[{""start"":10,""end"":12,""text"":""病鸡"",""labels"":[""type""]},{""start"":30,""end"":33,""text"":""病原菌"",""labels"":[""disease""]},{""start"":49,""end"":52,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""粪便"",""labels"":[""bodypart""]}]",13.903,"(一)流行病学特征：病鸡和其他带菌动物是传染来源，经粪便排出病原菌，污染饲料、饮水、用具和环境，经消化道感染。","2024-01-29T14:56:35.470768Z"
1493,"1","2024-01-29T14:56:52.806728Z",1585,"[{""start"":0,""end"":4,""text"":""鸡副伤寒"",""labels"":[""disease""]},{""start"":14,""end"":17,""text"":""带病菌"",""labels"":[""disease""]},{""start"":22,""end"":25,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":28,""end"":32,""text"":""鸡副伤寒"",""labels"":[""disease""]},{""start"":34,""end"":41,""text"":""人和畜禽共患病"",""labels"":[""disease""]}]",15.708,"鸡副伤寒也可经种蛋垂直传播；带病菌的飞沫可经呼吸道传播。鸡副伤寒属于人和畜禽共患病。","2024-01-29T14:56:52.806728Z"
1494,"1","2024-01-29T14:56:58.673798Z",1586,"[{""start"":6,""end"":8,""text"":""禽类"",""labels"":[""type""]}]",4.389,"人和畜或其他禽类都能相互传染，鼠类、苍蝇也能成为传递因素。","2024-01-29T14:56:58.673798Z"
1495,"1","2024-01-29T14:57:02.535745Z",1587,"[{""start"":0,""end"":2,""text"":""雏鸡"",""labels"":[""type""]}]",2.395,"雏鸡最易感，常暴发流行。","2024-01-29T14:57:02.535745Z"
1496,"1","2024-01-29T14:57:12.631900Z",1589,"[{""start"":41,""end"":45,""text"":""鸡副伤寒"",""labels"":[""disease""]}]",5.944,"鸡场饲养管理：不善，环境卫生差，如温度忽高忽低，拥挤，空气污秽，营养不足等均可促进鸡副伤寒发生。","2024-01-29T14:57:12.631900Z"
1497,"1","2024-01-29T14:57:26.266146Z",1590,"[{""start"":12,""end"":14,""text"":""雏鸡"",""labels"":[""type""]},{""start"":16,""end"":21,""text"":""急性败血症"",""labels"":[""pathology""]}]",5.423,"(二)临床症状4～5日龄雏鸡多呈急性败血症经过，有时不见症状而死亡。","2024-01-29T14:57:26.266146Z"
1498,"1","2024-01-29T14:58:12.496799Z",1591,"[{""start"":6,""end"":8,""text"":""雏鸡"",""labels"":[""type""]},{""start"":15,""end"":19,""text"":""精神不振"",""labels"":[""symptom""]},{""start"":20,""end"":22,""text"":""低头"",""labels"":[""symptom""]},{""start"":23,""end"":25,""text"":""缩颈"",""labels"":[""symptom""]},{""start"":26,""end"":28,""text"":""垂翅"",""labels"":[""symptom""]},{""start"":29,""end"":31,""text"":""怕冷"",""labels"":[""symptom""]},{""start"":32,""end"":36,""text"":""拥挤成堆"",""labels"":[""symptom""]},{""start"":37,""end"":41,""text"":""食欲降低"",""labels"":[""symptom""]},{""start"":45,""end"":49,""text"":""渴欲增加"",""labels"":[""symptom""]},{""start"":50,""end"":57,""text"":""羽毛松乱无光泽"",""labels"":[""symptom""]},{""start"":52,""end"":57,""text"":""松乱无光泽"",""labels"":[""symptom""]},{""start"":58,""end"":60,""text"":""下痢"",""labels"":[""symptom""]},{""start"":61,""end"":66,""text"":""排水样粪便"",""labels"":[""symptom""]},{""start"":67,""end"":75,""text"":""污染肛门周围羽毛"",""labels"":[""symptom""]},{""start"":21,""end"":22,""text"":""头"",""labels"":[""bodypart""]},{""start"":24,""end"":25,""text"":""颈"",""labels"":[""bodypart""]},{""start"":27,""end"":28,""text"":""翅"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":64,""end"":66,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":69,""end"":75,""text"":""肛门周围羽毛"",""labels"":[""bodypart""]}]",44.61,"10日龄以上雏鸡症状明显，表现精神不振，低头、缩颈、垂翅、怕冷、拥挤成堆，食欲降低或废绝、渴欲增加、羽毛松乱无光泽、下痢、排水样粪便，污染肛门周围羽毛；","2024-01-29T14:58:12.496799Z"
1499,"1","2024-01-29T14:58:33.160015Z",1592,"[{""start"":4,""end"":8,""text"":""眼结膜炎"",""labels"":[""pathology""]},{""start"":9,""end"":11,""text"":""流泪"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":21,""end"":23,""text"":""病雏"",""labels"":[""type""]}]",18.3,"有时表现眼结膜炎、流泪；有时可见呼吸困难。病雏多于1～2天死亡。","2024-01-29T14:58:33.160015Z"
1500,"1","2024-01-29T14:59:00.754378Z",1594,"[{""start"":0,""end"":3,""text"":""结膜炎"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""鼻炎"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""肠炎"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""下痢"",""labels"":[""pathology""]},{""start"":13,""end"":23,""text"":""肛门周围羽毛粘有粪便"",""labels"":[""pathology""]},{""start"":13,""end"":19,""text"":""肛门周围羽毛"",""labels"":[""bodypart""]},{""start"":21,""end"":23,""text"":""粪便"",""labels"":[""bodypart""]}]",20.884,"结膜炎、鼻炎、肠炎、下痢，肛门周围羽毛粘有粪便等仍然存在。","2024-01-29T14:59:00.754378Z"
