"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
987,"1","2024-01-26T12:28:40.012646Z",1027,"[{""start"":0,""end"":6,""text"":""鸡包含体肝炎"",""labels"":[""disease""]},{""start"":8,""end"":11,""text"":""腺病毒"",""labels"":[""disease""]},{""start"":36,""end"":41,""text"":""急性传染病"",""labels"":[""disease""]},{""start"":31,""end"":33,""text"":""禽类"",""labels"":[""type""]}]",12.686,"鸡包含体肝炎是由腺病毒8型、2型、5型、3型、4型等血清型引起禽类的一种急性传染病。","2024-01-26T12:28:40.012646Z"
988,"1","2024-01-26T12:46:12.499926Z",1028,"[{""start"":0,""end"":6,""text"":""鸡包含体肝炎"",""labels"":[""disease""]},{""start"":29,""end"":35,""text"":""5周龄肉仔鸡"",""labels"":[""type""]},{""start"":57,""end"":61,""text"":""法氏囊病"",""labels"":[""disease""]},{""start"":62,""end"":67,""text"":""马立克氏病"",""labels"":[""disease""]},{""start"":68,""end"":73,""text"":""贫血病毒病"",""labels"":[""disease""]},{""start"":74,""end"":77,""text"":""支原体"",""labels"":[""disease""]}]",1164.699,"鸡包含体肝炎可水平传播，亦可垂直传播，在自然条件下，主要是5周龄肉仔鸡易感，蛋鸡和鸽也易感，发病后，逐日增多，如与法氏囊病、马立克氏病、贫血病毒病、支原体等病混合感染，可加重病情，则死亡率增加，甚至全群覆灭。","2024-01-26T12:48:06.701553Z"
989,"1","2024-01-26T12:50:41.229997Z",1029,"[{""start"":10,""end"":12,""text"":""发热"",""labels"":[""symptom""]},{""start"":13,""end"":15,""text"":""嗜睡"",""labels"":[""symptom""]},{""start"":16,""end"":20,""text"":""精神欠佳"",""labels"":[""symptom""]},{""start"":21,""end"":27,""text"":""羽毛蓬乱无光"",""labels"":[""symptom""]},{""start"":23,""end"":27,""text"":""蓬乱无光"",""labels"":[""symptom""]},{""start"":28,""end"":32,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":35,""end"":37,""text"":""黄疸"",""labels"":[""pathology""]},{""start"":38,""end"":45,""text"":""拉白色水样稀粪"",""labels"":[""pathology""]},{""start"":49,""end"":53,""text"":""脸部苍白"",""labels"":[""pathology""]},{""start"":51,""end"":53,""text"":""苍白"",""labels"":[""pathology""]},{""start"":8,""end"":10,""text"":""病鸡"",""labels"":[""type""]},{""start"":21,""end"":23,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":44,""end"":45,""text"":""粪"",""labels"":[""bodypart""]},{""start"":46,""end"":48,""text"":""冠髯"",""labels"":[""bodypart""]},{""start"":49,""end"":51,""text"":""脸部"",""labels"":[""bodypart""]},{""start"":39,""end"":41,""text"":""白色"",""labels"":[""pathology""]}]",224.52100000000002,"(二)临床症状：病鸡发热，嗜睡，精神欠佳，羽毛蓬乱无光，食欲不振，出现黄疸，拉白色水样稀粪，冠髯、脸部苍白，常不见先驱症状而突然死亡，且3～5天达死亡高峰，维持3～5天则停止死亡。","2024-01-28T14:55:18.374274Z"
990,"1","2024-01-26T12:51:25.838678Z",1030,"[{""start"":12,""end"":14,""text"":""黄疸"",""labels"":[""pathology""]},{""start"":17,""end"":19,""text"":""贫血"",""labels"":[""pathology""]},{""start"":27,""end"":29,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":32,""end"":38,""text"":""肝脏肿大褪色"",""labels"":[""pathology""]},{""start"":34,""end"":38,""text"":""肿大褪色"",""labels"":[""pathology""]},{""start"":40,""end"":43,""text"":""黄褐色"",""labels"":[""pathology""]},{""start"":44,""end"":48,""text"":""质地脆弱"",""labels"":[""pathology""]},{""start"":56,""end"":64,""text"":""痘疹状颗粒隆起物"",""labels"":[""pathology""]},{""start"":66,""end"":71,""text"":""斑状出血点"",""labels"":[""pathology""]},{""start"":52,""end"":55,""text"":""黄白色"",""labels"":[""pathology""]},{""start"":32,""end"":34,""text"":""肝脏"",""labels"":[""bodypart""]}]",43.272,"(三)病理变化：可见尸体黄疸，有的贫血，但重要的病变在肝脏，只见肝脏肿大褪色，呈黄褐色，质地脆弱，表面有黄白色、痘疹状颗粒隆起物或者斑状出血点；","2024-01-26T12:51:25.838678Z"
991,"1","2024-01-26T12:51:51.344618Z",1031,"[{""start"":3,""end"":6,""text"":""肝萎缩"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":9,""end"":15,""text"":""灰黄色坏死灶"",""labels"":[""pathology""]},{""start"":9,""end"":12,""text"":""灰黄色"",""labels"":[""pathology""]},{""start"":16,""end"":19,""text"":""肾肿大"",""labels"":[""pathology""]},{""start"":17,""end"":19,""text"":""肿大"",""labels"":[""pathology""]},{""start"":20,""end"":23,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":24,""end"":31,""text"":""心包有黄色积液"",""labels"":[""pathology""]},{""start"":27,""end"":29,""text"":""黄色"",""labels"":[""pathology""]},{""start"":3,""end"":4,""text"":""肝"",""labels"":[""bodypart""]},{""start"":16,""end"":17,""text"":""肾"",""labels"":[""bodypart""]},{""start"":24,""end"":26,""text"":""心包"",""labels"":[""bodypart""]}]",22.451,"有的见肝萎缩，并有灰黄色坏死灶；肾肿大呈灰白色；心包有黄色积液；","2024-01-26T12:51:51.344618Z"
992,"1","2024-01-26T12:52:19.085586Z",1032,"[{""start"":0,""end"":8,""text"":""胸腺及法氏囊萎缩"",""labels"":[""pathology""]},{""start"":6,""end"":8,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":9,""end"":13,""text"":""骨髓褪色"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""褪色"",""labels"":[""pathology""]},{""start"":14,""end"":27,""text"":""皮下组织和横纹肌水肿和充血"",""labels"":[""pathology""]},{""start"":25,""end"":27,""text"":""充血"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""水肿"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""胸腺"",""labels"":[""bodypart""]},{""start"":3,""end"":6,""text"":""法氏囊"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""骨髓"",""labels"":[""bodypart""]},{""start"":14,""end"":18,""text"":""皮下组织"",""labels"":[""bodypart""]},{""start"":19,""end"":22,""text"":""横纹肌"",""labels"":[""bodypart""]}]",22.991,"胸腺及法氏囊萎缩，骨髓褪色，皮下组织和横纹肌水肿和充血；","2024-01-26T12:52:19.085586Z"
993,"1","2024-01-26T12:53:25.394867Z",1033,"[{""start"":8,""end"":12,""text"":""两腿无力"",""labels"":[""pathology""]},{""start"":15,""end"":19,""text"":""伏卧不起"",""labels"":[""pathology""]},{""start"":21,""end"":28,""text"":""胸肌和腿肌黄染"",""labels"":[""pathology""]},{""start"":26,""end"":28,""text"":""黄染"",""labels"":[""pathology""]},{""start"":30,""end"":34,""text"":""出血斑点"",""labels"":[""pathology""]},{""start"":1,""end"":3,""text"":""骨髓"",""labels"":[""bodypart""]},{""start"":8,""end"":10,""text"":""两腿"",""labels"":[""bodypart""]},{""start"":21,""end"":23,""text"":""胸肌"",""labels"":[""bodypart""]},{""start"":24,""end"":26,""text"":""腿肌"",""labels"":[""bodypart""]}]",64.959,"因骨髓有变，常致两腿无力，甚至伏卧不起，使胸肌和腿肌黄染，有出血斑点；","2024-01-26T12:53:25.394867Z"
994,"1","2024-01-26T12:53:43.613224Z",1034,"[{""start"":0,""end"":2,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":9,""end"":12,""text"":""肝细胞"",""labels"":[""bodypart""]},{""start"":12,""end"":27,""text"":""核内有嗜碱性或嗜酸性核内包含体"",""labels"":[""pathology""]}]",41.156000000000006,"肝脏触片镜检，发现肝细胞核内有嗜碱性或嗜酸性核内包含体。","2024-01-26T12:54:14.970044Z"
995,"1","2024-01-26T12:54:27.284643Z",1036,"[{""start"":4,""end"":8,""text"":""环境消毒"",""labels"":[""control""]},{""start"":12,""end"":16,""text"":""福尔马林"",""labels"":[""drug""]},{""start"":17,""end"":19,""text"":""碘伏"",""labels"":[""drug""]},{""start"":20,""end"":24,""text"":""次氯酸钠"",""labels"":[""drug""]}]",10.059,"1.做好环境消毒，可选用福尔马林、碘伏及次氯酸钠等。","2024-01-26T12:54:27.284643Z"
996,"1","2024-01-26T12:54:34.330812Z",1037,"[{""start"":2,""end"":6,""text"":""引雏健康"",""labels"":[""control""]},{""start"":7,""end"":13,""text"":""加强饲养管理"",""labels"":[""control""]}]",36.84,"2.引雏健康，加强饲养管理。","2024-01-26T12:55:06.081508Z"
