"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1349,"1","2024-01-29T13:04:43.721445Z",1424,"[{""start"":0,""end"":6,""text"":""鸡大肠杆菌病"",""labels"":[""disease""]},{""start"":10,""end"":20,""text"":""致病性血清型大肠杆菌"",""labels"":[""disease""]},{""start"":26,""end"":27,""text"":""鸡"",""labels"":[""type""]}]",12.285,"鸡大肠杆菌病是由某些致病性血清型大肠杆菌引起的各日龄鸡均可发生的不同类型疾病的总称。","2024-01-29T13:04:43.721445Z"
1350,"1","2024-01-29T13:05:50.200343Z",1425,"[{""start"":7,""end"":10,""text"":""心包炎"",""labels"":[""pathology""]},{""start"":11,""end"":14,""text"":""肝周炎"",""labels"":[""pathology""]},{""start"":15,""end"":18,""text"":""气囊炎"",""labels"":[""pathology""]},{""start"":19,""end"":22,""text"":""腹膜炎"",""labels"":[""pathology""]},{""start"":23,""end"":27,""text"":""输卵管炎"",""labels"":[""pathology""]},{""start"":28,""end"":31,""text"":""滑膜炎"",""labels"":[""pathology""]},{""start"":32,""end"":40,""text"":""大肠杆菌性肉芽肿"",""labels"":[""pathology""]},{""start"":41,""end"":44,""text"":""败血症"",""labels"":[""pathology""]},{""start"":45,""end"":47,""text"":""肠炎"",""labels"":[""pathology""]},{""start"":48,""end"":51,""text"":""心肌炎"",""labels"":[""pathology""]},{""start"":52,""end"":54,""text"":""眼炎"",""labels"":[""pathology""]},{""start"":55,""end"":58,""text"":""关节炎"",""labels"":[""pathology""]},{""start"":59,""end"":61,""text"":""脐炎"",""labels"":[""pathology""]},{""start"":62,""end"":64,""text"":""肺炎"",""labels"":[""pathology""]},{""start"":65,""end"":68,""text"":""卵巢炎"",""labels"":[""pathology""]}]",191.075,"患病时，可引起心包炎、肝周炎、气囊炎、腹膜炎、输卵管炎、滑膜炎、大肠杆菌性肉芽肿、败血症、肠炎、心肌炎、眼炎、关节炎、脐炎、肺炎、卵巢炎等病变。","2024-01-29T13:10:38.203484Z"
1351,"1","2024-01-29T13:09:47.210560Z",1426,"[{""start"":44,""end"":48,""text"":""肠炎下痢"",""labels"":[""pathology""]}]",5.55,"由于日龄的不同，其易感性不同，其表现形式多样，如2~7日龄易感，多是由于垂直传播所致，以肠炎下痢为主；","2024-01-29T13:09:47.210560Z"
1352,"1","2024-01-29T13:10:13.089488Z",1427,"[{""start"":14,""end"":17,""text"":""新城疫"",""labels"":[""disease""]},{""start"":18,""end"":25,""text"":""传染性支气管炎"",""labels"":[""disease""]},{""start"":29,""end"":32,""text"":""气囊炎"",""labels"":[""pathology""]},{""start"":57,""end"":60,""text"":""肝周炎"",""labels"":[""pathology""]},{""start"":61,""end"":64,""text"":""心包炎"",""labels"":[""pathology""]},{""start"":65,""end"":68,""text"":""气囊炎"",""labels"":[""pathology""]},{""start"":69,""end"":72,""text"":""腹膜炎"",""labels"":[""pathology""]}]",23.905,"15～20日龄易感，多是由于新城疫和传染性支气管炎诱发，以气囊炎为主：25～35日龄，多是由于卫生管理不善引起，以肝周炎、心包炎、气囊炎、腹膜炎多见。","2024-01-29T13:10:13.089488Z"
1353,"1","2024-01-29T13:10:51.583420Z",1428,"[{""start"":11,""end"":14,""text"":""卵巢炎"",""labels"":[""pathology""]},{""start"":15,""end"":19,""text"":""输卵管炎"",""labels"":[""pathology""]},{""start"":20,""end"":26,""text"":""卵黄性腹膜炎"",""labels"":[""pathology""]}]",6.6,"产蛋期也容易并发或继发卵巢炎、输卵管炎、卵黄性腹膜炎。","2024-01-29T13:10:51.583420Z"
1354,"1","2024-01-29T13:11:17.483257Z",1430,"[{""start"":30,""end"":33,""text"":""漂白粉"",""labels"":[""drug""]},{""start"":34,""end"":38,""text"":""次氯酸钠"",""labels"":[""drug""]},{""start"":39,""end"":46,""text"":""二氯异氰尿酸钠"",""labels"":[""drug""]},{""start"":52,""end"":55,""text"":""石炭酸"",""labels"":[""drug""]},{""start"":58,""end"":61,""text"":""来苏儿"",""labels"":[""drug""]}]",21.585,"具有中等抵抗力，60℃30分钟可杀死，对氯十分敏感，所以常用漂白粉、次氯酸钠、二氯异氰尿酸钠等消毒，5%石炭酸、3%来苏儿、5分钟也可杀死。","2024-01-29T13:11:17.483257Z"
1355,"1","2024-01-29T13:11:36.948835Z",1431,"[{""start"":4,""end"":10,""text"":""抗生素类药物"",""labels"":[""drug""]},{""start"":11,""end"":14,""text"":""磺胺脒"",""labels"":[""drug""]},{""start"":15,""end"":18,""text"":""链霉素"",""labels"":[""drug""]},{""start"":19,""end"":22,""text"":""红霉素"",""labels"":[""drug""]},{""start"":23,""end"":27,""text"":""庆大霉素"",""labels"":[""drug""]},{""start"":28,""end"":32,""text"":""卡那霉素"",""labels"":[""drug""]},{""start"":33,""end"":36,""text"":""新霉素"",""labels"":[""drug""]},{""start"":37,""end"":41,""text"":""多黏菌素"",""labels"":[""drug""]},{""start"":42,""end"":45,""text"":""金霉素"",""labels"":[""drug""]},{""start"":46,""end"":50,""text"":""奇放霉素"",""labels"":[""drug""]}]",17.098,"其敏感的抗生素类药物有磺胺脒、链霉素、红霉素、庆大霉素、卡那霉素、新霉素、多黏菌素、金霉素、奇放霉素等。","2024-01-29T13:11:36.948835Z"
1356,"1","2024-01-29T13:11:49.246820Z",1432,"[{""start"":6,""end"":9,""text"":""抗菌药"",""labels"":[""drug""]},{""start"":23,""end"":29,""text"":""鸡大肠杆菌病"",""labels"":[""disease""]}]",19.167,"近年来，由于抗菌药的滥用，使其耐药菌株增多，使鸡大肠杆菌病呈蔓延之势。","2024-01-31T11:52:11.550604Z"
1357,"1","2024-01-29T13:11:57.438683Z",1433,"[{""start"":19,""end"":27,""text"":""保持一定血药浓度"",""labels"":[""control""]},{""start"":29,""end"":33,""text"":""及时换药"",""labels"":[""control""]}]",6.726,"本菌易形成耐药性，所以治疗、预防用量要保持一定血药浓度，并及时换药。","2024-01-29T13:11:57.438683Z"
1358,"1","2024-01-29T13:12:16.837791Z",1435,"[{""start"":7,""end"":9,""text"":""肠道"",""labels"":[""bodypart""]}]",14.386,"本菌又是体表和肠道中常在菌，因此，对鸡场养殖全程都构成威胁。","2024-01-29T13:12:16.837791Z"
