"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1771,"1","2024-02-01T05:51:52.820212Z",1906,"[{""start"":0,""end"":7,""text"":""鸡慢性呼吸道病"",""labels"":[""disease""]},{""start"":9,""end"":14,""text"":""败血支原体"",""labels"":[""disease""]},{""start"":25,""end"":30,""text"":""呼吸道疾病"",""labels"":[""disease""]},{""start"":39,""end"":44,""text"":""鸡支原体病"",""labels"":[""disease""]},{""start"":21,""end"":22,""text"":""鸡"",""labels"":[""type""]}]",99.962,"鸡慢性呼吸道病是由败血支原体引起的各种日龄鸡的一种呼吸道疾病，所以实践中又称为鸡支原体病。","2024-02-01T05:53:13.146826Z"
1772,"1","2024-02-01T05:53:27.039024Z",1907,"[{""start"":0,""end"":7,""text"":""鸡慢性呼吸道病"",""labels"":[""disease""]},{""start"":18,""end"":24,""text"":""影响生长发育"",""labels"":[""symptom""]},{""start"":31,""end"":36,""text"":""胴体重降低"",""labels"":[""symptom""]}]",12.237,"鸡慢性呼吸道病死亡率不高，但病程长，影响生长发育，饲料报酬低，胴体重降低，是代价最高的疾病之一。","2024-02-01T05:53:27.039024Z"
1773,"1","2024-02-01T05:53:42.054351Z",1908,"[{""start"":8,""end"":18,""text"":""鸡慢性呼吸道病病原体"",""labels"":[""disease""]},{""start"":34,""end"":40,""text"":""抗生素类药物"",""labels"":[""drug""]},{""start"":44,""end"":47,""text"":""青霉素"",""labels"":[""drug""]}]",13.041,"(一)病原特征：鸡慢性呼吸道病病原体无细胞膜结构，所以作用于细胞膜的抗生素类药物无效，如青霉素。","2024-02-01T05:53:42.054351Z"
1774,"1","2024-02-01T05:56:29.408506Z",1909,"[{""start"":0,""end"":9,""text"":""鸡慢性呼吸道病原体"",""labels"":[""disease""]},{""start"":15,""end"":20,""text"":""常用消毒药"",""labels"":[""drug""]}]",165.412,"鸡慢性呼吸道病原体抵抗力不强，常用消毒药均有较好地杀灭作用。","2024-02-01T05:56:29.408506Z"
1775,"1","2024-02-01T05:57:01.575428Z",1910,"[{""start"":10,""end"":17,""text"":""鸡慢性呼吸道病"",""labels"":[""disease""]},{""start"":18,""end"":23,""text"":""鸡场常发病"",""labels"":[""disease""]},{""start"":26,""end"":28,""text"":""雏鸡"",""labels"":[""type""]},{""start"":29,""end"":31,""text"":""中雏"",""labels"":[""type""]}]",18.523,"(二)流行病学特征：鸡慢性呼吸道病是鸡场常发病之一，雏鸡和中雏易发生。","2024-02-01T05:57:01.575428Z"
1776,"1","2024-02-01T05:57:12.671053Z",1911,"[{""start"":2,""end"":9,""text"":""鸡慢性呼吸道病"",""labels"":[""disease""]}]",6.582,"因为鸡慢性呼吸道病是经卵传染，鸡场带菌现象较为普遍，本鸡场就有传染源存在。","2024-02-01T05:57:12.671053Z"
1777,"1","2024-02-01T05:57:33.250348Z",1912,"[{""start"":23,""end"":25,""text"":""鸡群"",""labels"":[""type""]},{""start"":40,""end"":42,""text"":""鸡体"",""labels"":[""type""]},{""start"":42,""end"":47,""text"":""适应能力差"",""labels"":[""symptom""]},{""start"":48,""end"":54,""text"":""抗病能力降低"",""labels"":[""symptom""]},{""start"":59,""end"":66,""text"":""鸡慢性呼吸道病"",""labels"":[""disease""]},{""start"":72,""end"":79,""text"":""鸡慢性呼吸道病"",""labels"":[""disease""]}]",115.803,"所以，当鸡场管理水平低下，不能控制温度、湿度、鸡群密度、空气污染等应激刺激时，使鸡体适应能力差，抗病能力降低，就会成为鸡慢性呼吸道病的诱因，促进鸡慢性呼吸道病的流行。","2024-02-01T05:59:10.137823Z"
1778,"1","2024-02-01T05:59:17.482818Z",1913,"[{""start"":5,""end"":12,""text"":""鸡慢性呼吸道病"",""labels"":[""disease""]}]",5.15,"在临床上，鸡慢性呼吸道病流行主要见于气候多变和寒冷季节。","2024-02-01T05:59:17.482818Z"
1779,"1","2024-02-01T05:59:33.907755Z",1914,"[{""start"":9,""end"":14,""text"":""呼吸道疾病"",""labels"":[""disease""]},{""start"":16,""end"":21,""text"":""传染性鼻炎"",""labels"":[""disease""]},{""start"":22,""end"":29,""text"":""传染性支气管炎"",""labels"":[""disease""]},{""start"":30,""end"":37,""text"":""传染性喉气管炎"",""labels"":[""disease""]}]",15.209,"此外，常继发于其他呼吸道疾病，如传染性鼻炎、传染性支气管炎、传染性喉气管炎，使病情加重。","2024-02-01T05:59:33.907755Z"
1780,"1","2024-02-01T05:59:45.986966Z",1915,"[{""start"":0,""end"":7,""text"":""鸡慢性呼吸道病"",""labels"":[""disease""]},{""start"":9,""end"":14,""text"":""大肠杆菌病"",""labels"":[""disease""]}]",5.149,"鸡慢性呼吸道病常与大肠杆菌病混合感染，使病情恶化。","2024-02-01T05:59:45.986966Z"
