"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2061,"1","2024-02-01T17:09:33.736799Z",2208,"[{""start"":0,""end"":5,""text"":""鸡曲霉菌病"",""labels"":[""disease""]},{""start"":7,""end"":11,""text"":""烟曲霉菌"",""labels"":[""disease""]},{""start"":17,""end"":22,""text"":""真菌性疾病"",""labels"":[""disease""]},{""start"":13,""end"":14,""text"":""鸡"",""labels"":[""type""]}]",10.648,"鸡曲霉菌病是由烟曲霉菌引起鸡的一种真菌性疾病。","2024-02-01T17:09:33.736799Z"
2062,"1","2024-02-01T17:09:45.777038Z",2209,"[{""start"":0,""end"":4,""text"":""烟曲霉菌"",""labels"":[""disease""]},{""start"":7,""end"":13,""text"":""腐败物寄生菌"",""labels"":[""disease""]}]",10.236,"烟曲霉菌是一种腐败物寄生菌，在自然界分布十分广泛，而且生长繁殖快，对外界环境抵抗力强，对理化作用、消毒药物的抵抗力都强，它是真菌中致病性最强的一种。","2024-02-01T17:09:45.777038Z"
2063,"1","2024-02-01T17:09:49.621060Z",2210,"[{""start"":21,""end"":23,""text"":""雏鸡"",""labels"":[""type""]}]",2.415,"(一)流行病学特点：常发生于4～12日龄的雏鸡。","2024-02-01T17:09:49.621060Z"
2064,"1","2024-02-01T17:09:58.667438Z",2211,"[{""start"":8,""end"":11,""text"":""曲霉菌"",""labels"":[""disease""]},{""start"":37,""end"":39,""text"":""雏鸡"",""labels"":[""type""]}]",7.732,"如果是由于种蛋被曲霉菌污染，或者孵化器、孵化室、出雏器遭受污染，则1日龄的雏鸡就会感染。","2024-02-01T17:09:58.667438Z"
2065,"1","2024-02-01T17:10:21.895950Z",2212,"[{""start"":3,""end"":8,""text"":""鸡曲霉菌病"",""labels"":[""disease""]},{""start"":14,""end"":17,""text"":""曲霉菌"",""labels"":[""disease""]},{""start"":55,""end"":59,""text"":""育雏肺炎"",""labels"":[""disease""]},{""start"":48,""end"":50,""text"":""肺炎"",""labels"":[""pathology""]},{""start"":38,""end"":41,""text"":""呼吸道"",""labels"":[""bodypart""]}]",19.196,"所以，鸡曲霉菌病的发生与生长曲霉菌的环境有关，常见于腐败的植物和谷物饲料中，呼吸道为感染途径，呈肺炎症状，故称育雏肺炎。","2024-02-01T17:10:21.895950Z"
2066,"1","2024-02-01T17:10:43.655008Z",2213,"[{""start"":0,""end"":5,""text"":""鸡曲霉菌病"",""labels"":[""disease""]},{""start"":13,""end"":14,""text"":""鸡"",""labels"":[""type""]},{""start"":18,""end"":24,""text"":""急性流行过程"",""labels"":[""pathology""]}]",10.708,"鸡曲霉菌病一旦发生，则大批鸡发病，呈急性流行过程；","2024-02-01T17:10:43.655008Z"
2067,"1","2024-02-01T17:10:54.081644Z",2214,"[{""start"":9,""end"":12,""text"":""成年鸡"",""labels"":[""type""]},{""start"":21,""end"":23,""text"":""散发"",""labels"":[""pathology""]},{""start"":24,""end"":28,""text"":""慢性感染"",""labels"":[""pathology""]}]",8.832,"死亡率高达50%;成年鸡有一定的抵抗力，呈散发或慢性感染过程，死亡率不高。","2024-02-01T17:10:54.081644Z"
2068,"1","2024-02-01T17:11:16.541253Z",2215,"[{""start"":4,""end"":11,""text"":""肺炎型的曲霉菌"",""labels"":[""disease""]},{""start"":15,""end"":18,""text"":""脑炎型"",""labels"":[""disease""]},{""start"":19,""end"":22,""text"":""眼炎型"",""labels"":[""disease""]},{""start"":23,""end"":27,""text"":""脊髓炎型"",""labels"":[""disease""]},{""start"":28,""end"":35,""text"":""皮肤型曲霉菌病"",""labels"":[""disease""]}]",19.772,"临床上除肺炎型的曲霉菌外，还有脑炎型、眼炎型、脊髓炎型和皮肤型曲霉菌病等。","2024-02-01T17:11:16.541253Z"
2069,"1","2024-02-01T17:11:31.245251Z",2216,"[{""start"":8,""end"":10,""text"":""病雏"",""labels"":[""type""]},{""start"":10,""end"":14,""text"":""呼吸困难"",""labels"":[""symptom""]},{""start"":15,""end"":19,""text"":""次数加快"",""labels"":[""symptom""]},{""start"":20,""end"":22,""text"":""喘气"",""labels"":[""symptom""]},{""start"":24,""end"":29,""text"":""不伴有啰音"",""labels"":[""symptom""]}]",12.053,"(二)临床症状：病雏呼吸困难，次数加快，喘气，但不伴有啰音。","2024-02-01T17:11:31.245251Z"
2070,"1","2024-02-01T17:11:57.009673Z",2217,"[{""start"":0,""end"":2,""text"":""病雏"",""labels"":[""type""]},{""start"":2,""end"":6,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""口渴"",""labels"":[""symptom""]},{""start"":10,""end"":12,""text"":""下痢"",""labels"":[""symptom""]},{""start"":13,""end"":15,""text"":""嗜睡"",""labels"":[""symptom""]},{""start"":16,""end"":21,""text"":""进行性消瘦"",""labels"":[""symptom""]},{""start"":22,""end"":34,""text"":""对外界环境的刺激反应迟钝"",""labels"":[""symptom""]},{""start"":35,""end"":39,""text"":""呆立一隅"",""labels"":[""symptom""]},{""start"":45,""end"":49,""text"":""张口喘气"",""labels"":[""symptom""]},{""start"":52,""end"":54,""text"":""衰竭"",""labels"":[""symptom""]},{""start"":55,""end"":60,""text"":""痉挛而死亡"",""labels"":[""symptom""]}]",22.826,"病雏食欲不振，口渴，下痢，嗜睡，进行性消瘦，对外界环境的刺激反应迟钝，呆立一隅，无声无力地张口喘气，最后衰竭、痉挛而死亡。","2024-02-01T17:11:57.009673Z"
