"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1650,"1","2024-01-30T14:20:48.788837Z",1751,"[{""start"":0,""end"":6,""text"":""鸡棘口吸虫病"",""labels"":[""disease""]},{""start"":19,""end"":23,""text"":""棘口吸虫"",""labels"":[""disease""]},{""start"":12,""end"":14,""text"":""大肠"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":11,""end"":12,""text"":""鸡"",""labels"":[""type""]}]",17.58,"鸡棘口吸虫病是由寄生于鸡大肠和小肠中的棘口吸虫引起的，在我国各地均有分布。","2024-01-30T14:20:48.788837Z"
1651,"1","2024-01-30T14:20:58.620910Z",1752,"[{""start"":0,""end"":4,""text"":""棘口吸虫"",""labels"":[""disease""]},{""start"":16,""end"":21,""text"":""卷棘口吸虫"",""labels"":[""disease""]},{""start"":22,""end"":28,""text"":""宫川棘口吸虫"",""labels"":[""disease""]}]",8.13,"棘口吸虫的种类颇多，在我国主要有卷棘口吸虫、宫川棘口吸虫。","2024-01-30T14:20:58.620910Z"
1652,"1","2024-01-30T14:21:04.993045Z",1753,"[{""start"":3,""end"":8,""text"":""卷棘口吸虫"",""labels"":[""disease""]}]",2.857,"(1)卷棘口吸虫。虫体呈长叶状，大小为(7.6~12.6)mm×(1.26~1.60)mm。体表有小棘，有37个头棘。","2024-01-30T14:21:04.993045Z"
1653,"1","2024-01-30T14:21:20.523681Z",1754,"[{""start"":0,""end"":2,""text"":""卵巢"",""labels"":[""bodypart""]},{""start"":20,""end"":22,""text"":""睾丸"",""labels"":[""bodypart""]},{""start"":39,""end"":41,""text"":""卵巢"",""labels"":[""bodypart""]}]",57.713,"卵巢呈圆形或扁圆形，位于虫体中央或偏前。睾丸边缘光滑，呈椭圆形，前后排列，位于卵巢后方。","2024-01-30T14:22:04.273205Z"
1654,"1","2024-01-30T14:22:21.559914Z",1755,"[{""start"":5,""end"":6,""text"":""鸡"",""labels"":[""type""]},{""start"":7,""end"":9,""text"":""直肠"",""labels"":[""bodypart""]},{""start"":10,""end"":12,""text"":""盲肠"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""小肠"",""labels"":[""bodypart""]}]",14.129,"主要寄生于鸡的直肠和盲肠内，偶尔可见于小肠内。中间宿主均为淡水螺。","2024-01-30T14:22:21.559914Z"
1655,"1","2024-01-30T14:22:29.836142Z",1756,"[{""start"":3,""end"":9,""text"":""宫川棘口吸虫"",""labels"":[""disease""]},{""start"":23,""end"":28,""text"":""卷棘口吸虫"",""labels"":[""disease""]},{""start"":40,""end"":42,""text"":""睾丸"",""labels"":[""bodypart""]}]",9.654,"(2)宫川棘口吸虫。在我国广泛分布，形态结构与卷棘口吸虫极为相似，主要区别在于其睾丸有分叶。","2024-01-30T14:22:33.133640Z"
1656,"1","2024-01-30T14:22:43.506122Z",1757,"[{""start"":7,""end"":9,""text"":""家禽"",""labels"":[""type""]},{""start"":10,""end"":12,""text"":""野禽"",""labels"":[""type""]},{""start"":22,""end"":24,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""大肠"",""labels"":[""bodypart""]}]",9.214,"成虫主要寄生于家禽和野禽，也可寄生于人和犬的小肠和大肠中。","2024-01-30T14:22:43.506122Z"
1657,"1","2024-01-30T14:22:54.333950Z",1758,"[{""start"":3,""end"":9,""text"":""曲领棘缘吸虫"",""labels"":[""disease""]},{""start"":54,""end"":56,""text"":""睾丸"",""labels"":[""bodypart""]}]",9.36,"(3)曲领棘缘吸虫。虫体较小，其大小为(2.5~5.0)mm×(0.4~0.7)mm。2个长圆形或稍有分叶的睾丸前后紧密相连；","2024-01-30T14:22:54.333950Z"
1658,"1","2024-01-30T14:23:10.307419Z",1759,"[{""start"":0,""end"":2,""text"":""卵巢"",""labels"":[""bodypart""]},{""start"":20,""end"":22,""text"":""家禽"",""labels"":[""type""]},{""start"":23,""end"":25,""text"":""野禽"",""labels"":[""type""]},{""start"":34,""end"":38,""text"":""十二指肠"",""labels"":[""bodypart""]}]",14.68,"卵巢呈球形，位于虫体中央。成虫主要寄生于家禽和野禽，在人、犬和鼠类的十二指肠中也有发现。","2024-01-30T14:23:10.307419Z"
1659,"1","2024-01-30T14:23:33.962694Z",1760,"[{""start"":5,""end"":6,""text"":""鸡"",""labels"":[""type""]},{""start"":7,""end"":9,""text"":""小肠"",""labels"":[""bodypart""]},{""start"":10,""end"":12,""text"":""盲肠"",""labels"":[""bodypart""]},{""start"":13,""end"":15,""text"":""直肠"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":163,""end"":164,""text"":""鸡"",""labels"":[""type""]}]",22.389,"成虫寄生于鸡的小肠、盲肠和直肠内并产卵，虫卵随粪便排出体外，适宜的温度下(30℃)在水中经7~10天孵化成毛蚴，毛蚴进入第一中间宿主淡水螺体内，发育为胞蚴，胞蚴发育成母雷蚴，母雷蚴发育成子雷蚴，子雷蚴逐渐发育成尾蚴，尾蚴可在同一螺体内形成囊蚴，也可离开螺体在水中游动，进入第二中间宿主(一些螺蛳、蝌蚪、鱼类等)的体内变成囊蚴，鸡吞食了含有囊蚴的第二中间宿主而遭受感染。","2024-01-30T14:23:33.962694Z"
