"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1696,"1","2024-01-31T16:34:38.873787Z",1796,"[{""start"":0,""end"":8,""text"":""鸡淋巴细胞白血病"",""labels"":[""disease""]},{""start"":10,""end"":15,""text"":""类黏液病毒"",""labels"":[""disease""]},{""start"":20,""end"":25,""text"":""肿瘤性疾病"",""labels"":[""disease""]}]",7.779,"鸡淋巴细胞白血病是由类黏液病毒引起的多种肿瘤性疾病。","2024-01-31T16:34:38.873787Z"
1697,"1","2024-01-31T16:34:45.055982Z",1797,"[{""start"":7,""end"":16,""text"":""鸡淋巴细胞性白血病"",""labels"":[""disease""]},{""start"":19,""end"":22,""text"":""大肝病"",""labels"":[""disease""]}]",4.871,"临床上常见的是鸡淋巴细胞性白血病，通称大肝病。","2024-01-31T16:34:45.056101Z"
1698,"1","2024-01-31T16:34:51.886397Z",1798,"[{""start"":5,""end"":8,""text"":""产蛋鸡"",""labels"":[""type""]}]",5.462,"本病主要对产蛋鸡造成重大经济损失。","2024-01-31T16:34:51.886397Z"
1699,"1","2024-01-31T16:35:01.795845Z",1799,"[{""start"":10,""end"":18,""text"":""鸡淋巴细胞白血病"",""labels"":[""disease""]},{""start"":27,""end"":28,""text"":""鸡"",""labels"":[""type""]}]",8.681,"(一)流行病学特征：鸡淋巴细胞白血病在自然条件下仅感染鸡。","2024-01-31T16:35:01.795845Z"
1700,"1","2024-01-31T16:35:07.888653Z",1800,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":3,""end"":6,""text"":""带毒鸡"",""labels"":[""type""]}]",4.633,"病鸡和带毒鸡是本病的主要传染源。","2024-01-31T16:35:07.888653Z"
1701,"1","2024-01-31T16:35:14.932237Z",1801,"[{""start"":13,""end"":16,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":17,""end"":20,""text"":""消化道"",""labels"":[""bodypart""]}]",5.573,"病毒可经卵垂直传播，也可经呼吸道、消化道感染。","2024-01-31T16:35:14.932237Z"
1702,"1","2024-01-31T16:35:29.554902Z",1802,"[{""start"":1,""end"":3,""text"":""鸡群"",""labels"":[""type""]},{""start"":34,""end"":36,""text"":""鸡群"",""labels"":[""type""]},{""start"":43,""end"":44,""text"":""鸡"",""labels"":[""type""]},{""start"":56,""end"":58,""text"":""雏鸡"",""labels"":[""type""]},{""start"":82,""end"":84,""text"":""雏鸡"",""labels"":[""type""]},{""start"":69,""end"":71,""text"":""种鸡"",""labels"":[""type""]}]",13.204,"在鸡群中多呈散发形式，发病年龄多为16～20周龄以上，往往在开产前后鸡群中有相当数量的鸡出现临床症状，其发病率与雏鸡的来源有密切关系，如果种鸡场存在这种病，其孵化的雏鸡在发育成熟过程中，则难免遭此袭劫。","2024-01-31T16:35:29.554902Z"
1703,"1","2024-01-31T16:35:58.367616Z",1803,"[{""start"":13,""end"":17,""text"":""食欲减退"",""labels"":[""pathology""]},{""start"":18,""end"":20,""text"":""消瘦"",""labels"":[""pathology""]},{""start"":23,""end"":26,""text"":""髯干皱"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""干皱"",""labels"":[""pathology""]},{""start"":27,""end"":31,""text"":""腹部膨大"",""labels"":[""pathology""]},{""start"":29,""end"":31,""text"":""膨大"",""labels"":[""pathology""]},{""start"":39,""end"":44,""text"":""肿大的肝脏"",""labels"":[""pathology""]},{""start"":39,""end"":41,""text"":""肿大"",""labels"":[""pathology""]},{""start"":21,""end"":22,""text"":""冠"",""labels"":[""bodypart""]},{""start"":23,""end"":24,""text"":""髯"",""labels"":[""bodypart""]},{""start"":27,""end"":29,""text"":""腹部"",""labels"":[""bodypart""]},{""start"":42,""end"":44,""text"":""肝脏"",""labels"":[""bodypart""]}]",27.323,"(二)临床症状与病理变化：食欲减退，消瘦，冠、髯干皱，腹部膨大，触摸即可感觉到肿大的肝脏。","2024-01-31T16:35:58.367616Z"
1704,"1","2024-01-31T16:36:25.184194Z",1804,"[{""start"":5,""end"":7,""text"":""肿瘤"",""labels"":[""pathology""]},{""start"":47,""end"":50,""text"":""结节型"",""labels"":[""pathology""]},{""start"":51,""end"":54,""text"":""粟粒状"",""labels"":[""pathology""]},{""start"":55,""end"":58,""text"":""弥散性"",""labels"":[""pathology""]},{""start"":59,""end"":64,""text"":""混合性病变"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""肾脏"",""labels"":[""bodypart""]},{""start"":28,""end"":30,""text"":""脾脏"",""labels"":[""bodypart""]},{""start"":31,""end"":34,""text"":""法氏囊"",""labels"":[""bodypart""]}]",24.34,"肉眼可见的肿瘤，约在4月龄以后出现，主要侵害肝脏、肾脏、脾脏和法氏囊，其他器官也可能侵害，可呈结节型、粟粒状、弥散性或混合性病变。","2024-01-31T16:36:25.184194Z"
1705,"1","2024-01-31T16:36:36.799231Z",1805,"[{""start"":1,""end"":3,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":5,""end"":9,""text"":""肿瘤结节"",""labels"":[""pathology""]}]",10.015,"在肝脏中的肿瘤结节有时像玉石一样镶嵌在组织中，有光泽，油光发亮。","2024-01-31T16:36:36.799231Z"
