"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1530,"1","2024-01-29T15:11:07.382649Z",1625,"[{""start"":0,""end"":8,""text"":""鸡滑液囊支原体病"",""labels"":[""disease""]},{""start"":10,""end"":17,""text"":""鸡滑液囊支原体"",""labels"":[""disease""]},{""start"":33,""end"":40,""text"":""鸡传染性滑膜炎"",""labels"":[""disease""]},{""start"":54,""end"":61,""text"":""实质器官的肿大"",""labels"":[""pathology""]},{""start"":59,""end"":61,""text"":""肿大"",""labels"":[""pathology""]},{""start"":62,""end"":70,""text"":""滑液囊及肌腱发炎"",""labels"":[""pathology""]},{""start"":68,""end"":70,""text"":""发炎"",""labels"":[""pathology""]},{""start"":71,""end"":77,""text"":""气囊有干酪物"",""labels"":[""pathology""]},{""start"":74,""end"":77,""text"":""干酪物"",""labels"":[""pathology""]},{""start"":20,""end"":21,""text"":""鸡"",""labels"":[""type""]},{""start"":22,""end"":24,""text"":""火鸡"",""labels"":[""type""]},{""start"":45,""end"":47,""text"":""关节"",""labels"":[""bodypart""]},{""start"":48,""end"":50,""text"":""腱鞘"",""labels"":[""bodypart""]},{""start"":51,""end"":53,""text"":""脚掌"",""labels"":[""bodypart""]},{""start"":54,""end"":58,""text"":""实质器官"",""labels"":[""bodypart""]},{""start"":62,""end"":65,""text"":""滑液囊"",""labels"":[""bodypart""]},{""start"":66,""end"":68,""text"":""肌腱"",""labels"":[""bodypart""]},{""start"":71,""end"":73,""text"":""气囊"",""labels"":[""bodypart""]}]",40.014,"鸡滑液囊支原体病是由鸡滑液囊支原体引起的鸡和火鸡的一种传染病，又称鸡传染性滑膜炎，其特征是关节、腱鞘、脚掌和实质器官的肿大，滑液囊及肌腱发炎，气囊有干酪物。","2024-01-29T15:11:07.382649Z"
1531,"1","2024-01-29T15:11:37.105137Z",1626,"[{""start"":0,""end"":8,""text"":""鸡滑液囊支原体病"",""labels"":[""disease""]},{""start"":23,""end"":31,""text"":""鸡滑液囊支原体病"",""labels"":[""disease""]},{""start"":17,""end"":19,""text"":""鸡群"",""labels"":[""type""]},{""start"":48,""end"":54,""text"":""生长发育迟缓"",""labels"":[""symptom""]},{""start"":62,""end"":67,""text"":""产蛋量下降"",""labels"":[""symptom""]},{""start"":68,""end"":73,""text"":""死亡率增高"",""labels"":[""symptom""]}]",32.281,"鸡滑液囊支原体病病程长，发展缓慢，鸡群一旦感染鸡滑液囊支原体病，根除困难，并易发生混合感染，导致生长发育迟缓、饲料利用率低、产蛋量下降和死亡率增高等。","2024-01-31T14:02:38.760198Z"
1532,"1","2024-01-29T15:11:57.815101Z",1627,"[{""start"":0,""end"":6,""text"":""滑液囊支原体"",""labels"":[""disease""]},{""start"":10,""end"":11,""text"":""鸡"",""labels"":[""type""]},{""start"":12,""end"":14,""text"":""火鸡"",""labels"":[""type""]},{""start"":16,""end"":19,""text"":""珍珠鸡"",""labels"":[""type""]},{""start"":42,""end"":44,""text"":""幼雏"",""labels"":[""type""]},{""start"":57,""end"":60,""text"":""肉雏鸡"",""labels"":[""type""]},{""start"":69,""end"":71,""text"":""火鸡"",""labels"":[""type""]},{""start"":79,""end"":81,""text"":""雏鸡"",""labels"":[""type""]}]",18.725,"滑液囊支原体主要感染鸡、火鸡以及珍珠鸡、鸭、鹅、鸽、日本鹌鹑、红腿鹧鸪也可感染，且以幼雏为主，特别是4~16周龄的肉雏鸡和10~24周龄的火鸡易感，经蛋感染的雏鸡可在1周龄内发病。","2024-01-29T15:11:57.815101Z"
1533,"1","2024-01-29T15:12:11.371752Z",1628,"[{""start"":5,""end"":7,""text"":""野鸡"",""labels"":[""type""]}]",11.196,"人工接种时野鸡、鹅、鸭也可感染。自然感染的潜伏期24~80天。","2024-01-29T15:12:11.371752Z"
1534,"1","2024-01-29T15:12:19.446053Z",1629,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":3,""end"":6,""text"":""带菌鸡"",""labels"":[""type""]}]",4.523,"病鸡和带菌鸡是主要的传染源，其持续排菌时可达40天左右。","2024-01-29T15:12:19.446053Z"
1535,"1","2024-01-29T15:12:28.984595Z",1630,"[{""start"":0,""end"":8,""text"":""鸡滑液囊支原体病"",""labels"":[""disease""]},{""start"":25,""end"":28,""text"":""呼吸道"",""labels"":[""bodypart""]}]",7.639,"鸡滑液囊支原体病既可经卵垂直传播，又可以直接接触经呼吸道水平传播，通过吸血昆虫也可感染。","2024-01-29T15:12:28.984595Z"
1536,"1","2024-01-29T15:12:34.698229Z",1631,"[{""start"":0,""end"":8,""text"":""鸡滑液囊支原体病"",""labels"":[""disease""]}]",6.345000000000001,"鸡滑液囊支原体病一年四季均可发生，但以寒冷、潮湿季节或卫生条件、饲养管理不善时多见。","2024-01-29T15:12:57.851329Z"
1537,"1","2024-01-29T15:12:52.789768Z",1632,"[{""start"":0,""end"":8,""text"":""鸡滑液囊支原体病"",""labels"":[""disease""]},{""start"":25,""end"":28,""text"":""成年鸡"",""labels"":[""type""]},{""start"":30,""end"":32,""text"":""慢性"",""labels"":[""pathology""]},{""start"":33,""end"":37,""text"":""隐性感染"",""labels"":[""pathology""]}]",16.27,"鸡滑液囊支原体病发病率较高，死亡率为1%～10%。成年鸡多为慢性或隐性感染。","2024-01-29T15:12:52.789768Z"
1538,"1","2024-01-29T15:13:42.928803Z",1633,"[{""start"":2,""end"":6,""text"":""鸡冠萎缩"",""labels"":[""pathology""]},{""start"":4,""end"":6,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""发白"",""labels"":[""pathology""]},{""start"":10,""end"":12,""text"":""离群"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""喜卧"",""labels"":[""pathology""]},{""start"":16,""end"":20,""text"":""缩头闭眼"",""labels"":[""pathology""]},{""start"":21,""end"":25,""text"":""生长迟缓"",""labels"":[""pathology""]},{""start"":26,""end"":30,""text"":""羽毛粗乱"",""labels"":[""pathology""]},{""start"":28,""end"":30,""text"":""粗乱"",""labels"":[""pathology""]},{""start"":31,""end"":40,""text"":""步态呈轻微的八字步"",""labels"":[""pathology""]},{""start"":41,""end"":43,""text"":""跛行"",""labels"":[""pathology""]},{""start"":44,""end"":46,""text"":""贫血"",""labels"":[""pathology""]},{""start"":47,""end"":52,""text"":""排绿色粪便"",""labels"":[""pathology""]},{""start"":53,""end"":55,""text"":""腹水"",""labels"":[""pathology""]},{""start"":56,""end"":58,""text"":""消瘦"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":2,""end"":4,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":17,""end"":18,""text"":""头"",""labels"":[""bodypart""]},{""start"":19,""end"":20,""text"":""眼"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":50,""end"":52,""text"":""粪便"",""labels"":[""bodypart""]}]",40.309,"病鸡鸡冠萎缩、发白，离群、喜卧，缩头闭眼，生长迟缓，羽毛粗乱，步态呈轻微的八字步，跛行，贫血。排绿色粪便，腹水，消瘦。","2024-01-29T15:13:42.928803Z"
1539,"1","2024-01-29T15:14:59.856934Z",1634,"[{""start"":0,""end"":2,""text"":""关节"",""labels"":[""bodypart""]},{""start"":7,""end"":10,""text"":""跗关节"",""labels"":[""bodypart""]},{""start"":11,""end"":14,""text"":""趾关节"",""labels"":[""bodypart""]},{""start"":15,""end"":18,""text"":""翼关节"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""爪垫"",""labels"":[""bodypart""]},{""start"":19,""end"":23,""text"":""爪垫肿胀"",""labels"":[""pathology""]},{""start"":21,""end"":23,""text"":""肿胀"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""变形"",""labels"":[""pathology""]},{""start"":35,""end"":41,""text"":""触之有波动感"",""labels"":[""pathology""]},{""start"":44,""end"":46,""text"":""跛行"",""labels"":[""pathology""]},{""start"":42,""end"":44,""text"":""鸡只"",""labels"":[""type""]},{""start"":55,""end"":57,""text"":""病鸡"",""labels"":[""type""]},{""start"":48,""end"":52,""text"":""胸部囊肿"",""labels"":[""pathology""]},{""start"":50,""end"":52,""text"":""囊肿"",""labels"":[""pathology""]},{""start"":53,""end"":55,""text"":""急性"",""labels"":[""pathology""]},{""start"":57,""end"":67,""text"":""粪便常呈绿色或硫黄色"",""labels"":[""pathology""]},{""start"":64,""end"":67,""text"":""硫黄色"",""labels"":[""pathology""]},{""start"":61,""end"":63,""text"":""绿色"",""labels"":[""pathology""]},{""start"":48,""end"":50,""text"":""胸部"",""labels"":[""bodypart""]},{""start"":57,""end"":59,""text"":""粪便"",""labels"":[""bodypart""]}]",71.907,"关节典型症状是跗关节、趾关节、翼关节或爪垫肿胀、变形，有时可达鸽蛋大，触之有波动感，鸡只跛行，见胸部囊肿.急性病鸡粪便常呈绿色或硫黄色。","2024-01-29T15:14:59.856934Z"
1540,"1","2024-01-29T15:15:14.748146Z",1635,"[{""start"":14,""end"":16,""text"":""病鸡"",""labels"":[""type""]},{""start"":18,""end"":20,""text"":""失水"",""labels"":[""symptom""]},{""start"":21,""end"":23,""text"":""消瘦"",""labels"":[""symptom""]}]",9.373,"由于不能正常采食或饮水，许多病鸡最终失水和消瘦。","2024-01-29T15:15:14.748146Z"
1541,"1","2024-01-29T15:16:12.265049Z",1636,"[{""start"":8,""end"":10,""text"":""病鸡"",""labels"":[""type""]},{""start"":11,""end"":15,""text"":""肿胀明显"",""labels"":[""pathology""]},{""start"":23,""end"":25,""text"":""黏稠"",""labels"":[""pathology""]},{""start"":26,""end"":29,""text"":""乳酪色"",""labels"":[""pathology""]},{""start"":30,""end"":36,""text"":""灰白色渗出物"",""labels"":[""pathology""]},{""start"":41,""end"":48,""text"":""渗出物呈干酪样"",""labels"":[""pathology""]},{""start"":58,""end"":60,""text"":""黄色"",""labels"":[""pathology""]},{""start"":61,""end"":64,""text"":""橘红色"",""labels"":[""pathology""]},{""start"":65,""end"":71,""text"":""特征性渗出物"",""labels"":[""pathology""]},{""start"":86,""end"":91,""text"":""关节膜增厚"",""labels"":[""pathology""]},{""start"":89,""end"":91,""text"":""增厚"",""labels"":[""pathology""]},{""start"":92,""end"":98,""text"":""关节肿大突出"",""labels"":[""pathology""]},{""start"":94,""end"":98,""text"":""肿大突出"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""关节"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""腱鞘"",""labels"":[""bodypart""]},{""start"":52,""end"":54,""text"":""关节"",""labels"":[""bodypart""]},{""start"":73,""end"":76,""text"":""跗关节"",""labels"":[""bodypart""]},{""start"":77,""end"":80,""text"":""翼关节"",""labels"":[""bodypart""]},{""start"":81,""end"":83,""text"":""足垫"",""labels"":[""bodypart""]},{""start"":86,""end"":89,""text"":""关节膜"",""labels"":[""bodypart""]},{""start"":92,""end"":94,""text"":""关节"",""labels"":[""bodypart""]},{""start"":30,""end"":33,""text"":""灰白色"",""labels"":[""pathology""]}]",124.07300000000001,"发病早期，大多数病鸡在肿胀明显的关节、腱鞘中有黏稠、乳酪色至灰白色渗出物，病程长者渗出物呈干酪样，被感染关节表面常为黄色或橘红色、特征性渗出物量以跗关节、翼关节或足垫较多，关节膜增厚，关节肿大突出。","2024-01-31T14:04:39.919728Z"
1542,"1","2024-01-29T15:16:38.109083Z",1637,"[{""start"":15,""end"":18,""text"":""干酪物"",""labels"":[""pathology""]},{""start"":23,""end"":28,""text"":""关节色黄红"",""labels"":[""pathology""]},{""start"":31,""end"":39,""text"":""关节软骨出现糜烂"",""labels"":[""pathology""]},{""start"":37,""end"":39,""text"":""糜烂"",""labels"":[""pathology""]},{""start"":7,""end"":9,""text"":""头顶"",""labels"":[""bodypart""]},{""start"":10,""end"":11,""text"":""颈"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""关节"",""labels"":[""bodypart""]},{""start"":31,""end"":35,""text"":""关节软骨"",""labels"":[""bodypart""]},{""start"":26,""end"":28,""text"":""黄红"",""labels"":[""pathology""]}]",30.211,"严重病例甚至在头顶和颈上方出现干酪物。受影响的关节色黄红，有时关节软骨出现糜烂。","2024-01-29T15:16:45.905050Z"
1543,"1","2024-01-29T15:16:54.491298Z",1638,"[{""start"":22,""end"":30,""text"":""鸡滑液囊支原体病"",""labels"":[""disease""]}]",5.412,"根据病史、临床症状及病变可作出初步诊断，由于鸡滑液囊支原体病的症状和病理变化并不是特征性的，故确诊需将初步诊断结果与血清学检测结果相结合。","2024-01-29T15:16:54.491298Z"
