"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1925,"1","2024-02-01T16:26:27.203099Z",2068,"[{""start"":0,""end"":1,""text"":""鸡"",""labels"":[""type""]},{""start"":12,""end"":15,""text"":""寄生虫"",""labels"":[""disease""]}]",9.847,"鸡体内的动物性寄生物称为寄生虫。","2024-02-01T16:26:27.203099Z"
1926,"1","2024-02-01T16:26:51.055095Z",2069,"[{""start"":0,""end"":3,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":14,""end"":17,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":4,""end"":5,""text"":""鸡"",""labels"":[""type""]},{""start"":20,""end"":21,""text"":""鸡"",""labels"":[""type""]},{""start"":38,""end"":40,""text"":""鸡体"",""labels"":[""type""]},{""start"":50,""end"":52,""text"":""衰竭"",""labels"":[""symptom""]},{""start"":53,""end"":57,""text"":""中毒死亡"",""labels"":[""symptom""]}]",22.035,"寄生虫和鸡共同生活的过程中，寄生虫靠吸取鸡的营养来完成其某一发育阶段，而造成鸡体不同程度的损伤，甚至衰竭或中毒死亡。","2024-02-01T16:26:51.056089Z"
1927,"1","2024-02-01T16:27:27.930746Z",2070,"[{""start"":3,""end"":6,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":9,""end"":11,""text"":""鸡体"",""labels"":[""type""]},{""start"":16,""end"":18,""text"":""鸡体"",""labels"":[""type""]},{""start"":22,""end"":25,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":26,""end"":28,""text"":""吸虫"",""labels"":[""disease""]},{""start"":29,""end"":31,""text"":""绦虫"",""labels"":[""disease""]},{""start"":32,""end"":34,""text"":""线虫"",""labels"":[""disease""]},{""start"":35,""end"":39,""text"":""蜘蛛昆虫"",""labels"":[""disease""]},{""start"":40,""end"":42,""text"":""原虫"",""labels"":[""disease""]}]",26.539,"这种受寄生虫损害的鸡体称为宿主。鸡体内常见的寄生虫有吸虫、绦虫、线虫、蜘蛛昆虫和原虫等。","2024-02-01T16:27:27.930746Z"
1928,"1","2024-02-01T16:27:44.518119Z",2071,"[{""start"":4,""end"":7,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":63,""end"":67,""text"":""营养缺乏"",""labels"":[""symptom""]},{""start"":68,""end"":70,""text"":""贫血"",""labels"":[""symptom""]},{""start"":71,""end"":73,""text"":""消瘦"",""labels"":[""symptom""]},{""start"":74,""end"":79,""text"":""生产力下降"",""labels"":[""symptom""]},{""start"":80,""end"":82,""text"":""衰竭"",""labels"":[""symptom""]}]",14.265,"根据每种寄生虫的生长发育阶段不同，构造不同，寄生部位不同，数量不同等，对宿主构成的危害也有所不同，比如，夺取宿主的营养，使宿主营养缺乏，贫血，消瘦，生产力下降，衰竭，甚至死亡；","2024-02-01T16:27:44.518119Z"
1929,"1","2024-02-01T16:28:29.535171Z",2072,"[{""start"":0,""end"":6,""text"":""机械性地损伤"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""阻塞"",""labels"":[""symptom""]},{""start"":10,""end"":18,""text"":""压迫宿主组织器官"",""labels"":[""symptom""]},{""start"":14,""end"":18,""text"":""组织器官"",""labels"":[""bodypart""]},{""start"":22,""end"":26,""text"":""黏膜损伤"",""labels"":[""pathology""]},{""start"":24,""end"":26,""text"":""损伤"",""labels"":[""pathology""]},{""start"":27,""end"":33,""text"":""器官产生炎症"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""炎症"",""labels"":[""pathology""]},{""start"":34,""end"":38,""text"":""腔道阻塞"",""labels"":[""pathology""]},{""start"":36,""end"":38,""text"":""阻塞"",""labels"":[""pathology""]},{""start"":39,""end"":47,""text"":""组织器官功能障碍"",""labels"":[""pathology""]},{""start"":43,""end"":47,""text"":""功能障碍"",""labels"":[""pathology""]},{""start"":48,""end"":50,""text"":""萎缩"",""labels"":[""pathology""]},{""start"":53,""end"":58,""text"":""致宿主死亡"",""labels"":[""pathology""]},{""start"":22,""end"":24,""text"":""黏膜"",""labels"":[""bodypart""]},{""start"":27,""end"":29,""text"":""器官"",""labels"":[""bodypart""]},{""start"":34,""end"":36,""text"":""腔道"",""labels"":[""bodypart""]},{""start"":39,""end"":43,""text"":""组织器官"",""labels"":[""bodypart""]}]",43.491,"机械性地损伤、阻塞和压迫宿主组织器官，使宿主黏膜损伤、器官产生炎症、腔道阻塞、组织器官功能障碍或萎缩，甚至致宿主死亡；","2024-02-01T16:28:29.535171Z"
1930,"1","2024-02-01T16:28:38.570374Z",2073,"[{""start"":20,""end"":26,""text"":""生理机能障碍"",""labels"":[""symptom""]}]",6.917,"分泌毒素，毒害宿主，使宿主中毒而发生各种生理机能障碍，甚至死亡；","2024-02-01T16:28:38.570374Z"
1931,"1","2024-02-01T16:28:52.865576Z",2074,"[{""start"":5,""end"":8,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":8,""end"":18,""text"":""损伤宿主的皮肤和黏膜"",""labels"":[""pathology""]},{""start"":13,""end"":15,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":16,""end"":18,""text"":""黏膜"",""labels"":[""bodypart""]},{""start"":20,""end"":25,""text"":""病原微生物"",""labels"":[""disease""]}]",16.686999999999998,"此外，由于寄生虫损伤宿主的皮肤和黏膜，给病原微生物的侵入创造了感染传染病的途径。","2024-02-01T16:28:58.416869Z"
1932,"1","2024-02-01T16:29:09.059880Z",2075,"[{""start"":0,""end"":4,""text"":""寄生虫病"",""labels"":[""disease""]}]",4.292,"寄生虫病给养鸡业造成的危害，有时并不亚于传染病。","2024-02-01T16:29:09.059880Z"
1933,"1","2024-02-01T16:29:15.938254Z",2076,"[{""start"":6,""end"":10,""text"":""寄生虫病"",""labels"":[""disease""]},{""start"":4,""end"":5,""text"":""鸡"",""labels"":[""type""]}]",5.428,"所以，对鸡的寄生虫病应给予足够的重视。","2024-02-01T16:29:15.938254Z"
1934,"1","2024-02-01T16:29:59.912433Z",2077,"[{""start"":2,""end"":6,""text"":""寄生虫病"",""labels"":[""disease""]},{""start"":40,""end"":43,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":62,""end"":65,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":87,""end"":90,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":143,""end"":146,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":10,""end"":12,""text"":""家禽"",""labels"":[""type""]},{""start"":124,""end"":128,""text"":""隐性感染"",""labels"":[""pathology""]}]",42.094,"患有寄生虫病的家畜、家禽和其他动物(包括家养和野生)以及人类，有时成为终末宿主(寄生虫的成虫期寄生的宿主)有时成为中间宿主(寄生虫的幼虫期寄生的宿主),有时成为补充宿主(有的寄生虫的幼虫期需要2个中间宿主，即第二个中间宿主),或者成为带虫宿主(处于隐性感染阶段的宿主)、保虫宿主(多宿主寄生虫不常被寄生的宿主)、贮藏宿主(侵袭性的幼虫在感染动物之前，进入不需要发育的动物体中长期生存)。","2024-02-01T16:29:59.912433Z"
