"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1447,"1","2024-01-29T14:40:49.625075Z",1539,"[{""start"":0,""end"":2,""text"":""鸡痘"",""labels"":[""disease""]},{""start"":4,""end"":8,""text"":""鸡痘病毒"",""labels"":[""disease""]},{""start"":15,""end"":16,""text"":""鸡"",""labels"":[""type""]},{""start"":27,""end"":29,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":30,""end"":32,""text"":""口角"",""labels"":[""bodypart""]},{""start"":33,""end"":35,""text"":""鸡冠"",""labels"":[""bodypart""]},{""start"":39,""end"":41,""text"":""疱疹"",""labels"":[""symptom""]},{""start"":61,""end"":66,""text"":""白喉性假膜"",""labels"":[""symptom""]},{""start"":48,""end"":50,""text"":""口腔"",""labels"":[""bodypart""]},{""start"":51,""end"":53,""text"":""喉头"",""labels"":[""bodypart""]},{""start"":54,""end"":58,""text"":""食管黏膜"",""labels"":[""bodypart""]}]",36.57,"鸡痘是由鸡痘病毒引起的各种日龄鸡的一种传染病，临床上以皮肤、口角、鸡冠等处发生疱疹为特征，有些在口腔、喉头、食管黏膜上发生白喉性假膜。","2024-01-29T14:40:49.625075Z"
1448,"1","2024-01-29T14:40:56.331359Z",1540,"[{""start"":10,""end"":12,""text"":""鸡痘"",""labels"":[""disease""]},{""start"":36,""end"":38,""text"":""痘型"",""labels"":[""disease""]},{""start"":43,""end"":46,""text"":""白喉型"",""labels"":[""disease""]}]",11.457,"(一)流行病学特征：鸡痘一年四季均可发生，以秋、冬季节多发，而且秋季多发痘型，冬季多发白喉型。","2024-01-29T14:41:03.345670Z"
1449,"1","2024-01-29T14:41:17.554146Z",1541,"[{""start"":11,""end"":12,""text"":""鸡"",""labels"":[""type""]},{""start"":22,""end"":24,""text"":""中鸡"",""labels"":[""type""]},{""start"":19,""end"":21,""text"":""雏鸡"",""labels"":[""type""]},{""start"":29,""end"":31,""text"":""雏鸡"",""labels"":[""type""]},{""start"":36,""end"":38,""text"":""病鸡"",""labels"":[""type""]},{""start"":49,""end"":51,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":52,""end"":54,""text"":""黏膜"",""labels"":[""bodypart""]}]",12.436,"各种品种、日龄、性别的鸡均有易感性，以雏鸡和中鸡最易发生，雏鸡死亡率高。病鸡是主要传染源，主要通过皮肤、黏膜的损伤接触感染；","2024-01-29T14:41:17.554146Z"
1450,"1","2024-01-29T14:41:22.976930Z",1542,"[{""start"":6,""end"":9,""text"":""呼吸道"",""labels"":[""bodypart""]}]",3.873,"也可经飞沫由呼吸道感染；蚊虫的叮咬亦可成为传播途径；","2024-01-29T14:41:22.976930Z"
1451,"1","2024-01-29T14:41:35.179466Z",1543,"[{""start"":43,""end"":48,""text"":""维生素缺乏"",""labels"":[""disease""]},{""start"":60,""end"":62,""text"":""鸡痘"",""labels"":[""disease""]}]",15.097,"此外，饲养管理不良，如拥挤、通风不良、环境卫生条件不佳、寒冷、多雨季节、饲料配比不当、维生素缺乏或有其他疾病时，均可促进鸡痘的发生和加重病情。","2024-01-29T14:41:43.449076Z"
1452,"1","2024-01-29T14:42:08.461650Z",1544,"[{""start"":16,""end"":18,""text"":""鸡痘"",""labels"":[""disease""]},{""start"":8,""end"":10,""text"":""雏鸡"",""labels"":[""type""]},{""start"":11,""end"":14,""text"":""青年鸡"",""labels"":[""type""]},{""start"":30,""end"":33,""text"":""成年鸡"",""labels"":[""type""]},{""start"":23,""end"":29,""text"":""生长发育缓慢"",""labels"":[""symptom""]},{""start"":33,""end"":38,""text"":""产蛋率下降"",""labels"":[""symptom""]}]",20.843,"(二)临床症状：雏鸡、青年鸡感染鸡痘时，可导致生长发育缓慢，成年鸡产蛋率下降。因病毒感染的途径不同或侵害部位不同，其临床表现可人为地分成3种类型。","2024-01-29T14:42:08.461650Z"
1453,"1","2024-01-29T14:42:43.040265Z",1545,"[{""start"":2,""end"":5,""text"":""皮肤型"",""labels"":[""disease""]},{""start"":7,""end"":8,""text"":""冠"",""labels"":[""bodypart""]},{""start"":9,""end"":10,""text"":""髯"",""labels"":[""bodypart""]},{""start"":11,""end"":13,""text"":""眼睑"",""labels"":[""bodypart""]},{""start"":14,""end"":15,""text"":""耳"",""labels"":[""bodypart""]},{""start"":16,""end"":18,""text"":""头部"",""labels"":[""bodypart""]},{""start"":22,""end"":27,""text"":""结节性病灶"",""labels"":[""pathology""]},{""start"":29,""end"":31,""text"":""灰色"",""labels"":[""pathology""]},{""start"":32,""end"":35,""text"":""灰黄色"",""labels"":[""pathology""]},{""start"":38,""end"":41,""text"":""粟粒大"",""labels"":[""pathology""]},{""start"":42,""end"":45,""text"":""豌豆大"",""labels"":[""pathology""]},{""start"":48,""end"":54,""text"":""结节互相连接"",""labels"":[""pathology""]},{""start"":60,""end"":62,""text"":""厚痂"",""labels"":[""pathology""]},{""start"":65,""end"":71,""text"":""破溃流出鲜血"",""labels"":[""pathology""]},{""start"":72,""end"":76,""text"":""黄脂状物"",""labels"":[""pathology""]}]",32.867,"1.皮肤型：在冠、髯、眼睑、耳等头部无毛处有结节性病灶，由灰色到灰黄色，并由粟粒大至豌豆大，有时结节互相连接，形成较大的厚痂，有时破溃流出鲜血或黄脂状物，如无继发感染，一般呈良性经过，死亡率不高。","2024-01-29T14:42:43.040265Z"
1454,"1","2024-01-29T14:44:02.934669Z",1546,"[{""start"":2,""end"":5,""text"":""黏膜型"",""labels"":[""disease""]},{""start"":9,""end"":13,""text"":""口腔黏膜"",""labels"":[""bodypart""]},{""start"":14,""end"":18,""text"":""喉头黏膜"",""labels"":[""bodypart""]},{""start"":19,""end"":23,""text"":""气管黏膜"",""labels"":[""bodypart""]},{""start"":27,""end"":30,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":31,""end"":36,""text"":""混浊不透明"",""labels"":[""pathology""]},{""start"":37,""end"":46,""text"":""突出于表面的小结节"",""labels"":[""pathology""]},{""start"":54,""end"":57,""text"":""黄白色"",""labels"":[""pathology""]},{""start"":58,""end"":64,""text"":""干酪样坏死物"",""labels"":[""pathology""]},{""start"":80,""end"":85,""text"":""出血性溃疡"",""labels"":[""pathology""]},{""start"":101,""end"":104,""text"":""白喉型"",""labels"":[""disease""]},{""start"":94,""end"":96,""text"":""喉头"",""labels"":[""bodypart""]},{""start"":109,""end"":110,""text"":""喉"",""labels"":[""bodypart""]},{""start"":112,""end"":116,""text"":""影响呼吸"",""labels"":[""symptom""]},{""start"":121,""end"":123,""text"":""张口"",""labels"":[""symptom""]},{""start"":124,""end"":126,""text"":""伸颈"",""labels"":[""symptom""]},{""start"":127,""end"":129,""text"":""摇头"",""labels"":[""symptom""]},{""start"":130,""end"":132,""text"":""咳嗽"",""labels"":[""symptom""]},{""start"":135,""end"":141,""text"":""发出异常声音"",""labels"":[""symptom""]},{""start"":144,""end"":148,""text"":""窒息死亡"",""labels"":[""symptom""]},{""start"":119,""end"":121,""text"":""病鸡"",""labels"":[""type""]},{""start"":122,""end"":123,""text"":""口"",""labels"":[""bodypart""]},{""start"":125,""end"":126,""text"":""颈"",""labels"":[""bodypart""]},{""start"":128,""end"":129,""text"":""头"",""labels"":[""bodypart""]},{""start"":107,""end"":111,""text"":""阻塞喉裂"",""labels"":[""symptom""]}]",97.849,"2.黏膜型：主要在口腔黏膜、喉头黏膜或气管黏膜上发生，灰白色、混浊不透明并突出于表面的小结节，增大后融合而呈黄白色、干酪样坏死物，像一层假膜覆盖，撕下假膜可见到出血性溃疡，此种类型常出现在喉头，故又称为白喉型，常因阻塞喉裂而影响呼吸，可见病鸡张口、伸颈、摇头或咳嗽，有时发出异常声音，甚至窒息死亡；","2024-01-31T12:53:46.075993Z"
1455,"1","2024-01-29T14:45:08.071370Z",1547,"[{""start"":3,""end"":6,""text"":""鼻咽部"",""labels"":[""bodypart""]},{""start"":9,""end"":17,""text"":""泪管和下眼窝发炎"",""labels"":[""pathology""]},{""start"":15,""end"":17,""text"":""发炎"",""labels"":[""pathology""]},{""start"":19,""end"":35,""text"":""鼻窦中蓄积淡白色黏液或脓性分泌物"",""labels"":[""pathology""]},{""start"":30,""end"":35,""text"":""脓性分泌物"",""labels"":[""pathology""]},{""start"":24,""end"":27,""text"":""淡白色"",""labels"":[""pathology""]},{""start"":45,""end"":51,""text"":""卡他性结膜炎"",""labels"":[""pathology""]},{""start"":63,""end"":68,""text"":""脓性分泌物"",""labels"":[""pathology""]},{""start"":56,""end"":62,""text"":""大量黄色黏液"",""labels"":[""pathology""]},{""start"":58,""end"":60,""text"":""黄色"",""labels"":[""pathology""]},{""start"":27,""end"":29,""text"":""黏液"",""labels"":[""pathology""]},{""start"":70,""end"":78,""text"":""纤维蛋白性渗出物"",""labels"":[""pathology""]},{""start"":80,""end"":84,""text"":""眼睑闭合"",""labels"":[""pathology""]},{""start"":82,""end"":84,""text"":""闭合"",""labels"":[""pathology""]},{""start"":12,""end"":15,""text"":""下眼窝"",""labels"":[""bodypart""]},{""start"":9,""end"":11,""text"":""泪管"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""鼻窦"",""labels"":[""bodypart""]},{""start"":38,""end"":40,""text"":""眼睛"",""labels"":[""bodypart""]},{""start"":80,""end"":82,""text"":""眼睑"",""labels"":[""bodypart""]}]",63.255,"当侵害鼻咽部时，则泪管和下眼窝发炎，在鼻窦中蓄积淡白色黏液或脓性分泌物；侵害眼睛时，初期呈卡他性结膜炎，进而出现大量黄色黏液或脓性分泌物，或纤维蛋白性渗出物，使眼睑闭合。","2024-01-29T14:45:08.071370Z"
1456,"1","2024-01-29T14:45:30.429543Z",1548,"[{""start"":2,""end"":5,""text"":""混合型"",""labels"":[""disease""]},{""start"":5,""end"":8,""text"":""皮肤型"",""labels"":[""disease""]},{""start"":9,""end"":12,""text"":""黏膜型"",""labels"":[""disease""]},{""start"":47,""end"":52,""text"":""葡萄球菌病"",""labels"":[""disease""]},{""start"":26,""end"":28,""text"":""病鸡"",""labels"":[""type""]}]",20.443,"3.混合型皮肤型和黏膜型同时存在，使病情加重，严重时病鸡非常痛苦，面目全非，如不及时救护或继发葡萄球菌病，则损失惨重。","2024-01-29T14:45:30.430506Z"
