"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1145,"1","2024-01-27T16:20:15.191874Z",939,"[{""start"":0,""end"":3,""text"":""鸡白痢"",""labels"":[""disease""]},{""start"":5,""end"":11,""text"":""白痢沙门氏菌"",""labels"":[""disease""]},{""start"":14,""end"":20,""text"":""鸡常见传染病"",""labels"":[""disease""]}]",126.354,"鸡白痢是由白痢沙门氏菌引起的鸡常见传染病。","2024-01-27T16:20:15.191874Z"
916,"1","2024-01-26T08:12:10.203103Z",940,"[{""start"":10,""end"":12,""text"":""雏鸡"",""labels"":[""type""]},{""start"":14,""end"":16,""text"":""白痢"",""labels"":[""pathology""]},{""start"":25,""end"":29,""text"":""慢性经过"",""labels"":[""pathology""]},{""start"":20,""end"":23,""text"":""成年鸡"",""labels"":[""type""]},{""start"":33,""end"":35,""text"":""病鸡"",""labels"":[""type""]}]",182.256,"主要侵害3周龄以内的雏鸡，以白痢为特征，成年鸡多为慢性经过，并可经病鸡所产种蛋传染下代，构成链锁传染。","2024-01-28T01:52:36.239535Z"
917,"1","2024-01-26T08:12:20.529995Z",941,"[{""start"":10,""end"":12,""text"":""雏鸡"",""labels"":[""type""]},{""start"":22,""end"":24,""text"":""雏鸡"",""labels"":[""type""]}]",3.803,"(一)流行病学特征：雏鸡最易感。3周龄以内的雏鸡发病率和死亡率均高。","2024-01-26T08:12:20.529995Z"
918,"1","2024-01-26T08:12:34.908462Z",942,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":3,""end"":6,""text"":""带菌鸡"",""labels"":[""type""]},{""start"":34,""end"":37,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":38,""end"":41,""text"":""呼吸道"",""labels"":[""bodypart""]},{""start"":42,""end"":45,""text"":""生殖道"",""labels"":[""bodypart""]}]",12.836,"病鸡和带菌鸡是重要的传染源，既可水平传播，也可垂直传播，主要是经卵、消化道、呼吸道、生殖道传播。","2024-01-26T08:12:34.908462Z"
919,"1","2024-01-26T08:12:52.298657Z",943,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":3,""end"":6,""text"":""带菌鸡"",""labels"":[""type""]},{""start"":30,""end"":31,""text"":""鸡"",""labels"":[""type""]},{""start"":7,""end"":10,""text"":""排泄物"",""labels"":[""bodypart""]},{""start"":11,""end"":14,""text"":""分泌物"",""labels"":[""bodypart""]}]",20.491,"病鸡或带菌鸡的排泄物、分泌物污染的饲料和饮水、用具，可使同群鸡感染。","2024-01-26T08:13:01.080076Z"
920,"1","2024-01-26T08:13:07.389937Z",944,"[{""start"":18,""end"":21,""text"":""鸡白痢"",""labels"":[""disease""]}]",4.7,"此外，交配和经媒介苍蝇、麻雀也可传播鸡白痢。","2024-01-26T08:13:07.389937Z"
921,"1","2024-01-26T08:13:16.284180Z",945,"[{""start"":3,""end"":5,""text"":""雏鸡"",""labels"":[""type""]},{""start"":44,""end"":47,""text"":""鸡白痢"",""labels"":[""disease""]}]",7.288,"尤其是雏鸡的饲养管理不良，温度忽冷忽热，拥挤，运输不合理，饲料营养价不全等因素，均可促成鸡白痢的发生，并提高发病率和死亡率。","2024-01-26T08:13:16.284180Z"
922,"1","2024-01-26T08:13:28.433713Z",946,"[{""start"":10,""end"":12,""text"":""雏鸡"",""labels"":[""type""]},{""start"":17,""end"":19,""text"":""雏鸡"",""labels"":[""type""]}]",9.965,"(二)临床症状：1.雏鸡垂直感染的雏鸡生活力弱，大部分于7天内死亡；","2024-01-26T08:13:28.433713Z"
923,"1","2024-01-26T08:13:32.533660Z",947,"[{""start"":6,""end"":8,""text"":""雏鸡"",""labels"":[""type""]}]",2.603,"同群受感染的雏鸡，于2～3周龄内出现死亡。","2024-01-26T08:13:32.533660Z"
924,"1","2024-01-26T08:16:02.155527Z",948,"[{""start"":0,""end"":2,""text"":""雏鸡"",""labels"":[""type""]},{""start"":5,""end"":7,""text"":""怕冷"",""labels"":[""symptom""]},{""start"":15,""end"":18,""text"":""翅下垂"",""labels"":[""symptom""]},{""start"":16,""end"":18,""text"":""下垂"",""labels"":[""symptom""]},{""start"":19,""end"":23,""text"":""精神不振"",""labels"":[""symptom""]},{""start"":24,""end"":28,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":29,""end"":31,""text"":""不食"",""labels"":[""symptom""]},{""start"":32,""end"":38,""text"":""排出白色粪便"",""labels"":[""symptom""]},{""start"":34,""end"":36,""text"":""白色"",""labels"":[""symptom""]},{""start"":49,""end"":53,""text"":""糊住肛门"",""labels"":[""symptom""]},{""start"":54,""end"":58,""text"":""影响排便"",""labels"":[""symptom""]},{""start"":59,""end"":66,""text"":""排便时痛苦尖叫"",""labels"":[""symptom""]},{""start"":67,""end"":71,""text"":""腹部膨大"",""labels"":[""symptom""]},{""start"":69,""end"":71,""text"":""膨大"",""labels"":[""symptom""]},{""start"":15,""end"":16,""text"":""翅"",""labels"":[""pathology""]},{""start"":36,""end"":38,""text"":""粪便"",""labels"":[""pathology""]},{""start"":41,""end"":45,""text"":""臀部羽毛"",""labels"":[""pathology""]},{""start"":51,""end"":53,""text"":""肛门"",""labels"":[""pathology""]},{""start"":67,""end"":69,""text"":""腹部"",""labels"":[""pathology""]}]",115.131,"雏鸡患病后怕冷，常拥挤在一起，翅下垂，精神不振，食欲减退或不食，排出白色粪便，粘在臀部羽毛上，甚至糊住肛门，影响排便，排便时痛苦尖叫，腹部膨大。","2024-01-26T08:16:02.155527Z"
