"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
1825,"1","2024-02-01T11:33:05.323437Z",1965,"[{""start"":0,""end"":5,""text"":""鸡盲肠肝炎"",""labels"":[""disease""]},{""start"":6,""end"":10,""text"":""鸡黑头病"",""labels"":[""disease""]},{""start"":13,""end"":21,""text"":""鸡传染性盲肠肝炎"",""labels"":[""disease""]},{""start"":22,""end"":27,""text"":""单细胞虫病"",""labels"":[""disease""]},{""start"":28,""end"":33,""text"":""组织滴虫病"",""labels"":[""disease""]},{""start"":39,""end"":45,""text"":""急性寄生虫病"",""labels"":[""disease""]},{""start"":35,""end"":36,""text"":""鸡"",""labels"":[""type""]},{""start"":47,""end"":48,""text"":""鸡"",""labels"":[""type""]},{""start"":48,""end"":52,""text"":""头部变黑"",""labels"":[""pathology""]},{""start"":50,""end"":52,""text"":""变黑"",""labels"":[""pathology""]},{""start"":53,""end"":64,""text"":""肝脏表面出现扣状坏死灶"",""labels"":[""pathology""]},{""start"":59,""end"":64,""text"":""扣状坏死灶"",""labels"":[""pathology""]},{""start"":65,""end"":72,""text"":""盲肠溃疡性炎症"",""labels"":[""pathology""]},{""start"":48,""end"":50,""text"":""头部"",""labels"":[""bodypart""]},{""start"":53,""end"":55,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":65,""end"":67,""text"":""盲肠"",""labels"":[""bodypart""]},{""start"":67,""end"":72,""text"":""溃疡性炎症"",""labels"":[""pathology""]}]",772.047,"鸡盲肠肝炎即鸡黑头病，也叫鸡传染性盲肠肝炎或单细胞虫病、组织滴虫病，是鸡的一种急性寄生虫病，以鸡头部变黑，肝脏表面出现扣状坏死灶和盲肠溃疡性炎症为特征。","2024-02-01T12:43:16.458913Z"
1826,"1","2024-02-01T11:33:21.507050Z",1966,"[{""start"":10,""end"":12,""text"":""幼鸡"",""labels"":[""type""]},{""start"":31,""end"":32,""text"":""鸡"",""labels"":[""type""]},{""start"":34,""end"":38,""text"":""急性经过"",""labels"":[""pathology""]}]",12.123,"(一)流行病学特征：幼鸡易感性强，多发生于2周龄至3~4月龄的鸡，呈急性经过。","2024-02-01T11:33:21.507050Z"
1827,"1","2024-02-01T11:34:00.915918Z",1967,"[{""start"":0,""end"":3,""text"":""成年鸡"",""labels"":[""type""]},{""start"":9,""end"":13,""text"":""隐性经过"",""labels"":[""pathology""]}]",38.089,"成年鸡也可感染，呈隐性经过，成为带虫者。","2024-02-01T11:34:00.915918Z"
1828,"1","2024-02-01T11:35:09.457631Z",1968,"[{""start"":3,""end"":9,""text"":""肝炎单细胞虫"",""labels"":[""disease""]},{""start"":17,""end"":19,""text"":""患鸡"",""labels"":[""type""]},{""start"":20,""end"":22,""text"":""盲肠"",""labels"":[""bodypart""]},{""start"":23,""end"":25,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":28,""end"":30,""text"":""粪便"",""labels"":[""bodypart""]},{""start"":52,""end"":55,""text"":""消化道"",""labels"":[""bodypart""]},{""start"":58,""end"":61,""text"":""健康鸡"",""labels"":[""type""]}]",67.076,"病原是肝炎单细胞虫，体型小，存在于患鸡的盲肠和肝脏内，随粪便排出体外，污染饲料、饮水、场地与周围环境，经消化道感染，健康鸡食入后患病。","2024-02-01T11:35:09.457631Z"
1829,"1","2024-02-01T11:37:24.260729Z",1969,"[{""start"":17,""end"":22,""text"":""鸡盲肠肝炎"",""labels"":[""disease""]}]",6.839,"有时蟋蟀、苍蝇、蚊蚋等也可带虫成为鸡盲肠肝炎的传递因素。","2024-02-01T11:37:24.260729Z"
1830,"1","2024-02-01T11:39:00.144136Z",1970,"[{""start"":3,""end"":5,""text"":""鸡群"",""labels"":[""type""]},{""start"":29,""end"":35,""text"":""维生素A缺乏"",""labels"":[""disease""]},{""start"":53,""end"":58,""text"":""鸡盲肠肝炎"",""labels"":[""disease""]}]",94.412,"所以，鸡群饲养管理环境不良、环境卫生条件差、饲料配比不当、维生素A缺乏、通风不良、光线不足、拥挤等均可促进鸡盲肠肝炎的发生。","2024-02-01T11:39:00.144136Z"
1831,"1","2024-02-01T11:39:24.887881Z",1971,"[{""start"":9,""end"":10,""text"":""鸡"",""labels"":[""type""]},{""start"":10,""end"":17,""text"":""头部皮肤黑紫色"",""labels"":[""symptom""]},{""start"":14,""end"":17,""text"":""黑紫色"",""labels"":[""symptom""]},{""start"":18,""end"":23,""text"":""顽固性腹泻"",""labels"":[""symptom""]},{""start"":24,""end"":29,""text"":""淡绿色粪便"",""labels"":[""symptom""]},{""start"":24,""end"":27,""text"":""淡绿色"",""labels"":[""symptom""]},{""start"":10,""end"":14,""text"":""头部皮肤"",""labels"":[""bodypart""]},{""start"":27,""end"":29,""text"":""粪便"",""labels"":[""bodypart""]}]",22.392,"(二)临床症状：以鸡头部皮肤黑紫色、顽固性腹泻、淡绿色粪便为特征。","2024-02-01T11:39:24.887881Z"
1832,"1","2024-02-01T11:39:47.033897Z",1972,"[{""start"":3,""end"":5,""text"":""病鸡"",""labels"":[""type""]},{""start"":5,""end"":9,""text"":""精神沉郁"",""labels"":[""symptom""]},{""start"":10,""end"":14,""text"":""羽毛蓬乱"",""labels"":[""symptom""]},{""start"":12,""end"":14,""text"":""蓬乱"",""labels"":[""symptom""]},{""start"":15,""end"":18,""text"":""翅下垂"",""labels"":[""symptom""]},{""start"":16,""end"":18,""text"":""下垂"",""labels"":[""symptom""]},{""start"":19,""end"":23,""text"":""食欲减退"",""labels"":[""symptom""]},{""start"":24,""end"":28,""text"":""身体蜷缩"",""labels"":[""symptom""]},{""start"":10,""end"":12,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":15,""end"":16,""text"":""翅"",""labels"":[""bodypart""]}]",20.356,"其他如病鸡精神沉郁，羽毛蓬乱，翅下垂，食欲减退，身体蜷缩等一般症状。","2024-02-01T11:39:47.033897Z"
1833,"1","2024-02-01T11:39:55.394615Z",1973,"[{""start"":15,""end"":17,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":20,""end"":22,""text"":""盲肠"",""labels"":[""bodypart""]}]",5.815,"(三)剖检变化：重要的变化一是肝脏，二是盲肠，病变明显。","2024-02-01T11:39:55.394615Z"
1834,"1","2024-02-01T11:40:09.570755Z",1974,"[{""start"":0,""end"":4,""text"":""肝脏肿大"",""labels"":[""pathology""]},{""start"":2,""end"":4,""text"":""肿大"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""肝脏"",""labels"":[""bodypart""]},{""start"":14,""end"":18,""text"":""溃疡病灶"",""labels"":[""pathology""]}]",16.197000000000003,"肝脏肿大，其表面有大小不等的溃疡病灶。","2024-02-01T12:53:01.916382Z"
1835,"1","2024-02-01T11:41:22.870683Z",1975,"[{""start"":3,""end"":8,""text"":""出血性炎症"",""labels"":[""pathology""]},{""start"":0,""end"":8,""text"":""盲肠有出血性炎症"",""labels"":[""pathology""]},{""start"":9,""end"":11,""text"":""肿大"",""labels"":[""pathology""]},{""start"":12,""end"":16,""text"":""肠襞肥厚"",""labels"":[""pathology""]},{""start"":14,""end"":16,""text"":""肥厚"",""labels"":[""pathology""]},{""start"":20,""end"":27,""text"":""内容物混有血液"",""labels"":[""pathology""]},{""start"":35,""end"":40,""text"":""干酪样物质"",""labels"":[""pathology""]},{""start"":42,""end"":46,""text"":""肠襞变薄"",""labels"":[""pathology""]},{""start"":44,""end"":46,""text"":""变薄"",""labels"":[""pathology""]},{""start"":51,""end"":58,""text"":""肌层几乎不存在"",""labels"":[""pathology""]},{""start"":61,""end"":66,""text"":""盲肠襞破坏"",""labels"":[""pathology""]},{""start"":64,""end"":66,""text"":""破坏"",""labels"":[""pathology""]},{""start"":67,""end"":69,""text"":""穿孔"",""labels"":[""pathology""]},{""start"":72,""end"":75,""text"":""腹膜炎"",""labels"":[""pathology""]},{""start"":0,""end"":2,""text"":""盲肠"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""肠襞"",""labels"":[""bodypart""]},{""start"":42,""end"":44,""text"":""肠襞"",""labels"":[""bodypart""]},{""start"":47,""end"":50,""text"":""黏膜层"",""labels"":[""bodypart""]},{""start"":51,""end"":53,""text"":""肌层"",""labels"":[""bodypart""]},{""start"":61,""end"":64,""text"":""盲肠襞"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""血液"",""labels"":[""bodypart""]}]",274.789,"盲肠有出血性炎症、肿大、肠襞肥厚似香肠，内容物混有血液，有时充满坚硬、干酪样物质，使肠襞变薄，黏膜层、肌层几乎不存在，有时盲肠襞破坏、穿孔，诱发腹膜炎。","2024-02-01T11:44:47.387669Z"
1836,"1","2024-02-01T11:45:13.745628Z",1976,"[{""start"":10,""end"":14,""text"":""盲肠肠芯"",""labels"":[""bodypart""]},{""start"":15,""end"":17,""text"":""肠襞"",""labels"":[""bodypart""]},{""start"":88,""end"":90,""text"":""细胞"",""labels"":[""bodypart""]}]",24.357,"(四)实验室诊断：取盲肠肠芯与肠襞之间新鲜内容物置载玻片上，加入少量37～40℃生理盐水混匀，加盖玻片后，在500倍显微镜下观察，即可见钟摆样来回游动的虫体，直径5～30微米，细胞外质透明，内质呈颗粒状，并有气泡，细胞核呈泡状，有1根很长的鞭毛。","2024-02-01T11:45:13.745628Z"
1837,"1","2024-02-01T11:45:31.376320Z",1977,"[{""start"":1,""end"":3,""text"":""肝脏"",""labels"":[""bodypart""]}]",15.675,"从肝脏病变处取样时，则虫体呈圆形、卵圆形或不正圆形，其直径为4～21微米，无鞭毛。","2024-02-01T11:45:31.376320Z"
1838,"1","2024-02-01T11:45:47.362402Z",1978,"[{""start"":0,""end"":6,""text"":""加强饲养管理"",""labels"":[""control""]},{""start"":7,""end"":11,""text"":""合理配料"",""labels"":[""control""]},{""start"":12,""end"":21,""text"":""保证维生素A的供给"",""labels"":[""control""]},{""start"":14,""end"":18,""text"":""维生素A"",""labels"":[""drug""]}]",14.495,"加强饲养管理，合理配料，保证维生素A的供给，以提高抗病能力。","2024-02-01T11:45:47.362402Z"
