"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2185,"1","2024-02-01T17:54:04.266009Z",2339,"[{""start"":0,""end"":6,""text"":""鸡毛细线虫病"",""labels"":[""disease""]},{""start"":8,""end"":15,""text"":""毛首科毛细线虫"",""labels"":[""disease""]},{""start"":19,""end"":21,""text"":""线虫"",""labels"":[""disease""]},{""start"":34,""end"":38,""text"":""寄生虫病"",""labels"":[""disease""]},{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]},{""start"":26,""end"":29,""text"":""消化道"",""labels"":[""bodypart""]}]",14.766,"鸡毛细线虫病是由毛首科毛细线虫属的多种线虫寄生于鸡的消化道引起的一种寄生虫病。","2024-02-01T17:54:04.266009Z"
2186,"1","2024-02-01T17:54:13.279963Z",2342,"[{""start"":5,""end"":9,""text"":""毛细线虫"",""labels"":[""disease""]}]",3.229,"不同种类的毛细线虫的寄生部位不同。","2024-02-01T17:54:13.279963Z"
2187,"1","2024-02-01T17:54:29.369211Z",2343,"[{""start"":0,""end"":6,""text"":""有轮毛细线虫"",""labels"":[""disease""]},{""start"":9,""end"":10,""text"":""鸡"",""labels"":[""type""]},{""start"":11,""end"":13,""text"":""嗦囊"",""labels"":[""bodypart""]},{""start"":14,""end"":16,""text"":""食道"",""labels"":[""bodypart""]}]",14.352,"有轮毛细线虫寄生于鸡的嗦囊和食道；","2024-02-01T17:54:29.369211Z"
2188,"1","2024-02-01T17:54:37.992845Z",2344,"[{""start"":0,""end"":5,""text"":""鸽毛细线虫"",""labels"":[""disease""]},{""start"":8,""end"":9,""text"":""鸡"",""labels"":[""type""]},{""start"":10,""end"":12,""text"":""小肠"",""labels"":[""bodypart""]}]",6.778,"鸽毛细线虫寄生于鸡的小肠；","2024-02-01T17:54:37.992845Z"
2189,"1","2024-02-01T17:54:46.428464Z",2345,"[{""start"":0,""end"":6,""text"":""膨尾毛细线虫"",""labels"":[""disease""]},{""start"":9,""end"":12,""text"":""鸡小肠"",""labels"":[""bodypart""]}]",6.101,"膨尾毛细线虫寄生于鸡小肠。","2024-02-01T17:54:46.428464Z"
2190,"1","2024-02-01T17:54:52.060015Z",2346,"[{""start"":2,""end"":6,""text"":""毛细线虫"",""labels"":[""disease""]}]",3.814,"这些毛细线虫形态相似，小者长7~8mm,中等者长20~25mm,最长的可达到60mm,雄虫略小于雌虫。","2024-02-01T17:54:52.060015Z"
2191,"1","2024-02-01T17:55:18.908440Z",2348,"[{""start"":0,""end"":5,""text"":""鸽毛细线虫"",""labels"":[""disease""]},{""start"":37,""end"":38,""text"":""鸡"",""labels"":[""type""]},{""start"":44,""end"":50,""text"":""十二指肠黏膜"",""labels"":[""bodypart""]},{""start"":60,""end"":62,""text"":""肠腔"",""labels"":[""bodypart""]}]",22.187,"鸽毛细线虫发育是直接进行的，即卵排出体外，在卵壳内发育为第一期幼虫，幼虫被鸡啄食后，进入十二指肠黏膜内，发育为成虫后进入肠腔。","2024-02-01T17:55:18.908440Z"
2192,"1","2024-02-01T17:55:25.173706Z",2349,"[{""start"":0,""end"":6,""text"":""有轮毛细线虫"",""labels"":[""disease""]},{""start"":7,""end"":13,""text"":""膨尾毛细线虫"",""labels"":[""disease""]}]",4.579,"有轮毛细线虫、膨尾毛细线虫需以蚯蚓为中间宿主。","2024-02-01T17:55:25.173706Z"
2193,"1","2024-02-01T17:55:39.078292Z",2350,"[{""start"":34,""end"":35,""text"":""鸡"",""labels"":[""type""]},{""start"":56,""end"":61,""text"":""鸡小肠黏膜"",""labels"":[""bodypart""]},{""start"":72,""end"":75,""text"":""消化道"",""labels"":[""bodypart""]}]",11.974,"虫卵排出体外发育为含第一期幼虫的卵后，被蚯蚓吞食，发育为第二期幼虫，鸡吞食了这种蚯蚓后而遭受感染，第二期幼虫钻入鸡小肠黏膜中发育为成虫，然后返回消化道。","2024-02-01T17:55:39.078292Z"
2194,"1","2024-02-01T17:55:58.578754Z",2351,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":4,""end"":8,""text"":""食欲不振"",""labels"":[""symptom""]},{""start"":9,""end"":13,""text"":""精神萎靡"",""labels"":[""symptom""]},{""start"":14,""end"":16,""text"":""消瘦"",""labels"":[""symptom""]},{""start"":18,""end"":20,""text"":""肠炎"",""labels"":[""pathology""]},{""start"":21,""end"":27,""text"":""常作吞咽动作"",""labels"":[""pathology""]},{""start"":31,""end"":33,""text"":""雏鸡"",""labels"":[""type""]},{""start"":34,""end"":37,""text"":""成年鸡"",""labels"":[""type""]}]",17.632,"病鸡表现食欲不振，精神萎靡，消瘦并有肠炎或常作吞咽动作，严重时雏鸡、成年鸡均可引起死亡。","2024-02-01T17:55:58.578754Z"
