"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2139,"1","2024-02-01T17:40:08.552204Z",2286,"[{""start"":0,""end"":4,""text"":""鸡绦虫病"",""labels"":[""disease""]},{""start"":21,""end"":25,""text"":""赖利绦虫"",""labels"":[""disease""]},{""start"":32,""end"":36,""text"":""戴文绦虫"",""labels"":[""disease""]}]",14.834,"鸡绦虫病在临床上常见的有2种，一是赖利属的赖利绦虫，二是戴文属的戴文绦虫。","2024-02-01T17:40:08.552204Z"
2140,"1","2024-02-01T17:40:28.838096Z",2287,"[{""start"":0,""end"":5,""text"":""赖利属绦虫"",""labels"":[""disease""]},{""start"":9,""end"":15,""text"":""棘盘赖利绦虫"",""labels"":[""disease""]},{""start"":16,""end"":22,""text"":""四角赖利绦虫"",""labels"":[""disease""]},{""start"":23,""end"":29,""text"":""有轮赖利绦虫"",""labels"":[""disease""]},{""start"":36,""end"":37,""text"":""鸡"",""labels"":[""type""]},{""start"":49,""end"":51,""text"":""雏鸡"",""labels"":[""type""]}]",18.577,"赖利属绦虫常见的有棘盘赖利绦虫、四角赖利绦虫和有轮赖利绦虫3种，各种日龄鸡均易感染，但以3～6周龄雏鸡最易感。","2024-02-01T17:40:28.838096Z"
2141,"1","2024-02-01T17:40:51.353067Z",2288,"[{""start"":5,""end"":6,""text"":""鸡"",""labels"":[""type""]},{""start"":43,""end"":44,""text"":""鸡"",""labels"":[""type""]},{""start"":24,""end"":25,""text"":""鸡"",""labels"":[""type""]},{""start"":31,""end"":34,""text"":""幼龄鸡"",""labels"":[""type""]},{""start"":7,""end"":11,""text"":""十二指肠"",""labels"":[""bodypart""]},{""start"":12,""end"":14,""text"":""空肠"",""labels"":[""bodypart""]},{""start"":45,""end"":49,""text"":""十二指肠"",""labels"":[""bodypart""]},{""start"":16,""end"":20,""text"":""戴文绦虫"",""labels"":[""disease""]}]",20.758,"主要寄生于鸡的十二指肠和空肠中；戴文绦虫各种日龄鸡均可感染，以幼龄鸡最易感，主要寄生于鸡的十二指肠。","2024-02-01T17:40:51.353067Z"
2142,"1","2024-02-01T17:41:12.905622Z",2289,"[{""start"":8,""end"":12,""text"":""消化障碍"",""labels"":[""pathology""]},{""start"":13,""end"":17,""text"":""肠炎下痢"",""labels"":[""pathology""]},{""start"":20,""end"":25,""text"":""粪便中带血"",""labels"":[""pathology""]},{""start"":20,""end"":22,""text"":""粪便"",""labels"":[""bodypart""]}]",17.168,"(一)临床症状：消化障碍，肠炎下痢，有时粪便中带血；","2024-02-01T17:41:12.905622Z"
2143,"1","2024-02-01T17:41:39.201091Z",2290,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":2,""end"":6,""text"":""精神不振"",""labels"":[""symptom""]},{""start"":7,""end"":9,""text"":""贫血"",""labels"":[""symptom""]},{""start"":10,""end"":12,""text"":""消瘦"",""labels"":[""symptom""]},{""start"":13,""end"":17,""text"":""体况不佳"",""labels"":[""symptom""]},{""start"":22,""end"":26,""text"":""全身麻痹"",""labels"":[""symptom""]},{""start"":27,""end"":31,""text"":""神经症状"",""labels"":[""symptom""]},{""start"":35,""end"":41,""text"":""生长发育受阻"",""labels"":[""symptom""]},{""start"":45,""end"":50,""text"":""产蛋率降低"",""labels"":[""symptom""]},{""start"":32,""end"":35,""text"":""幼龄鸡"",""labels"":[""type""]},{""start"":42,""end"":45,""text"":""成年鸡"",""labels"":[""type""]}]",24.568,"病鸡精神不振，贫血，消瘦，体况不佳，有时出现全身麻痹的神经症状，幼龄鸡生长发育受阻，成年鸡产蛋率降低。","2024-02-01T17:41:39.201091Z"
2144,"1","2024-02-01T17:42:06.531299Z",2291,"[{""start"":8,""end"":13,""text"":""肠黏膜炎症"",""labels"":[""pathology""]},{""start"":11,""end"":13,""text"":""炎症"",""labels"":[""pathology""]},{""start"":14,""end"":18,""text"":""肠襞肥厚"",""labels"":[""pathology""]},{""start"":16,""end"":18,""text"":""肥厚"",""labels"":[""pathology""]},{""start"":19,""end"":30,""text"":""肠道中有多量恶臭的黏液"",""labels"":[""pathology""]},{""start"":23,""end"":30,""text"":""多量恶臭的黏液"",""labels"":[""pathology""]},{""start"":31,""end"":35,""text"":""黏膜贫血"",""labels"":[""pathology""]},{""start"":33,""end"":35,""text"":""贫血"",""labels"":[""pathology""]},{""start"":36,""end"":38,""text"":""黄染"",""labels"":[""pathology""]},{""start"":8,""end"":11,""text"":""肠黏膜"",""labels"":[""bodypart""]},{""start"":14,""end"":16,""text"":""肠襞"",""labels"":[""bodypart""]},{""start"":19,""end"":21,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":31,""end"":33,""text"":""黏膜"",""labels"":[""bodypart""]}]",24.086,"(二)剖检变化：肠黏膜炎症，肠襞肥厚，肠道中有多量恶臭的黏液，黏膜贫血或黄染。","2024-02-01T17:42:06.531299Z"
2145,"1","2024-02-01T17:42:36.138088Z",2292,"[{""start"":3,""end"":14,""text"":""肠襞上可见灰黄色小结节"",""labels"":[""pathology""]},{""start"":8,""end"":11,""text"":""灰黄色"",""labels"":[""pathology""]},{""start"":11,""end"":14,""text"":""小结节"",""labels"":[""pathology""]},{""start"":16,""end"":26,""text"":""肠道中可见灰白色虫体"",""labels"":[""pathology""]},{""start"":21,""end"":24,""text"":""灰白色"",""labels"":[""pathology""]},{""start"":3,""end"":5,""text"":""肠襞"",""labels"":[""bodypart""]},{""start"":16,""end"":18,""text"":""肠道"",""labels"":[""bodypart""]},{""start"":33,""end"":38,""text"":""赖利属绦虫"",""labels"":[""disease""]}]",27.754,"有时在肠襞上可见灰黄色小结节。在肠道中可见灰白色虫体，体形较大的是赖利属绦虫，长4～25厘米，宽1～4毫米，有明显的节片。","2024-02-01T17:42:36.138088Z"
2146,"1","2024-02-01T17:42:44.893031Z",2293,"[{""start"":6,""end"":10,""text"":""戴文绦虫"",""labels"":[""disease""]}]",5.141,"体形较小的是戴文绦虫，呈乳白色，舌状，长0.5～3毫米，由3～5个节片组成，节片由前向后逐渐增长。","2024-02-01T17:42:44.893031Z"
2147,"1","2024-02-01T17:42:57.281738Z",2294,"[{""start"":9,""end"":11,""text"":""病鸡"",""labels"":[""type""]},{""start"":16,""end"":20,""text"":""赖利绦虫"",""labels"":[""disease""]},{""start"":11,""end"":13,""text"":""粪便"",""labels"":[""bodypart""]}]",10.325,"(三)实验室诊断：病鸡粪便中含有赖利绦虫的孕卵节片，四边形，乳白色，能伸缩，逐渐变成圆形球状。","2024-02-01T17:42:57.281738Z"
2148,"1","2024-02-01T17:43:07.132900Z",2295,"[{""start"":0,""end"":2,""text"":""病鸡"",""labels"":[""type""]},{""start"":8,""end"":12,""text"":""戴文绦虫"",""labels"":[""disease""]},{""start"":2,""end"":4,""text"":""粪便"",""labels"":[""bodypart""]}]",7.873,"病鸡粪便中能看到戴文绦虫虫体，即可诊断。","2024-02-01T17:43:07.132900Z"
