"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2385,"1","2024-02-01T19:09:05.476259Z",2564,"[{""start"":0,""end"":4,""text"":""鸡羽虱病"",""labels"":[""disease""]},{""start"":8,""end"":11,""text"":""寄生虫"",""labels"":[""disease""]},{""start"":5,""end"":6,""text"":""鸡"",""labels"":[""type""]},{""start"":20,""end"":21,""text"":""鸡"",""labels"":[""type""]},{""start"":35,""end"":36,""text"":""鸡"",""labels"":[""type""]},{""start"":50,""end"":52,""text"":""鸡体"",""labels"":[""type""]},{""start"":54,""end"":56,""text"":""鸡体"",""labels"":[""type""]},{""start"":22,""end"":24,""text"":""皮肤"",""labels"":[""bodypart""]},{""start"":25,""end"":27,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":28,""end"":30,""text"":""羽干"",""labels"":[""bodypart""]},{""start"":37,""end"":39,""text"":""血液"",""labels"":[""bodypart""]},{""start"":40,""end"":42,""text"":""皮屑"",""labels"":[""bodypart""]},{""start"":43,""end"":45,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":56,""end"":58,""text"":""贫血"",""labels"":[""symptom""]},{""start"":59,""end"":61,""text"":""脱毛"",""labels"":[""symptom""]},{""start"":62,""end"":66,""text"":""食宿不安"",""labels"":[""symptom""]},{""start"":67,""end"":73,""text"":""影响生长发育"",""labels"":[""symptom""]},{""start"":82,""end"":87,""text"":""产蛋率降低"",""labels"":[""symptom""]}]",83.429,"鸡羽虱病是鸡体外寄生虫的一种，主要寄生于鸡的皮肤、羽毛及羽干上，以吸食鸡的血液、皮屑和羽毛为食，刺激鸡体，使鸡体贫血、脱毛，食宿不安，影响生长发育，使生产性能下降，产蛋率降低。","2024-02-01T19:09:05.476259Z"
2386,"1","2024-02-01T19:09:19.575712Z",2566,"[{""start"":16,""end"":18,""text"":""羽虱"",""labels"":[""disease""]},{""start"":19,""end"":21,""text"":""病鸡"",""labels"":[""type""]},{""start"":22,""end"":26,""text"":""患病野禽"",""labels"":[""type""]}]",9.347,"(一)流行病学特征：病原体是各种羽虱，病鸡和患病野禽是主要传染源。","2024-02-01T19:09:19.575712Z"
2387,"1","2024-02-01T19:09:29.406633Z",2567,"[{""start"":12,""end"":14,""text"":""野禽"",""labels"":[""type""]}]",7.41,"通过接触感染为主要途径，野禽、用具等也可能成为传播因素。","2024-02-01T19:09:29.406633Z"
2388,"1","2024-02-01T19:09:39.907289Z",2568,"[{""start"":0,""end"":3,""text"":""鸡羽虱"",""labels"":[""disease""]},{""start"":8,""end"":14,""text"":""永久性寄生虫"",""labels"":[""disease""]},{""start"":4,""end"":5,""text"":""鸡"",""labels"":[""type""]}]",8.21,"鸡羽虱是鸡的一种永久性寄生虫，因形体大小、寄生部位、摄取食物不同，常见的有以下几种：","2024-02-01T19:09:39.907289Z"
2389,"1","2024-02-01T19:10:08.831838Z",2569,"[{""start"":0,""end"":3,""text"":""鸡头虱"",""labels"":[""disease""]},{""start"":6,""end"":11,""text"":""异形圆腹虱"",""labels"":[""disease""]},{""start"":17,""end"":19,""text"":""雏鸡"",""labels"":[""type""]},{""start"":20,""end"":21,""text"":""头"",""labels"":[""bodypart""]},{""start"":22,""end"":24,""text"":""颈部"",""labels"":[""bodypart""]},{""start"":42,""end"":44,""text"":""鸡头"",""labels"":[""bodypart""]},{""start"":45,""end"":50,""text"":""颈部的皮肤"",""labels"":[""bodypart""]},{""start"":53,""end"":55,""text"":""皮肤"",""labels"":[""bodypart""]}]",26.633,"鸡头虱：又称异形圆腹虱，主要寄生在雏鸡的头、颈部，深灰色，体长约2毫米，以口器紧贴在鸡头、颈部的皮肤上，以皮肤鳞屑为食。","2024-02-01T19:10:08.831838Z"
2390,"1","2024-02-01T19:10:26.765039Z",2570,"[{""start"":0,""end"":3,""text"":""羽干虱"",""labels"":[""disease""]},{""start"":6,""end"":9,""text"":""鸡羽虱"",""labels"":[""disease""]},{""start"":15,""end"":20,""text"":""羽毛的羽干"",""labels"":[""bodypart""]},{""start"":36,""end"":38,""text"":""羽枝"",""labels"":[""bodypart""]},{""start"":39,""end"":42,""text"":""小羽枝"",""labels"":[""bodypart""]}]",14.438,"羽干虱：又称鸡羽虱，主要寄生于羽毛的羽干上，体形较小，体长不足2毫米，以羽枝和小羽枝为食。","2024-02-01T19:10:26.765039Z"
2391,"1","2024-02-01T19:10:58.110454Z",2571,"[{""start"":0,""end"":4,""text"":""鸡大体虱"",""labels"":[""disease""]},{""start"":7,""end"":11,""text"":""鸡角羽虱"",""labels"":[""disease""]},{""start"":17,""end"":23,""text"":""肛门下面羽毛"",""labels"":[""bodypart""]},{""start"":30,""end"":35,""text"":""背胸部羽毛"",""labels"":[""bodypart""]},{""start"":36,""end"":41,""text"":""翅下部羽毛"",""labels"":[""bodypart""]},{""start"":56,""end"":60,""text"":""羽毛小枝"",""labels"":[""bodypart""]},{""start"":61,""end"":65,""text"":""皮肤表皮"",""labels"":[""bodypart""]},{""start"":73,""end"":75,""text"":""血液"",""labels"":[""bodypart""]}]",28.746,"鸡大体虱：又称鸡角羽虱，主要寄生于肛门下面羽毛部，有时寄生于背胸部羽毛和翅下部羽毛，体形较大，体长3～4毫米，以羽毛小枝和皮肤表皮为食，有时也吸吮血液。","2024-02-01T19:10:58.110454Z"
2392,"1","2024-02-01T19:11:16.947207Z",2572,"[{""start"":0,""end"":3,""text"":""鸡翅虱"",""labels"":[""disease""]},{""start"":6,""end"":10,""text"":""鸡长羽虱"",""labels"":[""disease""]},{""start"":16,""end"":20,""text"":""鸡翅羽毛"",""labels"":[""bodypart""]}]",7.0,"鸡翅虱：又称鸡长羽虱，主要寄生于鸡翅羽毛下面，体形较瘦，细长，体长约3毫米。","2024-02-01T19:11:16.947207Z"
2393,"1","2024-02-01T19:11:31.761472Z",2573,"[{""start"":0,""end"":3,""text"":""鸡绒虱"",""labels"":[""disease""]},{""start"":6,""end"":10,""text"":""鸡圆羽虱"",""labels"":[""disease""]},{""start"":16,""end"":19,""text"":""鸡背部"",""labels"":[""bodypart""]},{""start"":20,""end"":24,""text"":""臀部羽毛"",""labels"":[""bodypart""]}]",11.192,"鸡绒虱：又称鸡圆羽虱，主要寄生于鸡背部和臀部羽毛上，体形较小，体长约2毫米。体扁平而宽，呈黄色，头部宽大而侧后缘各生2根长毛，触角1对，由4节构成，咀嚼式口器，胸部短小，腹部宽大，两侧有棕色的横纹。","2024-02-01T19:11:31.761472Z"
2394,"1","2024-02-01T19:11:46.621893Z",2574,"[{""start"":0,""end"":3,""text"":""鸡体虱"",""labels"":[""disease""]},{""start"":6,""end"":11,""text"":""草黄鸡体虱"",""labels"":[""disease""]},{""start"":17,""end"":19,""text"":""羽毛"",""labels"":[""bodypart""]},{""start"":22,""end"":24,""text"":""皮肤"",""labels"":[""bodypart""]}]",11.579,"鸡体虱：又称草黄鸡体虱，主要寄生于羽毛稀少的皮肤上，体形较小，体长不足2毫米。","2024-02-01T19:11:46.621893Z"
